"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FF","FS","PE","RB","G","SG","FD","DD","GS","A","CV","I","FT","GC","PP","DP"
"570","Danilo das Neves Pinheiro","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg",86686,6,"PAL","mei","Provável",6.6,3.27,1.62,1.05,6,1,11,NA,3,17,7,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA
"571","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,6,"SPO","mei","Provável",0,2.79,0,1.7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Antônio Francisco Moura Neto","Neto Moura","https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png",87742,6,"SPO","mei","Nulo",0,2.35,0,-0.8,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2016/05/20/7a75a68437642ef0fde4ef9bc5a2f571_FORMATO.png",89492,6,"BOT","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","Igor Rabello da Costa","Igor Rabello","https://s.glbimg.com/es/sde/f/2016/05/20/45658f95ac34e82da4d58cf9c77f2587_FORMATO.png",89493,6,"BOT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","Yerry Fernando Mina Gonzalez","Yerry Mina","https://s.glbimg.com/es/sde/f/2016/05/11/1d176e42e96c1feded03010b414afe68_FORMATO.jpeg",85241,6,"PAL","zag","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","Wilder Andrés Guisao Correa","Wilder","https://s.glbimg.com/es/sde/f/2016/05/01/6c87287f87a45617310efbcd992ff6e3_FORMATO.png",85297,6,"SAO","ata","Contundido",0,2.94,0,0,1,1,2,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2016/04/29/9e75041c82af99e71fd7136bf58eb73d_FORMATO.png",87747,6,"FIG","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","Thiago Maia Alencar","Thiago Maia","https://s.glbimg.com/es/sde/f/2016/05/01/1b2976ce2cacc26f8141ace470b05928_FORMATO.png",89637,6,"SAN","mei","Provável",1.1,4.29,0.16,0.93,6,1,7,NA,6,26,7,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"579","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2016/04/30/4238400ed396294e767c230a127d5f39_FORMATO.png",85591,6,"INT","lat","Provável",-0.9,8.05,-1.53,3.33,6,2,9,1,3,17,7,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"580","Marcelo Machado dos Santos ","Marcelo","https://s.glbimg.com/es/sde/f/2016/05/01/246270cfb0d85a032e4cb806f0f4c2bf_FORMATO.png",85400,6,"VIT","mei","Nulo",0,3.02,0,1.7,2,NA,3,NA,2,8,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"581","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2016/05/01/5cab514072a09725b9f0f42b2f1d9d77_FORMATO.png",85425,6,"SAN","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2016/04/30/467a8f898eba5ed165e1db959364e376_FORMATO.png",85423,6,"INT","mei","Contundido",0,17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","Federico Gino Acevedo Fagundez","Federico Gino","https://s.glbimg.com/es/sde/f/2016/04/29/07f205bd47120a9677a25b343417f3e7_FORMATO.png",87860,6,"CRU","mei","Nulo",0,5.6,0,0.55,2,NA,1,1,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
