"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FF","FS","PE","RB","G","SG","FD","DD","GS","A","CV","I","FT","GC","PP","DP"
"627","Matheus Gonçalves Sávio","Matheus Sávio","https://s.glbimg.com/es/sde/f/2016/04/20/042079613fc2db314e0a12801f8eb3c8_FORMATO.png",91264,6,"FLA","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","Thiago Rodrigues da Silva","Thiago","https://s.glbimg.com/es/sde/f/2016/05/30/9e7a04cb4e1a88c4ac3de1a2d90d5016_FORMATO.png",91194,6,"FLA","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Alison Vicente da Silva","Alison",NA,91003,6,"SPO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Alípio Duarte Brandão","Alípio","https://s.glbimg.com/es/sde/f/2016/05/01/d905a98c54e7ee4f247ea6a6cbc68abf_FORMATO.png",91100,6,"VIT","mei","Nulo",0,3.17,0,1.25,4,NA,2,NA,1,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"631","Lucas Estella Perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2016/05/01/33edb005bdd244f616d094e71ba6c3a8_FORMATO.png",91260,6,"SAO","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Anderson Vieira de Oliveira","Sinho","https://s.glbimg.com/es/sde/f/2016/05/01/10b258e31e55c2556e5fba4d2ecd5ae5_FORMATO.png",91387,6,"SPO","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Adryelson Shawann Lima Silva","Adryelson","https://s.glbimg.com/es/sde/f/2016/05/01/486323894355978b9458b0d2217d92bf_FORMATO.png",91664,6,"SPO","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","Marciel Silva da Silva","Marciel","https://s.glbimg.com/es/sde/f/2016/04/29/fe41e6320c63045376a7254afe774d06_FORMATO.png",91714,6,"CRU","mei","Nulo",0,2.48,0,0.6,1,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635"," João Pedro Heinen Silva","João Pedro","https://s.glbimg.com/es/sde/f/2016/04/26/2bd76d163ae9eb94cd86282749895a79_FORMATO.png",91687,6,"ATL","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Jacsson Antônio Wichnovski","Jacsson","https://s.glbimg.com/es/sde/f/2016/05/30/e2893da2338403ab9443530bd37a4a19_FORMATO.png",91710,6,"INT","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","Diego Ferreira Matheus","Diego","https://s.glbimg.com/es/sde/f/2016/05/20/765fe7f46128eaa6c091ab1929141074_FORMATO.png",91783,6,"BOT","lat","Dúvida",4.8,3.64,0.91,3.15,2,NA,2,NA,3,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Adniellyson da Silva Oliveira","Silva","https://s.glbimg.com/es/sde/f/2016/04/30/391ddcd13c6100152201590a5c2e2157_FORMATO.png",91917,6,"INT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Caíque França Godoy","Caíque França","https://s.glbimg.com/es/sde/f/2016/04/28/4b89134138fb6ba402a44141ed432198_FORMATO.png",91808,6,"COR","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Ygor Nogueira de Paula","Ygor Nogueira","https://s.glbimg.com/es/sde/f/2016/05/30/7475a33329d212b5519734b354c01a71_FORMATO.png",91815,6,"FLU","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2015/05/09/0ad86f83590d595cc055c3696c0c0fc6_FORMATO.jpeg",91916,6,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Wesley Natã Wachholz","Wesley Natã","https://s.glbimg.com/es/sde/f/2016/05/13/8653785c7505502ef7563836f577017a_FORMATO.png",91743,6,"CHA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Henrique de Souza Trevisan","Henrique Trevisan","https://s.glbimg.com/es/sde/f/2016/04/29/09ee3a91f794b4b7e9a81b639d7f1d88_FORMATO.png",91920,6,"FIG","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Leonardo Costa Silva","Léo Tilica","https://s.glbimg.com/es/sde/f/2016/04/27/745d719537dc8e862154a91ac8599e3c_FORMATO.jpeg",92617,6,"GRE","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Eriks de Souza Santos Pereira","Eriks","https://s.glbimg.com/es/sde/f/2015/05/29/5e6791e87bdd3d77ac02e6c9a2114272_FORMATO.jpeg",91946,6,"INT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Rafael da Silva Santos","Rafael Silva","https://s.glbimg.com/es/sde/f/2016/04/29/b8bcd5c46039f6093093bc2bcc03d08d_FORMATO.png",86725,6,"CRU","ata","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Gabriel Pereira da Silva","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/0af286aa902954239098c9fb8e79b885_FORMATO.png",91950,6,"VIT","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Christian Sávio Machado","Christian Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/01f735a126510bb7577f5c20f3873cfe_FORMATO.png",91928,6,"AME","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Wallace Lucas Aires da Silva","Wallace","https://s.glbimg.com/es/sde/f/2016/05/01/ed088654406f3682c5c4ea8dbaae2b52_FORMATO.png",92078,6,"SPO","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Richarlison Andrade","Richarlison ","https://s.glbimg.com/es/sde/f/2016/04/29/f6f08e1efa5ce7033db704164ac007f7_FORMATO.png",92081,6,"FLU","ata","Provável",0.4,6.62,-0.41,1.88,6,1,3,1,13,10,3,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA
"651","Giovanny Bariani Marques","Giovanny ","https://s.glbimg.com/es/sde/f/2016/05/13/9790ff844c24e1b895c9c8d06f9d55e4_FORMATO.png",92085,6,"ATL","mei","Nulo",1.1,3.21,-0.52,3.1,2,NA,1,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Lyanco Evangelista Silveira Neves Vojnovic","Lyanco","https://s.glbimg.com/es/sde/f/2016/05/01/5ff95e8dd4eef153e5d1bce5bb2a1604_FORMATO.png",92087,6,"SAO","zag","Contundido",0,6.54,0,5.9,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Evandro da Silva","Evandro","https://s.glbimg.com/es/sde/f/2016/04/28/f4be3bbf0db58f8be3c1ad86131a5b98_FORMATO.png",92192,6,"COR","ata","Nulo",0,2.02,0,1.7,1,NA,1,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Lucas Gonçalves Reis Santos","Lucas Rex","https://s.glbimg.com/es/sde/f/2016/04/27/b27a6937e76ed725481807462380bd42_FORMATO.jpeg",86745,6,"GRE","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Diogo Vitor da Cruz","Diogo Vitor","https://s.glbimg.com/es/sde/f/2015/07/22/1b18748d90222e69dae756312fdfe217_FORMATO.jpeg",92094,6,"SAN","lat","Nulo",5.4,4.02,2.02,5.4,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"656","Caíque Luiz Santos da Purificação","Caíque","https://s.glbimg.com/es/sde/f/2016/05/01/c7b717acd560b03be08e7af47aaa0cf9_FORMATO.png",92207,6,"VIT","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","Luis Henrique Farinhas Taffner","Luis Henrique","https://s.glbimg.com/es/sde/f/2016/05/20/4e05ecd1467a76bcc7f07366a16582ff_FORMATO.png",92128,6,"BOT","ata","Contundido",0,6.24,0,-1.5,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","Hyago de Medeiros Engelmann","Hyago","https://s.glbimg.com/es/sde/f/2016/04/29/54702ccae5d017374d3ce636f1ae5add_FORMATO.png",92145,6,"FIG","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","Everton Sousa Soares","Everton","https://s.glbimg.com/es/sde/f/2016/04/30/58142c7fcee7f7bbfc6d8a343b2a103f_FORMATO.png",86757,6,"GRE","ata","Provável",5,5.76,0.9,3.18,6,NA,7,6,11,14,3,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"660","José Carlos Ferreira Junior","Juninho","https://s.glbimg.com/es/sde/f/2016/04/28/58bdc19e4d52c4fafcf8c5c4d1919ad2_FORMATO.png",92182,6,"COR","zag","Provável",-1.7,13.29,-2.96,4.67,6,1,7,2,5,16,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Thiago Ferreira Lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2016/04/28/b117d90d6a1e0614fa67d04f3e306c0c_FORMATO.png",92225,6,"COR","mei","Nulo",-0.3,3.48,-0.46,0.97,6,NA,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Matheus Antonio Souza dos Santos","Matheus Pato","https://s.glbimg.com/es/sde/f/2015/08/12/8892e98d71d0fc38c1aeb55c78a8c28c_FORMATO.jpeg",92290,6,"FLU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Ravanelli Ferreira dos Santos","Ravanelli","https://s.glbimg.com/es/sde/f/2016/05/01/7f36b1972a4a471d650cea3bce5c3544_FORMATO.png",92193,6,"PON","mei","Nulo",0,7.88,0,3.1,4,1,4,3,6,9,5,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA
"664","Bruno Viana Willemen da Silva","Bruno Viana","https://s.glbimg.com/es/sde/f/2016/04/28/5e8c21e4fe26c6bb8c148b2ae722699d_FORMATO.png",92291,6,"CRU","zag","Provável",-0.6,1.85,-0.96,1.06,5,2,2,1,NA,13,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","Douglas Augusto Soares Gomes","Douglas","https://s.glbimg.com/es/sde/f/2016/04/29/8612e800a41c6399f2e6910886f19110_FORMATO.png",92497,6,"FLU","mei","Provável",6.9,6.37,1.52,5.8,3,1,9,1,2,5,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"666","Luan Guilherme de Jesus Vieira","Luan","https://s.glbimg.com/es/sde/f/2016/04/30/48dd7ee31224c5846fad2dbe7a73178c_FORMATO.png",86759,6,"GRE","ata","Suspenso",6.9,18.88,0.61,8.93,6,3,10,6,17,27,10,4,NA,3,NA,NA,1,NA,1,1,NA,NA,NA
"667","Matheus Phillipe Coutinho Gomes","Matheus Phillipe","https://s.glbimg.com/es/sde/f/2016/04/29/92c915db9d214a7b498d2733568b14c2_FORMATO.png",92438,6,"FLU","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Rafael Dumas Ribeiro","Rafael Dumas","https://s.glbimg.com/es/sde/f/2016/04/20/331eaf8147e2a2a768cb57a9a9813023_FORMATO.png",92500,6,"FLA","zag","Provável",0,0.8,0,0.1,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Matheus dos Santos Batista","Batista","https://s.glbimg.com/es/sde/f/2016/04/30/89e0d630df160e2b31dc716d1ffa3c2d_FORMATO.png",92504,6,"GRE","ata","Nulo",1,1.02,0.02,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Lucas Lovat","Lucas Lovat","https://s.glbimg.com/es/sde/f/2015/10/28/e97fac1629b8f139237262738c2e9dcd_FORMATO.jpeg",92501,6,"GRE","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Kaio Silva Mendes","Kaio","https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_FORMATO.png",92574,6,"GRE","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Claudio Luiz Rodrigues Parise Leonel","Claudinho","https://s.glbimg.com/es/sde/f/2016/04/28/db405525f79f032b30d2fa1330bc5a3f_FORMATO.png",92630,6,"COR","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Kauê da Silva","Kauê","https://s.glbimg.com/es/sde/f/2016/05/01/df7c0360c8ab89632b37753d84417a45_FORMATO.jpeg",92623,6,"PAL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Rafaelson Bezerra Fernandes","Rafaelson","https://s.glbimg.com/es/sde/f/2016/05/01/76126c4ff37910430233fdce362777d0_FORMATO.png",92614,6,"VIT","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","José Marcílio Martins da Silva ","Marcílio","https://s.glbimg.com/es/sde/f/2016/05/01/773e6d075f97446aaa6713cadcb1214a_FORMATO.png",92518,6,"STC","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Matheus Oliveira de Souza","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/419d98d3e2a1e376088fe003f6cd7124_FORMATO.png",92661,6,"INT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Matheus Trindade Gonçalves","Trindade","https://s.glbimg.com/es/sde/f/2016/04/20/96cce04406801b8a2fd453be35779c55_FORMATO.png",92631,6,"FLA","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","Denilson dos Santos de Souza","Denilson","https://s.glbimg.com/es/sde/f/2016/04/27/55f997db71077c856623d4b6b24af096_FORMATO.jpeg",92662,6,"GRE","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Wesley Craudio Campos","Wesley","https://s.glbimg.com/es/sde/f/2016/04/30/d68c8e98a54d687d2ecdd392d9fb6f62_FORMATO.png",92618,6,"GRE","lat","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Sergio Agostinho de Oliveira Vieira","Sergio Vieira",NA,92837,6,"AME","tec","Provável",0,6.71,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Bruno Henrique Baio da Cunha","Bruno Baio","https://s.glbimg.com/es/sde/f/2016/04/30/275cee1c723b9cceb20ae481de7576d3_FORMATO.png",92764,6,"INT","ata","Nulo",0,1.31,0,-0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"682","Murilo Henrique Oliveira Santos","Murilo","https://s.glbimg.com/es/sde/f/2016/05/01/98decdad61a70e6a6bafcdcc0d9de4e8_FORMATO.png",92663,6,"SAO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Fernando Medeiros","Fernando Medeiros","https://s.glbimg.com/es/sde/f/2016/05/01/834fe463de30d72d6e401c844feb7092_FORMATO.png",92841,6,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Alex Leonardo Bolaño Reascos","Alex Bolaño","https://s.glbimg.com/es/sde/f/2016/05/27/6d67008a2568b9817d2674870a6fb061_FORMATO.jpeg",92850,6,"STC","mei","Provável",0,3.64,0,2.7,2,NA,1,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Bruno Rafael Rodrigues do Nascimento","Bruno Rodrigues","https://s.glbimg.com/es/sde/f/2016/04/26/82136cdf105e3a392a1e3f8509d4e0d4_FORMATO.jpeg",92811,6,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2016/05/01/34831256992fc14506e63c0ef90d673a_FORMATO.png",93146,6,"VIT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Ronaldo da Silva Souza","Ronaldo","https://s.glbimg.com/es/sde/f/2016/04/20/2a554728394f1684ee7952e88936bbc4_FORMATO.png",92981,6,"FLA","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Felipe Tontini da Silveira","Tontini","https://s.glbimg.com/es/sde/f/2016/04/30/a46c129afe79570472c320e05f2714b6_FORMATO.png",93152,6,"GRE","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","Thiago Nascimento dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2016/04/20/9dde03b8c7fb0afd5732393740be4306_FORMATO.png",93151,6,"FLA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Eriélton Carlos Pacheco","Pachequinho",NA,93153,6,"COR","tec","Provável",1.95,6.9,-0.93,1.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Lucas Veríssimo da Silva","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2016/05/01/cc19b9e55d163ff47e693633d0443a0d_FORMATO.png",93368,6,"SAN","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Rafael Oller Pereira","Rafael Oller",NA,95619,6,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Augusto de Souza Silva","Augusto","https://s.glbimg.com/es/sde/f/2016/05/01/956f8c7210c70087792d97d2e527d60c_FORMATO.png",93378,6,"PAL","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Andrei Alba","Andrei","https://s.glbimg.com/es/sde/f/2016/04/27/2596d4746edbed226b3597a2391f7c23_FORMATO.png",94004,6,"CHA","mei","Nulo",-0.9,2.07,-0.93,-0.9,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Mauro Joel Carli","Joel Carli","https://s.glbimg.com/es/sde/f/2016/05/20/6a298f9b1dd5a88146f9f926e4b91a1b_FORMATO.png",93414,6,"BOT","zag","Contundido",0,6.67,0,1.1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Wesley Pionteck Souza","Wesley Souza","https://s.glbimg.com/es/sde/f/2016/04/28/6343f9411df1ae28d796304142d3e73a_FORMATO.jpeg",93376,6,"SAN","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Diego Martín Alaníz Ávila","Martín Alaníz","https://s.glbimg.com/es/sde/f/2016/04/27/042d0503340a798e9066221b1fe16acb_FORMATO.png",93566,6,"CHA","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Gervasio Daniel Núñez","Gervasio Núñez","https://s.glbimg.com/es/sde/f/2016/05/20/f3f94ef0c4f0873bd1f6a82953360998_FORMATO.png",93697,6,"BOT","mei","Nulo",1.1,3.05,0.06,0.63,3,NA,1,1,1,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","Francisco Ítalo Mascena Borges","Ítalo Borges","https://s.glbimg.com/es/sde/f/2016/05/01/8f6a85035f55a16f5af640a40b458af9_FORMATO.png",93733,6,"STC","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Matheus Fernandes de Brito Cabral","Matheus Cabral","https://s.glbimg.com/es/sde/f/2016/04/27/ba9ba2b24a93b55ce1dcd5fe204c4b60_FORMATO.png",93795,6,"BOT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Márcio Almeida de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2016/05/20/f750960ead90efa047c243b4b6b090cc_FORMATO.png",93797,6,"BOT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Daniel Sampaio Simões","Danielzinho","https://s.glbimg.com/es/sde/f/2016/04/29/8b1e3dc9185048c52bee9ac7faa1d27f_FORMATO.png",93791,6,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Marlon Rodrigues Freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2016/04/29/cfce25280f9e71de54a5d5d03d8db439_FORMATO.png",93790,6,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Maicon da Silva Moreira","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/73eb2f3c2116883ae2fab5c16f675916_FORMATO.png",93804,6,"SPO","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Domilson Cordeiro dos Santos","Dodô","https://s.glbimg.com/es/sde/f/2016/05/09/0f1b6534c01aff71e739f5cac6bb3053_FORMATO.jpeg",94985,6,"COR","lat","Provável",4.4,12.29,0.24,5.02,5,1,2,NA,7,15,8,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA
"706","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png",93746,6,"SPO","ata","Nulo",-0.5,5.33,-0.53,-0.4,5,NA,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"707","Matheus Vinicius Matos Nogueira","Matheus Nogueira","https://s.glbimg.com/es/sde/f/2016/04/27/78ec1e03838620b307a5b86148c2cb22_FORMATO.jpeg",95121,6,"GRE","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Yago César da Silva","Yago","https://s.glbimg.com/es/sde/f/2016/05/13/63ec665d8c94605033bc8a7f765d373e_FORMATO.png",95126,6,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Keiller da Silva Nunes","Keiller","https://s.glbimg.com/es/sde/f/2016/04/30/27a59f8c22b27ce18864677f39ede22a_FORMATO.png",93834,6,"INT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2016/05/13/3ed8feee46309c431569eaf3d3deff10_FORMATO.png",95127,6,"ATL","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2016/05/09/47077cf4073dc5319b8e49c87010479b_FORMATO.jpeg",95023,6,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","Kaike Silva Mendes","Kaike","https://s.glbimg.com/es/sde/f/2016/04/30/eda437dba946f4c78406fdb01f3c70a5_FORMATO.png",93835,6,"INT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
