"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","RB","SG","FC","CA","DD","GS","FF","FD","I","G","A","CV","PP","FT","DP"
"36","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,1,277,"mei","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,1,264,"mei","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,1,282,"zag","Provável",0,8.38,5.38,8.4,1,NA,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,1,315,"mei","Provável",0,3.6,-3.4,-2.1,1,3,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,1,276,"zag","Nulo",0,11.03,1.03,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2016/05/09/12665443037abe696b9b0e8b793b4b9d_FORMATO.png",39152,1,327,"lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,1,275,"gol","Provável",0,18.9,-2.1,4.7,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/04/29/051e0c1a969576b42a581ea11d406bfb_FORMATO.png",38162,1,266,"ata","Provável",0,24.27,-2.73,6,1,1,4,NA,NA,2,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA
"44","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,1,263,"gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,1,284,"mei","Provável",0,7.87,-0.13,2.7,1,2,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,1,282,"ata","Contundido",0,26,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/05/02/5f7bfa11c186ee13301ee12bd7f34f0f_FORMATO.jpeg",38287,1,303,"ata","Nulo",0,6.03,-0.97,1.2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,1,344,"ata","Provável",0,19.63,4.63,11.7,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA
"49","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,1,303,"ata","Provável",0,10,-2,1.6,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"50","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,1,285,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,1,262,"mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,1,293,"zag","Provável",0,7.65,-2.35,0.4,1,NA,5,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"53","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,1,303,"zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,1,303,"mei","Nulo",0,4.93,-0.07,1.7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,1,327,"gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,1,275,"mei","Provável",0,19.27,2.27,9.2,1,1,5,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"57","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,1,284,"ata","Provável",0,4.93,-1.07,0.7,1,NA,3,2,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"58","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2016/03/30/1e23309484b2e698bf8b6d26b0249210_FORMATO.png",89815,1,285,"mei","Nulo",0,2.94,-1.06,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,1,316,"zag","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,1,266,"gol","Provável",0,9.34,4.34,7.7,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,1,266,"mei","Provável",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/05/20/eeb7e05e53591c540ca7736a40700ac0_FORMATO.jpeg",38523,1,284,"lat","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,1,276,"lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,1,285,"mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,1,292,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,1,292,"zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,1,284,"mei","Nulo",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2016/05/01/49909c7b610545598b92f0e07bdee08e_FORMATO.png",38908,1,277,"mei","Provável",0,12.35,-0.65,3.8,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,1,285,"mei","Contundido",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,1,327,"mei","Provável",0,3.53,-0.47,0.8,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/01/65ba6d104f9bf5f59b41bf5d109d9d3f_FORMATO.png",38957,1,275,"ata","Nulo",0,8.6,1.6,4.7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"72","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,1,277,"ata","Contundido",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2016/05/01/96e491504eed845c49686d39f3ce056b_FORMATO.png",39850,1,287,"tec","Provável",0,1.67,-0.33,0.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2016/04/29/ae267a00ae891c3954a903d5883dd354_FORMATO.png",40025,1,266,"tec","Provável",0,12.17,1.17,5.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2016/04/28/3d30ea7a106ec16adcd2d114cd81b8ef_FORMATO.png",40179,1,294,"ata","Provável",0,21.03,-2.97,4.6,1,2,2,NA,NA,5,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"76","Givanildo José de Oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/09/ae39e06fa42f6f7a31f44ec51a81fba6_FORMATO.png",39431,1,327,"tec","Provável",0,4.49,1.49,3.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,1,292,"gol","Provável",0,6.62,1.62,4,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2016/05/02/7c83e1833235983b8ce68b95d5c5ca75_FORMATO.png",40990,1,277,"tec","Provável",0,9.53,-1.47,1.96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Ricardo Gomes Raymundo","Ricardo Gomes","https://s.glbimg.com/es/sde/f/2016/05/20/abd6333e556c4d7cfa59ff0cdab8378b_FORMATO.png",41273,1,263,"tec","Provável",0,4.79,-0.21,1.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2016/04/29/ebeec9645240ab968fdbbb15f61f93e6_FORMATO.png",42116,1,283,"ata","Provável",0,16.25,-1.75,4.1,1,5,1,1,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA
"81","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2016/05/01/208f53e7054acabd7a229fe523f020bf_FORMATO.png",42145,1,275,"lat","Provável",0,20.37,0.37,7.7,1,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2016/04/28/8d0f1d77fad8f00513e096df10da46e2_FORMATO.png",42234,1,264,"gol","Nulo",0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2016/04/30/2d7884d092837e8a2431feb597c5649c_FORMATO.png",42213,1,285,"mei","Provável",0,12.28,-0.72,3.7,1,3,4,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"84","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2016/05/09/ebb1dc3dea737d824b387593ac26e716_FORMATO.jpeg",42232,1,294,"mei","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Danny Bittencourt Morais","Danny Morais","https://s.glbimg.com/es/sde/f/2016/05/01/d58fc02548731386b20009a3a1d294ef_FORMATO.png",42247,1,344,"zag","Provável",0,2.13,-2.87,-2.1,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
