"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"1","Alípio Duarte Brandão","Alípio","https://s.glbimg.com/es/sde/f/2016/05/01/d905a98c54e7ee4f247ea6a6cbc68abf_FORMATO.png",91100,20,"VIT","mei","Contundido",0,3.07,0,0.7,7,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,20,"PAL","mei","Provável",0,8.51,0,2.45,14,NA
"3","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,20,"FLU","ata","Nulo",0,5.43,0,1.94,12,NA
"4","Jesiel Cardoso Miranda","Jesiel","https://s.glbimg.com/es/sde/f/2016/07/07/662e33c5a306b0a8d2cfd35073f8ade8_FORMATO.png",91156,20,"ATL","zag","Nulo",0,2,0,0,0,NA
"5","Matheus Gonçalves Sávio","Matheus Sávio","https://s.glbimg.com/es/sde/f/2016/04/20/042079613fc2db314e0a12801f8eb3c8_FORMATO.png",91264,20,"FLA","ata","Nulo",0,2,0,0,0,NA
"6","Thiago Rodrigues da Silva","Thiago","https://s.glbimg.com/es/sde/f/2016/07/07/8a0bd32115a870cbfff66f8eda2276fc_FORMATO.jpeg",91194,20,"FLA","gol","Nulo",0,1,0,0,0,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,20,"FLA","zag","Contundido",0,11.91,0,3.35,6,NA
"8","Lucas Estella Perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2016/05/01/33edb005bdd244f616d094e71ba6c3a8_FORMATO.png",91260,20,"SAO","gol","Nulo",0,1,0,0,0,NA
"9","Flávio Medeiros da Silva","Flávio","https://s.glbimg.com/es/sde/f/2016/05/01/593d8fa3c0ada5c40f4e24749bd871d9_FORMATO.png",91102,20,"VIT","mei","Nulo",0,4.13,2.75,1.93,8,NA
"10","Ronaldo de Oliveira Strada","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/d60da59a4893b68e69302b4ad87a3187_FORMATO.png",91101,20,"VIT","gol","Nulo",0,1,0,0,0,NA
"11","Dierson Júnior Kuhn","Dierson","https://s.glbimg.com/es/sde/f/2016/05/20/933442bb56211b4777e5912e82f6fa40_FORMATO.png",91222,20,"BOT","mei","Nulo",0,2.93,0,2.2,1,NA
