"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"349","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2016/04/26/334b3b9b8036a87dfc2b71286be6e15e_FORMATO.png",79042,19,"ATL","zag","Nulo",0,10.03,0,4.42,5,NA,NA,NA,4,3,NA,18,1,NA,NA,2,1,8,NA,NA,NA,NA,NA
"350","Elisson Aparecido Rosa","Elisson","https://s.glbimg.com/es/sde/f/2016/05/25/3554792f7d6370422f0d6500155cbe09_FORMATO.jpeg",79048,19,"CRU","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Renato Augusto Santos Junior","Renato","https://s.glbimg.com/es/sde/f/2016/07/13/bd54216efc31c2f3e48e38ae68a2b107_FORMATO.png",80576,19,"FIG","mei","Contundido",0,3.32,0,-0.95,2,1,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"352","Marcos Garbellotto Pedroso","Marquinhos Pedroso","https://s.glbimg.com/es/sde/f/2016/04/29/37de3a15f91ef726f1204ad48c4d31c4_FORMATO.png",80552,19,"FIG","lat","Nulo",-0.4,7.54,-0.91,2.57,16,4,NA,NA,38,23,NA,46,5,2,1,3,NA,19,NA,NA,NA,NA,NA
"353","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2016/08/02/3d517c1c2d45c31bf57594fe18f27380_FORMATO.jpeg",80537,19,"AME","ata","Provável",3.2,3.04,0.9,0.88,4,NA,NA,NA,3,2,NA,7,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA
"354","Jucimar Lima Pacheco","Abuda","https://s.glbimg.com/es/sde/f/2012/06/04/d7536aa57941727104b2e0763a462d9b_FORMATO.jpeg",79193,19,"PON","mei","Provável",-0.4,2.25,-0.75,-0.4,1,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"355","Rodrigo Luis Ramallo Cornejo","Rodrigo Ramallo","https://s.glbimg.com/es/sde/f/2015/10/08/9cd53013924c3978fcb2f6b9aa9fb4a4_FORMATO.jpeg",79170,19,"VIT","ata","Nulo",0,1.86,0,-0.7,2,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Nery Bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2016/07/08/ea216cdd248ee475633584202148f7bf_FORMATO.png",79276,19,"COR","zag","Provável",0.1,2.8,-0.71,2.67,3,NA,NA,NA,2,1,NA,3,1,NA,NA,2,1,NA,NA,NA,1,NA,NA
"357","Roger Machado Marques","Roger Machado ","https://s.glbimg.com/es/sde/f/2016/04/30/fc8bf97ea73c1e25340aab3eea55ab35_FORMATO.png",79437,19,"GRE","tec","Provável",0,14.87,0,4.34,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Lucas Rafael Araujo Lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2016/05/01/99227d881a9f127bce3c284290295f02_FORMATO.png",80583,19,"SAN","mei","Suspenso",-4.3,15.24,-1.1,2.33,10,3,NA,NA,16,25,NA,53,NA,1,4,6,1,10,2,1,NA,NA,NA
