"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"1","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,19,"STC","gol","Provável",5.5,8.36,0.45,3.23,19,2,28,2,1,3,26,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,19,"ATL","zag","Provável",1.1,3.84,-0.94,4.35,11,2,NA,NA,7,7,NA,25,5,1,1,3,2,6,NA,NA,NA,NA,NA
"3","Celso Juarez Roth","Celso Roth","https://s.glbimg.com/es/sde/f/2010/11/18/8873abde4ad46200c20910f77ff5fb28_FORMATO.jpeg",36856,19,"INT","tec","Provável",0,9.27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,19,"PAL","mei","Suspenso",-1,8.51,-0.86,2.45,14,3,NA,NA,20,19,NA,21,NA,1,NA,1,NA,25,2,NA,NA,NA,NA
"5","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/07/21/cdcdb202564ba02337983b1f8f71cafb_FORMATO.png",36940,19,"SPO","tec","Provável",1.82,8.45,0.25,3.02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,19,"ATL","tec","Provável",1.02,7.08,-0.57,3.23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,19,"FLA","zag","Contundido",0,11.91,0,3.35,6,1,NA,NA,1,2,NA,8,2,NA,NA,3,NA,7,NA,NA,NA,NA,NA
"8","Luiz Carlos de Oliveira Preto","Pintado",NA,37424,19,"SAO","tec","Nulo",3.37,12.3,0.23,3.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,19,"SAO","mei","Nulo",0,10.91,0,0.27,9,1,NA,NA,7,2,NA,29,NA,1,6,6,NA,2,6,NA,NA,NA,NA
"10","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,19,"FLU","ata","Nulo",0,5.43,0,1.94,12,NA,NA,NA,4,6,NA,17,NA,1,4,4,1,3,2,1,NA,NA,NA
"11","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,19,"CRU","tec","Provável",3.11,7.43,0.1,3.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,19,"VIT","ata","Contundido",0,7.27,0,1.64,16,3,NA,NA,15,28,NA,43,NA,NA,14,17,NA,7,5,1,NA,NA,NA
"13","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,19,"GRE","ata","Nulo",0,5.33,0,1.8,9,1,NA,NA,5,2,NA,5,NA,1,3,4,1,2,2,NA,NA,NA,NA
"14","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,19,"FIG","ata","Provável",0,11.21,0,3.58,14,3,NA,NA,28,20,NA,37,NA,NA,11,14,6,5,16,2,1,NA,NA
"15","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,19,"FIG","mei","Provável",7.1,7.05,0.2,5.88,4,1,NA,NA,7,14,NA,6,NA,2,NA,1,1,3,NA,NA,NA,NA,NA
"16","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,19,"COR","mei","Nulo",0,2.88,0,1.94,5,3,NA,NA,5,NA,NA,15,NA,1,1,2,NA,9,NA,NA,NA,NA,NA
"17","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/07/13/3c80bd862910177950643eb218b40870_FORMATO.png",37701,19,"STC","lat","Provável",2.4,8.21,-0.33,3.19,15,2,NA,NA,9,12,NA,52,4,2,2,NA,NA,20,NA,NA,NA,NA,NA
"18","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,19,"COR","mei","Provável",16.4,18.35,2.65,5.69,13,NA,NA,NA,11,33,NA,47,NA,4,6,10,1,23,3,1,1,NA,NA
"19","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,19,"CHA","gol","Nulo",0,1.12,0,-0.18,5,NA,6,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,19,"CRU","gol","Provável",0,7.89,0,0.56,18,3,24,NA,2,1,31,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,19,"PAL","ata","Suspenso",0,6.48,0,1.05,6,NA,NA,NA,8,2,NA,8,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA
"22","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,19,"CRU","mei","Provável",2,9.74,-0.57,3.9,16,2,NA,NA,19,26,NA,48,NA,NA,3,5,1,37,NA,NA,NA,NA,NA
"23","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,19,"FLU","lat","Contundido",0,9.26,0,2.9,11,2,NA,NA,6,6,NA,30,5,NA,1,1,NA,11,1,NA,NA,NA,NA
"24","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,19,"PAL","mei","Nulo",0,6.05,0,-1.4,1,1,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"25","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/07/07/95225c9c5fb74d165133768a0c788621_FORMATO.png",37790,19,"INT","lat","Nulo",0,5.5,0,2.12,6,NA,NA,NA,3,5,NA,20,2,NA,NA,2,NA,4,1,NA,NA,NA,NA
"26","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2016/07/07/59e04fe0887237e428903b15b4519ccd_FORMATO.png",37851,19,"ATL","mei","Provável",8.3,10.2,1.61,4.33,6,1,NA,NA,8,7,NA,15,NA,NA,2,2,2,8,NA,NA,NA,NA,NA
"27","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,19,"SAO","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,19,"GRE","gol","Provável",0,13.72,0,4.12,15,2,17,NA,NA,2,14,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,19,"FLU","mei","Provável",5.4,9.87,-0.88,3.26,17,5,NA,NA,27,34,NA,58,NA,1,7,14,5,15,9,NA,NA,1,NA
"30","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,19,"PAL","gol","Contundido",0,14.83,0,2.97,15,1,16,NA,NA,2,14,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Danilo Leandro Dias","Danilo Dias",NA,37894,19,"AME","ata","Dúvida",0,3.28,0,0.2,1,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"32","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,19,"PON","mei","Nulo",0,4.05,0,0.34,9,2,NA,NA,8,8,NA,13,NA,NA,1,2,NA,3,NA,1,NA,NA,NA
"33","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,19,"PAL","zag","Contundido",0,4.49,0,2.44,10,3,NA,NA,15,10,NA,16,4,NA,3,3,NA,8,2,NA,NA,NA,NA
"34","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/07/07/b6a64e9dceecd9ffec83258abb8067f4_FORMATO.png",37792,19,"COR","mei","Provável",0.4,2.36,-0.31,1.52,13,4,NA,NA,26,11,NA,32,NA,1,2,8,NA,19,NA,NA,NA,NA,NA
"35","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,19,"CRU","ata","Provável",9,17.95,-1.52,8.88,6,2,NA,NA,2,9,NA,17,NA,1,9,11,3,6,1,1,NA,NA,NA
"36","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,19,"SAN","mei","Nulo",0,5.4,0,-0.35,4,NA,NA,NA,3,1,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"37","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/17/9b0b5790f058efc782c5b548946075bf_FORMATO.png",38162,19,"ATL","ata","Provável",1.7,18.85,-0.24,4.07,18,2,NA,NA,38,35,NA,54,NA,4,6,14,7,8,11,NA,1,NA,NA
"38","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,19,"PON","ata","Nulo",0,4.85,-0.07,0.34,13,3,NA,NA,14,10,NA,18,NA,NA,3,7,1,2,3,NA,NA,NA,NA
"39","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/07/08/38e8f580ae4e3bf9d8a96fb05a05cf25_FORMATO.png",38287,19,"PON","ata","Nulo",0.7,6.41,-1.46,3.42,14,2,NA,NA,10,8,NA,19,NA,3,7,10,2,8,7,1,NA,NA,NA
"40","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,19,"INT","mei","Provável",0,4.97,0,1.66,11,3,NA,NA,11,8,NA,17,NA,2,4,6,1,6,1,NA,1,NA,NA
"41","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2016/07/13/b976295943670eb1a5e506d9381bc658_FORMATO.png",38421,19,"CRU","mei","Nulo",5,7,1.33,0.08,5,1,NA,NA,4,3,NA,12,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA
"42","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,19,"GRE","mei","Provável",0,7.66,0,1.86,12,4,NA,NA,23,20,NA,60,NA,1,5,1,NA,23,NA,NA,NA,NA,NA
"43","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,19,"ATL","zag","Provável",-0.8,8.11,-1.2,3.34,16,1,NA,NA,9,11,NA,40,7,NA,2,4,1,11,NA,NA,NA,NA,NA
"44","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,19,"AME","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2016/07/07/4a75d0c2bc8cc75be5d9e1085a0d5f95_FORMATO.png",38229,19,"ATL","lat","Provável",5.8,8.58,0.65,5.63,4,NA,NA,NA,4,2,NA,8,2,1,NA,1,NA,6,NA,NA,NA,NA,NA
"46","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,19,"ATL","ata","Provável",8.2,22.19,1.68,5.24,15,2,NA,NA,22,17,NA,54,NA,4,6,5,8,9,15,NA,NA,NA,NA
"47","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,19,"STC","ata","Provável",-1.4,20.42,-0.17,3.46,16,4,NA,NA,45,29,NA,30,NA,1,11,9,8,3,15,NA,NA,1,NA
"48","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,19,"PON","zag","Provável",-1.6,6.15,-1.44,2.98,15,4,NA,NA,16,17,NA,22,3,NA,1,5,1,19,2,NA,NA,NA,NA
"49","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,19,"FLA","mei","Provável",1.6,10.01,-0.77,3.37,18,1,NA,NA,20,24,NA,36,NA,NA,1,1,NA,41,NA,NA,NA,NA,NA
"50","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,19,"FLU","mei","Nulo",0,7.89,0,2.46,5,1,NA,NA,13,4,NA,11,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA
"51","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,19,"SAO","lat","Nulo",0,4.41,0,0.84,5,2,NA,NA,6,3,NA,7,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"52","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,19,"SPO","mei","Provável",0.1,1.92,-0.45,0.9,12,1,NA,NA,9,4,NA,12,NA,NA,2,3,NA,9,1,NA,NA,NA,NA
"53","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,19,"INT","mei","Nulo",0,4.5,0,1.45,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"54","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,19,"PAL","mei","Dúvida",9,15.51,1.89,3.22,16,1,NA,NA,16,9,NA,53,NA,5,4,3,3,11,2,NA,NA,NA,NA
"55","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,19,"AME","ata","Nulo",0,4.38,0,1.45,10,1,NA,NA,4,7,NA,11,NA,NA,3,7,1,2,2,NA,NA,NA,NA
"56","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2015/10/27/73b2f36e3fcfea31f9a437258438de26_FORMATO.jpeg",37984,19,"PON","gol","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2016/07/13/418cbe11ebed1298c1077cb200a3f624_FORMATO.png",38021,19,"PON","mei","Provável",0,6.47,0,2.15,4,3,NA,NA,7,9,NA,4,NA,NA,1,1,1,3,NA,NA,NA,NA,NA
"58","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,19,"ATL","zag","Nulo",0,9.61,0,3.5,4,1,NA,NA,5,5,NA,11,1,NA,NA,1,NA,8,NA,NA,NA,NA,NA
"59","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,19,"FIG","zag","Provável",-0.9,4.96,-1.13,2.77,9,1,NA,NA,9,4,NA,14,5,NA,NA,1,NA,5,1,NA,NA,NA,NA
"60","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,19,"CHA","mei","Provável",7.1,6.05,1.43,2.22,18,4,NA,NA,24,20,NA,48,NA,3,6,6,NA,23,NA,NA,NA,NA,NA
"61","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,19,"FLU","gol","Provável",-1,9.86,-1.89,3.94,18,NA,23,NA,NA,NA,18,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/06/06/fff1e2f2c5b5ab7d1955d4863ec54bf3_FORMATO.png",38523,19,"GRE","lat","Nulo",0,10.99,0,4.25,15,5,NA,NA,29,23,NA,81,7,1,6,6,1,26,NA,1,1,NA,NA
"63","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,19,"SAO","zag","Provável",0,10.17,0,1.91,12,5,NA,NA,11,5,NA,33,4,NA,NA,4,2,8,3,NA,1,NA,NA
"64","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,19,"COR","mei","Contundido",0,7.09,0,1.88,6,NA,NA,NA,3,6,NA,12,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA
"65","Denilson Pereira Neves","Denilson","https://s.glbimg.com/es/sde/f/2016/07/23/bdc783a5b428b81232a74d3e69fd5080_FORMATO.png",38064,19,"CRU","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,19,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2016/05/01/fe8756f5b1dadb24e5633729b39e9486_FORMATO.png",63058,19,"VIT","mei","Provável",5.5,7.45,0.47,2.93,16,4,NA,NA,22,21,NA,43,NA,1,1,4,NA,35,NA,NA,NA,NA,NA
"68","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,19,"SPO","zag","Nulo",0,6.22,0,0.74,14,3,NA,NA,17,6,NA,53,2,NA,1,NA,NA,16,1,NA,NA,NA,NA
"69","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2016/07/12/1b4b7007c63127dcc555c3aefa334731_FORMATO.png",63000,19,"VIT","zag","Suspenso",-0.2,7.9,0.66,2.3,17,6,NA,NA,32,12,NA,36,2,1,4,3,1,32,1,NA,1,NA,1
"70","Nirley da Silva Fonseca","Nirley","https://s.glbimg.com/es/sde/f/2016/04/29/1aa0b74d53267e417eace37b1fdc4cee_FORMATO.png",62971,19,"FIG","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2016/07/12/8636cc2b90cc91e5c3adcb37365fbe7e_FORMATO.png",62974,19,"FIG","zag","Nulo",0,2.77,0.32,0.23,6,2,NA,NA,1,5,NA,9,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"72","Alan Luciano Ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2016/06/30/a0b842a942167f0506027b767d7c1062_FORMATO.png",63110,19,"CHA","lat","Contundido",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2016/05/01/3fe5f1275a99225b025f211e3c3b35e9_FORMATO.png",63158,19,"PAL","mei","Provável",7.6,9.79,0.86,4.11,17,3,NA,NA,12,19,NA,60,NA,NA,14,16,2,29,NA,NA,NA,NA,NA
"74","Enderson Alves Moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2016/07/20/a21d56a5d7676b7f85ffbb85612b282e_FORMATO.png",62137,19,"AME","tec","Provável",5.77,7.72,1.38,3.27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Alan Patrick Lourenço","Alan Patrick","https://s.glbimg.com/es/sde/f/2016/04/20/01b3feceb08b420b3a5259bf8c157951_FORMATO.png",68685,19,"FLA","mei","Provável",0,10.91,0,4.27,16,NA,NA,NA,8,32,NA,64,NA,3,11,9,3,14,2,NA,NA,1,NA
"76","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2016/04/30/f19726285035dfcb3d3052e030335ebd_FORMATO.png",63172,19,"INT","zag","Provável",2.6,8.08,0.4,3.22,14,7,NA,NA,13,9,NA,35,5,NA,2,4,NA,27,1,NA,NA,1,NA
"77","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,19,"BOT","mei","Provável",0,7.59,0,3.27,17,5,NA,NA,31,17,NA,49,NA,1,5,11,1,41,4,NA,NA,NA,1
"78","Carlos Emiliano Pereira","Carlinhos","https://s.glbimg.com/es/sde/f/2016/04/28/604ed4729919dd13bb0cefb06b386893_FORMATO.png",63194,19,"COR","lat","Contundido",0,13.59,0,4.61,14,5,NA,NA,24,32,NA,47,5,1,1,2,1,26,NA,NA,NA,NA,NA
"79","Bernardo Vieira de Souza","Bernardo","https://s.glbimg.com/es/sde/f/2016/07/07/1cb1cfbf44f2ec43fe939fbf6868ea6f_FORMATO.png",68697,19,"COR","mei","Nulo",0,4.58,0,0.4,3,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"80","Demerson Bruno Costa","Demerson","https://s.glbimg.com/es/sde/f/2016/06/30/32487d27bfff71a8eb00adc80f4fe79f_FORMATO.png",68723,19,"CHA","zag","Nulo",0,2.34,0,0.03,3,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"81","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2016/04/28/811ea1b5cff7a2f7e4bddd3967fa35ac_FORMATO.png",68690,19,"COR","ata","Provável",-2.8,6.01,-1.38,1.16,10,4,NA,NA,18,14,NA,8,NA,NA,1,1,1,9,2,NA,NA,NA,NA
"82","Francisco Sousa dos Santos","Chiquinho","https://s.glbimg.com/es/sde/f/2016/04/20/789fa4f8d7f77207cd6c671fc8ad76fa_FORMATO.png",68711,19,"FLA","lat","Provável",2.9,3.38,-0.39,3.3,4,1,NA,NA,3,2,NA,9,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"83","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2016/05/01/09f644d5efca4986858238e63fa860a5_FORMATO.png",68725,19,"VIT","lat","Provável",2.4,12.97,-0.69,5.71,18,4,NA,NA,18,24,NA,75,1,4,11,11,3,33,1,2,NA,NA,NA
"84","Márcio Passos de Albuquerque","Emerson","https://s.glbimg.com/es/sde/f/2016/04/20/c05d1b645dac18bd8b7d01e3da805f0d_FORMATO.png",68744,19,"FLA","ata","Nulo",0,1.44,0,0.82,4,1,NA,NA,3,7,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"85","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,19,"SAN","mei","Nulo",0,6.44,0,0.55,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"86","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2016/04/28/4ed68fb05e5166c5c9c1901f44d0917e_FORMATO.jpeg",68758,19,"FLA","ata","Nulo",10.9,8.14,1.94,2.76,11,1,NA,NA,13,15,NA,15,NA,3,NA,10,NA,9,NA,1,1,NA,NA
"87","Johnathan Aparecido da Silva","Johnathan Goiano","https://s.glbimg.com/es/sde/f/2016/05/01/ad77cb27868eb39560d27f1ae0a28e5c_FORMATO.png",68779,19,"SPO","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
