"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","I","PE","RB","SG","G","A","FT","DD","GS","CV","PP","DP","GC"
"1","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,16,"FLU","lat","Nulo",0,9.26,0,2.9,11,2,6,1,1,6,1,30,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,16,"PAL","ata","Dúvida",0,6.48,-0.94,1.05,6,NA,8,3,1,2,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,16,"GRE","ata","Nulo",0,5.33,0,1.8,9,1,5,3,4,2,2,5,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"4","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,16,"AME","ata","Contundido",0,4.38,0,1.45,10,1,4,3,7,7,2,11,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,16,"FIG","ata","Provável",-0.6,11.8,-1.93,4.11,13,3,27,11,14,19,16,37,4,NA,6,NA,2,NA,NA,NA,NA,NA,NA
"6","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,16,"PAL","zag","Provável",5,5.96,0.38,3.1,9,2,12,3,3,10,2,16,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,16,"CRU","ata","Provável",8.8,13.51,2.18,3.9,3,1,1,7,3,4,1,11,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"8","Danilo Leandro Dias","Danilo Dias",NA,37894,16,"AME","ata","Dúvida",0,3.28,0,0.2,1,NA,1,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,16,"SAN","mei","Nulo",0,5.7,0,-0.37,3,NA,3,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,16,"CRU","gol","Provável",-1,8.82,-1.12,1.09,16,2,1,NA,NA,NA,NA,10,NA,2,NA,NA,NA,23,27,NA,NA,NA,NA
