"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","I","PE","RB","SG","G","A","FT","DD","GS","CV","PP","DP","GC"
"11","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,16,"PON","mei","Nulo",0,4.05,0,0.34,9,2,8,1,2,8,NA,13,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"12","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,16,"SAO","zag","Provável",-2,10.73,-0.61,2.52,10,4,10,NA,2,3,3,26,8,4,2,NA,NA,NA,NA,1,NA,NA,NA
"13","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,16,"CHA","mei","Provável",5,5.08,0.68,1.63,15,4,21,5,4,17,NA,41,17,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"14","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,16,"ATL","zag","Nulo",0,9.61,0,3.5,4,1,5,NA,1,5,NA,11,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2016/07/13/418cbe11ebed1298c1077cb200a3f624_FORMATO.png",38021,16,"PON","mei","Provável",8.9,8.98,2.55,6.1,2,1,4,NA,1,6,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2016/07/07/4a75d0c2bc8cc75be5d9e1085a0d5f95_FORMATO.png",38229,16,"ATL","lat","Provável",5.4,7.59,-0.41,5.4,1,NA,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,16,"ATL","ata","Provável",3.3,20.64,-2.08,4.56,12,2,18,5,2,15,13,43,6,NA,6,3,NA,NA,NA,NA,NA,NA,NA
"18","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2016/07/07/59e04fe0887237e428903b15b4519ccd_FORMATO.png",37851,16,"ATL","mei","Provável",0.4,7,-0.84,1.93,3,NA,4,1,NA,3,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,16,"COR","mei","Nulo",7.1,8.2,0.94,2.28,5,NA,3,2,NA,5,NA,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"20","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,16,"PAL","gol","Nulo",0,14.83,0,2.97,15,1,NA,NA,NA,2,NA,15,NA,6,NA,NA,NA,16,14,NA,NA,NA,NA
"21","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,16,"SPO","zag","Contundido",0,6.22,0,0.74,14,3,17,1,NA,6,1,53,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/17/9b0b5790f058efc782c5b548946075bf_FORMATO.png",38162,16,"ATL","ata","Provável",-0.4,18.06,-0.45,3.81,15,2,33,5,13,32,8,45,7,NA,6,2,NA,NA,NA,1,NA,NA,NA
"23","Denilson Pereira Neves","Denilson","https://s.glbimg.com/es/sde/f/2016/07/23/bdc783a5b428b81232a74d3e69fd5080_FORMATO.png",38064,16,"CRU","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,16,"GRE","mei","Provável",5.8,8.33,1.18,2.15,10,3,18,4,1,15,NA,49,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"25","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,16,"GRE","gol","Provável",4.7,11.62,1.46,2.9,13,2,NA,NA,NA,2,NA,8,NA,7,NA,NA,NA,12,14,NA,NA,NA,NA
"26","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/07/07/95225c9c5fb74d165133768a0c788621_FORMATO.png",37790,16,"COR","lat","Provável",6.8,6.79,1.51,2.78,5,NA,3,NA,1,4,1,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,16,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/07/13/3c80bd862910177950643eb218b40870_FORMATO.png",37701,16,"STC","lat","Provável",1.1,7.7,-1.85,3.22,12,2,8,2,NA,10,NA,42,16,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"29","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,16,"STC","ata","Suspenso",0,21.36,0,4.44,13,3,39,7,9,23,14,23,2,NA,8,1,NA,NA,NA,NA,NA,NA,NA
"30","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,16,"COR","mei","Nulo",0,15.7,0,4.8,12,NA,11,5,10,31,3,46,22,NA,NA,3,1,NA,NA,1,NA,NA,NA
"31","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,16,"INT","mei","Nulo",0,4.1,0,1.22,10,2,9,4,6,8,1,15,5,NA,NA,2,NA,NA,NA,1,NA,NA,NA
"32","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,16,"PAL","mei","Nulo",0,6.05,0,-1.4,1,1,2,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,16,"CHA","gol","Provável",-2.3,1.12,-0.6,-0.18,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA
"34","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,16,"FLU","mei","Provável",2.2,8.57,-1.87,2.49,15,4,24,7,14,33,8,54,11,NA,3,1,NA,NA,NA,NA,1,NA,NA
"35","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,16,"FLU","ata","Nulo",0,5.43,-0.11,1.94,12,NA,4,4,4,6,2,17,3,NA,1,1,1,NA,NA,NA,NA,NA,NA
"36","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/07/07/b6a64e9dceecd9ffec83258abb8067f4_FORMATO.png",37792,16,"COR","mei","Provável",0.5,2.21,-0.2,1.54,10,4,21,2,6,9,NA,24,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"37","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/07/21/cdcdb202564ba02337983b1f8f71cafb_FORMATO.png",36940,16,"SPO","tec","Provável",3.43,8.4,-0.42,3.05,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Luis Antônio Venker de Menezes","Mano Menezes",NA,37281,16,"CRU","tec","Nulo",0,6.54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,16,"PAL","mei","Provável",1.7,8.78,-0.97,2.61,11,2,14,NA,1,15,1,12,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"40","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,16,"CRU","mei","Provável",6.2,10.31,0.24,4.03,15,2,18,3,4,24,NA,45,36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,16,"FLA","zag","Provável",3.5,11.6,0.28,3.14,5,1,1,NA,3,2,NA,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,16,"STC","gol","Provável",11.5,9.02,0.32,3.36,16,2,1,NA,NA,2,NA,6,NA,3,NA,NA,NA,24,21,NA,NA,2,NA
"43","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,16,"ATL","tec","Provável",4.92,7.42,0.42,3.36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,16,"ATL","zag","Provável",0,3.84,0,4.95,8,1,6,1,3,6,NA,20,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"45","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,16,"FLA","mei","Provável",1.8,9.76,-0.29,3.42,15,1,18,1,1,21,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2016/07/13/b976295943670eb1a5e506d9381bc658_FORMATO.png",38421,16,"CRU","mei","Nulo",-1.1,6.36,-0.61,-2,2,1,2,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/07/08/38e8f580ae4e3bf9d8a96fb05a05cf25_FORMATO.png",38287,16,"PON","ata","Provável",9.7,7.31,0.38,3.23,11,1,7,7,7,5,7,15,3,NA,2,2,1,NA,NA,NA,NA,NA,NA
"48","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,16,"ATL","zag","Provável",7.9,9.18,0.98,3.33,14,1,8,2,4,10,NA,35,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"49","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,16,"AME","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,16,"FLU","gol","Provável",9.7,11.05,0.51,3.81,16,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,20,16,NA,NA,NA,NA
"51","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,16,"PON","zag","Provável",4.3,6.85,0.69,3.19,12,3,12,NA,3,15,1,19,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,16,"FLU","mei","Nulo",0,7.89,0,2.46,5,1,13,NA,NA,4,NA,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,16,"SAO","lat","Nulo",0,3.93,0,0.15,4,2,6,NA,NA,2,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,16,"SAO","mei","Provável",-0.5,10.87,-0.03,-0.05,7,1,7,4,6,2,5,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"55","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,16,"COR","gol","Nulo",0,12.43,0,6.11,8,NA,NA,NA,NA,1,NA,2,NA,4,NA,NA,NA,13,5,NA,NA,NA,NA
"56","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,16,"COR","mei","Contundido",0,2.88,0,1.94,5,3,5,1,2,NA,NA,15,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"57","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,16,"INT","mei","Nulo",0,4.5,0,1.45,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,16,"PON","ata","Nulo",0,4.92,-0.05,0.37,12,3,14,3,7,10,3,18,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"59","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,16,"PAL","mei","Provável",-0.2,13.94,-0.8,3.35,13,1,12,3,3,6,2,45,10,NA,2,5,NA,NA,NA,NA,NA,NA,NA
"60","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/06/06/fff1e2f2c5b5ab7d1955d4863ec54bf3_FORMATO.png",38523,16,"GRE","lat","Provável",12.8,12.04,2.48,4.22,14,5,29,6,5,23,NA,77,23,6,1,1,1,NA,NA,NA,NA,NA,NA
"61","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,16,"SPO","mei","Nulo",2.4,2.12,0.45,0.76,10,1,8,2,3,4,NA,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,16,"SPO","zag","Provável",-1.9,3.32,-0.45,0.93,12,1,21,2,3,5,NA,36,4,2,2,NA,NA,NA,NA,1,NA,NA,NA
"63","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2016/07/19/ba0b7f6b07eaec07dd2060de31bbe42f_FORMATO.jpeg",38617,16,"FLU","ata","Nulo",0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2016/07/12/8636cc2b90cc91e5c3adcb37365fbe7e_FORMATO.png",62974,16,"FIG","zag","Provável",-2.6,2.45,-0.62,0.28,5,2,1,1,NA,5,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,16,"GRE","mei","Provável",7.7,8.39,1.21,2.51,14,2,14,5,6,13,1,77,7,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"66","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,16,"AME","mei","Provável",3.6,4.18,0.44,1.64,15,5,19,NA,5,5,1,52,29,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"67","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,16,"FIG","zag","Nulo",0,5.11,0,2.81,7,1,7,NA,1,3,1,11,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,16,"FIG","mei","Contundido",0,6.35,0,4.3,2,NA,2,NA,NA,3,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"69","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,16,"VIT","ata","Suspenso",0.1,6.2,-0.71,1.32,15,3,15,12,16,26,5,41,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"70","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,16,"INT","mei","Nulo",-0.1,11.85,-0.38,1.77,10,1,7,NA,1,6,NA,24,6,NA,1,1,1,NA,NA,NA,NA,NA,NA
"71","Hélder Maurílio da Silva Ferreira","Hélder","https://s.glbimg.com/es/sde/f/2016/07/13/7c461e147cdddb6e1af78ddb2319313c_FORMATO.png",61238,16,"AME","lat","Nulo",0,3.38,0,2.12,9,2,19,NA,1,12,1,30,12,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"72","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/06/30/fd592a8e7b5a3cb16cb540818553ec88_FORMATO.png",51476,16,"CHA","mei","Nulo",0,9.65,0,2.63,8,2,12,5,4,7,3,7,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"73","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,16,"PAL","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,16,"CHA","ata","Nulo",0,14.27,0,4.75,14,1,27,5,6,18,8,17,10,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"75","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,16,"PON","zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,16,"AME","zag","Dúvida",3.4,2.44,0.44,0.8,6,1,4,NA,2,6,1,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2016/07/06/4faace6696532f4a33c9058a22fc4b00_FORMATO.png",51792,16,"VIT","zag","Provável",6.3,4.22,0.78,2.25,7,3,15,2,4,4,4,18,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/06/24/06809d7c812c5b48d71d3fe61d7d0cff_FORMATO.png",52674,16,"AME","lat","Provável",0.1,1.75,0.48,0.37,6,1,4,2,1,5,1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/28/b3229ad78369684e9d9ac48e51678043_FORMATO.jpeg",52253,16,"FLA","zag","Provável",0.9,6.43,-0.17,4.59,9,1,5,1,4,7,NA,16,9,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"80","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,16,"CRU","zag","Provável",7.4,10.99,0.92,3.55,12,3,10,NA,7,6,NA,21,18,2,1,NA,1,NA,NA,NA,NA,NA,NA
"81","Carlos Alexandre Cardoso","Cardoso","https://s.glbimg.com/es/sde/f/2013/02/07/538ee91f273928b3469d43f4c5cc70ee_FORMATO.jpeg",51707,16,"AME","zag","Nulo",0,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,16,"AME","zag","Dúvida",0,4.96,0,2.58,9,3,14,1,2,9,NA,34,8,1,2,1,NA,NA,NA,NA,NA,NA,NA
"83","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,16,"CHA","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/06/28/e35194e5109e803d5a43e80e3ffdea81_FORMATO.jpeg",53148,16,"SAO","ata","Contundido",0,4.37,0,2.46,12,1,6,6,6,6,1,11,8,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"85","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,16,"COR","mei","Nulo",0,4.66,0,0.37,3,NA,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,16,"BOT","lat","Provável",-1,8.98,-1.77,4.8,14,1,1,5,1,8,NA,59,24,2,NA,4,2,NA,NA,NA,NA,NA,NA
