"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"190","Williams da Luz","Williams","https://s.glbimg.com/es/sde/f/2016/01/14/e7f0433ec3cfaf99844f48f07a15e886_FORMATO.jpeg",89640,18,"STC","mei","Nulo",0,2,0,0,0,NA
"191","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2016/05/01/50ba5f59e410f0d4a635357cb29bcdb8_FORMATO.jpeg",89898,18,"PAL","ata","Nulo",0,10.75,0,3.63,16,NA
"192","Luiz Carlos Oliveira Bitencourt","Luiz Carlos ","https://s.glbimg.com/es/sde/f/2016/05/01/094cd9a92291d9b827dcfe88c0efccb6_FORMATO.png",88430,18,"SPO","gol","Contundido",0,2,0,0,0,NA
"193","Carlos Emiliano Pereira","Carlinhos","https://s.glbimg.com/es/sde/f/2016/04/28/604ed4729919dd13bb0cefb06b386893_FORMATO.png",63194,18,"COR","lat","Contundido",0,13.59,0.17,4.61,14,NA
"194","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2016/05/13/7f3dfc1be15fa33f2fe0215c195e6d80_FORMATO.png",89693,18,"ATL","mei","Nulo",0,2,0,0,0,NA
"195","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2016/05/01/5dcd9e4c4a3b82146f0ae4159ac3f73c_FORMATO.png",89676,18,"VIT","ata","Nulo",0,2.5,0,4.47,3,NA
"196","Bruno Edgar Silva Almeida","Bruno Ramires","https://s.glbimg.com/es/sde/f/2016/05/25/d404224a3a10f045f7b5ac26ba1630d7_FORMATO.png",89924,18,"CRU","mei","Nulo",0,3.91,0.72,1.32,14,NA
"197","Tiago da Rocha Vieira","Tiaguinho","https://s.glbimg.com/es/sde/f/2016/06/15/e40d8343ec816a07f175770503c369fb_FORMATO.jpeg",90265,18,"CHA","ata","Provável",0,1.06,-0.01,-0.27,3,NA
"198","Walace Souza Silva","Walace","https://s.glbimg.com/es/sde/f/2016/04/30/14966dfd439d086334be00397217a6a2_FORMATO.png",88479,18,"GRE","mei","Nulo",0,13.43,0,3,12,NA
"199","Luis Carlos Ruiz Morales","Luis Ruiz","https://s.glbimg.com/es/sde/f/2014/10/16/06535e62d6a30195fbef7bbbc9571540_FORMATO.jpeg",72886,18,"SPO","ata","Nulo",0,3,0,0,0,NA
"200","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2016/05/03/3ebd9ed86862cc224d7f138b75e64119_FORMATO.png",89930,18,"INT","mei","Nulo",0,3.96,0,0.66,9,NA
"201","Auro Álvaro da Cruz Júnior","Auro","https://s.glbimg.com/es/sde/f/2016/06/28/e214bcda51965bbf7c5068c841a8604f_FORMATO.jpeg",88540,18,"SAO","lat","Nulo",0,7.39,0,4.17,6,NA
"202","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2016/05/30/581e9d6f1052ed1c3bc00c0fb1bab53a_FORMATO.png",89815,18,"INT","mei","Nulo",0,2.66,0,0.68,14,NA
"203","Gerferson Cerqueira Teles","Geferson","https://s.glbimg.com/es/sde/f/2016/04/30/35ea819f3d48c22459067c2265b46039_FORMATO.png",89976,18,"INT","lat","Nulo",0,2.14,0,0.7,5,NA
"204","Bruno Antonio dos Santos","Bruno Santos","https://s.glbimg.com/es/sde/f/2016/04/29/c90440a9112852ec2d98e4d2186485d3_FORMATO.png",89977,18,"FIG","lat","Nulo",0,1,0,0,0,NA
"205","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,18,"SAN","mei","Nulo",0,3.5,0,1.4,1,NA
"206","Andrés Eliseo Chávez","Andrés Chávez","https://s.glbimg.com/es/sde/f/2015/05/04/f62b80c6c786bfe94fe30835d67a4197_FORMATO.png",89839,18,"SAO","ata","Dúvida",0,8.79,3.68,5.15,2,NA
"207","Lincoln Henrique Oliveira dos Santos","Lincoln","https://s.glbimg.com/es/sde/f/2016/04/30/896250a6a797bd9a6c4699f9bd5cba0c_FORMATO.png",90303,18,"GRE","mei","Nulo",0,4.79,-0.24,-0.52,5,NA
"208","David Correa da Fonseca","David","https://s.glbimg.com/es/sde/f/2016/05/01/f0a005c33b60cc205cdc6bd87876db75_FORMATO.png",90309,18,"VIT","mei","Nulo",0,1.19,0,0.28,4,NA
"209","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2016/04/27/3e188c20efad841496876cbe0bf752bb_FORMATO.jpeg",90290,18,"GRE","mei","Nulo",0,4.38,0.34,3.23,12,NA
"210","Pedro Rocha Neves","Pedro Rocha","https://s.glbimg.com/es/sde/f/2016/04/30/0d21af8fa9b92cb5a7bcbc1b174a8b2e_FORMATO.png",90302,18,"GRE","ata","Nulo",0,4.93,0.23,2.09,8,NA
"211","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,18,"GRE","ata","Nulo",0,5.33,0,1.8,9,NA
"212","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/17/9b0b5790f058efc782c5b548946075bf_FORMATO.png",38162,18,"ATL","ata","Provável",0,19.09,-0.73,4.21,17,NA
"213","Olávio Vieira dos Santos Júnior","Juninho","https://s.glbimg.com/es/sde/f/2015/01/27/c47682726055ef01d0306e13fcdb5b0b_FORMATO.png",90307,18,"ATL","ata","Nulo",0,1.99,0,1.2,2,NA
"214","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,18,"GRE","mei","Nulo",0,7.66,0.59,1.86,12,NA
"215","Teodoro Junio Barbosa de Araújo","Araújo","https://s.glbimg.com/es/sde/f/2016/04/30/8da3cdd181e04b0c114f91c721ad89b1_FORMATO.png",90334,18,"GRE","mei","Nulo",0,1,0,0,0,NA
"216","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,18,"INT","mei","Suspenso",0,4.97,0.87,1.66,11,NA
"217","Igor da Silva Candiota","Igor","https://s.glbimg.com/es/sde/f/2016/07/12/42a9d76c711334654d1d1e5325792f16_FORMATO.png",90320,18,"FLA","zag","Nulo",0,2,0,0,0,NA
"218","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2016/07/07/4a75d0c2bc8cc75be5d9e1085a0d5f95_FORMATO.png",38229,18,"ATL","lat","Provável",0,7.93,-0.3,5.57,3,NA
"219","Jonathan da Silveira Fernandes Reis","Fernandes","https://s.glbimg.com/es/sde/f/2016/05/20/02861c5449623b3038673b374f31d53e_FORMATO.png",90399,18,"BOT","mei","Nulo",0,9.65,-0.62,3.71,15,NA
"220","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2016/06/28/84bef351e001d5327882f9d3459753b6_FORMATO.jpeg",70222,18,"BOT","gol","Nulo",0,4.46,-0.85,2.05,12,NA
"221","Jeferson Carvalho dos Santos","Jeferson Negueba","https://s.glbimg.com/es/sde/f/2016/06/15/b3dfa367e6778d82e1587a4de440fd12_FORMATO.jpeg",90335,18,"GRE","mei","Nulo",0,2,0,0,0,NA
"222","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,18,"ATL","ata","Provável",0,20.51,-2.36,5.03,14,NA
"223","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,18,"PAL","gol","Contundido",0,14.83,0,2.97,15,NA
"224","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,18,"STC","ata","Provável",0,20.59,0.1,3.78,15,NA
"225","Arthur Henrique Ramos de Oliveira Melo","Arthur","https://s.glbimg.com/es/sde/f/2016/04/30/c66920f75ffae5c4ae70d98ce74fc92e_FORMATO.png",90532,18,"GRE","mei","Nulo",0,1,0,0,0,NA
"226","Raul José Cardoso","Raul","https://s.glbimg.com/es/sde/f/2016/04/30/20baeb0768cee2ef5e7e760abad4ddfa_FORMATO.png",90531,18,"GRE","lat","Nulo",0,2,0,0,0,NA
"227","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2016/05/13/b5a8462bf2d5aa77b26480fe3a466717_FORMATO.png",68893,18,"ATL","ata","Nulo",0,9.75,0,4.02,12,NA
"228","Alejandro Martinuccio","Martinuccio","https://s.glbimg.com/es/sde/f/2016/05/13/20b1ddd7637df6e54328b6dc072a042d_FORMATO.png",70759,18,"CHA","mei","Contundido",0,3.39,0,1.7,4,NA
"229","José Carlos Ferreira Junior","Juninho","https://s.glbimg.com/es/sde/f/2016/04/28/58bdc19e4d52c4fafcf8c5c4d1919ad2_FORMATO.png",92182,18,"COR","zag","Provável",0,13.55,-1.88,4.36,17,NA
"230","Evandro da Silva","Evandro","https://s.glbimg.com/es/sde/f/2016/04/28/f4be3bbf0db58f8be3c1ad86131a5b98_FORMATO.png",92192,18,"COR","ata","Nulo",0,1.72,0,0.9,5,NA
"231","Rhayner Santos Nascimento","Rhayner","https://s.glbimg.com/es/sde/f/2016/05/01/2001d7464e28233b6e75ad7438938946_FORMATO.png",70874,18,"PON","ata","Provável",0,3.91,0.1,3.49,7,NA
"232","Ravanelli Ferreira dos Santos","Ravanelli","https://s.glbimg.com/es/sde/f/2016/05/01/7f36b1972a4a471d650cea3bce5c3544_FORMATO.png",92193,18,"PON","mei","Nulo",0,6.5,0,1.77,7,NA
"233","Geovane Diniz Silva","Geovane Maranhão","https://s.glbimg.com/es/sde/f/2016/05/20/d43004ff960f51fbbdc965920515b96e_FORMATO.png",68900,18,"BOT","ata","Nulo",0,4,0,0,0,NA
"234","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2016/05/20/796d3a86989d174e93697441c578060a_FORMATO.png",70916,18,"BOT","lat","Nulo",0,4.82,-0.03,3.07,12,NA
"235","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/07/13/42a0bf406c4f0b23b08edea3cded6132_FORMATO.png",70929,18,"GRE","ata","Nulo",0,9.08,-0.33,2.61,9,NA
