"game","round","date","home_team","score","away_team","arena","X"
"140","14","11/07/2016 - 20:00","Cruzeiro - MG","x","Atlético - PR","A definir",""
"141","15","16/07/2016 - 16:00","Botafogo - RJ","x","Flamengo - RJ","A definir",""
"142","15","16/07/2016 - 18:30","Santos - SP","x","Ponte Preta - SP","Vila Belmiro - Santos - SP",""
"143","15","17/07/2016 - 11:00","América - MG","x","Santa Cruz - PE","Independência - Belo Horizonte - MG",""
"144","15","17/07/2016 - 16:00","Figueirense - SC","x","Chapecoense - SC","Orlando Scarpelli - Florianopolis - SC",""
"145","15","17/07/2016 - 16:00","Atlético - PR","x","Vitória - BA","Arena da Baixada - Curitiba - PR",""
"146","15","17/07/2016 - 16:00","Corinthians - SP","x","São Paulo - SP","A definir",""
"147","15","17/07/2016 - 16:00","Internacional - RS","x","Palmeiras - SP","Beira Rio - Porto Alegre - RS",""
"148","15","17/07/2016 - 16:00","Fluminense - RJ","x","Cruzeiro - MG","A definir",""
"149","15","17/07/2016 - 18:30","Sport - PE","x","Grêmio - RS","Ilha do Retiro - Recife - PE",""
"150","15","18/07/2016 - 20:00","Atlético - MG","x","Coritiba - PR","Independência - Belo Horizonte - MG",""
"151","16","23/07/2016 - 16:00","Corinthians - SP","x","Figueirense - SC","A definir",""
"152","16","23/07/2016 - 18:30","Santa Cruz - PE","x","Coritiba - PR","Arruda - Recife - PE",""
"153","16","24/07/2016 - 11:00","Palmeiras - SP","x","Atlético - MG","Allianz Parque - Sao Paulo - SP",""
"154","16","24/07/2016 - 11:00","Ponte Preta - SP","x","Internacional - RS","Moisés Lucarelli - Campinas - SP",""
"155","16","24/07/2016 - 16:00","Cruzeiro - MG","x","Sport - PE","A definir",""
"156","16","24/07/2016 - 16:00","Grêmio - RS","x","São Paulo - SP","Arena do Grêmio - Porto Alegre - RS",""
"157","16","24/07/2016 - 16:00","Atlético - PR","x","Fluminense - RJ","Arena da Baixada - Curitiba - PR",""
"158","16","24/07/2016 - 16:00","Chapecoense - SC","x","Botafogo - RJ","Arena Condá - Chapeco - SC",""
"159","16","24/07/2016 - 18:30","Vitória - BA","x","Santos - SP","Manoel Barradas - Salvador - BA",""
"160","16","25/07/2016 - 20:00","Flamengo - RJ","x","América - MG","A definir",""
"161","17","30/07/2016 - 16:00","Figueirense - SC","x","Vitória - BA","Orlando Scarpelli - Florianopolis - SC",""
"162","17","30/07/2016 - 18:30","Sport - PE","x","Atlético - PR","Ilha do Retiro - Recife - PE",""
"163","17","30/07/2016 - 21:00","Atlético - MG","x","Santa Cruz - PE","Independência - Belo Horizonte - MG",""
"164","17","31/07/2016 - 11:00","Fluminense - RJ","x","Ponte Preta - SP","A definir",""
"165","17","31/07/2016 - 11:00","São Paulo - SP","x","Chapecoense - SC","Morumbi - Sao Paulo - SP",""
"166","17","31/07/2016 - 16:00","Santos - SP","x","Cruzeiro - MG","Vila Belmiro - Santos - SP",""
"167","17","31/07/2016 - 16:00","Internacional - RS","x","Corinthians - SP","Beira Rio - Porto Alegre - RS",""
"168","17","31/07/2016 - 16:00","Coritiba - PR","x","Flamengo - RJ","Couto Pereira - Curitiba - PR",""
"169","17","31/07/2016 - 18:30","América - MG","x","Grêmio - RS","Independência - Belo Horizonte - MG",""
"170","17","01/08/2016 - 20:00","Botafogo - RJ","x","Palmeiras - SP","A definir",""
"171","18","03/08/2016 - 19:30","São Paulo - SP","x","Atlético - MG","Morumbi - Sao Paulo - SP",""
"172","18","03/08/2016 - 19:30","Cruzeiro - MG","x","Internacional - RS","A definir",""
"173","18","03/08/2016 - 21:00","Vitória - BA","x","Coritiba - PR","Manoel Barradas - Salvador - BA",""
"174","18","03/08/2016 - 21:00","Fluminense - RJ","x","Figueirense - SC","A definir",""
"175","18","03/08/2016 - 21:00","Sport - PE","x","América - MG","Ilha do Retiro - Recife - PE",""
"176","18","03/08/2016 - 21:45","Santos - SP","x","Flamengo - RJ","Vila Belmiro - Santos - SP",""
"177","18","03/08/2016 - 21:45","Atlético - PR","x","Corinthians - SP","Arena da Baixada - Curitiba - PR",""
"178","18","04/08/2016 - 19:15","Ponte Preta - SP","x","Botafogo - RJ","Moisés Lucarelli - Campinas - SP",""
"179","18","04/08/2016 - 19:30","Grêmio - RS","x","Santa Cruz - PE","Arena do Grêmio - Porto Alegre - RS",""
"180","18","04/08/2016 - 21:30","Chapecoense - SC","x","Palmeiras - SP","Arena Condá - Chapeco - SC",""
"181","19","06/08/2016 - 16:00","Corinthians - SP","x","Cruzeiro - MG","A definir",""
"182","19","06/08/2016 - 18:30","Flamengo - RJ","x","Atlético - PR","A definir",""
