"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","PE","RB","A","SG","DD","GS","I","FT","CV","GC","PP","DP"
"1","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/06/09/39131bc481659939592e7645f96c20b4_FORMATO.jpeg",70929,7,"GRE","ata","Nulo",0,10.39,0,2.25,4,3,2,3,2,7,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,7,"GRE","ata","Nulo",6,5.15,1.19,1.92,5,1,3,3,3,1,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Adniellyson da Silva Oliveira","Silva","https://s.glbimg.com/es/sde/f/2016/04/30/391ddcd13c6100152201590a5c2e2157_FORMATO.png",91917,7,"INT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,7,"COR","mei","Nulo",-0.8,7.43,-0.47,0.05,2,NA,2,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2015/05/09/0ad86f83590d595cc055c3696c0c0fc6_FORMATO.jpeg",91916,7,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,7,"FLA","zag","Contundido",0,12.95,0,3.7,3,1,1,NA,NA,2,NA,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/09/87bd56b5791b200ec2836ab62d7f49f7_FORMATO.jpeg",52253,7,"FLA","zag","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,7,"SPO","mei","Provável",0,1.79,0,0.9,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,7,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,7,"ATL","zag","Nulo",0,9.61,0,3.5,4,1,5,NA,1,5,NA,11,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","Henrique de Souza Trevisan","Henrique Trevisan","https://s.glbimg.com/es/sde/f/2016/04/29/09ee3a91f794b4b7e9a81b639d7f1d88_FORMATO.png",91920,7,"FIG","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Leonardo José Aparecido de Moura","Leonardo","https://s.glbimg.com/es/sde/f/2016/05/01/17c90d261be180237a80821b235423f3_FORMATO.jpeg",36591,7,"STC","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,7,"SPO","tec","Provável",1.17,7.18,-0.6,2.82,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,7,"PAL","gol","Provável",4.6,14.58,1.16,2.16,7,1,NA,NA,NA,1,NA,8,NA,NA,3,6,7,NA,NA,NA,NA,NA,NA
"15","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,7,"ATL","tec","Provável",3.2,5.5,-0.01,2.39,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,7,"PAL","mei","Provável",0.1,8.2,-0.62,0.98,4,2,6,NA,1,3,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,7,"SAO","zag","Dúvida",1.3,12.42,-0.52,3.98,6,2,5,NA,1,3,1,11,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"18","Augusto Sérgio Ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2016/05/09/40a1918975b6b4d85241f5fcfde659b3_FORMATO.png",37245,7,"CHA","tec","Provável",2.23,8.96,0.08,3.22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Ernando Rodrigues Lopes","Ernando","https://s.glbimg.com/es/sde/f/2016/04/30/4281780d649686f58d2350aa3f372023_FORMATO.png",49651,7,"INT","zag","Provável",7.7,11.26,1.91,4.12,7,1,5,NA,1,NA,1,13,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"20","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,7,"FLU","ata","Nulo",0.7,4.51,0.24,-0.07,4,NA,NA,NA,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,7,"STC","gol","Provável",5,6.9,1.02,2.7,7,1,NA,NA,NA,1,NA,2,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA
"22","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,7,"COR","mei","Suspenso",3,2.88,0.9,1.94,5,3,5,1,2,NA,NA,15,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,7,"SAO","mei","Nulo",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,7,"ATL","zag","Contundido",0,0.74,0,-4.3,1,1,3,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,7,"FIG","mei","Nulo",6.4,6.35,1.19,4.3,2,NA,2,NA,NA,3,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,7,"VIT","ata","Provável",-0.1,6.22,-0.47,0.9,6,NA,7,5,2,7,NA,13,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"27","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,7,"PAL","zag","Nulo",5.1,5.17,0.17,5.1,1,1,4,NA,NA,2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"28","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,7,"FIG","ata","Nulo",7.2,14.07,1.52,6.11,7,1,13,5,8,9,5,16,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA
"29","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/09/8f5736c815db151f6d5acaeb13711516_FORMATO.png",37623,7,"COR","zag","Provável",0,6.55,0,2.15,6,3,11,NA,NA,4,1,14,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"30","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,7,"CRU","gol","Provável",-6,8.62,-1.74,0.62,7,2,1,NA,NA,NA,NA,4,NA,NA,1,9,11,NA,NA,NA,NA,NA,NA
"31","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,7,"FLU","mei","Provável",-1.3,7.11,-0.4,0.77,7,2,15,2,6,14,NA,30,6,1,NA,NA,NA,5,NA,NA,NA,NA,NA
"32","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,7,"FLU","lat","Provável",-3.8,8.09,-2.23,2.83,7,2,5,1,1,5,NA,20,8,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"33","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,7,"PAL","ata","Dúvida",0,7.42,0,1.26,5,NA,8,3,1,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Lauro Júnior Batista da Cruz","Lauro","https://s.glbimg.com/es/sde/f/2016/05/09/249e731821db5544fc0c4fb41a95db56_FORMATO.jpeg",37659,7,"ATL","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,7,"COR","mei","Suspenso",15.6,18.28,2.78,8.06,5,NA,7,2,7,19,NA,22,15,3,NA,NA,NA,3,NA,1,NA,NA,NA
"36","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,7,"CRU","mei","Provável",0.2,7.98,-0.66,3.13,7,2,8,1,NA,12,NA,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/05/01/25183d41515e2ce759f2ba9f81973c85_FORMATO.jpeg",37701,7,"STC","lat","Provável",-0.1,6.84,-0.97,2.38,6,2,4,1,NA,3,NA,14,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/05/09/8ba64e76cef79e4543ffd32d93976a9e_FORMATO.jpeg",37790,7,"COR","lat","Contundido",0,6.21,0,1.05,2,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/06/10/647d79ec841a6397b9bdb3cbea8b8c24_FORMATO.jpeg",37792,7,"COR","mei","Provável",4.3,1.96,0.93,0.6,3,1,5,NA,1,4,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,7,"SAN","mei","Nulo",1,6.46,0.01,-0.4,2,NA,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"41","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,7,"PON","mei","Provável",-4.8,3.59,-1.55,0.35,6,2,8,1,1,5,NA,9,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"42","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,7,"PAL","mei","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2016/04/30/2d7884d092837e8a2431feb597c5649c_FORMATO.png",42213,7,"INT","mei","Suspenso",-0.6,10.83,-0.52,2.3,7,3,23,1,1,12,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,7,"FLU","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,7,"CHA","mei","Provável",0.9,3.93,0.34,0.87,6,3,15,3,2,5,NA,17,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2016/04/29/a8b9e1fa95ea371a1fe20b43399b8389_FORMATO.png",42222,7,"FLU","ata","Nulo",0,7.2,0,2.12,4,NA,2,3,1,2,NA,9,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"47","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2016/05/01/208f53e7054acabd7a229fe523f020bf_FORMATO.png",42145,7,"PAL","lat","Nulo",0,19.73,0,5.73,3,NA,NA,1,NA,5,NA,16,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"48","Danny Bittencourt Morais","Danny Morais","https://s.glbimg.com/es/sde/f/2016/05/01/d58fc02548731386b20009a3a1d294ef_FORMATO.png",42247,7,"STC","zag","Provável",-0.3,0.78,0.01,-0.87,7,1,6,NA,NA,1,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2016/05/09/ebb1dc3dea737d824b387593ac26e716_FORMATO.jpeg",42232,7,"COR","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2016/04/28/8d0f1d77fad8f00513e096df10da46e2_FORMATO.png",42234,7,"COR","gol","Nulo",0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,7,"GRE","gol","Provável",0,13.39,0,6.72,4,1,NA,NA,NA,1,NA,2,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
"52","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,7,"AME","ata","Provável",1.4,3.38,0.38,0.13,3,NA,2,1,2,2,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"53","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,7,"PAL","tec","Provável",4.05,13.42,0.17,3.98,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,7,"CHA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2016/04/28/5d7d807595168812606d2dcce7462db9_FORMATO.png",42500,7,"COR","lat","Provável",-4,22.52,-0.62,6.13,7,2,10,1,2,9,1,45,15,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"56","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2016/05/11/171a6a7d4871817e99d7d69098a772dc_FORMATO.jpeg",49674,7,"PAL","lat","Nulo",0,7.49,0,1.45,2,1,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,7,"SAO","lat","Provável",-5.6,7.65,-2.85,3.72,6,1,9,NA,NA,6,NA,26,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"58","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2016/04/20/837d4d1c4d5f3460f897e9a3689ab070_FORMATO.png",50301,7,"FLA","mei","Dúvida",0,12.67,-0.26,2.02,6,2,12,NA,3,7,1,16,9,1,NA,NA,NA,4,NA,1,NA,NA,NA
"59","Adenor Leonardo Bachi","Tite","https://s.glbimg.com/es/sde/f/2016/05/24/a668062aeb16e3694f688b0b293538af_FORMATO.png",45125,7,"COR","tec","Provável",2.45,14.67,-0.12,4.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/06/02/26b087e1dac0a59c921e0d34a2abbcfe_FORMATO.jpeg",49737,7,"STC","mei","Nulo",-3.7,7.44,-1.41,1.38,5,NA,3,1,NA,4,1,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2016/04/28/451b957d5e77145a9740c1dd14e810fb_FORMATO.png",50284,7,"COR","gol","Provável",5,8.87,0.87,3.39,7,NA,NA,NA,NA,NA,NA,1,NA,NA,1,15,13,NA,NA,NA,NA,NA,NA
"62","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,7,"SPO","zag","Suspenso",-6.9,2.43,-2.39,-0.17,4,NA,5,1,1,3,NA,16,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"63","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,7,"PON","mei","Nulo",0,4.93,0,1.7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2016/04/28/dffdad9720aa2f03053bdd0270fb8787_FORMATO.png",50294,7,"COR","mei","Provável",2.8,14.16,0.62,3.91,7,1,9,3,2,11,1,37,8,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"65","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2016/04/29/c60e01cd155db8e33220d9f2a9027f44_FORMATO.png",50313,7,"FIG","mei","Provável",0.7,7.99,-0.26,2.26,7,2,6,NA,1,9,NA,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,7,"GRE","mei","Provável",-0.3,5.41,-0.21,-0.95,6,1,6,NA,1,9,NA,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/05/31/d0af15bf90b7d6ddd70ea29214519277_FORMATO.png",38928,7,"BOT","mei","Nulo",0,4.91,0,3,1,NA,3,NA,NA,4,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,7,"INT","mei","Nulo",0.2,12.57,-3.43,0.2,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/01/65ba6d104f9bf5f59b41bf5d109d9d3f_FORMATO.png",38957,7,"PAL","ata","Nulo",0,6.24,-0.11,0.7,5,1,2,1,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,7,"AME","mei","Suspenso",-1.8,2.5,-1.07,0.57,7,3,10,NA,2,NA,NA,28,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2016/05/01/49909c7b610545598b92f0e07bdee08e_FORMATO.png",38908,7,"SAN","mei","Provável",4.5,13.49,-0.56,4.2,7,NA,3,NA,1,6,1,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,7,"GRE","mei","Provável",-0.3,13.22,-0.61,5.43,7,NA,6,4,4,3,2,22,9,1,NA,NA,NA,1,1,NA,NA,NA,NA
"73","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2016/05/01/96e491504eed845c49686d39f3ce056b_FORMATO.png",39850,7,"VIT","tec","Provável",3.35,5.46,-0.11,3.09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2016/05/09/12665443037abe696b9b0e8b793b4b9d_FORMATO.png",39152,7,"AME","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2016/04/29/ae267a00ae891c3954a903d5883dd354_FORMATO.png",40025,7,"FLU","tec","Provável",2.25,11.98,-0.17,3.48,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,7,"AME","zag","Provável",8.6,5.83,1.28,7.2,2,NA,3,NA,NA,1,1,9,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2016/05/01/7bca046ddd8602f61aef411fe78c444b_FORMATO.png",50317,7,"SAN","zag","Contundido",0,8.3,0,2.77,6,1,4,NA,1,1,NA,20,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"78","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,7,"AME","zag","Nulo",0,2.04,0,0,4,1,2,NA,2,4,NA,11,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"79","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,7,"CHA","ata","Provável",2.5,15.23,0.6,7.13,7,1,16,4,1,7,6,11,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"80","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2016/05/01/953543bc5a15bdf924109b07ae3bf85d_FORMATO.png",50324,7,"SAO","mei","Contundido",0,6.13,0,1.6,1,1,3,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,7,"CRU","zag","Provável",8.5,11.8,0.77,4.83,6,2,5,NA,4,4,1,9,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"82","Antonio Eduardo Pereira dos Santos","Kanu",NA,51792,7,"VIT","zag","Nulo",0,3.58,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"83","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2016/04/28/3d30ea7a106ec16adcd2d114cd81b8ef_FORMATO.png",40179,7,"COR","ata","Provável",8.5,17.81,1.47,3.83,6,4,16,2,4,20,3,17,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"84","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2016/05/02/7c83e1833235983b8ce68b95d5c5ca75_FORMATO.png",40990,7,"SAN","tec","Provável",5.75,10.16,0.3,3.34,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,7,"SPO","zag","Provável",0.9,7.55,0.03,1.65,7,1,5,1,NA,4,NA,30,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
