"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","I","PE","RB","A","GC","SG","FT","DD","GS","CV","PP","DP"
"20","Vinícius Soares Eutropio","Vinícius Eutrópio","https://s.glbimg.com/es/sde/f/2016/06/23/6c8885441c553285d3f9f37edc2cfcb7_FORMATO.png",60780,10,"FIG","tec","Provável",4.52,8.68,0.32,3.53,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2016/04/26/c7a8380a02c4515641cb7be29a3a8f5a_FORMATO.png",60784,10,"ATL","mei","Provável",3,10.58,0.23,3.74,9,1,8,1,NA,13,1,NA,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/02/01/5da41b38038ab484b55b7e40fd2f432c_FORMATO.jpeg",53148,10,"SAO","ata","Nulo",1,4.57,-0.1,3.73,7,NA,2,2,5,5,1,1,7,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"23","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2016/04/28/fedb726ec6d4804d5d34bf905cceca24_FORMATO.png",56102,10,"COR","mei","Provável",0,5.81,0,2.38,9,3,14,4,3,2,1,NA,21,13,NA,NA,NA,1,NA,NA,NA,NA,NA
"24","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/30/6dd38f550a44a2bcb5094495271fd09a_FORMATO.png",60788,10,"INT","mei","Nulo",0,3.82,0,0.2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luan Michel de Louzã","Luan","https://s.glbimg.com/es/sde/f/2016/05/01/b382e271d658c1a86a3f257ca46cfb8e_FORMATO.png",60834,10,"PAL","ata","Nulo",0,1.51,0,-0.1,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2016/04/28/667243f1202f23bca573f1ddbb3442e2_FORMATO.png",60819,10,"CRU","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Felipe Azevedo dos Santos","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2016/05/01/b65f07ed24924fb1d54139f6b07a0ec5_FORMATO.png",60825,10,"PON","ata","Provável",1.4,16.41,0.09,5.85,9,NA,6,4,9,20,4,2,33,9,1,1,NA,NA,NA,NA,NA,NA,NA
"28","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2016/04/26/cce286c6b0a6d0a64dfc65ba3363fb6e_FORMATO.png",60969,10,"ATL","lat","Nulo",-1.6,9.4,-1.19,4.52,9,1,8,7,3,2,2,4,26,7,2,NA,1,1,NA,NA,NA,NA,NA
"29","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/09/87bd56b5791b200ec2836ab62d7f49f7_FORMATO.jpeg",52253,10,"FLA","zag","Provável",5.8,6.45,1.24,7.2,3,NA,NA,1,2,1,1,NA,9,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"30","Pablo de Barros Paulino","Pablo","https://s.glbimg.com/es/sde/f/2016/05/09/35384d66b2f806991c3980f871525fe1_FORMATO.png",60794,10,"AME","lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ananias Elói Castro Monteiro","Ananias","https://s.glbimg.com/es/sde/f/2016/04/27/0dead0d45be78ee38c88ac55e4b5a928_FORMATO.png",61135,10,"CHA","ata","Nulo",0,2.56,0,-0.43,3,NA,2,NA,NA,4,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/06/24/06809d7c812c5b48d71d3fe61d7d0cff_FORMATO.png",52674,10,"AME","lat","Dúvida",0,2.27,0,2.9,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Hélder Maurílio da Silva Ferreira","Hélder","https://s.glbimg.com/es/sde/f/2016/05/25/fdff31a5614f6023abc95f0dc2aa6aaa_FORMATO.jpeg",61238,10,"AME","lat","Provável",2.3,3.38,0.55,2.12,9,2,19,NA,1,12,NA,1,30,12,2,NA,1,NA,NA,NA,NA,NA,NA
"34","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2016/04/26/7344204cd574e7abe17afe45a20f8fa3_FORMATO.png",68925,10,"ATL","zag","Provável",2.1,18.25,-0.99,3.77,4,NA,5,1,1,9,NA,NA,7,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"35","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2016/05/09/42de8657b853667a526244f2be9234aa_FORMATO.png",61211,10,"ATL","lat","Nulo",0,7.96,0,3.37,4,NA,5,NA,NA,3,NA,NA,8,7,NA,NA,1,NA,NA,NA,NA,NA,NA
