"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"140","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,11,"FIG","ata","Nulo",0,3.83,-0.2,0.3,3,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,11,"GRE","lat","Provável",-0.2,12.97,-0.46,4.62,6,2,13,NA,18,7,4,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"142","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,11,"SAO","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,11,"SAO","ata","Provável",0,2.75,0,-0.03,9,1,10,12,13,2,NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"144","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/0116bb68ed6ce1217105ff5c37cb6488_FORMATO.jpeg",50369,11,"ATL","mei","Contundido",0,6.08,0,0.32,5,1,3,5,6,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"145","Anderson Angus Aquino","Anderson Aquino","https://s.glbimg.com/es/sde/f/2016/05/20/b0b4962c891176354de801debd50dcad_FORMATO.png",50413,11,"BOT","ata","Nulo",0,3.82,0,1.23,6,2,4,10,8,3,NA,1,NA,NA,2,NA,NA,2,8,NA,NA,NA,NA
"146","Edwin Armando Valencia Rodríguez","Valencia","https://s.glbimg.com/es/sde/f/2016/05/01/19b876352b7c66c50a6b3d872e85257c_FORMATO.png",50417,11,"SAN","mei","Nulo",0,2.43,0,0.5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,11,"PON","zag","Provável",0.7,4.67,-0.04,1.1,11,2,11,10,16,11,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA
"148","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2016/05/01/c368a9b94aee7c5cb8cfbf17493fb20a_FORMATO.png",71719,11,"PON","mei","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,11,"COR","zag","Dúvida",0,4.78,0,3.25,4,1,5,1,8,1,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"150","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,11,"SAO","mei","Contundido",0,2.03,0,-0.6,4,1,8,3,10,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
