"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"199","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2016/04/27/3a84257ee84604c2cff291c1b066a26b_FORMATO.png",94249,11,"CHA","ata","Nulo",0,1.07,0,0.07,3,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"200","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2016/04/27/bdfa01266c1db8f51c4a40573c5ea27a_FORMATO.png",94286,11,"CHA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2016/04/20/f969d90dae6aa636d5e07326a7cb3c9c_FORMATO.png",94138,11,"FLA","ata","Nulo",0,5.9,0,2.87,8,NA,8,9,8,2,NA,5,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA
"202","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,11,"SPO","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,11,"CHA","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2016/05/09/dd5d3e189da3dded80c0cee3231c0eb5_FORMATO.jpeg",94509,11,"COR","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Yan Petter Pereira da Silva","Yan Petter","https://s.glbimg.com/es/sde/f/2016/04/30/714802b0dc9274bf50f058fe93821074_FORMATO.png",94722,11,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Maximiliano Brian Rolón","Maxi Rolón","https://s.glbimg.com/es/sde/f/2016/06/28/b62f57345c57b6539e94e642b8ccf827_FORMATO.jpeg",94649,11,"SAN","ata","Nulo",0,1.76,0,-0.05,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2016/02/15/9014d90f048acbd879798bc652108dd4_FORMATO.jpeg",94583,11,"FLU","ata","Nulo",1.2,1.05,0.05,1.2,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/03/01/56c5c3f0146f152498f9f23857403b33_FORMATO.jpeg",94894,11,"ATL","ata","Nulo",0,0.77,0,-1.05,2,1,2,4,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"209","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,11,"SAO","mei","Contundido",0,10.6,0,3.56,5,1,4,1,6,3,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA
"210","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2016/06/28/49dde3fde0a0256f05f9d0bd52eb976c_FORMATO.jpeg",94765,11,"COR","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Lucas Emanoel Leite Romão","Lucão","https://s.glbimg.com/es/sde/f/2016/04/28/46ff09de149d9642f095549e519260c1_FORMATO.png",94962,11,"CRU","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2016/05/09/47077cf4073dc5319b8e49c87010479b_FORMATO.jpeg",95023,11,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Domilson Cordeiro dos Santos","Dodô","https://s.glbimg.com/es/sde/f/2016/05/09/0f1b6534c01aff71e739f5cac6bb3053_FORMATO.jpeg",94985,11,"COR","lat","Provável",5.3,11.88,0.45,3.33,10,2,4,13,27,12,2,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA
"214","Yago César da Silva","Yago","https://s.glbimg.com/es/sde/f/2016/05/13/63ec665d8c94605033bc8a7f765d373e_FORMATO.png",95126,11,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Matheus Vinicius Matos Nogueira","Matheus Nogueira","https://s.glbimg.com/es/sde/f/2016/04/27/78ec1e03838620b307a5b86148c2cb22_FORMATO.jpeg",95121,11,"GRE","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Vitor Ruas Garrido","Vitinho","https://s.glbimg.com/es/sde/f/2016/05/09/7af1013445c4cc15fd5f4044616d04cd_FORMATO.png",94933,11,"AME","ata","Nulo",0,0.77,0,-0.3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Wildson Silva de Melo","Índio",NA,95180,11,"SPO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2016/05/13/3ed8feee46309c431569eaf3d3deff10_FORMATO.png",95127,11,"ATL","mei","Nulo",0,1.42,0,2.9,1,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","José Vinícius do Santos Silva","Vinícius Bala",NA,95181,11,"SPO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Victor Luiz Prestes Filho","Vitinho",NA,95260,11,"CRU","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Thalis Henrique Cantanhede","Thalis ","https://s.glbimg.com/es/sde/f/2016/05/09/a1a3a7a82484b2a3f7b6388ea8f914cc_FORMATO.jpeg",95022,11,"ATL","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Gregore Magalhães da Silva","Gregore","https://s.glbimg.com/es/sde/f/2016/06/28/e0edf8d3f4727e710d27e56e8a0989a5_FORMATO.jpeg",95464,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Lucas Tolentino Coelho de Lima","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2016/04/20/617d739dd1a0f98c8183bc66cee10d54_FORMATO.png",94930,11,"FLA","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2016/05/01/861e63537ee390314861e3d9e8f3e2f6_FORMATO.png",95335,11,"PON","mei","Provável",-1.5,3.19,-0.29,1.09,9,2,13,8,16,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Leonardo Cereja","Léo Cereja","https://s.glbimg.com/es/sde/f/2016/05/01/8e2be41e6ff47c7f43ca6cfc5566242a_FORMATO.png",95337,11,"PON","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Igor Vinicius de Souza","Igor",NA,95466,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2016/05/09/2d3e08a6de57469515879fd2d364fa37_FORMATO.jpeg",95315,11,"COR","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Fabrício Silva Costa","Fabrício",NA,95539,11,"SPO","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Bruno Leonardo dos Santos Covas","Bruno Leonardo",NA,95620,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Matheus Nolasco de Oliveira Silva","Matheus Nolasco","https://s.glbimg.com/es/sde/f/2016/06/28/2f84a485853ec14d4568e1e77e58e117_FORMATO.jpeg",95465,11,"SAN","ata","Nulo",0,3.25,0,0.82,4,1,1,4,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"231","Rafael Oller Pereira","Rafael Oller","https://s.glbimg.com/es/sde/f/2016/06/28/9cfa51f4c396ed8b06b5d6131fa29050_FORMATO.jpeg",95619,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","danilo ribeiro cardoso","Danilo","https://s.glbimg.com/es/sde/f/2016/06/28/2b372296e8cf8369ba5f80ace96e510a_FORMATO.jpeg",95621,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Lucas Francisco de Lima Silva","Lucão",NA,95623,11,"STC","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Cleber Henrique Pereira dos Santos","Cleber",NA,95625,11,"STC","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Marcus Vinicius Aredes Duarte","Marcus Vinicius",NA,95622,11,"FIG","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Matheus de Jesus Cardoso","Banguelê","https://s.glbimg.com/es/sde/f/2016/05/18/c2c9943a7915bf7aa754518e29478b85_FORMATO.png",95637,11,"SAO","mei","Nulo",0,0.74,0,-1.1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Marcelo da Conceição Benevenuto Malaquias","Marcelo","https://s.glbimg.com/es/sde/f/2016/06/28/dca1cc86e589d31cea6f34c1debc7fb7_FORMATO.jpeg",95638,11,"BOT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Ailton Fagner Mendonça da Silva","Ailton ",NA,95627,11,"STC","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Filipe Rodrigues de Souza Santos","Filipinho","https://s.glbimg.com/es/sde/f/2016/05/13/8d5c16b7b121f5fd67db504d17862635_FORMATO.png",95651,11,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Matheus Silva de Carvalho","Matheus",NA,95626,11,"STC","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Felipe Araruna Hoffman","Felipe Araruna",NA,95660,11,"SAO","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Stoitchkov Ortega Silva de Melo","Ortega",NA,95624,11,"STC","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","José Artur de Lima Júnior","Artur","https://s.glbimg.com/es/sde/f/2016/06/28/9857d5ce7085f8e77dc7e133e26c9bce_FORMATO.jpeg",95659,11,"SAO","mei","Nulo",-1.4,1.18,-1.37,3.2,2,NA,2,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Pedro Gomes Bortoluzo","Pedro",NA,95661,11,"SAO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","João Vitor Brandão Figueiredo","João Figueiredo",NA,95779,11,"ATL","ata","Nulo",0,0.77,0,-0.37,3,1,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Nathanael Ananias da Silva","Nathan",NA,95794,11,"ATL","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Lucas Kal Schenfeld Progioli","Lucas Kal","https://s.glbimg.com/es/sde/f/2016/06/28/729e1834df2c58e399827dd968c022a1_FORMATO.jpeg",95662,11,"SAO","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Vinícius Alexandre Pinto","Vinícius",NA,95663,11,"PON","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Rodney Wallace Burns","Rodney Wallace","https://s.glbimg.com/es/sde/f/2016/05/20/54ab1b25de303ed341714bbd4bf35f88_FORMATO.jpeg",95693,11,"SPO","ata","Provável",20.6,6.41,4.73,3.86,5,NA,5,2,9,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"250","José Ricardo Mannarino","Zé Ricardo","https://s.glbimg.com/es/sde/f/2016/05/28/ecdb60f1e939c6b48905485a4ba94826_FORMATO.jpeg",95780,11,"FLA","tec","Provável",1.85,11.76,-0.67,3.56,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Vitor Hugo Carvalho","Vitinho","https://s.glbimg.com/es/sde/f/2016/06/28/0066a6b82eb2c048ead7c8b148fec04d_FORMATO.jpeg",95770,11,"PAL","mei","Nulo",0,1.57,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Victor Hugo Jenne Allegreto","Victor Hugo","https://s.glbimg.com/es/sde/f/2016/05/20/e301d793ba147e6bd8c90ef5bc72d7a2_FORMATO.png",95694,11,"BOT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Artur Victor Guimarães","Artur","https://s.glbimg.com/es/sde/f/2016/06/28/0a1a8bac3a7b8bc526958b35ff2a32be_FORMATO.jpeg",95799,11,"PAL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Leonardo Rodrigues dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2016/06/28/34411a0d95777a4e5c4de1ba74779a23_FORMATO.jpeg",95820,11,"COR","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Yonatthan Nicolas Rak Barragan","Rak",NA,95829,11,"INT","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Caique da Silva Maria","Caíque",NA,95831,11,"SAO","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Allano Brendon de Souza Lima","Allano","https://s.glbimg.com/es/sde/f/2016/04/28/3085654af6c3a83e8e6538ac7bc78942_FORMATO.png",87391,11,"CRU","ata","Nulo",0.5,2.92,0.11,1.15,6,NA,5,8,7,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Marcos de Almeida","Marcos","https://s.glbimg.com/es/sde/f/2016/06/28/210eaa04ca1501fb8f61ad65809e8bdd_FORMATO.jpeg",95832,11,"GRE","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Messias Rodrigues da Silva Júnior","Messias","https://s.glbimg.com/es/sde/f/2016/05/09/6068d0d51d95cf9603bbaf09042e0580_FORMATO.png",87402,11,"AME","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/09/08d7db2748121ab1683da235cfa4a04f_FORMATO.png",87393,11,"ATL","zag","Nulo",0,9.53,0,3.08,5,2,7,7,13,7,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"261","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2016/05/01/a116ae1e36ff02160719ea8f1160f811_FORMATO.png",62129,11,"SAO","mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Jonatan Ezequiel Cristaldo","Cristaldo","https://s.glbimg.com/es/sde/f/2016/05/01/9fad411cf18bdd76682bcfa1065f111a_FORMATO.png",87420,11,"PAL","ata","Nulo",-1,3.32,-0.28,1.9,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA
"263","Guilherme Gimenez de Souza","Gimenez","https://s.glbimg.com/es/sde/f/2016/04/27/4fdb59e5497a1dda24a3556643f0b8f6_FORMATO.png",87482,11,"CHA","lat","Provável",-1.1,4.14,-0.92,1.31,10,2,9,15,25,7,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"264","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2016/06/28/a40f203dc74ba8f363f234170bc7da6c_FORMATO.jpeg",87486,11,"SAO","lat","Nulo",0.4,6.52,-1.04,3.04,11,1,25,10,26,11,5,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"265","Mário Sérgio Gomes de Souza","Mário Sérgio","https://s.glbimg.com/es/sde/f/2016/05/31/3b6bca08560a2902b70cd3a5e2e6c0fd_FORMATO.png",87399,11,"STC","lat","Nulo",0.6,2.15,0.19,-0.45,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Tiago Machowski","Tiago","https://s.glbimg.com/es/sde/f/2016/04/30/5dd1148fbd2c5986525de747fb4ea80d_FORMATO.png",87611,11,"GRE","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,11,"SAN","mei","Provável",9.5,12.8,0.8,5.84,11,2,10,13,49,12,NA,8,NA,NA,7,5,1,1,NA,NA,NA,NA,NA
"268","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2016/04/29/9e75041c82af99e71fd7136bf58eb73d_FORMATO.png",87747,11,"FIG","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Antônio Francisco Moura Neto","Neto Moura","https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png",87742,11,"SPO","mei","Nulo",0,2.35,0,-0.8,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2016/04/28/46ed32bd9a832044312ff5fad5d41e2e_FORMATO.png",87887,11,"COR","zag","Provável",4.1,3.4,0.53,1.12,5,3,9,2,8,3,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"271","Federico Gino Acevedo Fagundez","Federico Gino","https://s.glbimg.com/es/sde/f/2016/04/29/07f205bd47120a9677a25b343417f3e7_FORMATO.png",87860,11,"CRU","mei","Nulo",0,5.6,0,0.55,2,NA,1,NA,6,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"272","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2016/04/28/34e8365db550908af5ae08bc890c103c_FORMATO.png",87863,11,"CRU","mei","Provável",6.5,19.71,-1.19,7.84,10,2,12,18,49,21,NA,12,NA,NA,7,4,3,NA,1,1,NA,NA,NA
"273","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2016/04/28/20284e957be3b188a80da6385901f248_FORMATO.jpeg",88136,11,"PON","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Ramon Menezes Roma","Ramon","https://s.glbimg.com/es/sde/f/2016/05/01/bf444d7eaf1a2853f33faef276c4a9a0_FORMATO.png",88087,11,"VIT","zag","Nulo",3.5,5.66,0.55,2.9,11,NA,11,9,16,16,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"275","Lucas Gomes Vieira","Lucas Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/d2700d0a987c9b99bcbb22152d7de341_FORMATO.png",88129,11,"STC","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Sergio Antonio Soler de Oliveira Junior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/fa05ac08f743ed624141c8512c854926_FORMATO.png",88002,11,"SAN","mei","Nulo",0,2.51,0,1.24,5,NA,2,3,1,3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"277","Isaac Oliveira Prado","Isaac","https://s.glbimg.com/es/sde/f/2016/06/28/38222ed7dab0cac62c7f863fd6d0aab7_FORMATO.jpeg",88140,11,"COR","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2016/04/29/6e433eb3cd2ccb3fe639c110479ebf7c_FORMATO.png",87999,11,"FLU","mei","Provável",2.6,13.2,0.17,3.89,11,NA,10,11,69,11,NA,14,NA,NA,9,2,2,NA,1,NA,NA,NA,NA
"279","Hélder Maurílio da Silva Ferreira","Hélder","https://s.glbimg.com/es/sde/f/2016/05/25/fdff31a5614f6023abc95f0dc2aa6aaa_FORMATO.jpeg",61238,11,"AME","lat","Nulo",0,3.38,0,2.12,9,2,19,12,30,12,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA
"280","Jorge Marco de Oliveira Moraes","Jorge","https://s.glbimg.com/es/sde/f/2016/04/20/fcce4bf95de7ba74ee7d3cee0dc27bd2_FORMATO.png",88065,11,"FLA","lat","Provável",3,18.79,-0.87,4.7,11,1,9,11,27,18,4,1,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA
"281","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2016/05/01/34831256992fc14506e63c0ef90d673a_FORMATO.png",93146,11,"VIT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2016/05/01/35cbb038a295b3d40644676a8319a4fe_FORMATO.png",62047,11,"PAL","mei","Dúvida",0,11.12,0,4.47,10,1,13,4,23,18,NA,5,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA
"283","Ariel Gerardo Nahuelpán Osten","Ariel  Nahuelpán","https://s.glbimg.com/es/sde/f/2016/06/28/ea18264ea6b3c6385b797a918af9f50a_FORMATO.png",61999,11,"INT","ata","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,11,"BOT","mei","Contundido",-0.4,4.99,0.07,0.03,4,1,6,5,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Everton Kempes dos Santos Gonçalves","Kempes","https://s.glbimg.com/es/sde/f/2016/04/27/bad8378ed9eb0504e46152d7d251bf29_FORMATO.png",62056,11,"CHA","ata","Nulo",0,4.12,0,1.13,3,NA,3,NA,3,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"286","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2016/04/20/5d1ebbea8911da836ce3d8d5750ed585_FORMATO.png",62086,11,"FLA","lat","Nulo",3.9,4.46,-0.07,4.95,2,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Fernando Camilo Farias","Camilo","https://s.glbimg.com/es/sde/f/2016/06/28/8a03ee3ad9899f775f55818fc2c7e956_FORMATO.jpeg",62009,11,"BOT","mei","Provável",15.9,11.36,4.36,15.9,1,NA,1,1,4,1,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"288","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,11,"CRU","mei","Contundido",0,6.65,0,4.13,3,NA,1,3,10,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"289","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2016/05/30/c305f57716ad3736b7ff1a84ee695ab2_FORMATO.png",62130,11,"FLU","lat","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
