"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"1","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,14,"PAL","tec","Provável",1.74,13.68,-0.31,4.26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,14,"PAL","mei","Provável",2.5,8.6,0.03,2.19,9,1,2,13,1,13,1,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,14,"FLU","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,14,"FLU","ata","Nulo",0.1,5.54,-0.28,2.12,11,1,NA,4,4,6,2,17,3,4,1,1,NA,NA,NA,NA,NA,NA,NA
"5","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,14,"STC","gol","Provável",11,7.87,2.38,2.16,14,NA,1,NA,NA,2,NA,6,NA,NA,NA,NA,21,20,2,NA,NA,NA,NA
"6","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,14,"SAO","lat","Provável",0,9.01,0,3.65,10,2,2,15,NA,13,NA,33,12,1,NA,NA,NA,NA,4,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,14,"FLA","zag","Nulo",0,12.95,0,3.7,3,NA,1,1,NA,2,NA,3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"8","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/07/13/0123f8e7423b5fa6c0cfed8f9932062e_FORMATO.png",49737,14,"STC","mei","Nulo",0,6.71,0,0.69,7,NA,1,5,1,4,NA,25,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"9","Ernando Rodrigues Lopes","Ernando","https://s.glbimg.com/es/sde/f/2016/04/30/4281780d649686f58d2350aa3f372023_FORMATO.png",49651,14,"INT","zag","Provável",3.6,12.11,0.12,4.7,14,2,2,10,4,4,NA,26,14,3,NA,2,NA,NA,5,NA,NA,NA,NA
"10","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2016/06/28/4bfcde55b9052618ae82d46dc33d27dd_FORMATO.jpeg",49674,14,"PAL","lat","Nulo",0,6.56,0,0.97,3,NA,1,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,14,"ATL","tec","Provável",6.22,7.33,0.65,3.29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,14,"SPO","tec","Provável",0.87,7.67,0.07,2.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2016/04/28/5d7d807595168812606d2dcce7462db9_FORMATO.png",42500,14,"COR","lat","Provável",11.8,24.75,1.41,6.21,14,3,2,19,2,19,NA,74,31,1,NA,1,NA,NA,7,NA,NA,NA,NA
"14","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,14,"ATL","zag","Provável",5.6,4.07,1.08,5.24,7,NA,1,6,3,5,NA,19,4,NA,NA,2,NA,NA,4,NA,NA,NA,NA
"15","Alexandre Rodrigues da Silva","Alexandre Pato",NA,49675,14,"COR","ata","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2016/04/29/c60e01cd155db8e33220d9f2a9027f44_FORMATO.png",50313,14,"FIG","mei","Provável",0.8,7.5,-0.36,1.9,12,NA,3,12,1,13,NA,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,14,"PON","mei","Nulo",0,4.22,0,1.4,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2016/04/28/dffdad9720aa2f03053bdd0270fb8787_FORMATO.png",50294,14,"COR","mei","Dúvida",1.2,13.06,-0.75,2.9,14,2,2,11,7,16,NA,53,11,5,1,2,NA,NA,NA,NA,NA,NA,NA
"19","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2016/04/28/451b957d5e77145a9740c1dd14e810fb_FORMATO.png",50284,14,"COR","gol","Provável",7.7,11.2,-0.49,5.06,14,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,28,18,5,NA,NA,NA,NA
"20","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2016/05/01/7bca046ddd8602f61aef411fe78c444b_FORMATO.png",50317,14,"SAN","zag","Nulo",0,8.3,0,2.77,6,NA,1,4,1,1,NA,20,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"21","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,14,"FIG","ata","Nulo",-1.1,3.56,-0.55,0.37,6,NA,NA,4,2,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,14,"GRE","lat","Provável",3,13.81,-0.69,4.89,9,NA,2,18,2,2,1,23,15,NA,1,1,NA,NA,5,NA,NA,NA,NA
"23","Rafael Ramos de Lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2016/04/27/6e9382dfa32bee612bc70217b093b2b6_FORMATO.png",50361,14,"CHA","zag","Contundido",0,6.42,0,3.93,4,1,1,1,1,1,NA,5,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"24","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,14,"CRU","lat","Provável",-0.3,0.79,-0.44,-0.45,9,1,2,20,3,9,1,28,6,2,NA,NA,NA,NA,1,2,NA,NA,NA
"25","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2016/04/20/837d4d1c4d5f3460f897e9a3689ab070_FORMATO.png",50301,14,"FLA","mei","Nulo",0,11.59,0,1.65,11,1,2,18,5,11,6,26,14,1,NA,1,NA,NA,NA,1,NA,NA,NA
"26","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2016/05/01/953543bc5a15bdf924109b07ae3bf85d_FORMATO.png",50324,14,"SAO","mei","Provável",6.8,5.99,1.43,2.13,3,NA,2,6,2,5,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/07/12/d58f34794f5686238b247c2cc8e17992_FORMATO.png",50369,14,"ATL","mei","Nulo",0,6.08,0,0.32,5,NA,1,3,1,5,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2016/07/14/5308c457fe16698347191038ab1e42ea_FORMATO.png",50407,14,"FLU","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,14,"SAO","ata","Nulo",15.4,6.56,2.66,2.37,12,NA,1,16,7,21,8,16,2,1,1,3,NA,NA,NA,NA,NA,NA,NA
"30","Anderson Angus Aquino","Anderson Aquino","https://s.glbimg.com/es/sde/f/2016/05/20/b0b4962c891176354de801debd50dcad_FORMATO.png",50413,14,"BOT","ata","Nulo",0,3.82,0,1.23,6,NA,2,4,1,10,8,8,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"31","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,14,"SAO","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,14,"SAO","mei","Nulo",3.1,2.62,-0.02,0.83,6,NA,2,10,2,7,NA,16,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Willian Thiego de Jesus","Thiego","https://s.glbimg.com/es/sde/f/2016/04/27/106a8b39bab2f5fc4f76145e87e57147_FORMATO.png",50393,14,"CHA","zag","Suspenso",-2.7,4.67,-1.17,3.26,13,NA,1,16,2,10,NA,39,13,3,1,3,NA,NA,3,2,NA,NA,NA
"34","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,14,"COR","zag","Contundido",0,4.78,0,3.25,4,NA,1,5,1,1,NA,8,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA
"35","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,14,"PON","zag","Contundido",0,5.6,0,1.47,12,NA,2,11,1,11,NA,16,11,3,NA,NA,NA,NA,2,NA,1,NA,NA
"36","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/06/20/c1c5199c8b8b470dd795f1f68800b8f0_FORMATO.png",50462,14,"INT","zag","Nulo",0,2.33,0,-0.1,1,NA,NA,5,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Sérgio Antônio Borges Júnior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/e717b60b7c1428ab394b5a7000b297c8_FORMATO.png",50454,14,"SPO","mei","Provável",-0.3,9.32,-0.49,3.5,11,NA,3,19,5,31,NA,26,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,14,"ATL","lat","Nulo",0,4.64,0,2.67,4,1,3,5,1,7,1,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Edwin Armando Valencia Rodríguez","Valencia","https://s.glbimg.com/es/sde/f/2016/05/01/19b876352b7c66c50a6b3d872e85257c_FORMATO.png",50417,14,"SAN","mei","Nulo",0,2.43,0,0.5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,14,"SAO","gol","Provável",5,8.72,0.81,3.75,13,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,17,13,5,NA,NA,NA,NA
"41","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,14,"FLU","zag","Provável",6.1,11.52,-0.25,3.75,14,NA,1,6,5,7,NA,20,13,1,1,NA,NA,NA,6,NA,NA,NA,NA
"42","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,14,"CRU","zag","Nulo",0,1.99,0,0.9,2,NA,1,2,3,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,14,"BOT","zag","Nulo",0,4.86,0,2.29,12,NA,NA,17,1,12,NA,30,19,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"44","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2016/04/26/765a5089ecb5053c65f7168963c61b74_FORMATO.png",51318,14,"ATL","mei","Contundido",0,8.06,0,3.79,8,1,2,9,NA,12,NA,28,16,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"45","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,14,"COR","gol","Nulo",0,12.43,0,6.11,8,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,13,5,4,NA,NA,NA,NA
"46","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,14,"PAL","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/06/30/fd592a8e7b5a3cb16cb540818553ec88_FORMATO.png",51476,14,"CHA","mei","Nulo",0,9.65,0,2.63,8,NA,2,12,4,7,3,7,9,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"48","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,14,"PON","zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/28/b3229ad78369684e9d9ac48e51678043_FORMATO.jpeg",52253,14,"FLA","zag","Provável",8.6,7.58,1.25,5.57,7,NA,1,4,4,3,NA,13,8,1,NA,1,NA,NA,4,NA,NA,NA,NA
"50","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2016/07/06/4faace6696532f4a33c9058a22fc4b00_FORMATO.png",51792,14,"VIT","zag","Contundido",3,3.44,0.76,1.58,6,NA,3,13,4,4,3,14,7,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"51","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,14,"CHA","ata","Provável",-0.8,14.27,-0.46,4.75,14,NA,1,27,6,18,8,17,10,5,NA,7,NA,NA,NA,NA,NA,NA,NA
"52","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,14,"AME","zag","Provável",0,4.2,0,2.84,8,1,3,14,2,9,NA,30,7,1,NA,2,NA,NA,1,NA,NA,NA,NA
"53","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/06/24/06809d7c812c5b48d71d3fe61d7d0cff_FORMATO.png",52674,14,"AME","lat","Nulo",1,2.08,-0.01,1.35,4,NA,NA,NA,NA,5,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,14,"AME","zag","Nulo",0,2,0,0.28,5,NA,1,4,2,6,1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,14,"GRE","mei","Provável",3.3,14.58,0.4,5.24,14,2,NA,14,8,10,2,49,17,11,1,4,NA,NA,NA,NA,NA,NA,NA
"56","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,14,"CHA","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,14,"CRU","zag","Provável",1.7,9.82,0.28,3.29,10,NA,3,10,6,4,NA,19,15,NA,NA,1,NA,NA,2,NA,NA,NA,NA
"58","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2016/04/26/832210cff768e7a0bcc99eadd2bf79d1_FORMATO.png",52950,14,"ATL","gol","Provável",-4,9.54,-0.62,0.31,13,NA,NA,NA,NA,1,NA,11,1,NA,NA,NA,13,22,2,NA,NA,NA,NA
"59","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/06/28/e35194e5109e803d5a43e80e3ffdea81_FORMATO.jpeg",53148,14,"SAO","ata","Provável",-0.6,4.38,0.21,2.74,11,NA,1,3,6,5,1,9,8,5,1,1,NA,NA,NA,NA,NA,NA,NA
"60","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2016/04/28/fedb726ec6d4804d5d34bf905cceca24_FORMATO.png",56102,14,"COR","mei","Provável",2.7,6.13,0.2,1.65,13,NA,5,25,7,5,NA,32,18,4,1,1,NA,NA,NA,NA,NA,NA,NA
"61","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2016/05/01/888bd2ad97a3e922521ae1bf34c965bd_FORMATO.png",54797,14,"SPO","ata","Nulo",0,2.77,0,0.32,5,NA,NA,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2016/06/28/53d1f07a9ec5a64b1002bc9672260167_FORMATO.jpeg",54395,14,"COR","mei","Nulo",0,11.44,0,0.67,3,NA,1,2,5,2,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Edmílson dos Santos Silva","Edmílson","https://s.glbimg.com/es/sde/f/2016/07/08/3b8990821b2206ca3ece042ae9fcbbf2_FORMATO.png",55519,14,"SPO","ata","Dúvida",0,6.36,-0.05,2.21,11,NA,2,9,6,10,8,13,5,7,NA,2,NA,NA,NA,NA,NA,NA,NA
"64","Nirley da Silva Fonseca","Nirley","https://s.glbimg.com/es/sde/f/2016/04/29/1aa0b74d53267e417eace37b1fdc4cee_FORMATO.png",62971,14,"FIG","zag","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Cristóvão Borges dos Santos","Cristóvão Borges","https://s.glbimg.com/es/sde/f/2016/07/08/bde7a7052c1ce00fbf0665cb3ab83cbc_FORMATO.png",60752,14,"COR","tec","Provável",6.43,14.35,0.11,5.59,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2016/07/13/32629a6c4a7033ebefa4459b70d19e86_FORMATO.png",53669,14,"FIG","ata","Contundido",0,3.15,0,2.02,6,1,NA,4,1,7,1,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,14,"COR","mei","Nulo",0,4.66,0,0.37,3,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/30/6dd38f550a44a2bcb5094495271fd09a_FORMATO.png",60788,14,"INT","mei","Nulo",0,3.92,0,2.2,2,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2016/04/26/c7a8380a02c4515641cb7be29a3a8f5a_FORMATO.png",60784,14,"ATL","mei","Provável",2.1,10.11,-0.47,3.58,10,NA,1,10,NA,13,NA,17,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"70","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2016/04/26/cce286c6b0a6d0a64dfc65ba3363fb6e_FORMATO.png",60969,14,"ATL","lat","Nulo",0,9.61,-0.42,4.01,12,2,1,11,3,3,4,29,9,8,1,2,NA,NA,2,NA,NA,NA,NA
"71","Wanderley de Jesus Sousa","Derley","https://s.glbimg.com/es/sde/f/2016/07/06/0825d5f11a2ec998e11fb901297e2d90_FORMATO.png",60791,14,"STC","mei","Nulo",1.2,3.51,-0.49,1.2,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2016/04/28/667243f1202f23bca573f1ddbb3442e2_FORMATO.png",60819,14,"CRU","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2016/04/28/8d01a11770a124d6d1f9432e0d2cc9eb_FORMATO.png",61033,14,"COR","mei","Provável",6.8,8.16,-0.58,4.04,9,1,NA,8,6,15,NA,27,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"74","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/07/15/45ccc9168eb3c040a3098b28bb764ce9_FORMATO.png",61188,14,"SAO","ata","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Felipe Azevedo dos Santos","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2016/05/01/b65f07ed24924fb1d54139f6b07a0ec5_FORMATO.png",60825,14,"PON","ata","Contundido",0,16.78,0,4.98,11,1,1,10,10,21,2,38,9,6,NA,5,NA,NA,NA,NA,1,1,NA
"76","Pablo de Barros Paulino","Pablo","https://s.glbimg.com/es/sde/f/2016/05/09/35384d66b2f806991c3980f871525fe1_FORMATO.png",60794,14,"AME","lat","Provável",4.2,4.09,0.53,3.1,2,NA,NA,1,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ananias Elói Castro Monteiro","Ananias","https://s.glbimg.com/es/sde/f/2016/04/27/0dead0d45be78ee38c88ac55e4b5a928_FORMATO.png",61135,14,"CHA","ata","Provável",-0.6,3.21,-0.78,2.07,7,NA,1,10,NA,8,1,14,6,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"78","Uendel Pereira Gonçalves","Uendel","https://s.glbimg.com/es/sde/f/2016/04/28/32ce15929c8ce3e8a780390968bf42cc_FORMATO.png",60852,14,"COR","lat","Provável",4.6,14.19,-0.95,5.45,14,2,1,12,1,8,2,49,19,2,NA,2,NA,NA,7,NA,NA,NA,NA
"79","Luan Michel de Louzã","Luan","https://s.glbimg.com/es/sde/f/2016/05/01/b382e271d658c1a86a3f257ca46cfb8e_FORMATO.png",60834,14,"PAL","ata","Nulo",0,1.87,0,1.1,2,NA,NA,1,NA,3,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,14,"BOT","lat","Provável",10.1,10.38,1.31,4.94,12,3,1,1,1,5,NA,47,21,5,2,NA,NA,NA,2,NA,NA,NA,NA
"81","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2016/04/28/fcb4a31eaeed96a5abb3056b698207d1_FORMATO.png",61149,14,"COR","ata","Contundido",0,7.83,0,3.92,5,NA,NA,6,6,4,NA,10,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"82","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,14,"BOT","mei","Provável",0.6,4.94,-0.05,0.14,5,NA,2,9,1,8,NA,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2016/05/01/35cbb038a295b3d40644676a8319a4fe_FORMATO.png",62047,14,"PAL","mei","Provável",-0.6,10,-0.11,3.62,12,1,1,14,6,5,1,28,18,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"84","Hélder Maurílio da Silva Ferreira","Hélder","https://s.glbimg.com/es/sde/f/2016/07/13/7c461e147cdddb6e1af78ddb2319313c_FORMATO.png",61238,14,"AME","lat","Nulo",0,3.38,0,2.12,9,2,2,19,1,12,1,30,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"85","Ariel Gerardo Nahuelpán Osten","Ariel  Nahuelpán","https://s.glbimg.com/es/sde/f/2016/07/12/b450ff3f74316c074bdb6f34d05fb513_FORMATO.png",61999,14,"INT","ata","Nulo",3.1,6.53,-0.47,3.1,1,NA,NA,1,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2016/07/06/7cd7c8f13aeaaec177b96f9c905ae109_FORMATO.png",62024,14,"CRU","lat","Provável",-0.8,3.58,-1.42,-0.8,1,NA,NA,2,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
