"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"574","Antônio Francisco Moura Neto","Neto Moura","https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png",87742,14,"SPO","mei","Nulo",0,2.35,0,-0.8,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2016/04/29/9e75041c82af99e71fd7136bf58eb73d_FORMATO.png",87747,14,"FIG","mei","Provável",0,1.97,0,-3.1,2,NA,NA,9,NA,7,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"576","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2016/04/28/34e8365db550908af5ae08bc890c103c_FORMATO.png",87863,14,"CRU","mei","Suspenso",1.6,19.32,-1.65,7.52,13,3,3,16,13,27,1,65,28,10,NA,5,NA,NA,NA,NA,NA,1,NA
"577","Federico Gino Acevedo Fagundez","Federico Gino","https://s.glbimg.com/es/sde/f/2016/04/29/07f205bd47120a9677a25b343417f3e7_FORMATO.png",87860,14,"CRU","mei","Nulo",-0.3,4.53,-0.07,0.02,4,NA,NA,2,1,2,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2016/04/28/46ed32bd9a832044312ff5fad5d41e2e_FORMATO.png",87887,14,"COR","zag","Provável",5,4.69,0.43,3.37,8,2,3,11,2,2,1,13,5,2,NA,NA,NA,NA,4,NA,NA,NA,NA
"579","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2016/04/29/6e433eb3cd2ccb3fe639c110479ebf7c_FORMATO.png",87999,14,"FLU","mei","Contundido",0,12.92,0,3.47,13,2,NA,12,16,14,2,86,14,10,NA,2,NA,NA,NA,NA,NA,NA,NA
"580","Jorge Marco de Oliveira Moraes","Jorge","https://s.glbimg.com/es/sde/f/2016/04/20/fcce4bf95de7ba74ee7d3cee0dc27bd2_FORMATO.png",88065,14,"FLA","lat","Provável",12.3,20.93,1.75,5.62,14,NA,1,13,1,13,1,35,30,2,NA,1,NA,NA,6,NA,NA,NA,NA
"581","Vinicius Rodolfo de Souza Oliveira","Vinícius Tanque","https://s.glbimg.com/es/sde/f/2014/07/10/90204d7ecca027623a6dabdbf39ca8b9_FORMATO.jpeg",88651,14,"BOT","ata","Nulo",-0.5,1.35,-0.65,-0.5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,14,"SAN","mei","Nulo",0,3.5,0,1.4,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2016/04/28/20284e957be3b188a80da6385901f248_FORMATO.jpeg",88136,14,"PON","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","Paulo Ricardo Ferreira","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2016/05/01/55a7c3efa93f25e94238147e784e436c_FORMATO.png",88224,14,"SAN","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","Luan Polli Gomes","Luan Polli ","https://s.glbimg.com/es/sde/f/2016/04/29/310dae26f567a9157425550aee7144d7_FORMATO.png",88916,14,"FIG","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Ramon Menezes Roma","Ramon","https://s.glbimg.com/es/sde/f/2016/05/01/bf444d7eaf1a2853f33faef276c4a9a0_FORMATO.png",88087,14,"VIT","zag","Provável",0,3.69,0,2.07,13,NA,NA,14,NA,9,NA,20,17,3,1,NA,NA,NA,1,1,NA,NA,NA
"587","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2016/05/01/eb94bb8c5d05bfa2c6196961a8686f0f_FORMATO.png",88225,14,"SAN","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Jucemar de Oliveira Cordeiro Júnior","Júnior Oliveira","https://s.glbimg.com/es/sde/f/2016/05/25/1292ee827e916cf85996f638132cb5ed_FORMATO.png",88848,14,"FIG","gol","Nulo",0,8.09,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"589","Gabriel Fernando de Jesus","Gabriel Jesus","https://s.glbimg.com/es/sde/f/2016/05/04/f14c5868bfb9bd13406d556de657b9e8_FORMATO.png",89154,14,"PAL","ata","Provável",0,31.43,0,8.75,13,3,3,35,10,48,13,35,9,13,NA,10,NA,NA,NA,NA,NA,NA,NA
"590","Luiz de Araujo Guimaraes Neto","Luiz Araújo","https://s.glbimg.com/es/sde/f/2016/06/28/d04aecda981fb0bfc0a4ad62d633777c_FORMATO.jpeg",82627,14,"SAO","mei","Nulo",17.5,5.35,3.62,3.82,6,2,NA,4,5,1,1,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Isaac Oliveira Prado","Isaac","https://s.glbimg.com/es/sde/f/2016/06/28/38222ed7dab0cac62c7f863fd6d0aab7_FORMATO.jpeg",88140,14,"COR","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","Bruno Sávio da Silva","Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/7dd962f353ef61652ad5f8a79da0ca3c_FORMATO.png",89101,14,"AME","ata","Nulo",0,3.99,0,1.62,8,NA,1,7,2,2,NA,8,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"593","Adrián Ricardo Centurión","Centurión","https://s.glbimg.com/es/sde/f/2016/05/01/4beae587728cc6f31ddd73ed7df97170_FORMATO.png",88269,14,"SAO","ata","Provável",5.9,9.36,0.73,2.63,12,2,NA,7,10,28,5,37,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
