"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","PE","RB","FS","A","FD","FF","I","SG","G","FT","DD","GS","PP","CV","DP","GC"
"584","Nery Bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2016/05/09/626dd23e9d5d7bad2b97174f912d48ba_FORMATO.jpeg",79276,9,"COR","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","Elisson Aparecido Rosa","Elisson","https://s.glbimg.com/es/sde/f/2016/05/25/3554792f7d6370422f0d6500155cbe09_FORMATO.jpeg",79048,9,"COR","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Roger Machado Marques","Roger Machado ","https://s.glbimg.com/es/sde/f/2016/04/30/fc8bf97ea73c1e25340aab3eea55ab35_FORMATO.png",79437,9,"GRE","tec","Provável",6.55,14.93,0.48,4.96,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Bruno Alexandre Marques Pereirinha","Bruno Pereirinha","https://s.glbimg.com/es/sde/f/2016/04/26/ee91ba67f57ac8cd752447e02b432bb6_FORMATO.png",79646,9,"ATL","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Joeliton Lima Santos","Mansur","https://s.glbimg.com/es/sde/f/2016/04/26/a1736bf3043f5d519fac6ef52552b618_FORMATO.png",79553,9,"ATL","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2016/05/20/5c565cea17e3c15bc1b3b52893f19c4f_FORMATO.png",79578,9,"BOT","ata","Contundido",0.4,6.97,-4,5.77,7,1,9,6,4,6,NA,4,2,4,NA,4,1,NA,NA,NA,NA,NA,NA
"590","Bruno da Mota Miranda","Bruno Mota","https://s.glbimg.com/es/sde/f/2015/10/26/aa67c9f3b49a92291155fe8fce73e5a6_FORMATO.png",86765,9,"ATL","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Douglas dos Santos Justino de Melo","Douglas Santos","https://s.glbimg.com/es/sde/f/2016/05/09/9f0bdd83abab57f4975c9902282e8a0a_FORMATO.png",79826,9,"ATL","lat","Provável",5,11.79,0.51,3.07,3,1,3,10,4,3,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"592","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2016/06/18/20af893931cbb5cdd670f007ace7065d_FORMATO.png",86797,9,"CRU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","Antonio Carlos Cunha Capocasali Júnior","Antonio Carlos ","https://s.glbimg.com/es/sde/f/2016/05/13/0ecf2108bd8ddd8c2893b22ed1866b09_FORMATO.png",79702,9,"PON","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2016/05/09/8d1e5357a150ae34a3e7f1235bf81f8a_FORMATO.png",81223,9,"ATL","zag","Provável",5.4,6.07,0.09,2.5,2,NA,NA,4,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"595","Sergio Antonio Soler de Oliveira Junior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/fa05ac08f743ed624141c8512c854926_FORMATO.png",88002,9,"SAN","mei","Nulo",0,2.51,0,1.24,5,NA,2,1,3,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2016/04/29/6e433eb3cd2ccb3fe639c110479ebf7c_FORMATO.png",87999,9,"FLU","mei","Provável",11.6,14.66,2.27,4.33,9,NA,10,64,10,10,2,8,11,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"597","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2016/05/30/c3a1a9103a8737f15fd42e4bd9b7599b_FORMATO.png",79066,9,"FLA","gol","Provável",-4,5.27,-2.16,3.68,6,NA,NA,3,NA,2,NA,NA,NA,NA,2,NA,NA,8,6,NA,NA,NA,NA
"598","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,9,"SPO","zag","Nulo",0,5.58,0,0.57,3,NA,8,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Ramon Menezes Roma","Ramon","https://s.glbimg.com/es/sde/f/2016/05/01/bf444d7eaf1a2853f33faef276c4a9a0_FORMATO.png",88087,9,"VIT","zag","Provável",6.3,5.89,0.82,3.06,9,NA,9,15,15,8,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"600","Iago Justen Maidana Martins","Iago Maidana","https://s.glbimg.com/es/sde/f/2016/05/01/b7a6ac34682337402608ab557eddce32_FORMATO.jpeg",89226,9,"SAO","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","Jorge Marco de Oliveira Moraes","Jorge","https://s.glbimg.com/es/sde/f/2016/04/20/fcce4bf95de7ba74ee7d3cee0dc27bd2_FORMATO.png",88065,9,"FLA","lat","Provável",-0.6,18.09,-1.3,4.49,9,1,8,22,14,8,NA,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA
"602","Allan Vieira Reis","Allan ","https://s.glbimg.com/es/sde/f/2016/05/01/dfc551b1b4c6fb512cde5bc9b3c1e0b3_FORMATO.png",86779,9,"STC","lat","Nulo",0,2.98,0,-0.3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","Lucas Gomes Vieira","Lucas Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/d2700d0a987c9b99bcbb22152d7de341_FORMATO.png",88129,9,"STC","mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Maikel Daniel Costa ","Daniel Costa","https://s.glbimg.com/es/sde/f/2016/05/01/2852685afd52f5ee15e93523ef2b5a6f_FORMATO.png",79077,9,"STC","mei","Nulo",0.7,2.51,-0.11,0.9,2,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2016/04/28/20284e957be3b188a80da6385901f248_FORMATO.jpeg",88136,9,"PON","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Josué de Oliveira Almeida","Josué","https://s.glbimg.com/es/sde/f/2016/05/01/443cd145ec9c00b3135b3ffe62d9cd00_FORMATO.png",81543,9,"VIT","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Paulo Ricardo Ferreira","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2016/05/01/55a7c3efa93f25e94238147e784e436c_FORMATO.png",88224,9,"SAN","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2016/05/09/9cc66ac9c0e3b1aa96f2a58610743699_FORMATO.png",81682,9,"ATL","mei","Provável",11.3,13.16,0.42,8.4,3,1,3,17,NA,2,1,2,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"609","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,9,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","Isaac Oliveira Prado","Isaac","https://s.glbimg.com/es/sde/f/2016/04/28/f86e733de500cd4620aafa817a6e648e_FORMATO.jpeg",88140,9,"COR","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Raphael David Thomaz","Raphinha","https://s.glbimg.com/es/sde/f/2016/05/30/d1ded0ddc810e7ee6c8579efdbaa1e42_FORMATO.png",78868,9,"INT","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Luiz Eduardo dos Santos Gonzaga","Dudu","https://s.glbimg.com/es/sde/f/2016/04/29/b704675962ac6d5e0b924179fd6b076c_FORMATO.png",78967,9,"FIG","ata","Provável",0,4.98,0,0.98,8,3,11,13,5,18,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"613","Edson Kölln","Edson Kölln","https://s.glbimg.com/es/sde/f/2016/05/01/c36af0e7ee65907c7419352b5fbc6679_FORMATO.png",78979,9,"STC","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Rodrigo Dourado Cunha","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2016/04/30/125a07d72be4705ac75309652609a92e_FORMATO.png",78865,9,"INT","mei","Provável",1.5,9.2,-1.06,3.2,3,NA,6,4,7,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Moisés Ribeiro Santos","Moisés","https://s.glbimg.com/es/sde/f/2016/04/27/23000de814513259c7b14080e5957a10_FORMATO.png",78991,9,"CHA","mei","Provável",2.4,3.41,0.47,0.9,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Marcelo Augusto Mathias da Silva","Marcelo","https://s.glbimg.com/es/sde/f/2016/04/27/2ff3f8fd47b927f6e7aaefc9020fd98c_FORMATO.png",78895,9,"CHA","zag","Provável",2.6,7.14,0.73,1.85,9,2,10,10,8,4,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"617","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2016/05/01/a0829f0801ed8f6ec3f080d37c905d4f_FORMATO.png",78855,9,"PAL","mei","Provável",2.2,5.28,0.57,3.46,5,2,11,4,10,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"618","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2016/05/01/eb94bb8c5d05bfa2c6196961a8686f0f_FORMATO.png",88225,9,"SAN","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Eduardo Henrique da Silva","Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/87e35bd6199717635fc3e63b529f9977_FORMATO.png",78994,9,"ATL","mei","Nulo",0,7.26,0,3.3,2,1,3,4,4,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2016/05/01/7c68f11162db883d1bca790a596547c2_FORMATO.png",86519,9,"SPO","mei","Provável",1.8,2.58,0.17,0.59,8,NA,8,39,7,9,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"621","Willian de Asevedo Furtado","William","https://s.glbimg.com/es/sde/f/2016/04/30/75e4a80e8152cf2e721dea24b7b7b180_FORMATO.png",89275,9,"INT","lat","Provável",-1.3,14.47,-1.82,6.37,9,2,19,35,20,8,3,3,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA
"622","Daniel Miller Tenenbaum","Daniel","https://s.glbimg.com/es/sde/f/2016/04/20/6b655cea1f7829b459eff3efa45034cf_FORMATO.png",89258,9,"FLA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Sueliton Florêncio Nogueira","Sueliton","https://s.glbimg.com/es/sde/f/2016/05/09/1d06851858c7a18e9c2bfcebb9f7a438_FORMATO.png",88387,9,"AME","zag","Nulo",0,8.25,0,2.83,6,1,8,15,10,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Ángel Rodrigo Romero Villamayor","Ángel Romero","https://s.glbimg.com/es/sde/f/2016/04/01/356c4ad853ed77ad7452d6bbb4c88119_FORMATO.png",88323,9,"COR","ata","Provável",8.3,8.58,0.37,3.6,3,NA,2,5,3,5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","João Pedro dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2016/05/01/c96d48d7d4b10e94a0eb9aebcd00a649_FORMATO.png",89273,9,"PAL","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Adrián Ricardo Centurión","Centurión","https://s.glbimg.com/es/sde/f/2016/05/01/4beae587728cc6f31ddd73ed7df97170_FORMATO.png",88269,9,"SAO","ata","Nulo",0,8.34,0,1.81,8,NA,6,27,5,18,NA,4,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2016/05/01/472f14cf9165dd0469cf6e9346dd669f_FORMATO.png",89285,9,"PAL","mei","Nulo",0,4.57,0,1.12,6,2,12,6,8,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","Gerson Santos da Silva","Gerson","https://s.glbimg.com/es/sde/f/2016/04/29/088b79b7619def72d9874f35da2ca1da_FORMATO.png",89256,9,"FLU","mei","Nulo",0,10.52,0,2.05,2,NA,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Ayrton Lucas Dantas de Medeiros","Ayrton ","https://s.glbimg.com/es/sde/f/2016/05/30/d9de5b01c0675ed4e4ab3da40f2a1cca_FORMATO.png",88393,9,"FLU","lat","Nulo",0,3.7,0,4.7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"630","Luiz Carlos Oliveira Bitencourt","Luiz Carlos ","https://s.glbimg.com/es/sde/f/2016/05/01/094cd9a92291d9b827dcfe88c0efccb6_FORMATO.png",88430,9,"SPO","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Walace Souza Silva","Walace","https://s.glbimg.com/es/sde/f/2016/04/30/14966dfd439d086334be00397217a6a2_FORMATO.png",88479,9,"GRE","mei","Provável",2.5,12.21,0.13,2.53,7,NA,7,37,14,6,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,9,"SAN","lat","Nulo",0,5.56,0,10.4,1,NA,1,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"633","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2016/05/01/d699ce96a133a9a4277276ec939d0670_FORMATO.png",84890,9,"VIT","lat","Provável",0,3.85,0,2.35,2,NA,2,5,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"634","Hugo Ragelli Oliveira Andrade","Hugo Ragelli","https://s.glbimg.com/es/sde/f/2014/10/14/b4ccb45b85f5ad13cada4d8f29cfabec_FORMATO.jpeg",89444,9,"CRU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Auro Álvaro da Cruz Júnior","Auro","https://s.glbimg.com/es/sde/f/2016/02/29/c60ef3cc9278686bc68dc0688bc45149_FORMATO.jpeg",88540,9,"SAO","lat","Nulo",0,7.16,0,3.66,5,NA,2,10,3,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"636","Ailton Fagner Mendonça da Silva","Ailton ",NA,95627,9,"STC","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,9,"SAN","mei","Nulo",0,3.5,0,1.4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Anderson Vieira de Oliveira","Sinho","https://s.glbimg.com/es/sde/f/2016/05/01/10b258e31e55c2556e5fba4d2ecd5ae5_FORMATO.png",91387,9,"SPO","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Anderson José Lopes de Souza","Anderson Lopes","https://s.glbimg.com/es/sde/f/2016/05/13/7f18d7737c40460684eeb2cdc9a65d55_FORMATO.png",83335,9,"ATL","ata","Nulo",0,2.68,-0.46,0.37,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Matheus Gonçalves Sávio","Matheus Sávio","https://s.glbimg.com/es/sde/f/2016/04/20/042079613fc2db314e0a12801f8eb3c8_FORMATO.png",91264,9,"FLA","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","Bruno dos Santos Nazário","Bruno Nazário","https://s.glbimg.com/es/sde/f/2016/04/28/b4a45b36ada00cfc0463d86b634ac479_FORMATO.png",81776,9,"CRU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Igor de Carvalho Julião","Igor Julião","https://s.glbimg.com/es/sde/f/2016/06/06/78b1aa017a6f3df06040390396409685_FORMATO.png",81951,9,"FLU","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2016/04/28/3da1167b31ce1acf558f1cf1c25d0597_FORMATO.png",81845,9,"CRU","ata","Provável",0.4,9.39,-0.45,2.3,5,1,6,7,2,5,NA,1,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"644","César Henrique Martins","César Martins","https://s.glbimg.com/es/sde/f/2016/04/20/4e6efee24b28c19cfc465c7b37db52e5_FORMATO.png",82403,9,"FLA","zag","Nulo",0,2.2,0,-1.53,3,1,2,15,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"645","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2016/05/09/a2bc2cdd8b33a4aaa476ae435462e576_FORMATO.png",81898,9,"AME","mei","Provável",0.5,7.89,-0.02,2.38,5,1,11,25,5,10,NA,3,7,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"646","João Ricardo Riedi","João Ricardo","https://s.glbimg.com/es/sde/f/2016/05/09/a0bbd0dab2d8ed42d0781ece46879c2f_FORMATO.png",81881,9,"AME","gol","Provável",0.7,5.35,-0.04,0.58,9,1,1,11,NA,NA,NA,NA,NA,NA,1,NA,NA,12,15,NA,NA,NA,NA
"647","Jefferson Nogueira Junior","Jefferson","https://s.glbimg.com/es/sde/f/2016/04/29/faecdfd52dc96287891cb66037b09f3d_FORMATO.png",81950,9,"FIG","mei","Nulo",0,6.38,0,3.67,3,NA,2,15,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Adilson dos Anjos Oliveira","Juninho","https://s.glbimg.com/es/sde/f/2016/05/25/e3006a21089ee8ff85bbb74e25ac3a76_FORMATO.jpeg",82381,9,"AME","mei","Provável",2.8,5.03,0.42,3.62,5,NA,9,14,13,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Otávio Henrique Passos Santos","Otávio","https://s.glbimg.com/es/sde/f/2016/04/26/e6f18e8db36b5cd2a6dfdb55d33b54bb_FORMATO.png",82463,9,"ATL","mei","Provável",4.4,15.1,-0.95,3.81,8,1,13,11,16,6,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"650","Weverton Almeida Santos","Ferrugem","https://s.glbimg.com/es/sde/f/2016/04/29/690d34559cb8d9e8163e4ea19e69d556_FORMATO.png",82128,9,"FIG","mei","Provável",11.5,6.41,2.32,3.11,9,2,11,23,12,15,NA,7,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"651","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2016/02/16/2608fd0d57c9b48d76dc8cc1eb249d06_FORMATO.png",82411,9,"SAO","ata","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2016/04/30/c10a6a6dfa21489038a8138616614f09_FORMATO.png",82567,9,"GRE","mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Christiano Andrey de Araujo Vieira","Christiano ","https://s.glbimg.com/es/sde/f/2016/05/01/506e76fc0cfd0d0814362b729d1cd678_FORMATO.png",82499,9,"SPO","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2016/04/28/de16cbb2364fc968c073acdc06dedf33_FORMATO.png",82469,9,"CRU","ata","Nulo",0,5.33,0,2.16,5,1,2,1,2,1,NA,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"655","Geirton Marques Aires","Gegê","https://s.glbimg.com/es/sde/f/2016/05/20/0e39c7e6b5d2a8e4dbec105caa7d7ab8_FORMATO.png",82474,9,"BOT","mei","Dúvida",0,5.15,0,0.83,3,NA,2,11,2,3,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","Marcelo Hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2016/04/30/496cbddd535f78e8860bfc0028862e34_FORMATO.png",82639,9,"GRE","lat","Nulo",7.1,8.46,1.36,5,7,2,12,33,10,7,1,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"657","Artur Jesus Vieira","Artur","https://s.glbimg.com/es/sde/f/2016/05/09/3f34ac5ab5956cf642adcc0a9430a215_FORMATO.png",82740,9,"AME","zag","Provável",-1.8,2.35,-1.01,1.43,8,2,11,14,8,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"658","Luiz de Araujo Guimaraes Neto","Luiz Araújo",NA,82627,9,"SAO","mei","Nulo",0,1.76,0,0.95,2,NA,2,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2016/04/30/6ab4cc488e1e76a79e7bd2c9419cf600_FORMATO.png",82613,9,"INT","zag","Dúvida",0,3.15,0,0.1,1,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Gabriel da Silva Esteves","Gabriel Esteves","https://s.glbimg.com/es/sde/f/2016/05/25/3f0f49fb8526d4153acbc8140a8a33db_FORMATO.png",82570,9,"FIG","ata","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Victor Neves Rangel","Victor Rangel","https://s.glbimg.com/es/sde/f/2016/05/09/0f00d98df560fe7a979c2ce99e9eac49_FORMATO.png",82653,9,"AME","ata","Nulo",0,6.79,-1.43,5.23,4,NA,3,7,2,5,NA,1,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"662","Hyuri Henrique de Oliveira Costa","Hyuri","https://s.glbimg.com/es/sde/f/2016/04/26/3d46e04733571b02d6699820588895f2_FORMATO.png",82758,9,"ATL","ata","Nulo",0,6.68,0,1.82,6,NA,7,3,6,8,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Vinícius Vasconcelos Araújo","Vinícius Araújo","https://s.glbimg.com/es/sde/f/2016/05/01/ad2cb78ecf2e8ddb976e491438cc78f8_FORMATO.png",82767,9,"SPO","ata","Nulo",0,3.27,0,0.4,3,1,1,8,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Ruy Franco de Almeida Junior","Ruy","https://s.glbimg.com/es/sde/f/2016/04/28/d46da2e3d940bad03f67a1bbc17e4718_FORMATO.png",82939,9,"COR","mei","Provável",5.8,7.32,0.52,3.6,7,2,5,27,8,6,3,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"665","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2016/05/01/cb0f6faa775937eb5f0d68afc0ba2252_FORMATO.png",82787,9,"SAN","ata","Nulo",0.6,6.41,-0.38,3.02,8,NA,7,8,3,6,1,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"666","Marcos Danilo Padilha","Danilo","https://s.glbimg.com/es/sde/f/2016/04/27/6f07190dc03d02b2df374830099da945_FORMATO.png",82768,9,"CHA","gol","Provável",8.5,16.17,1.57,2.53,9,2,NA,4,NA,2,NA,NA,NA,NA,2,NA,NA,12,13,NA,NA,1,NA
"667","Lucas Ramon Batista da Silva","Lucas Ramon ","https://s.glbimg.com/es/sde/f/2016/05/01/bafbecebe3692e0610f0e3ab65f02a72_FORMATO.png",82775,9,"STC","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Rafael Thyere Albuquerque Marques","Rafael Thyere","https://s.glbimg.com/es/sde/f/2016/04/30/95ffa84036badf598890bde1fdacd802_FORMATO.png",83048,9,"GRE","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Duvier Riacos Barahona","Riascos","https://s.glbimg.com/es/sde/f/2016/05/24/3375caefc2da2a8fd5f0c15e9a3e534b_FORMATO.png",83189,9,"CRU","ata","Provável",-3.1,5.67,-1.3,1.5,6,2,15,6,3,5,NA,3,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA
