"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","PE","RB","FS","A","FD","FF","I","SG","G","FT","DD","GS","PP","CV","DP","GC"
"522","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2015/10/27/75e3bd8b3cd8668e829255e33d2d2d44_FORMATO.png",78839,9,"SAN","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2016/04/28/577df852683a65bd049469a520254155_FORMATO.png",80363,9,"CRU","mei","Nulo",0,6.13,0,0.1,5,1,7,10,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Alan Cassio da Cruz","Alan Mineiro","https://s.glbimg.com/es/sde/f/2016/05/25/817bcc737122260ee5e51ef26227036d_FORMATO.jpeg",78765,9,"AME","mei","Nulo",-1.6,5.85,-0.52,-0.2,4,NA,4,9,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Jonatan Ezequiel Cristaldo","Cristaldo","https://s.glbimg.com/es/sde/f/2016/05/01/9fad411cf18bdd76682bcfa1065f111a_FORMATO.png",87420,9,"PAL","ata","Provável",-0.5,3.6,-1.21,3.35,2,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"526","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2016/04/29/cbfa26086ef241df58aab4b320638112_FORMATO.png",80370,9,"FLU","mei","Provável",2.9,6.84,0.2,3.16,8,1,8,17,18,7,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","Norberto Pereira Marinho Neto","Norberto ","https://s.glbimg.com/es/sde/f/2016/05/01/7020b210f29e4f813f0c395cc674d5bf_FORMATO.png",80374,9,"VIT","lat","Nulo",6.6,5.23,0.8,3.38,6,1,8,13,16,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"528","Messias Rodrigues da Silva Júnior","Messias","https://s.glbimg.com/es/sde/f/2016/05/09/6068d0d51d95cf9603bbaf09042e0580_FORMATO.png",87402,9,"AME","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Mário Sérgio Gomes de Souza","Mário Sérgio","https://s.glbimg.com/es/sde/f/2016/05/31/3b6bca08560a2902b70cd3a5e2e6c0fd_FORMATO.png",87399,9,"STC","lat","Nulo",-1.5,1.96,-1.04,-1.5,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Matheus Francisco Inácio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2016/05/01/30cf7f0a43eef63c3dbb3271836e65c7_FORMATO.png",80394,9,"PON","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","Fábio Gonçalves","Fabinho","https://s.glbimg.com/es/sde/f/2016/05/10/41bf16a10372662163a828bfbe7880d6_FORMATO.png",80393,9,"INT","mei","Provável",6.5,8.48,0.71,4.46,8,NA,13,14,21,18,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
