"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"82","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,4,266,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2016/05/11/171a6a7d4871817e99d7d69098a772dc_FORMATO.jpeg",49674,4,275,"lat","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/05/25/79bf6db900a9fc60d50a057d64a0b362_FORMATO.jpeg",49737,4,344,"mei","Nulo",0,9.72,0,3.53,3,4,11,NA,NA,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"85","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2016/04/20/837d4d1c4d5f3460f897e9a3689ab070_FORMATO.png",50301,4,262,"mei","Provável",0,15.25,0,4.1,3,5,8,NA,NA,NA,5,NA,NA,NA,1,3,1,6,1,1,NA,NA,NA
"86","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,4,303,"mei","Dúvida",0,4.93,0,1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"87","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2016/04/28/dffdad9720aa2f03053bdd0270fb8787_FORMATO.png",50294,4,264,"mei","Provável",3.5,15.06,-0.88,5.73,4,6,20,NA,NA,NA,8,3,1,NA,1,NA,1,6,2,NA,NA,NA,NA
"88","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2016/04/28/451b957d5e77145a9740c1dd14e810fb_FORMATO.png",50284,4,294,"gol","Provável",-4.3,6.57,-3.16,2.43,4,NA,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2016/05/01/7bca046ddd8602f61aef411fe78c444b_FORMATO.png",50317,4,277,"zag","Provável",1.2,7.41,-0.14,2.17,4,1,16,NA,NA,NA,2,NA,1,NA,NA,NA,1,9,NA,NA,NA,NA,NA
"90","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2016/05/01/953543bc5a15bdf924109b07ae3bf85d_FORMATO.png",50324,4,276,"mei","Contundido",0,6.13,0,1.6,1,2,NA,NA,NA,NA,3,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"91","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,4,276,"ata","Provável",-3.4,2.74,-1.52,-0.62,4,7,6,NA,NA,NA,7,NA,3,NA,NA,5,1,1,NA,NA,NA,NA,NA
"92","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,4,284,"lat","Contundido",0,15.55,0,7.67,3,NA,10,NA,NA,3,7,NA,NA,NA,1,NA,1,5,NA,NA,NA,NA,NA
"93","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,4,316,"ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2016/04/29/c60e01cd155db8e33220d9f2a9027f44_FORMATO.png",50313,4,316,"mei","Provável",-0.9,7.54,-0.74,2,4,4,10,NA,NA,NA,6,NA,1,NA,NA,NA,2,9,NA,NA,NA,NA,NA
"95","Cícero Vítor dos Santos Júnior","Vítor","https://s.glbimg.com/es/sde/f/2016/05/01/bd08877b178e7710d61e0d39b377e6b8_FORMATO.png",68904,4,344,"lat","Nulo",0,6.03,0,0.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Rafael Ramos de Lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2016/04/27/6e9382dfa32bee612bc70217b093b2b6_FORMATO.png",50361,4,315,"zag","Nulo",0,6.5,0,2.35,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,4,283,"lat","Provável",0,0.77,0,-3.2,2,1,5,NA,NA,NA,7,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"98","Willian Thiego de Jesus","Thiego","https://s.glbimg.com/es/sde/f/2016/04/27/106a8b39bab2f5fc4f76145e87e57147_FORMATO.png",50393,4,315,"zag","Provável",1.1,2.59,-0.48,1.6,3,3,4,NA,NA,1,6,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA
"99","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/0116bb68ed6ce1217105ff5c37cb6488_FORMATO.jpeg",50369,4,282,"mei","Nulo",0,7.95,0,1.45,2,5,5,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"100","Anderson Angus Aquino","Anderson Aquino","https://s.glbimg.com/es/sde/f/2016/05/20/b0b4962c891176354de801debd50dcad_FORMATO.png",50413,4,263,"ata","Nulo",0,4.59,0,2.2,2,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"101","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,4,276,"zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,4,276,"mei","Provável",-0.2,2.22,-0.42,-0.7,3,3,9,NA,NA,NA,8,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"103","Edwin Armando Valencia Rodríguez","Valencia","https://s.glbimg.com/es/sde/f/2016/05/01/19b876352b7c66c50a6b3d872e85257c_FORMATO.png",50417,4,277,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,4,303,"zag","Provável",0.9,4.67,0.41,0.88,4,5,5,NA,NA,1,6,1,1,NA,NA,NA,1,4,NA,NA,1,NA,NA
"105","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/05/01/e56f9d56a969323a33eb9a57ca44f1b6_FORMATO.png",50462,4,275,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Sérgio Antônio Borges Júnior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/e717b60b7c1428ab394b5a7000b297c8_FORMATO.png",50454,4,292,"mei","Provável",6.4,10.45,1.58,5.42,4,14,8,NA,NA,NA,6,2,2,NA,NA,NA,1,11,NA,NA,NA,NA,NA
"107","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,4,293,"lat","Provável",4.6,3.09,1.12,0.9,3,5,13,NA,NA,NA,4,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA
"108","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,4,264,"zag","Provável",3.9,4.22,0.87,2.35,2,NA,6,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"109","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,4,266,"zag","Provável",6.1,10.51,1.35,3.27,4,2,7,NA,NA,2,2,NA,3,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"110","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,4,283,"zag","Provável",3.8,1.99,0.52,0.9,2,1,4,NA,NA,NA,2,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"111","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2016/04/26/765a5089ecb5053c65f7168963c61b74_FORMATO.png",51318,4,282,"mei","Provável",0.3,7.1,-0.73,1.45,2,5,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"112","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,4,275,"zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,4,263,"zag","Provável",1,3.35,-0.05,1.02,4,3,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"114","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,4,303,"zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/05/09/f9313737a5d1b6a09f6ea9cc9502cbae_FORMATO.png",51476,4,327,"mei","Provável",0.2,10.6,-0.74,4.23,4,4,4,NA,NA,NA,8,3,2,NA,1,1,1,6,NA,NA,NA,NA,NA
"116","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,4,276,"gol","Provável",14,7.86,3.92,4.57,3,NA,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,4,264,"gol","Provável",13.7,12.93,2.92,7.35,4,NA,2,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,4,327,"zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,4,284,"mei","Provável",0,11.76,-1.94,4.85,4,1,17,NA,NA,NA,3,3,3,1,NA,NA,NA,7,1,NA,NA,NA,NA
"120","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,4,327,"zag","Provável",0,1.99,0,-0.37,3,3,9,NA,NA,NA,2,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"121","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,4,315,"ata","Provável",0.1,12.74,-1.42,6.62,4,3,6,NA,NA,NA,9,3,1,NA,3,3,NA,3,NA,NA,NA,NA,NA
"122","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,4,283,"zag","Nulo",0,8.23,0,0.17,3,1,7,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"123","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,4,315,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,4,292,"zag","Provável",0.5,7.25,-0.52,1,4,2,14,NA,NA,NA,2,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA
"125","Wellington da Silva Pinto","Wellington","https://s.glbimg.com/es/sde/f/2016/05/01/9ea62644bc83ca0c2191ffa52ae422d7_FORMATO.png",68907,4,303,"zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,4,327,"ata","Contundido",0,4.19,0,-0.3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,4,277,"mei","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,4,303,"mei","Dúvida",1,4.97,-0.02,1.13,3,2,1,NA,NA,NA,3,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"129","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,4,315,"mei","Provável",0.2,4.67,-0.56,1.85,4,4,10,NA,NA,NA,9,2,2,NA,NA,NA,2,5,1,NA,NA,NA,NA
"130","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,4,276,"zag","Provável",5.9,13.7,-0.08,6.33,3,1,1,NA,NA,2,2,NA,1,NA,1,NA,2,3,NA,NA,NA,NA,NA
"131","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/04/30/2d47e1f5bef0b4aa0ab4264b268c858a_FORMATO.png",37792,4,284,"mei","Nulo",0,1.03,-0.81,-1.25,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"132","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,4,282,"zag","Nulo",2.8,9.61,0.18,3.5,4,5,11,NA,NA,1,5,NA,1,NA,NA,NA,1,8,NA,NA,NA,NA,NA
"133","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/05/09/8ba64e76cef79e4543ffd32d93976a9e_FORMATO.jpeg",37790,4,294,"lat","Contundido",0.5,6.21,-0.5,1.05,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"134","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,4,264,"mei","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/04/30/4f252ad8b409db0afc0a0a82c20659c5_FORMATO.png",52253,4,285,"zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2016/05/25/7b9ce78a7438f2bac4a0594608654c28_FORMATO.jpeg",53669,4,316,"ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/02/01/5da41b38038ab484b55b7e40fd2f432c_FORMATO.jpeg",53148,4,276,"ata","Nulo",0,2.05,-0.14,-0.15,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/05/01/6118e3c687d15a66a50d620fe3e4520f_FORMATO.png",52674,4,303,"lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Antonio Eduardo Pereira dos Santos","Kanu",NA,51792,4,287,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2016/04/26/832210cff768e7a0bcc99eadd2bf79d1_FORMATO.png",52950,4,282,"gol","Provável",1,13.32,-0.38,0.37,3,NA,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,4,264,"mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,4,315,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2016/05/30/2f8c0b4d1c1f63e92bcc75405c0d7b8b_FORMATO.png",68910,4,285,"mei","Nulo",1.7,5.22,0.1,1.5,3,NA,4,NA,NA,NA,3,NA,1,NA,NA,NA,1,5,NA,NA,NA,NA,NA
"144","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2016/04/28/5a5487a09ab32e96768a9feb9587e58c_FORMATO.png",54395,4,264,"mei","Nulo",0,13.91,0,1,2,2,8,NA,NA,NA,2,NA,5,NA,NA,1,1,2,NA,NA,NA,NA,NA
"145","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,4,292,"mei","Provável",-0.1,16.03,-1.24,3.4,4,5,18,NA,NA,NA,2,3,1,NA,1,2,NA,4,NA,NA,NA,NA,NA
"146","Vinicius Santos Silva","Vinicius","https://s.glbimg.com/es/sde/f/2016/05/09/8c7c7652f388f2e74d34d559bc1e4be3_FORMATO.jpeg",68917,4,294,"ata","Nulo",0,9.73,0,4.1,2,7,4,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"147","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2016/05/01/5fc52cff976d5418e122423e959ab59c_FORMATO.png",68930,4,287,"ata","Provável",8.7,20.18,0.84,8.38,4,7,6,NA,NA,NA,12,2,2,NA,4,2,NA,2,NA,NA,NA,NA,NA
"148","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,4,276,"gol","Nulo",0,11.54,0,10.7,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2016/05/01/55ac49c2d9ae816cb60473b12ff0fa2c_FORMATO.png",68920,4,275,"ata","Dúvida",1.3,10.59,-1.3,2.7,3,8,10,NA,NA,NA,3,1,2,NA,NA,1,NA,1,1,NA,NA,NA,NA
"150","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,4,283,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2016/04/26/7344204cd574e7abe17afe45a20f8fa3_FORMATO.png",68925,4,282,"zag","Contundido",0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Mário Sérgio Santos Costa","Marinho","https://s.glbimg.com/es/sde/f/2016/05/01/fd249ecee00ebf56d13d770212e144b4_FORMATO.png",68952,4,287,"ata","Contundido",0,13.81,0,4.7,2,9,6,NA,NA,NA,7,3,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"153","Josimar Rosado da Silva Tavares","Josimar","https://s.glbimg.com/es/sde/f/2016/04/27/8e02fb0168f097a88bcdc53ad79d10c9_FORMATO.png",68951,4,315,"mei","Provável",4.2,6.99,0.96,3.75,4,4,11,NA,NA,NA,8,1,4,1,NA,NA,2,10,NA,NA,NA,NA,NA
"154","George Leandro Abreu de Lima","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/01/ed3bfa529f985a1a31005fc093a47854_FORMATO.png",68924,4,344,"mei","Nulo",0,3.83,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2016/05/29/57d1ab852a861c71835040390c9d2e02_FORMATO.png",68954,4,264,"mei","Provável",12.1,10.95,3.19,3.17,4,9,26,NA,NA,NA,2,3,2,NA,1,1,NA,3,NA,NA,NA,NA,NA
"156","Wallace Reis da Silva","Wallace","https://s.glbimg.com/es/sde/f/2016/05/30/a9bf90a264570f6f2a86fe0b4a05524d_FORMATO.png",68958,4,284,"zag","Dúvida",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2016/04/28/9930f715c0d34977f60c416dc3311aca_FORMATO.png",68938,4,264,"mei","Provável",6.6,5.79,1.3,3.17,4,4,11,NA,NA,NA,8,1,1,NA,NA,1,NA,4,2,NA,NA,NA,NA
"158","Arthur Brasiliano Maia","Arthur Maia","https://s.glbimg.com/es/sde/f/2016/05/25/b9f20b1380b86767b5febf2fe23ba88d_FORMATO.jpeg",68962,4,315,"mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Ernandes Dias Luz","Ernandes","https://s.glbimg.com/es/sde/f/2016/05/09/21cd5d2a5920245c57dae5927a5be47a_FORMATO.png",68956,4,327,"mei","Nulo",0,3.25,0,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2016/05/01/d6a6be346384e5f7c86d506269113cce_FORMATO.png",68987,4,303,"mei","Provável",-3.7,0.77,-0.67,-0.57,4,6,14,NA,NA,NA,16,NA,1,NA,NA,NA,2,6,NA,NA,NA,NA,NA
"161","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2016/04/26/aac414140b92bc24d03ba749480a7885_FORMATO.png",69018,4,293,"mei","Provável",4.5,5.22,0.22,4.5,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"162","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2016/05/01/9077233b11a95f6bd025bdb11a2dff05_FORMATO.png",69010,4,303,"gol","Provável",2,10.02,0.57,3,4,NA,NA,7,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"163","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,4,315,"zag","Contundido",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2016/04/26/20321f246fed8cd6cbb3ca00d4bccbaa_FORMATO.png",69012,4,293,"gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,4,283,"zag","Contundido",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2016/04/26/f745425654d63329f97ee5ccbc96c958_FORMATO.png",68979,4,282,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Antônio de Moura Carvalho","Tony","https://s.glbimg.com/es/sde/f/2016/05/09/e4f60ef78fb4a9e7a51283c27afb5ed2_FORMATO.png",69033,4,327,"mei","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
