"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"17","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/05/02/5f7bfa11c186ee13301ee12bd7f34f0f_FORMATO.jpeg",38287,4,303,"ata","Provável",4.5,6.19,0.16,2.85,2,2,4,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,4,344,"ata","Provável",-2.4,25.44,-3.78,10.5,4,10,4,NA,NA,NA,9,NA,NA,NA,6,6,2,1,NA,NA,NA,NA,NA
"19","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,4,293,"zag","Provável",5.2,6.79,1.17,1.6,4,2,9,NA,NA,NA,2,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,NA
"20","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,4,303,"ata","Provável",8.2,7.63,2.07,1.3,4,2,2,NA,NA,NA,8,1,4,NA,1,2,1,NA,NA,NA,NA,NA,NA
"21","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,4,303,"zag","Dúvida",5.3,5.46,0.46,5.3,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"22","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/04/29/051e0c1a969576b42a581ea11d406bfb_FORMATO.png",38162,4,266,"ata","Provável",8.6,21.38,0.85,5.1,4,10,9,NA,NA,NA,9,1,7,NA,2,2,NA,1,NA,NA,NA,NA,NA
"23","Augusto Sérgio Ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2016/05/09/40a1918975b6b4d85241f5fcfde659b3_FORMATO.png",37245,4,315,"tec","Provável",1.77,8.56,-0.21,3.44,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,4,344,"gol","Provável",-2,4.42,-1.68,0.8,4,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"25","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,4,276,"mei","Contundido",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,4,264,"mei","Provável",2.5,1.6,0.83,0,2,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
