"team_name","strength","attack","defense","n_games"
"293",1.5,1.39,2.04,78
"285",1.3,1.43,1.72,78
"267",1.23,1.09,2.17,77
"284",1.02,1.41,1.44,78
"262",0.95,1.54,1.25,78
"282",0.9,1.53,1.22,78
"276",0.86,0.96,1.9,77
"275",0.63,1.54,1,77
"264",0.16,1.59,0.7,77
"265",0.15,1.25,0.89,77
"277",0.14,1.15,0.96,78
"290",0.06,1.6,0.65,39
"292",0,1.83,0.55,40
"266",0,0.74,1.35,78
"280",-0.06,0.96,1,2
"354",-0.07,1.08,0.88,78
"263",-0.29,0.86,0.95,77
"356",-0.43,0.87,0.85,40
"373",0,3.76,0,1
"294",0,0,1.34,2
