"team_name","strength","attack","defense","n_games"
"285",1.24,1.35,1.75,86
"275",0.83,1.33,1.34,85
"267",0.79,1.69,1.02,85
"277",0.71,1.52,1.07,86
"282",0.68,1.45,1.11,85
"284",0.67,0.96,1.65,85
"262",0.38,1.51,0.86,86
"356",0.32,1,1.25,48
"276",0.32,1.2,1.04,85
"266",0.2,1.22,0.94,86
"354",0.2,1.03,1.12,86
"293",0.13,0.86,1.27,85
"373",0.03,0.96,1.07,9
"264",0,1.31,0.76,85
"290",-0.01,1.52,0.65,46
"292",-0.02,1.08,0.92,48
"263",-0.08,1,0.94,85
"265",-0.3,1.2,0.68,85
"280",-0.46,1.03,0.71,10
"294",-0.6,0.65,1.02,10
