,atletas.entrou_em_campo,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,CA,DS,FC,FF,FS,SG,DE,GS,A,I,G,FD,FT,PS,PP,PC,V,CV,DP,GC
20,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,,51413,3.77,walter,3,Walter,1371,4,-0.83,-1.0,Walter,7,1,Walter Leandro Capeloza Artune,Cuiabá,1.0,,,,,,,11.0,8.0,,,,,,,,,,,,
21,True,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,,51772,10.68,everton-ribeiro,3,Everton Ribeiro,265,4,1.1,10.3,E. Ribeiro,7,4,Everton Augusto de Barros Ribeiro,Bahia,5.93,1.0,7.0,3.0,2.0,7.0,,,,1.0,,,1.0,,,,,,,,
22,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,,52271,8.3,fernando,2,Fernando,285,4,0.27,1.4,Fernando,6,4,Fernando Francisco Reges,Internacional,5.1,1.0,3.0,3.0,,1.0,,,,,,1.0,,,,,,,,,
23,False,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,,52827,6.0,david-luiz,0,David Luiz,262,4,0.0,0.0,D. Luiz,6,3,David Luiz Moreira Marinho,Flamengo,0.0,,,,,,,,,,,,,,,,,,,,
24,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,,53865,4.11,leo-gamalho,1,Léo Gamalho,287,4,-0.89,0.0,L. Gamalho,6,5,Leonardo Gamalho de Souza,Vitória,0.0,,,,,,,,,,,,,,,,,,,,
25,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,,60795,4.0,renan,0,Renan,286,4,0.0,0.0,Renan,5,1,Renan dos Santos,Juventude,0.0,,,,,,,,,,,,,,,,,,,,
26,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,,61106,4.0,cicinho,0,Cicinho,265,4,0.0,0.0,Cicinho,6,2,Neuciano de Jesus Gusmão,Bahia,0.0,,,,,,,,,,,,,,,,,,,,
27,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,,61188,5.22,gilberto,1,Gilberto,286,4,0.0,0.0,Gilberto,5,5,Gilberto Oliveira Souza Júnior,Juventude,0.8,,,,1.0,,,,,,,,,,,,,,,,
28,False,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,,61228,2.0,fabricio,0,Fabrício,285,4,0.0,0.0,Fabrício,6,1,Fabrício Barros Santana,Internacional,0.0,,,,,,,,,,,,,,,,,,,,
29,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,,62020,5.62,douglas-costa,3,Douglas Costa,266,4,-0.59,0.9,D. Costa,6,5,Douglas Costa de Souza,Fluminense,1.97,,3.0,2.0,,1.0,,,,,,,2.0,,,,,,,,
30,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,,62977,9.27,ganso,3,Ganso,266,4,-1.52,-0.3,Ganso,7,4,Paulo Henrique Chagas de Lima,Fluminense,6.1,1.0,1.0,3.0,,2.0,,,,2.0,,1.0,,,,,,,,,
31,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,,63013,6.85,marcos-rocha,3,Marcos Rocha,275,4,0.32,4.9,M. Rocha,2,2,Marcos Luis Rocha Aquino,Palmeiras,3.2,,,3.0,,1.0,2.0,,,,,,,,,,,,,,
32,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,,63110,3.53,alan-ruschel,1,Alan Ruschel,286,4,-0.47,0.7,A. Ruschel,6,2,Alan Luciano Ruschel,Juventude,0.7,,,1.0,,2.0,,,,,,,,,,,,,,,
33,True,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,,63289,5.75,edenilson,1,Edenílson,284,4,-1.25,0.0,Edenílson,6,4,Edenílson Andrade dos Santos,Grêmio,0.0,,,,,,,,,,,,,,,,,,,,
34,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,,68685,16.0,alan-patrick,0,Alan Patrick,285,4,0.0,0.0,A. Patrick,6,4,Alan Patrick Lourenço,Internacional,0.0,,,,,,,,,,,,,,,,,,,,
35,True,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,,68708,7.46,eduardo,2,Eduardo,263,4,-1.27,0.2,Eduardo,7,4,Carlos Eduardo de Oliveira Alves,Botafogo,-0.1,,,2.0,,1.0,,,,,1.0,,,,,,,,,,
36,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,,68872,6.0,marcelo-lomba,0,Marcelo Lomba,275,4,0.0,0.0,M. Lomba,6,1,Marcelo Lomba do Nascimento,Palmeiras,0.0,,,,,,,,,,,,,,,,,,,,
37,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,,68920,10.0,dudu,0,Dudu,275,4,0.0,0.0,Dudu,5,5,Eduardo Pereira Rodrigues,Palmeiras,0.0,,,,,,,,,,,,,,,,,,,,
38,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,,68928,7.65,rafael,4,Rafael,276,4,0.43,7.0,Rafael,7,1,Rafael Pires Monteiro,São Paulo,3.0,,,,,,2.0,6.0,4.0,,,,,,,,,,,,
39,True,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,,68940,7.27,rafael-cabral,1,Rafael Cabral,284,4,-0.73,2.0,R. Cabral,6,1,Rafael Cabral Barbosa,Grêmio,2.0,,,,,,,3.0,1.0,,,,,,,,,,,,
40,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,,68952,4.83,marinho,3,Marinho,356,4,0.14,3.0,Marinho,7,5,Mário Sérgio Santos Costa,Fortaleza,1.77,,1.0,3.0,3.0,3.0,,,,,1.0,,1.0,,,,,,,,
41,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,,68954,4.17,marquinhos-gabriel,3,Marquinhos Gabriel,288,4,-0.14,1.7,M. Gabriel,6,4,Marcos Gabriel do Nascimento,Criciúma,1.5,1.0,3.0,1.0,,2.0,,,,,,,1.0,,,,,,,,
42,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,,68991,5.12,lucas-sasha,3,Lucas Sasha,356,4,-0.69,0.3,L. Sasha,5,4,Lucas Pacheco Affini,Fortaleza,2.1,,6.0,3.0,,,,,,,,,,,,,,,,,
