,atletas.nome,atletas.rodada_id,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.variacao_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.apelido,atletas.minimo_para_valorizar,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,V,GC
85,Gabriel Iván Mercado,11,3.23,mercado,3,0.16,72951,True,Internacional,5.5,5.96,6,7,Mercado,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,Mercado,,4.0,,,,,4.0,5.0,3.0,,,3.0,,,,,,,,,
86,Samuel Xavier Brito,11,3.02,samuel-xavier,2,-0.05,73384,True,Fluminense,2.8,5.4,7,5,S. Xavier,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,Samuel Xavier,,1.0,,,,,,5.0,6.0,1.0,1.0,10.0,,,1.0,1.0,,,,,
87,Marco Aurélio de Oliveira Breves,11,0.0,marcao,6,0.0,73476,False,Fluminense,0.0,8.53,7,0,Marcão,266,https://s.sde.globo.com/media/person_role/2022/04/28/f3607cbf154b821769f0d0c7ace0e882_FORMATO.png,Marcão,,,,,,,,,,,,,,,,,,,,,
88,Bruno Fabiano Alves,11,3.07,bruno-alves,3,0.0,73620,False,Cuiabá,0.0,4.84,6,6,B. Alves,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,Bruno Alves,,,,,,,2.0,4.0,3.0,1.0,1.0,5.0,,,,,,,,,
89,Rodrigo Caio Coquette Russo,11,0.0,rodrigo-caio,3,0.0,73800,False,Grêmio,0.0,6.0,6,0,R. Caio,284,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,Rodrigo Caio,,,,,,,,,,,,,,,,,,,,,
90,Walisson Moreira Farias Maia,11,2.68,walisson-maia,3,0.0,73991,False,Criciúma,0.0,3.97,7,5,W. Maia,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,Walisson Maia,,,,,,,1.0,2.0,2.0,,2.0,,,,,1.0,,,,,
91,Cristián Eduardo Zapata Valencia,11,0.0,zapata,3,0.0,74028,False,Vitória,0.0,4.0,6,0,Zapata,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,Zapata,,,,,,,,,,,,,,,,,,,,,
92,Roberto Junior Fernández Torres,11,2.33,gatito-fernandez,1,0.0,74061,False,Botafogo,0.0,5.63,6,3,G. Fernández,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,Gatito Fernández,,,6.0,,4.0,,1.0,,,,,,,,,,,,,,
93,Jorge de Moura Xavier,11,0.0,jorginho,4,0.0,77544,False,Atlético-GO,0.0,4.0,6,0,Jorginho,373,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,Jorginho,,,,,,,,,,,,,,,,,,,,,
94,Madson Ferreira dos Santos,11,2.64,madson,2,0.01,78077,True,Athlético-PR,1.4,4.58,6,9,Madson,293,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,Madson,,2.0,,,,,3.0,2.0,4.0,,2.0,6.0,,,,1.0,,,,,
95,Everaldo Stum,11,5.61,everaldo,5,-0.85,78117,True,Bahia,4.1,7.58,7,10,Everaldo,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,Everaldo,,1.0,,,,,,5.0,12.0,5.0,3.0,7.0,1.0,5.0,2.0,,,,,,
96,Gustavo Henrique Vernes,11,1.34,gustavo-henrique,3,0.0,78248,False,Corinthians,0.0,6.32,7,5,G. Henrique,264,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,Gustavo Henrique,,,,,,,1.0,2.0,6.0,1.0,3.0,1.0,,,,,1.0,,,,
97,Renê Rodrigues Martins,11,6.56,rene,2,0.29,78445,True,Internacional,8.4,9.8,7,7,Renê,285,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,Renê,,1.0,,,,,4.0,13.0,5.0,2.0,3.0,6.0,,,,1.0,,,,,
98,Cláudio Tencati,11,4.51,claudio-tencati,6,0.17,78450,True,Criciúma,5.16,6.2,7,8,C. Tencati,288,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,Cláudio Tencati,,,,,,,,,,,,,,,,,,,,3.0,
99,Jean Mota Oliveira de Sousa,11,1.64,jean-mota,4,2.0,78548,True,Vitória,10.6,4.84,7,7,J. Mota,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,Jean Mota,,,,,,,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,
100,Jonathan Renato Barbosa,11,2.26,jonathan-cafu,5,-0.5,78580,True,Cuiabá,0.4,3.58,7,8,J. Cafu,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,Jonathan Cafu,,,,,,,,4.0,10.0,2.0,3.0,7.0,,1.0,,,,,,,
101,Gabriel Girotto Franco,11,2.9,gabriel,4,0.61,78605,True,Athlético-PR,2.9,5.61,6,1,Gabriel,293,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,Gabriel,,,,,,,,2.0,,,,1.0,,,,,,,,,
102,Ramiro Moschen Benetti,11,1.36,ramiro,4,-0.34,78715,True,Cruzeiro,0.4,3.37,7,9,Ramiro,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,Ramiro,,2.0,,,,,,12.0,11.0,,1.0,5.0,,,1.0,,,,,,
103,Reinaldo Manoel da Silva,11,1.4,reinaldo,2,-0.87,78850,True,Grêmio,-0.3,6.2,7,3,Reinaldo,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,Reinaldo,,1.0,,,,,,1.0,3.0,2.0,2.0,2.0,,,1.0,,,,,,
104,Thiago dos Santos,11,-0.03,thiago-santos,3,0.39,78855,True,Fluminense,2.0,2.18,6,3,T. Santos,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,Thiago Santos,,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,,
105,Luiz Felipe do Nascimento dos Santos,11,1.6,luiz-felipe,3,1.85,79035,True,Atlético-GO,7.4,3.46,6,4,L. Felipe,373,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,Luiz Felipe,,1.0,,,,1.0,1.0,4.0,2.0,1.0,,,,,,,1.0,,1.0,,
106,Víctor Leandro Cuesta,11,1.63,victor-cuesta,3,0.0,79113,False,Bahia,0.0,4.59,6,3,V. Cuesta,265,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,Víctor Cuesta,,1.0,,,,,,4.0,4.0,,1.0,3.0,,,,,,,,,
107,Filipe Augusto Carvalho Souza,11,-0.23,filipe-augusto,4,-0.46,79268,True,Cuiabá,-0.3,1.68,5,3,F. Augusto,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,Filipe Augusto,,1.0,,,,,,,3.0,1.0,,,,,,,,,,,
108,Roger Machado Marques,11,4.62,roger-machado,6,-0.29,79437,True,Juventude,4.9,6.82,7,9,R. Machado,286,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,Roger Machado,,,,,,,,,,,,,,,,,,,,2.0,
109,Germán Ezequiel Cano,11,3.16,cano,5,-0.75,79631,True,Fluminense,0.0,8.06,7,9,Cano,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,Cano,,1.0,,,,,,2.0,3.0,10.0,8.0,3.0,,1.0,,,,,,,
110,Lucas Silva Borges,11,1.65,lucas-silva,4,-0.59,79701,True,Cruzeiro,0.1,4.42,7,10,L. Silva,283,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,Lucas Silva,,2.0,,,,,,6.0,8.0,3.0,2.0,7.0,,1.0,,,,,,,1.0
111,Antônio Carlos Cunha Capocasali Júnior,11,0.65,antonio-carlos,3,-0.42,79702,True,Fluminense,-0.1,2.22,7,4,A. Carlos,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,Antônio Carlos,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,
112,Jadson Alves dos Santos,11,6.99,jadson,4,-0.92,80129,True,Juventude,1.8,9.4,7,7,Jadson,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,Jadson,,3.0,,,,,,22.0,14.0,4.0,3.0,15.0,,1.0,,2.0,1.0,,,,
113,Glaybson Yago Souza Lisboa,11,0.98,yago-pikachu,4,0.16,80196,True,Fortaleza,2.2,3.55,7,9,Y. Pikachu,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,Yago Pikachu,,2.0,,,,,,2.0,2.0,,4.0,12.0,,,1.0,,,,,,
114,Rafael da Silva,11,4.04,rafa-silva,5,0.0,80225,False,Cruzeiro,0.0,5.88,6,8,R. Silva,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,Rafa Silva,,2.0,,,,,,4.0,6.0,4.0,1.0,4.0,,3.0,3.0,,,,,,
115,Luciano da Rocha Neves,11,6.04,luciano,5,0.0,80287,False,São Paulo,0.0,10.31,7,9,Luciano,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,Luciano,,4.0,,,,,,13.0,9.0,5.0,7.0,12.0,1.0,3.0,2.0,,,,1.0,,
116,Gilberto Moraes Júnior,11,3.55,gilberto,2,0.11,80313,True,Bahia,4.2,7.2,7,4,Gilberto,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,Gilberto,,,,,,,1.0,6.0,4.0,,1.0,5.0,,,1.0,,,,,,
117,Arthur Caíke do Nascimento Cruz,11,3.33,arthur-caike,5,1.51,80337,True,Criciúma,10.8,5.11,6,8,A. Caíke,288,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,Arthur Caíke,,,,,,,,,3.0,3.0,5.0,9.0,,2.0,6.0,,,,,,
118,Marlon Santos da Silva Barbosa,11,0.9,marlon,3,0.0,80538,False,Fluminense,0.0,2.68,6,3,Marlon,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_ybJLR9Q.png,Marlon,,1.0,,,,,,3.0,4.0,,1.0,1.0,,,,,,,,,
119,Pedro Tonon Geromel,11,2.17,pedro-geromel,3,-0.52,80853,True,Grêmio,0.7,5.71,7,3,P. Geromel,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,Pedro Geromel,,1.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,
120,Jair Rodrigues Júnior,11,0.0,jair,4,0.0,81091,False,Vasco,0.0,4.0,5,0,Jair,267,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,Jair,,,,,,,,,,,,,,,,,,,,,
121,Mayke Rocha de Oliveira,11,5.42,mayke,2,0.54,81150,True,Palmeiras,8.0,9.23,2,9,Mayke,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,Mayke,,3.0,,,,,5.0,15.0,5.0,,,5.0,,1.0,2.0,,,,,,
122,Hugo Mallo Novegil,11,6.15,hugo-mallo,2,0.0,81551,False,Internacional,0.0,7.2,7,4,H. Mallo,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CBzQtxz.png,Hugo Mallo,,1.0,,,,,2.0,6.0,3.0,,1.0,1.0,,1.0,,,,,,,
123,Rosicley Pereira da Silva,11,1.69,rossi,5,-0.18,81798,True,Vasco,0.9,4.26,6,10,Rossi,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,Rossi,,2.0,,,,,,10.0,9.0,,1.0,8.0,,,2.0,1.0,,,,,
124,Alisson Euler de Freitas Castro,11,2.95,alisson,4,0.0,81845,False,São Paulo,0.0,6.07,7,10,Alisson,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,Alisson,,3.0,,,,,,15.0,12.0,3.0,2.0,16.0,,,,1.0,,,,,
125,João Ricardo Riedi,11,5.02,joao-ricardo,1,-0.11,81881,True,Fortaleza,6.0,8.34,7,10,J. Ricardo,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,João Ricardo,,,45.0,,11.0,,3.0,1.0,,,,,,,,,,,,,
126,Willian Osmar de Oliveira Silva,11,7.49,willian-oliveira,4,-1.91,81952,True,Vitória,3.6,8.62,2,9,W. Oliveira,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,Willian Oliveira,,1.0,,,,,,16.0,11.0,,5.0,15.0,,5.0,,,,,1.0,,
127,José Rafael Vivian,11,1.95,ze-rafael,4,1.15,82455,True,Palmeiras,9.0,6.27,7,7,Z. Rafael,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,Zé Rafael,,2.0,,,,,,7.0,13.0,,2.0,7.0,,,,1.0,,,1.0,,
128,Otávio Henrique Passos Santos,11,4.04,otavio,4,0.0,82463,False,Atlético-MG,0.0,6.33,6,5,Otávio,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,Otávio,,,,,,,,14.0,6.0,2.0,1.0,4.0,,,,,,,,,
129,Luiz de Araújo Guimarães Neto,11,5.45,luiz-araujo,5,0.17,82627,True,Flamengo,4.6,8.42,7,11,L. Araújo,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,Luiz Araújo,,,,,,,,13.0,10.0,3.0,8.0,11.0,1.0,3.0,,1.0,,,,,
130,Guilherme de Jesus da Silva,11,3.3,tinga,2,-0.42,82628,True,Fortaleza,2.8,4.92,7,10,Tinga,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,Tinga,,1.0,,,,1.0,3.0,16.0,6.0,,2.0,2.0,,,,,,,,,
131,Marcelo Gazella Hermes,11,3.87,marcelo-hermes,2,-0.86,82639,True,Criciúma,1.7,5.35,2,7,M. Hermes,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,Marcelo Hermes,,1.0,,,,,1.0,7.0,6.0,1.0,1.0,3.0,,1.0,,1.0,,,,,
132,Wellington Soares da Silva,11,0.87,wellington-rato,4,-0.89,82766,True,São Paulo,1.7,8.99,7,3,W. Rato,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,Wellington Rato,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,
133,Gabriel Barbosa Almeida,11,2.35,gabriel,5,0.0,83257,False,Flamengo,0.0,7.35,6,4,Gabriel,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,Gabriel,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,
134,Leonardo Pereira,11,2.55,leo-pereira,3,0.55,83528,True,Flamengo,4.6,6.92,2,10,L. Pereira,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,Léo Pereira,,4.0,,,,1.0,3.0,10.0,7.0,,2.0,8.0,,,,,,,,,
135,Hueglo dos Santos Neris,11,1.57,neris,3,0.0,83786,False,Cruzeiro,0.0,3.77,6,4,Neris,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,Neris,,,,,,,,5.0,6.0,1.0,,2.0,,,1.0,,,,,,
136,Clayson Henrique da Silva Vieira,11,2.39,clayson,5,-0.29,83817,True,Cuiabá,0.9,4.19,7,9,Clayson,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,Clayson,,2.0,,,,,,3.0,4.0,3.0,4.0,11.0,,1.0,2.0,,,,1.0,,
137,Francisco das Chagas Soares dos Santos Meireles,11,4.02,tiquinho-soares,5,-0.7,84042,True,Botafogo,1.3,10.75,7,6,T. Soares,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,Tiquinho Soares,,2.0,,,,,,2.0,7.0,,5.0,12.0,,2.0,2.0,,,,,,
138,Jemerson de Jesus Nascimento,11,3.13,jemerson,3,0.0,84263,False,Grêmio,0.0,5.81,6,3,Jemerson,284,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,Jemerson,,2.0,,,,,2.0,,2.0,,,4.0,,,,,,,,,
139,Alisson Machado dos Santos,11,1.12,alisson,1,0.0,84266,False,Criciúma,0.0,2.16,6,4,Alisson,288,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,Alisson,,1.0,9.0,,4.0,,,,,,,1.0,,,,,,,,,
140,Fernando Pereira do Nascimento,11,3.18,fernando-sobral,4,-0.42,84428,True,Cuiabá,0.0,5.09,7,8,F. Sobral,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,Fernando Sobral,,1.0,,,,,,10.0,2.0,1.0,3.0,7.0,,1.0,1.0,,,,,,
141,Lucas Daniel Romero,11,2.16,lucas-romero,4,-0.04,84558,True,Cruzeiro,1.6,4.74,7,8,L. Romero,283,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,Lucas Romero,,1.0,,,,,,14.0,9.0,,4.0,8.0,,,,,1.0,,,,
142,Fellipe Mateus de Sena Araújo,11,6.95,fellipe-mateus,4,-2.08,84587,True,Criciúma,0.0,7.85,6,4,F. Mateus,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,Fellipe Mateus,,1.0,,,,1.0,,3.0,3.0,3.0,,15.0,,2.0,,,,,,,
143,Lucas Evangelista Santana de Oliveira,11,3.95,lucas-evangelista,4,1.17,84674,True,Bragantino,9.8,8.99,7,7,L. Evangelista,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,Lucas Evangelista,,2.0,,,,,,5.0,8.0,3.0,4.0,13.0,,1.0,3.0,1.0,,,,,
144,Guillermo Varela Olivera,11,4.5,varela,2,0.0,84816,False,Flamengo,0.0,5.73,6,5,Varela,262,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,Varela,,,,,,,2.0,7.0,7.0,1.0,,10.0,,,,,,,,,
145,Rafael Rogério da Silva,11,2.97,rafael-ratao,5,0.0,84918,False,Bahia,0.0,5.14,6,3,R. Ratão,265,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,Rafael Ratão,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,
146,Marcos Felipe de Freitas Monteiro,11,4.27,marcos-felipe,1,-0.54,85004,True,Bahia,-1.0,7.0,7,10,M. Felipe,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,Marcos Felipe,,1.0,38.0,,11.0,,3.0,1.0,,,,1.0,,,,,,,,,
147,Óscar David Romero Villamayor,11,3.4,oscar-romero,4,0.73,85034,True,Botafogo,6.6,7.26,3,9,Ã. Romero,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,Óscar Romero,,3.0,,,,,,14.0,7.0,3.0,1.0,9.0,,,,2.0,,,,,
148,Damián Nicolás Suárez,11,3.58,damian-suarez,2,-0.66,85277,True,Botafogo,0.5,5.18,7,9,D. Suárez,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,Damián Suárez,,2.0,,,,,3.0,10.0,10.0,,3.0,6.0,,,2.0,1.0,,,,,
149,Alex Paulo Menezes Santana,11,-0.4,alex-santana,4,0.0,85465,False,Athlético-PR,0.0,2.83,6,4,A. Santana,293,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO.png,Alex Santana,,2.0,,,,,,,3.0,,1.0,1.0,,,,,,,,,
150,Leonardo Pinheiro da Conceição,11,1.59,leo,3,0.0,85626,False,Vasco,0.0,3.26,6,10,Léo,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,Léo,,,,,,,1.0,8.0,6.0,1.0,,4.0,,,1.0,,,,,,
151,Hyoran Kaue Dalmoro,11,2.97,hyoran,4,0.0,85931,False,Internacional,0.0,5.95,6,3,Hyoran,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,Hyoran,,,,,,,,4.0,,,2.0,5.0,,,,,,,,,
152,Yannick Bolasie,11,4.46,bolasie,5,-0.35,86292,True,Criciúma,0.2,6.52,2,8,Bolasie,288,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,Bolasie,,2.0,,,,,,4.0,14.0,6.0,7.0,7.0,1.0,1.0,2.0,2.0,,,,,
153,Caio Henrique da Silva Dantas,11,0.0,caio-dantas,5,0.0,86362,False,Vitória,0.0,3.0,6,0,C. Dantas,287,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,Caio Dantas,,,,,,,,,,,,,,,,,,,,,
154,Victor Luis Chuab Zamblauskas,11,2.93,victor-luis,2,0.0,86410,False,Vasco,0.0,3.6,6,4,V. Luis,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,Victor Luis,,1.0,,,,,1.0,8.0,7.0,1.0,,4.0,,,,,1.0,,,,
155,Marcos da Silva França,11,1.42,keno,5,-0.7,86485,True,Fluminense,0.5,5.6,7,5,Keno,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,Keno,,,,,,,,2.0,1.0,1.0,3.0,3.0,,,1.0,,,,,,
156,Jandrei Chitolina Carniel,11,3.0,jandrei,1,-0.66,86508,True,São Paulo,0.5,5.81,7,4,Jandrei,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,Jandrei,,,12.0,,7.0,,1.0,,,,,4.0,,,,,,,,,
157,Rodrigo Fagundes de Freitas,11,3.5,rodrigo,3,-0.31,86684,True,Criciúma,1.7,4.69,7,7,Rodrigo,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,Rodrigo,,2.0,,,,1.0,1.0,12.0,6.0,,,4.0,1.0,,1.0,1.0,,,,,
158,Danilo das Neves Pinheiro,11,1.56,tche-tche,4,0.1,86686,True,Botafogo,2.4,4.15,7,9,T. Tchê,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,Tchê Tchê,,1.0,,,,,,5.0,4.0,1.0,5.0,10.0,,,,,,,,,
159,Jonathan Francisco Lemos,11,2.36,jonathan,2,0.09,86713,True,Criciúma,4.1,3.88,7,5,Jonathan,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,Jonathan,,,,,,,,8.0,,1.0,,2.0,,,,,,,,,
160,Everton Sousa Soares,11,6.2,everton,5,0.0,86757,False,Flamengo,0.0,7.54,5,6,Everton,262,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,Everton,,,,,,,,5.0,2.0,6.0,6.0,4.0,,1.0,2.0,2.0,,,,,
161,Matheus Rossetto,11,1.55,matheus-rossetto,4,0.0,86766,False,Fortaleza,0.0,3.38,6,2,M. Rossetto,356,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,Matheus Rossetto,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,
162,Danilo Barbosa da Silva,11,4.74,danilo-barbosa,4,0.0,86777,False,Botafogo,0.0,7.68,7,9,D. Barbosa,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,Danilo Barbosa,,3.0,,,,,,12.0,11.0,,2.0,6.0,,3.0,,1.0,,,1.0,,
163,José Welison da Silva,11,1.9,jose-welison,4,0.31,86859,True,Fortaleza,3.3,4.49,7,9,J. Welison,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,José Welison,,1.0,,,,,,14.0,6.0,,2.0,3.0,,,,,,,,,
164,Leonardo César Jardim,11,2.74,leo-jardim,1,-0.19,87008,True,Vasco,1.0,6.0,7,11,L. Jardim,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,Léo Jardim,,,47.0,,22.0,,1.0,,,,,,,,,,,,,,
165,Nathan Allan de Souza,11,0.83,nathan,4,0.0,87009,False,Grêmio,0.0,4.04,6,3,Nathan,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,Nathan,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,
166,Pedro Henrique Ribeiro Gonçalves,11,3.97,pedro-henrique,3,0.04,87225,True,Bragantino,2.9,6.45,7,7,P. Henrique,280,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,Pedro Henrique,,,,,,,1.0,11.0,6.0,,,7.0,,1.0,1.0,,,,,,
167,Guilherme Antonio Arana Lopes,11,7.83,guilherme-arana,2,0.0,87228,False,Atlético-MG,0.0,12.32,6,6,G. Arana,282,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_7gOybCT.png,Guilherme Arana,,2.0,,,,,3.0,13.0,4.0,2.0,3.0,4.0,,1.0,2.0,1.0,,,,,
168,Carlos María de Pena Bonino,11,0.76,carlos-de-pena,4,0.02,87242,True,Bahia,0.8,2.7,6,9,C. Pena,265,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,Carlos de Pena,,3.0,,,,,,1.0,2.0,1.0,2.0,3.0,,,,1.0,,,,,
169,Yeferson Julio Soteldo Martínez,11,4.3,soteldo,5,0.0,87258,False,Grêmio,0.0,9.1,6,5,Soteldo,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,Soteldo,,,,,,,,3.0,1.0,2.0,1.0,4.0,,1.0,,1.0,,,,,
170,Walter Kannemann,11,1.63,kannemann,3,0.0,87342,False,Grêmio,0.0,4.46,7,3,Kannemann,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,Kannemann,,3.0,,,,,,3.0,4.0,,,1.0,,,,1.0,,,,,
171,Allano Brendon de Souza Lima,11,0.43,allano,5,-1.03,87391,True,Criciúma,-1.3,2.91,2,3,Allano,288,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,Allano,,2.0,,,,,,2.0,3.0,,,4.0,,,2.0,,,,,,
172,Thaciano Mickael da Silva,11,3.45,thaciano,4,1.28,87470,True,Bahia,8.9,6.99,7,9,Thaciano,265,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,Thaciano,,3.0,,,,,,6.0,6.0,1.0,9.0,4.0,1.0,2.0,7.0,,,,,,
