,atletas.nome,atletas.rodada_id,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.variacao_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.apelido,atletas.minimo_para_valorizar,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,V,GC
16,Alan Kardec de Sousa Pereira Júnior,11,0.57,alan-kardec,5,0.0,50347,False,Atlético-MG,0.0,3.35,6,4,A. Kardec,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,Alan Kardec,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,
17,Christian Chagas Tarouco,11,2.71,titi,3,-0.85,50353,True,Fortaleza,2.6,4.45,7,8,Titi,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,Titi,,1.0,,,,,2.0,10.0,11.0,,2.0,5.0,,,1.0,,,,,,
18,Walter Leandro Capeloza Artune,11,4.0,walter,1,1.13,51413,True,Cuiabá,13.0,6.48,7,9,Walter,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter,,,34.0,,13.0,,3.0,,,,,,,,,,,,,,
19,Everton Augusto de Barros Ribeiro,11,4.71,everton-ribeiro,4,0.14,51772,True,Bahia,3.9,9.2,7,10,E. Ribeiro,265,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,Everton Ribeiro,,1.0,,,,,,18.0,8.0,3.0,3.0,16.0,,,1.0,3.0,,,,,
20,Fernando Francisco Reges,11,1.95,fernando,4,-0.12,52271,True,Internacional,1.1,5.6,6,6,Fernando,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,,3.0,,,,,,6.0,5.0,,,2.0,,1.0,,,,,,,
21,David Luiz Moreira Marinho,11,4.8,david-luiz,3,-0.63,52827,True,Flamengo,5.2,7.93,2,5,D. Luiz,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,David Luiz,,1.0,,,,1.0,1.0,2.0,4.0,,1.0,,1.0,2.0,,,,,,,
22,Leonardo Gamalho de Souza,11,0.0,leo-gamalho,5,0.0,53865,False,Vitória,0.0,4.11,6,1,L. Gamalho,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,Léo Gamalho,,,,,,,,,,,,,,,,,,,,,
23,Renan dos Santos,11,0.0,renan,1,0.0,60795,False,Juventude,0.0,4.0,5,0,Renan,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,Renan,,,,,,,,,,,,,,,,,,,,,
24,Neuciano de Jesus Gusmão,11,2.6,cicinho,2,-0.77,61106,True,Bahia,0.0,4.85,6,2,Cicinho,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,
25,Gilberto Oliveira Souza Júnior,11,0.28,gilberto,5,-0.41,61188,True,Juventude,0.0,3.05,7,6,Gilberto,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,,,,,,,,,5.0,1.0,3.0,,,,4.0,,,,,,
26,Fabrício Barros Santana,11,6.25,fabricio,1,0.47,61228,True,Internacional,7.0,7.08,7,4,Fabrício,285,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,,,12.0,,2.0,,3.0,,,,,,,,,,,,,,
27,Douglas Costa de Souza,11,1.43,douglas-costa,5,0.0,62020,False,Fluminense,0.0,4.62,6,6,D. Costa,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,Douglas Costa,,,,,,,,4.0,3.0,2.0,1.0,3.0,,,,,,,,,
28,Paulo Henrique Chagas de Lima,11,3.49,ganso,4,-1.14,62977,True,Fluminense,0.7,7.25,7,8,Ganso,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,,6.0,,,,,,5.0,7.0,,,8.0,,2.0,,2.0,,,,,
29,Marcos Luis Rocha Aquino,11,3.85,marcos-rocha,2,-0.79,63013,True,Palmeiras,1.3,6.64,2,8,M. Rocha,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,Marcos Rocha,,,,,,,5.0,4.0,7.0,,2.0,3.0,,,,,,,,,
30,Alan Luciano Ruschel,11,2.38,alan-ruschel,2,0.64,63110,True,Juventude,5.3,4.28,7,5,A. Ruschel,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,Alan Ruschel,,,,,,,,9.0,8.0,,,7.0,,,,,,,,,
31,Edenílson Andrade dos Santos,11,1.38,edenilson,4,-0.06,63289,True,Grêmio,0.5,4.58,6,6,Edenílson,284,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson,,1.0,,,,,,,4.0,,,5.0,,1.0,,,,,,,
32,Alan Patrick Lourenço,11,1.47,alan-patrick,4,-0.26,68685,True,Internacional,5.5,12.08,7,3,A. Patrick,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,Alan Patrick,,1.0,,,,,,2.0,2.0,,2.0,4.0,,,,,,,,,
33,Carlos Eduardo de Oliveira Alves,11,1.0,eduardo,4,0.1,68708,True,Botafogo,4.5,6.29,2,5,Eduardo,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Eduardo,,,,,,,,2.0,3.0,,2.0,4.0,,,1.0,,,,,,
34,Marcelo Lomba do Nascimento,11,0.0,marcelo-lomba,1,0.0,68872,False,Palmeiras,0.0,6.0,6,0,M. Lomba,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,Marcelo Lomba,,,,,,,,,,,,,,,,,,,,,
35,Eduardo Pereira Rodrigues,11,2.9,dudu,5,0.1,68920,True,Palmeiras,2.9,10.1,6,1,Dudu,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Dudu,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,
36,Rafael Pires Monteiro,11,3.0,rafael,1,0.0,68928,False,São Paulo,0.0,7.52,6,7,Rafael,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael,,,12.0,,6.0,,3.0,,,,,,,,,,,,,,
37,Rafael Cabral Barbosa,11,1.33,rafael-cabral,1,0.0,68940,False,Grêmio,0.0,6.43,6,3,R. Cabral,284,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,Rafael Cabral,,,9.0,,5.0,,,,,,,,,,,,,,,,
38,Mário Sérgio Santos Costa,11,1.84,marinho,5,0.0,68952,False,Fortaleza,0.0,4.49,5,5,Marinho,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Marinho,,1.0,,,,,,3.0,5.0,1.0,6.0,5.0,,,4.0,,,,,,
39,Marcos Gabriel do Nascimento,11,1.32,marquinhos-gabriel,4,-0.28,68954,True,Criciúma,0.0,3.43,7,8,M. Gabriel,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,Marquinhos Gabriel,,1.0,,,,,,4.0,4.0,3.0,3.0,4.0,,,,,,,,,
40,Lucas Pacheco Affini,11,1.9,lucas-sasha,4,0.0,68991,False,Fortaleza,0.0,4.47,5,5,L. Sasha,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,Lucas Sasha,,,,,,,,9.0,6.0,,,1.0,,,,,,,,,
41,Aderbar Melo dos Santos Neto,11,0.0,santos,1,0.0,69012,False,Fortaleza,0.0,8.0,6,0,Santos,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Santos,,,,,,,,,,,,,,,,,,,,,
42,Manoel Messias Silva Carvalho,11,0.25,manoel,3,0.0,69014,False,Fluminense,0.0,2.96,6,6,Manoel,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel,,1.0,,,,,,2.0,7.0,1.0,,2.0,,,,,,,,,
43,Muriel Gustavo Becker,11,0.0,muriel,1,0.0,69041,False,Vitória,0.0,4.0,6,0,Muriel,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel,,,,,,,,,,,,,,,,,,,,,
44,Danilo Fernandes Batista,11,0.0,danilo-fernandes,1,0.0,69051,False,Bahia,0.0,4.0,6,0,D. Fernandes,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,,
45,James David Rodríguez Rubio,11,-0.05,james-rodriguez,4,0.0,69063,False,São Paulo,0.0,4.84,6,2,J. Rodríguez,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,James Rodríguez,,,,,,,,,,,,,,,1.0,,,,,,
46,Eduardo Jesús Vargas Rojas,11,5.42,vargas,5,0.0,69102,False,Atlético-MG,0.0,5.65,6,6,Vargas,282,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Vargas,,,,,,,,2.0,2.0,1.0,4.0,3.0,,3.0,2.0,,,,1.0,,
47,Pablo Felipe Teixeira,11,2.4,pablo,5,0.0,69138,False,Athlético-PR,0.0,5.88,6,9,Pablo,293,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo,,3.0,,,,,,3.0,9.0,1.0,3.0,2.0,1.0,2.0,,,,,,,
48,Pablo Nascimento Castro,11,0.0,pablo,3,0.0,69165,False,Botafogo,0.0,3.22,6,1,Pablo,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo,,,,,,,,,,,,,,,,,,,,,
