,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.variacao_num,atletas.jogos_num,atletas.clube_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido,atletas.media_num,atletas.foto,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PS,DE,GS,SG,PP,PC,DP,V,GC
19,-1.0,4.44,7,24,True,-0.48,19,1371,51413,Walter,walter,Walter Leandro Capeloza Artune,Cuiabá,1,Walter,2.98,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,,,,,,,,1.0,,,,,,72.0,31.0,3.0,,,,,
20,3.3,8.32,7,24,True,0.41,22,265,51772,E. Ribeiro,everton-ribeiro,Everton Augusto de Barros Ribeiro,Bahia,4,Everton Ribeiro,4.05,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,,4.0,1.0,32.0,18.0,4.0,7.0,38.0,,1.0,1.0,,,,,,,,,,
21,7.8,6.07,6,24,True,1.05,11,285,52271,Fernando,fernando,Fernando Francisco Reges,Internacional,4,Fernando,2.25,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,,,3.0,18.0,10.0,,,3.0,,1.0,2.0,,,,,,,,,,
22,2.3,5.88,6,24,True,-0.08,15,262,52827,D. Luiz,david-luiz,David Luiz Moreira Marinho,Flamengo,3,David Luiz,2.56,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,,,3.0,6.0,13.0,3.0,5.0,5.0,1.0,2.0,,,,,,2.0,,1.0,,,
23,0.0,4.69,6,24,False,0.0,1,267,60793,A. Teixeira,alex-teixeira,Alex Teixeira Santos,Vasco,4,Alex Teixeira,0.5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,,,,,,,,1.0,,,,,,,,,,,,,
24,0.0,4.0,5,24,False,0.0,0,286,60795,Renan,renan,Renan dos Santos,Juventude,1,Renan,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,,,,,,,,,,,,,,,,,,,,,
25,0.0,5.08,6,24,False,0.0,3,267,60803,Souza,souza,Josef de Souza Dias,Vasco,4,Souza,0.43,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,
26,0.0,4.17,6,24,False,0.0,4,265,61106,Cicinho,cicinho,Neuciano de Jesus Gusmão,Bahia,2,Cicinho,1.57,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,,,,1.0,3.0,,,2.0,,,,,,,,1.0,,,,,
27,0.0,3.61,5,24,False,0.0,13,286,61188,Gilberto,gilberto,Gilberto Oliveira Souza Júnior,Juventude,5,Gilberto,1.78,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,,,1.0,4.0,8.0,4.0,8.0,6.0,,1.0,4.0,,,,,,,,,,
28,0.0,5.96,6,24,False,0.0,8,285,61228,Fabrício,fabricio,Fabrício Barros Santana,Internacional,1,Fabrício,4.13,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,,,,,,,,,,,,,,26.0,8.0,3.0,,,,,
29,0.0,8.0,6,24,False,0.0,0,262,61987,A. Sandro,alex-sandro,Alex Sandro Lobo Silva,Flamengo,2,Alex Sandro,0.0,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,,,,,,,,,,,,,,,,,,,,,
30,2.6,7.02,7,24,True,0.15,19,266,62977,Ganso,ganso,Paulo Henrique Chagas de Lima,Fluminense,4,Ganso,3.47,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,,3.0,9.0,16.0,11.0,5.0,2.0,25.0,,3.0,,,,,,,,,,,
31,4.4,7.18,7,24,True,0.6,18,275,63013,M. Rocha,marcos-rocha,Marcos Luis Rocha Aquino,Palmeiras,2,Marcos Rocha,4.21,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,,1.0,1.0,22.0,14.0,,2.0,6.0,,,1.0,,,,,9.0,,,,,
32,0.0,4.87,7,24,False,0.0,13,286,63110,A. Ruschel,alan-ruschel,Alan Luciano Ruschel,Juventude,2,Alan Ruschel,3.36,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,,,2.0,21.0,17.0,,2.0,18.0,,1.0,,1.0,,,,2.0,,,,,
33,-0.3,4.05,6,24,True,-0.68,16,284,63289,Edenílson,edenilson,Edenílson Andrade dos Santos,Grêmio,4,Edenílson,1.82,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,,,3.0,9.0,13.0,4.0,1.0,18.0,1.0,1.0,2.0,,,,,,,,,,
34,0.0,8.89,6,24,True,-0.92,8,285,68685,A. Patrick,alan-patrick,Alan Patrick Lourenço,Internacional,4,Alan Patrick,2.48,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,,,3.0,6.0,8.0,5.0,5.0,8.0,,1.0,,,,,,,1.0,,,,
35,0.0,6.26,5,24,False,0.0,10,263,68708,Eduardo,eduardo,Carlos Eduardo de Oliveira Alves,Botafogo,4,Eduardo,3.2,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,,1.0,1.0,6.0,8.0,3.0,4.0,9.0,,2.0,1.0,,,,,,1.0,,,,
36,0.0,4.99,6,24,False,0.0,1,275,68872,M. Lomba,marcelo-lomba,Marcelo Lomba do Nascimento,Palmeiras,1,Marcelo Lomba,-1.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,,,,,,,,,,,,,,1.0,2.0,,,,,,
37,0.0,6.82,6,24,False,0.0,3,267,68899,P. Coutinho,philippe-coutinho,Philippe Coutinho Correia,Vasco,4,Philippe Coutinho,1.73,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,
38,0.0,5.77,6,24,False,0.0,9,275,68920,Dudu,dudu,Eduardo Pereira Rodrigues,Palmeiras,5,Dudu,1.29,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,,,,3.0,3.0,3.0,1.0,9.0,,,,,,,,,,,,,
39,0.0,6.86,7,24,False,0.0,14,276,68928,Rafael,rafael,Rafael Pires Monteiro,São Paulo,1,Rafael,3.35,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,,,1.0,,,,,,,,,,,31.0,13.0,6.0,,,,,
40,0.0,6.8,6,24,False,0.0,5,284,68940,R. Cabral,rafael-cabral,Rafael Cabral Barbosa,Grêmio,1,Rafael Cabral,2.5,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,,,,,,,,1.0,,,,,,15.0,8.0,1.0,,,,,
41,0.0,4.91,6,24,False,0.0,11,356,68952,Marinho,marinho,Mário Sérgio Santos Costa,Fortaleza,5,Marinho,3.1,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,,1.0,2.0,10.0,18.0,4.0,11.0,23.0,,,6.0,,,,,,,,,,
42,3.6,3.29,7,24,True,0.26,16,288,68954,M. Gabriel,marquinhos-gabriel,Marcos Gabriel do Nascimento,Criciúma,4,Marquinhos Gabriel,1.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,,,3.0,6.0,7.0,4.0,6.0,9.0,,,2.0,,,,,,,,,,
43,8.3,5.96,7,24,True,0.89,17,356,68991,L. Sasha,lucas-sasha,Lucas Pacheco Affini,Fortaleza,4,Lucas Sasha,3.16,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,,,2.0,45.0,33.0,2.0,1.0,17.0,,,,,,,,,,,,,
44,0.0,8.0,6,24,False,0.0,0,356,69012,Santos,santos,Aderbar Melo dos Santos Neto,Fortaleza,1,Santos,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,,,,,,,,,,,,,,,,,,,,,
