,atletas.clube.id.full.name,atletas.nome,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.clube_id,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.apelido,atletas.slug,atletas.variacao_num,DS,FC,FF,FS,SG,FT,G,I,A,CA,FD,DE,CV,GS,PP,PS,PC,V,DP,GC
19,Fortaleza,Christian Chagas Tarouco,5.8,Titi,7,,2.65,356,50353,3,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,5,4,4.76,Titi,titi,0.74,4.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
20,Cuiabá,Walter Leandro Capeloza Artune,2.0,Walter,6,,1.25,1371,51413,1,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,5,4,3.82,Walter,walter,0.05,,,,,,,,,,,,15.0,,10.0,,,,,,
21,Bahia,Everton Augusto de Barros Ribeiro,3.6,E. Ribeiro,7,,5.35,265,51772,4,True,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,5,4,9.97,Everton Ribeiro,everton-ribeiro,-0.71,9.0,3.0,2.0,7.0,,,,,1.0,1.0,2.0,,,,,,,,,
22,Internacional,Fernando Francisco Reges,0.0,Fernando,7,,5.1,285,52271,4,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,5,2,8.3,Fernando,fernando,0.0,3.0,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,,
23,Flamengo,David Luiz Moreira Marinho,0.0,D. Luiz,6,,0.0,262,52827,3,False,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,5,0,6.0,David Luiz,david-luiz,0.0,,,,,,,,,,,,,,,,,,,,
24,Vitória,Leonardo Gamalho de Souza,0.0,L. Gamalho,6,,0.0,287,53865,5,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,5,1,4.11,Léo Gamalho,leo-gamalho,0.0,,,,,,,,,,,,,,,,,,,,
25,Juventude,Renan dos Santos,0.0,Renan,5,,0.0,286,60795,1,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,5,0,4.0,Renan,renan,0.0,,,,,,,,,,,,,,,,,,,,
26,Bahia,Neuciano de Jesus Gusmão,0.0,Cicinho,6,,0.0,265,61106,2,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,5,0,4.0,Cicinho,cicinho,0.0,,,,,,,,,,,,,,,,,,,,
27,Juventude,Gilberto Oliveira Souza Júnior,0.0,Gilberto,5,,0.8,286,61188,5,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5,1,5.22,Gilberto,gilberto,0.0,,,1.0,,,,,,,,,,,,,,,,,
28,Internacional,Fabrício Barros Santana,0.0,Fabrício,6,,0.0,285,61228,1,False,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,5,0,2.0,Fabrício,fabricio,0.0,,,,,,,,,,,,,,,,,,,,
