,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
19,3,titi,50353,3.86,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,,Fortaleza,2.37,True,Titi,3,-0.8,Christian Chagas Tarouco,-0.69,17,11,Titi,356,,15.0,18.0,,10.0,,,3.0,,2.0,,1.0,2.0,,,,,,,
20,1,walter,51413,6.22,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,,Cuiabá,4.03,False,Walter,7,0.0,Walter Leandro Capeloza Artune,0.0,17,13,Walter,1371,,,,,1.0,,,,,,,,3.0,55.0,18.0,,,,,
21,4,everton-ribeiro,51772,8.37,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,,Bahia,4.34,False,E. Ribeiro,7,0.0,Everton Augusto de Barros Ribeiro,0.0,17,15,Everton Ribeiro,265,4.0,25.0,13.0,3.0,25.0,,,1.0,,5.0,,1.0,,,,,,,,
22,4,fernando,52271,5.03,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,,Internacional,1.76,False,Fernando,5,0.0,Fernando Francisco Reges,0.0,17,9,Fernando,285,,10.0,8.0,,3.0,,,3.0,,,1.0,2.0,,,,,,,,
23,3,david-luiz,52827,6.31,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,,Flamengo,2.77,False,D. Luiz,7,0.0,David Luiz Moreira Marinho,0.0,17,10,David Luiz,262,,2.0,8.0,1.0,1.0,1.0,,1.0,,5.0,2.0,,1.0,,,,,1.0,,
24,5,leo-gamalho,53865,4.11,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,,Vitória,0.0,False,L. Gamalho,6,0.0,Leonardo Gamalho de Souza,0.0,17,1,Léo Gamalho,287,,,,,,,,,,,,,,,,,,,,
25,4,alex-teixeira,60793,5.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,,Vasco,0.0,False,A. Teixeira,6,0.0,Alex Teixeira Santos,0.0,17,0,Alex Teixeira,267,,,,,,,,,,,,,,,,,,,,
26,1,renan,60795,4.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,,Juventude,0.0,False,Renan,5,0.0,Renan dos Santos,0.0,17,0,Renan,286,,,,,,,,,,,,,,,,,,,,
27,4,souza,60803,7.0,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,,Vasco,0.0,False,Souza,6,0.0,Josef de Souza Dias,0.0,17,0,Souza,267,,,,,,,,,,,,,,,,,,,,
28,2,cicinho,61106,4.17,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,,Bahia,1.57,False,Cicinho,6,0.0,Neuciano de Jesus Gusmão,0.0,17,4,Cicinho,265,,1.0,3.0,,2.0,,,,,,,,1.0,,,,,,,
29,5,gilberto,61188,5.31,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,,Juventude,2.19,False,Gilberto,7,0.0,Gilberto Oliveira Souza Júnior,0.0,17,10,Gilberto,286,,4.0,7.0,4.0,3.0,,,1.0,,8.0,1.0,4.0,,,,,,,,
