,atletas.posicao_id,atletas.status_id,atletas.nome,atletas.foto,atletas.media_num,atletas.entrou_em_campo,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.rodada_id,atletas.preco_num,atletas.clube_id,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,GC,V
19,1,7,Walter Leandro Capeloza Artune,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,3.95,True,11,walter,3.0,Walter,,-0.13,51413,Walter,Cuiabá,13,5.4,1371,,43.0,,15.0,,3.0,,,,,1.0,,,,,,,,,
20,4,2,Everton Augusto de Barros Ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4.64,True,12,everton-ribeiro,4.5,Everton Ribeiro,,0.09,51772,E. Ribeiro,Bahia,13,9.22,265,1.0,,,,,,22.0,9.0,3.0,5.0,21.0,,,1.0,3.0,,,,,
21,4,7,Fernando Francisco Reges,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,2.0,True,7,fernando,2.3,Fernando,,0.09,52271,Fernando,Internacional,13,5.69,285,3.0,,,,,,8.0,5.0,,,2.0,,1.0,1.0,,,,,,
22,3,7,David Luiz Moreira Marinho,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,3.54,True,7,david-luiz,0.8,David Luiz,,-0.14,52827,D. Luiz,Flamengo,13,6.74,262,1.0,,,,1.0,1.0,2.0,4.0,,2.0,,1.0,2.0,,,,,,,
23,5,6,Leonardo Gamalho de Souza,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,0.0,False,1,leo-gamalho,0.0,Léo Gamalho,,0.0,53865,L. Gamalho,Vitória,13,4.11,287,,,,,,,,,,,,,,,,,,,,
24,1,5,Renan dos Santos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,0.0,False,0,renan,0.0,Renan,,0.0,60795,Renan,Juventude,13,4.0,286,,,,,,,,,,,,,,,,,,,,
25,2,6,Neuciano de Jesus Gusmão,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,1.8,False,3,cicinho,0.0,Cicinho,,0.0,61106,Cicinho,Bahia,13,4.42,265,,,,,,1.0,,2.0,,,2.0,,,,,,,,,
26,5,2,Gilberto Oliveira Souza Júnior,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,0.84,True,8,gilberto,2.2,Gilberto,,-0.04,61188,Gilberto,Juventude,13,3.43,286,,,,,,,2.0,6.0,2.0,4.0,2.0,,,4.0,,,,,,
27,1,7,Fabrício Barros Santana,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,5.0,True,6,fabricio,4.0,Fabrício,,0.43,61228,Fabrício,Internacional,13,6.57,285,,20.0,,5.0,,3.0,,,,,,,,,,,,,,
28,5,6,Douglas Costa de Souza,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,1.34,False,7,douglas-costa,0.0,Douglas Costa,,0.0,62020,D. Costa,Fluminense,13,4.41,266,,,,,,,4.0,3.0,2.0,2.0,3.0,,,,,,,,,
