,atletas.rodada_id,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.media_num,atletas.jogos_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.foto,atletas.preco_num,atletas.nome,atletas.atleta_id,atletas.clube_id,A,CA,CV,DS,FC,FD,FF,FS,G,I,SG,FT,PC,DE,GS,PS,V,PP,GC,DP
19,15,False,,2.69,10,Titi,Fortaleza,0.0,0.0,titi,Titi,3,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,4.55,Christian Chagas Tarouco,50353,356,,2.0,,15.0,17.0,,2.0,9.0,,1.0,2.0,,,,,,,,,
20,15,True,,4.03,13,Walter,Cuiabá,9.0,1.38,walter,Walter,1,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,6.22,Walter Leandro Capeloza Artune,51413,1371,,,,,,,,1.0,,,3.0,,,55.0,18.0,,,,,
21,15,True,,4.67,14,Everton Ribeiro,Bahia,3.1,-0.52,everton-ribeiro,E. Ribeiro,4,7,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,8.96,Everton Augusto de Barros Ribeiro,51772,265,4.0,1.0,,25.0,12.0,3.0,5.0,25.0,,1.0,,,,,,,,,,
22,15,True,,1.76,9,Fernando,Internacional,-0.3,-0.53,fernando,Fernando,4,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,5.03,Fernando Francisco Reges,52271,285,,3.0,,10.0,8.0,,,3.0,1.0,2.0,,,,,,,,,,
23,15,True,,2.83,9,David Luiz,Flamengo,1.3,0.06,david-luiz,D. Luiz,3,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,6.25,David Luiz Moreira Marinho,52827,262,,1.0,,2.0,7.0,,4.0,,2.0,,1.0,1.0,1.0,,,,,,,
24,15,False,,0.0,1,Léo Gamalho,Vitória,0.0,0.0,leo-gamalho,L. Gamalho,5,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,4.11,Leonardo Gamalho de Souza,53865,287,,,,,,,,,,,,,,,,,,,,
25,15,False,,0.0,0,Renan,Juventude,0.0,0.0,renan,Renan,1,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,4.0,Renan dos Santos,60795,286,,,,,,,,,,,,,,,,,,,,
26,15,False,,1.8,3,Cicinho,Bahia,0.0,0.0,cicinho,Cicinho,2,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,4.42,Neuciano de Jesus Gusmão,61106,265,,,,,2.0,,,2.0,,,1.0,,,,,,,,,
27,15,True,,2.19,10,Gilberto,Juventude,12.4,1.77,gilberto,Gilberto,5,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5.31,Gilberto Oliveira Souza Júnior,61188,286,,1.0,,4.0,7.0,4.0,8.0,3.0,1.0,4.0,,,,,,,,,,
28,15,True,,4.13,8,Fabrício,Internacional,2.0,0.0,fabricio,Fabrício,1,7,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,5.96,Fabrício Barros Santana,61228,285,,,,,,,,,,,3.0,,,26.0,8.0,,,,,
29,15,False,,1.31,8,Douglas Costa,Fluminense,0.0,0.0,douglas-costa,D. Costa,5,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,4.33,Douglas Costa de Souza,62020,266,,1.0,,5.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,
30,15,True,,3.75,12,Ganso,Fluminense,6.1,-0.19,ganso,Ganso,4,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,7.84,Paulo Henrique Chagas de Lima,62977,266,2.0,6.0,,8.0,8.0,2.0,1.0,13.0,3.0,,,,,,,,,,,
31,15,True,,4.17,12,Marcos Rocha,Palmeiras,6.2,0.72,marcos-rocha,M. Rocha,2,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7.41,Marcos Luis Rocha Aquino,63013,275,,,,12.0,10.0,,2.0,4.0,,,7.0,,,,,,,,,
32,15,True,,2.94,8,Alan Ruschel,Juventude,6.2,0.82,alan-ruschel,A. Ruschel,2,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,4.78,Alan Luciano Ruschel,63110,286,,1.0,,15.0,11.0,,1.0,8.0,,,1.0,,,,,,,,,
33,15,True,,1.33,10,Edenílson,Grêmio,-0.1,-0.6,edenilson,Edenílson,4,7,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,4.09,Edenílson Andrade dos Santos,63289,284,,2.0,,4.0,6.0,,,9.0,1.0,1.0,,,,,,,,,,
34,15,True,,2.83,7,Alan Patrick,Internacional,3.3,0.27,alan-patrick,A. Patrick,4,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,9.81,Alan Patrick Lourenço,68685,285,,3.0,,6.0,8.0,5.0,5.0,8.0,1.0,,,,,,,,,1.0,,
35,15,True,,3.95,9,Eduardo,Botafogo,3.0,-0.61,eduardo,Eduardo,4,7,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,7.48,Carlos Eduardo de Oliveira Alves,68708,263,1.0,,,5.0,6.0,3.0,3.0,9.0,2.0,1.0,,,,,,,,,,
36,15,False,,0.0,0,Marcelo Lomba,Palmeiras,0.0,0.0,marcelo-lomba,M. Lomba,1,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6.0,Marcelo Lomba do Nascimento,68872,275,,,,,,,,,,,,,,,,,,,,
37,15,False,,1.83,3,Dudu,Palmeiras,0.0,0.0,dudu,Dudu,5,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,8.38,Eduardo Pereira Rodrigues,68920,275,,,,2.0,1.0,2.0,,2.0,,,,,,,,,,,,
38,15,False,,3.0,7,Rafael,São Paulo,0.0,0.0,rafael,Rafael,1,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,7.52,Rafael Pires Monteiro,68928,276,,,,,,,,,,,3.0,,,12.0,6.0,,,,,
39,15,True,,0.75,4,Rafael Cabral,Grêmio,-1.0,-1.22,rafael-cabral,R. Cabral,1,7,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,5.21,Rafael Cabral Barbosa,68940,284,,,,,,,,,,,,,,11.0,8.0,,,,,
40,15,True,,2.11,7,Marinho,Fortaleza,1.6,-0.37,marinho,Marinho,5,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,4.44,Mário Sérgio Santos Costa,68952,356,,1.0,,3.0,7.0,3.0,7.0,11.0,,4.0,,,,,,,,,,
