,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
18,,4,265,everton-ribeiro,Everton Ribeiro,51772,0.0,0.0,37,4.04,Bahia,E. Ribeiro,33,False,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,7,Everton Augusto de Barros Ribeiro,8.09,52.0,32.0,8.0,7.0,65.0,2.0,1.0,3.0,,4.0,,,,,,,,,,
19,,4,285,fernando,Fernando,52271,0.0,-0.12,37,2.07,Internacional,Fernando,19,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,7,Fernando Francisco Reges,4.82,28.0,16.0,1.0,1.0,6.0,1.0,2.0,5.0,1.0,,,,,,,,,,,
20,,3,262,david-luiz,David Luiz,52827,6.0,0.15,37,3.25,Flamengo,D. Luiz,21,True,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,6,David Luiz Moreira Marinho,6.64,8.0,19.0,3.0,6.0,10.0,3.0,1.0,5.0,1.0,,6.0,,,1.0,,,,,,
21,,4,267,alex-teixeira,Alex Teixeira,60793,4.3,-1.06,37,4.03,Vasco,A. Teixeira,6,True,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,7,Alex Teixeira Santos,5.86,4.0,,2.0,2.0,5.0,1.0,1.0,,,1.0,,,,,,,,,,
22,,4,267,souza,Souza,60803,0.0,0.0,37,-0.5,Vasco,Souza,4,False,https://s.sde.globo.com/media/person_role/2024/07/14/photo_FORMATO_9cOrW1c.png,6,Josef de Souza Dias,3.57,2.0,3.0,,,1.0,,,1.0,,,,,1.0,,,,,,,
23,,2,265,cicinho,Cicinho,61106,0.0,0.0,37,1.32,Bahia,Cicinho,4,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,6,Neuciano de Jesus Gusmão,4.32,1.0,3.0,,,2.0,,,1.0,,,1.0,,,,,,,,,
24,,5,286,gilberto,Gilberto,61188,1.2,0.04,37,2.24,Juventude,Gilberto,22,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,6,Gilberto Oliveira Souza Júnior,3.91,6.0,21.0,10.0,13.0,11.0,2.0,5.0,3.0,1.0,1.0,,,,,,,,,,
25,,1,285,fabricio,Fabrício,61228,0.0,0.0,37,4.13,Internacional,Fabrício,8,False,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,6,Fabrício Barros Santana,5.96,,,,,,,,,,,3.0,,,,,,,26.0,8.0,
26,,2,262,alex-sandro,Alex Sandro,61987,0.0,0.0,37,4.76,Flamengo,A. Sandro,7,False,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,7,Alex Sandro Lobo Silva,8.82,10.0,13.0,2.0,2.0,5.0,,3.0,1.0,,1.0,3.0,,,,,,,,,
27,,4,266,ganso,Ganso,62977,0.0,0.0,37,3.15,Fluminense,Ganso,28,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,7,Paulo Henrique Chagas de Lima,6.93,24.0,18.0,6.0,7.0,31.0,3.0,2.0,10.0,,6.0,,1.0,1.0,,,,,,,
