,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.foto,atletas.posicao_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.nome,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.pontos_num,atletas.clube_id,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.slug,CA,DS,FC,FS,FD,FF,SG,G,I,A,CV,FT,V,PS,DE,GS,PC,PP,DP,GC
18,30,51772,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4,-0.47,True,Everton Augusto de Barros Ribeiro,33,7,8.02,1.4,265,Everton Ribeiro,E. Ribeiro,4.15,everton-ribeiro,3.0,48.0,31.0,59.0,7.0,7.0,,2.0,1.0,4.0,,,,,,,,,,
19,15,52271,,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4,0.0,False,Fernando Francisco Reges,33,6,5.36,0.0,285,Fernando,Fernando,2.34,fernando,4.0,23.0,14.0,6.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,
20,19,52827,,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,3,0.0,False,David Luiz Moreira Marinho,33,6,7.35,0.0,262,David Luiz,D. Luiz,3.01,david-luiz,5.0,8.0,19.0,8.0,3.0,6.0,4.0,3.0,1.0,,,1.0,,,,,1.0,,,
21,3,60793,,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,4,-0.43,True,Alex Teixeira Santos,33,6,4.69,1.7,267,Alex Teixeira,A. Teixeira,1.9,alex-teixeira,,4.0,,2.0,,,,,1.0,,,,,,,,,,,
22,4,60803,,Vasco,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,4,0.0,False,Josef de Souza Dias,33,6,3.57,0.0,267,Souza,Souza,-0.5,souza,1.0,2.0,3.0,1.0,,,,,,,1.0,,,,,,,,,
23,4,61106,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,2,0.0,False,Neuciano de Jesus Gusmão,33,6,4.32,0.0,265,Cicinho,Cicinho,1.32,cicinho,1.0,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,
24,20,61188,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5,-0.29,True,Gilberto Oliveira Souza Júnior,33,7,3.91,0.8,286,Gilberto,Gilberto,2.38,gilberto,3.0,6.0,20.0,11.0,9.0,12.0,,2.0,5.0,1.0,,1.0,,,,,,,,
25,8,61228,,Internacional,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,1,0.0,False,Fabrício Barros Santana,33,6,5.96,0.0,285,Fabrício,Fabrício,4.13,fabricio,,,,,,,3.0,,,,,,,,26.0,8.0,,,,
26,4,61987,,Flamengo,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,2,0.0,False,Alex Sandro Lobo Silva,33,7,7.07,0.0,262,Alex Sandro,A. Sandro,2.6,alex-sandro,1.0,1.0,5.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,,
27,26,62977,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,4,0.0,False,Paulo Henrique Chagas de Lima,33,6,6.61,0.0,266,Ganso,Ganso,3.18,ganso,10.0,23.0,18.0,31.0,6.0,4.0,,3.0,1.0,5.0,,,,,,,,1.0,,
28,23,63013,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,2,0.0,False,Marcos Luis Rocha Aquino,33,7,7.54,0.0,275,Marcos Rocha,M. Rocha,4.75,marcos-rocha,4.0,36.0,23.0,11.0,,2.0,12.0,,2.0,2.0,,,,,,,,,,
29,22,63110,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,2,-0.1,True,Alan Luciano Ruschel,33,3,4.82,1.1,286,Alan Ruschel,A. Ruschel,3.49,alan-ruschel,3.0,41.0,22.0,28.0,,4.0,2.0,1.0,,1.0,1.0,,,,,,,,,
30,22,63289,,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,4,0.0,False,Edenílson Andrade dos Santos,33,7,4.36,0.0,284,Edenílson,Edenílson,1.8,edenilson,3.0,11.0,16.0,21.0,5.0,3.0,,1.0,3.0,1.0,,1.0,,,,,,,,
31,16,68685,,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,4,0.0,False,Alan Patrick Lourenço,33,7,11.38,0.0,285,Alan Patrick,A. Patrick,5.59,alan-patrick,3.0,14.0,17.0,20.0,8.0,9.0,,6.0,,2.0,,,,,,,,1.0,,
32,13,68708,,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,4,-0.24,True,Carlos Eduardo de Oliveira Alves,33,2,6.03,0.0,263,Eduardo,Eduardo,2.49,eduardo,1.0,6.0,9.0,9.0,3.0,5.0,,2.0,1.0,1.0,,,,,,,,1.0,,
33,1,68872,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,1,0.0,False,Marcelo Lomba do Nascimento,33,6,4.99,0.0,275,Marcelo Lomba,M. Lomba,-1.0,marcelo-lomba,,,,,,,,,,,,,,,1.0,2.0,,,,
34,9,68899,,Vasco,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,4,-0.31,True,Philippe Coutinho Correia,33,6,5.56,1.2,267,Philippe Coutinho,P. Coutinho,2.16,philippe-coutinho,,5.0,5.0,6.0,2.0,2.0,,1.0,,,,,,,,,,,,
35,14,68920,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,5,0.0,False,Eduardo Pereira Rodrigues,33,7,5.91,0.0,275,Dudu,Dudu,1.57,dudu,,5.0,3.0,15.0,5.0,3.0,,,,,,,,1.0,,,,,,
36,21,68928,,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1,-1.21,True,Rafael Pires Monteiro,33,7,6.43,1.5,276,Rafael,Rafael,3.36,rafael,1.0,,,1.0,,,8.0,,,,,,,,51.0,20.0,,,,
37,6,68940,,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,1,0.0,False,Rafael Cabral Barbosa,33,6,5.34,0.0,284,Rafael Cabral,R. Cabral,2.08,rafael-cabral,,,,1.0,,,1.0,,,,,,,,15.0,8.0,,,,
38,17,68952,,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,5,1.31,True,Mário Sérgio Santos Costa,33,6,7.47,12.3,356,Marinho,Marinho,4.94,marinho,3.0,22.0,23.0,39.0,9.0,15.0,,3.0,8.0,1.0,1.0,,,,,,,,,
39,21,68954,,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,4,-0.06,True,Marcos Gabriel do Nascimento,33,6,2.73,0.0,288,Marquinhos Gabriel,M. Gabriel,0.98,marquinhos-gabriel,3.0,9.0,7.0,11.0,4.0,6.0,,,3.0,,,,,,,,,,,
40,18,68991,,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,4,0.0,False,Lucas Pacheco Affini,33,6,6.5,0.0,356,Lucas Sasha,L. Sasha,3.57,lucas-sasha,2.0,53.0,33.0,19.0,2.0,1.0,,,,,,,,,,,,,,
41,0,69012,,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,1,0.0,False,Aderbar Melo dos Santos Neto,33,6,8.0,0.0,356,Santos,Santos,0.0,santos,,,,,,,,,,,,,,,,,,,,
42,10,69014,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,3,0.0,False,Manoel Messias Silva Carvalho,33,6,3.51,0.0,266,Manoel,Manoel,1.55,manoel,2.0,6.0,8.0,3.0,1.0,,2.0,,,,,,,,,,,,,
43,1,69041,,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,1,0.0,False,Muriel Gustavo Becker,33,6,5.94,0.0,287,Muriel,Muriel,6.5,muriel,2.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,
44,0,69051,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,1,0.0,False,Danilo Fernandes Batista,33,6,3.54,0.0,265,Danilo Fernandes,D. Fernandes,-1.0,danilo-fernandes,1.0,,,,,,,,,,,,,,,,,,,
45,19,69102,,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5,0.0,False,Eduardo Jesús Vargas Rojas,33,6,6.17,0.0,282,Vargas,Vargas,4.81,vargas,1.0,8.0,7.0,20.0,5.0,7.0,,7.0,6.0,1.0,,,,3.0,,,,,,
46,23,69138,,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5,-0.61,True,Pablo Felipe Teixeira,33,7,5.3,-0.1,293,Pablo,Pablo,2.47,pablo,5.0,9.0,22.0,9.0,4.0,15.0,,3.0,7.0,2.0,,1.0,,,,,,,,
47,10,69140,,Botafogo,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,4,0.0,False,Allan Marques Loureiro,33,6,5.06,0.0,263,Allan,Allan,1.79,allan,2.0,12.0,10.0,7.0,,,,,,1.0,,,,,,,,,,
