,atletas.slug,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.entrou_em_campo,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.status_id,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.apelido_abreviado,V,CA,DE,FS,GS,SG,A,DS,FC,FD,FF,G,I,CV,FT,PC,PS,PP,DP,GC
32,edenilson,Edenílson Andrade dos Santos,5.0,0.57,,Edenílson,True,1.92,4.66,63289,4,Grêmio,18,6,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,27,284,Edenílson,,3.0,,19.0,,,1.0,9.0,13.0,4.0,1.0,1.0,2.0,,1.0,,,,,
33,alan-patrick,Alan Patrick Lourenço,11.2,-0.07,,Alan Patrick,True,4.11,10.56,68685,4,Internacional,11,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,27,285,A. Patrick,,3.0,,12.0,,,,9.0,10.0,6.0,9.0,3.0,,,,,,1.0,,
34,eduardo,Carlos Eduardo de Oliveira Alves,0.0,0.0,,Eduardo,False,3.2,6.26,68708,4,Botafogo,10,5,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,27,263,Eduardo,,1.0,,9.0,,,1.0,6.0,8.0,3.0,4.0,2.0,1.0,,,,,1.0,,
35,marcelo-lomba,Marcelo Lomba do Nascimento,0.0,0.0,,Marcelo Lomba,False,-1.0,4.99,68872,1,Palmeiras,1,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,27,275,M. Lomba,,,1.0,,2.0,,,,,,,,,,,,,,,
36,philippe-coutinho,Philippe Coutinho Correia,1.2,-1.4,,Philippe Coutinho,True,2.82,6.23,68899,4,Vasco,5,6,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,27,267,P. Coutinho,,,,5.0,,,,3.0,4.0,1.0,,1.0,,,,,,,,
37,dudu,Eduardo Pereira Rodrigues,0.0,0.0,,Dudu,False,1.21,5.57,68920,5,Palmeiras,10,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,27,275,Dudu,,,,10.0,,,,3.0,3.0,3.0,1.0,,,,,,,,,
38,rafael,Rafael Pires Monteiro,0.0,0.0,,Rafael,False,3.19,6.41,68928,1,São Paulo,15,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,27,276,Rafael,,1.0,34.0,,15.0,6.0,,,,,,,,,,,,,,
39,rafael-cabral,Rafael Cabral Barbosa,0.0,0.0,,Rafael Cabral,False,2.5,6.8,68940,1,Grêmio,5,6,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,27,284,R. Cabral,,,15.0,1.0,8.0,1.0,,,,,,,,,,,,,,
40,marinho,Mário Sérgio Santos Costa,21.7,3.0,,Marinho,True,4.5,8.09,68952,5,Fortaleza,13,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,27,356,Marinho,,2.0,,27.0,,,1.0,13.0,19.0,6.0,12.0,2.0,7.0,,,,,,,
41,marquinhos-gabriel,Marcos Gabriel do Nascimento,0.0,0.0,,Marquinhos Gabriel,False,0.89,2.76,68954,4,Criciúma,18,6,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,27,288,M. Gabriel,,3.0,,9.0,,,,6.0,7.0,4.0,6.0,,2.0,,,,,,,
42,lucas-sasha,Lucas Pacheco Affini,0.0,0.0,,Lucas Sasha,False,3.57,6.5,68991,4,Fortaleza,18,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,27,356,L. Sasha,,2.0,,19.0,,,,53.0,33.0,2.0,1.0,,,,,,,,,
43,santos,Aderbar Melo dos Santos Neto,0.0,0.0,,Santos,False,0.0,8.0,69012,1,Fortaleza,0,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,27,356,Santos,,,,,,,,,,,,,,,,,,,,
44,manoel,Manoel Messias Silva Carvalho,1.2,0.04,,Manoel,True,0.39,3.0,69014,3,Fluminense,7,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,27,266,Manoel,,1.0,,2.0,,,,3.0,7.0,1.0,,,,,,,,,,
45,muriel,Muriel Gustavo Becker,6.5,2.42,,Muriel,True,6.5,5.94,69041,1,Vitória,1,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,27,287,Muriel,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
46,danilo-fernandes,Danilo Fernandes Batista,0.0,0.0,,Danilo Fernandes,False,-1.0,3.54,69051,1,Bahia,0,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,27,265,D. Fernandes,,1.0,,,,,,,,,,,,,,,,,,
47,vargas,Eduardo Jesús Vargas Rojas,0.0,0.0,,Vargas,False,4.28,6.65,69102,5,Atlético-MG,15,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,27,282,Vargas,,,,12.0,,,,6.0,3.0,4.0,7.0,5.0,5.0,,,,2.0,,,
48,pablo,Pablo Felipe Teixeira,0.0,0.0,,Pablo,False,1.93,5.28,69138,5,Athlético-PR,18,6,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,27,293,Pablo,,5.0,,6.0,,,1.0,6.0,18.0,3.0,9.0,2.0,,,1.0,,,,,
49,allan,Allan Marques Loureiro,1.2,-0.26,,Allan,True,2.13,5.49,69140,4,Botafogo,7,6,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,27,263,Allan,,2.0,,7.0,,,1.0,9.0,8.0,,,,,,,,,,,
50,pablo,Pablo Nascimento Castro,0.0,0.0,,Pablo,False,0.0,3.22,69165,3,Botafogo,1,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,27,263,Pablo,,,,,,,,,,,,,,,,,,,,
51,nikao,Maycon Vinícius Ferreira da Cruz,0.0,0.0,,Nikão,False,4.92,8.51,69705,4,Athlético-PR,15,6,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,27,293,Nikão,,,,22.0,,,1.0,15.0,5.0,10.0,13.0,2.0,2.0,,1.0,,,,,
52,lucas-moura,Lucas Rodrigues Moura da Silva,7.2,0.62,,Lucas Moura,True,6.35,13.69,70164,4,São Paulo,18,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,27,276,L. Moura,,3.0,,36.0,,,4.0,25.0,17.0,8.0,6.0,5.0,,,,,,,,
53,rafael,Rafael Pereira da Silva,0.0,0.0,,Rafael,False,0.0,3.0,70171,2,Botafogo,0,5,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,27,263,Rafael,,,,,,,,,,,,,,,,,,,,
54,fabio,Fábio Pereira da Silva,0.0,0.0,,Fábio,False,3.04,5.38,70172,2,Grêmio,12,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,27,284,Fábio,,1.0,,14.0,,4.0,,7.0,5.0,,2.0,,,,1.0,1.0,,,,
55,gustavo,Luiz Gustavo de Almeida Pinto,8.0,1.01,,Gustavo,True,3.0,6.06,70216,1,Criciúma,20,7,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,27,288,Gustavo,,2.0,66.0,1.0,30.0,3.0,,,1.0,,,,,1.0,,,,,2.0,
56,bruno-uvini,Bruno Uvini Bortolança,0.0,0.0,,Bruno Uvini,False,0.48,2.22,70221,3,Vitória,6,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,27,287,B. Uvini,,1.0,,1.0,,,,2.0,2.0,,2.0,,,,,,,,,
57,diego-costa,Diego da Silva Costa,8.0,1.05,,Diego Costa,True,2.02,5.98,70316,5,Grêmio,5,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,27,284,D. Costa,,1.0,,4.0,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,,
58,marchesin,Agustín Federico Marchesín,4.0,0.2,,Marchesín,True,4.1,6.41,70332,1,Grêmio,17,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,27,284,Marchesín,,2.0,58.0,3.0,19.0,6.0,,1.0,,,,,,,,,,,,
59,eduardo-sasha,Eduardo Colcenti Antunes,3.6,-0.99,,Eduardo Sasha,True,4.42,8.25,70360,5,Bragantino,15,7,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,27,280,E. Sasha,,4.0,,18.0,,,3.0,6.0,12.0,11.0,11.0,3.0,3.0,1.0,,,,,,
60,gabriel,Gabriel Vasconcelos Ferreira,-1.5,-0.25,,Gabriel,True,2.59,3.67,70449,1,Juventude,20,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,27,286,Gabriel,,4.0,66.0,4.0,28.0,4.0,,,1.0,,,,,1.0,,1.0,,,,
61,felipe-anderson,Felipe Anderson Pereira Gomes,4.0,-1.48,,Felipe Anderson,True,5.58,9.29,70592,4,Palmeiras,10,7,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,27,275,F. Anderson,,,,5.0,,,1.0,21.0,5.0,2.0,4.0,2.0,1.0,,1.0,,,,,
62,marllon,Marllon Gonçalves Jerônimo Borges,0.0,0.0,,Marllon,False,2.55,3.85,70666,3,Cuiabá,20,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,27,1371,Marllon,,2.0,,7.0,,2.0,,21.0,13.0,2.0,6.0,1.0,,,1.0,1.0,1.0,,,
63,enner-valencia,Enner Remberto Valencia Lastra,0.5,-0.47,,Enner Valencia,True,2.16,9.28,70788,5,Internacional,9,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,27,285,E. Valencia,,,,10.0,,,,4.0,4.0,4.0,4.0,,2.0,,1.0,,,,,
64,diogo-barbosa,Diogo Barbosa Mendanha,0.0,0.0,,Diogo Barbosa,False,2.15,3.33,70916,2,Fluminense,15,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,27,266,D. Barbosa,,5.0,,11.0,,4.0,,12.0,11.0,,1.0,,,,,,,,,
65,bruno-henrique,Bruno Henrique Corsini,-0.3,-0.3,,Bruno Henrique,True,2.75,5.11,70944,4,Internacional,22,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,27,285,B. Henrique,,3.0,,15.0,,,1.0,23.0,38.0,6.0,11.0,2.0,1.0,,1.0,,,,,
66,jean-carlos,Jean Carlos Vicente,0.0,0.0,,Jean Carlos,False,3.63,7.44,70958,4,Juventude,15,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,27,286,J. Carlos,,2.0,,5.0,,,1.0,7.0,11.0,4.0,9.0,4.0,1.0,,,,,,,
67,payet,Florent Dimitri Payet,1.2,-0.29,,Payet,True,3.04,5.62,70984,4,Vasco,13,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,27,267,Payet,,,,13.0,,,3.0,10.0,8.0,2.0,4.0,,2.0,,1.0,,,,,
68,pedro-henrique,Pedro Henrique Pereira da Silva,0.0,0.0,,Pedro Henrique,False,3.02,4.73,71038,3,Atlético-GO,9,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,27,373,P. Henrique,,3.0,,4.0,,3.0,,11.0,8.0,2.0,,,,,,,,,,
69,maicon,Maicon Pereira Roque,1.2,-0.33,,Maicon,True,2.56,4.09,71227,3,Vasco,24,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,27,267,Maicon,,4.0,,7.0,,6.0,,21.0,11.0,1.0,1.0,1.0,1.0,,,,,,,
70,luiz-gustavo,Luiz Gustavo Dias,0.0,0.0,,Luiz Gustavo,False,2.38,4.49,71536,4,São Paulo,18,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,27,276,L. Gustavo,,3.0,,17.0,,,,23.0,24.0,7.0,7.0,,,,1.0,,,,,
71,weverton,Weverton Pereira da Silva,7.0,-0.57,,Weverton,True,5.63,10.86,71631,1,Palmeiras,26,7,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,27,275,Weverton,,2.0,92.0,5.0,17.0,13.0,1.0,1.0,,,,,,,,,,,,
72,raul-caceres,Raúl Alejandro Cáceres Bogado,6.7,0.0,,Raúl Cáceres,True,3.86,6.09,71680,2,Vitória,12,7,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,27,287,R. Cáceres,,,,4.0,,4.0,1.0,18.0,10.0,,1.0,,1.0,,,,,,,
73,gustavo-gomez,Gustavo Raúl Gómez Portillo,8.4,0.4,,Gustavo Gómez,True,4.19,9.2,71684,3,Palmeiras,17,7,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,27,275,G. Gómez,,6.0,,12.0,,8.0,2.0,16.0,32.0,1.0,9.0,1.0,6.0,,,1.0,,,,1.0
74,santiago-arias,Santiago Arias Naranjo,1.1,-0.92,,Santiago Arias,True,3.36,5.4,71701,2,Bahia,15,7,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,27,265,S. Arias,,2.0,,15.0,,6.0,,14.0,18.0,2.0,2.0,,3.0,,,,,,,
75,gabriel-pires,Gabriel Appelt Pires,0.0,0.0,,Gabriel Pires,False,3.48,5.14,71898,4,Fluminense,5,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,27,266,G. Pires,,1.0,,5.0,,,,13.0,8.0,1.0,2.0,,1.0,,,,,,,
76,everson,Everson Felipe Marques Pires,7.0,1.16,,Everson,True,2.43,8.08,72294,1,Atlético-MG,15,7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,27,282,Everson,,5.0,33.0,3.0,18.0,5.0,,,,,,,,,,,,,,
77,felipe-alves,Felipe Alves Raymundo,0.0,0.0,,Felipe Alves,False,0.0,5.0,72372,1,Fluminense,0,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,27,266,F. Alves,,,,,,,,,,,,,,,,,,,,
78,fernando-diniz,Fernando Diniz Silva,0.0,0.0,,Fernando Diniz,False,3.47,8.53,72391,6,Cruzeiro,10,7,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,27,283,F. Diniz,1.0,,,,,,,,,,,,,,,,,,,
79,bernard,Bernard Anício Caldeira Duarte,0.0,-0.51,,Bernard,True,1.07,5.86,72460,4,Atlético-MG,10,7,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,27,282,Bernard,,1.0,,6.0,,,,7.0,14.0,,2.0,,1.0,,1.0,,,,,
80,alex-telles,Alex Nicolao Telles,5.0,0.42,,Alex Telles,True,2.5,7.56,72493,2,Botafogo,2,7,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,27,263,A. Telles,,,,,,1.0,,,,,,,,,,,,,,
81,gustavo-campanharo,Gustavo Campanharo,0.0,0.0,,Gustavo Campanharo,False,1.0,4.51,72497,4,Atlético-GO,2,6,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,27,373,G. Campanharo,,,,,,,,1.0,,,1.0,,,,,,,,,
82,maguinho,Magno José da Silva,0.0,0.0,,Maguinho,False,2.4,4.43,72532,2,Atlético-GO,19,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,27,373,Maguinho,,2.0,,11.0,,3.0,1.0,20.0,20.0,3.0,6.0,,2.0,1.0,,2.0,1.0,,,
83,pedro-henrique,Pedro Henrique Konzen Medina da Silva,0.0,0.0,,Pedro Henrique,False,2.66,4.75,72583,5,Corinthians,10,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,27,264,P. Henrique,,1.0,,8.0,,,1.0,4.0,6.0,2.0,7.0,1.0,4.0,,,,,,,
