,atletas.entrou_em_campo,atletas.slug,atletas.foto,atletas.apelido,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.variacao_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,SG,DE,GS,PS,V,PP,PC,GC,DP
23,True,david-luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,David Luiz,262,3,David Luiz Moreira Marinho,52827,Flamengo,13,5.67,7,,-0.8,-1.1,D. Luiz,21,2.58,,3.0,,3.0,10.0,2.0,5.0,3.0,1.0,2.0,,2.0,,,,,,1.0,,
24,False,alex-teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,Alex Teixeira,267,4,Alex Teixeira Santos,60793,Vasco,1,4.69,6,,0.0,0.0,A. Teixeira,21,0.5,,,,,,,,1.0,,,,,,,,,,,,
25,False,renan,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,Renan,286,1,Renan dos Santos,60795,Juventude,0,4.0,5,,0.0,0.0,Renan,21,0.0,,,,,,,,,,,,,,,,,,,,
26,True,souza,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,Souza,267,4,Josef de Souza Dias,60803,Vasco,1,6.43,7,,0.4,-0.57,Souza,21,0.4,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
27,False,cicinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,265,2,Neuciano de Jesus Gusmão,61106,Bahia,4,4.17,6,,0.0,0.0,Cicinho,21,1.57,,,,1.0,3.0,,,2.0,,,,1.0,,,,,,,,
28,False,gilberto,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,286,5,Gilberto Oliveira Souza Júnior,61188,Juventude,13,3.61,6,,0.0,0.0,Gilberto,21,1.78,,1.0,,4.0,8.0,4.0,8.0,6.0,,1.0,4.0,,,,,,,,,
29,False,fabricio,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,285,1,Fabrício Barros Santana,61228,Internacional,8,5.96,6,,0.0,0.0,Fabrício,21,4.13,,,,,,,,,,,,3.0,26.0,8.0,,,,,,
30,True,ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,266,4,Paulo Henrique Chagas de Lima,62977,Fluminense,17,7.11,7,,1.2,-0.71,Ganso,21,3.69,3.0,7.0,,14.0,10.0,4.0,2.0,21.0,,3.0,,,,,,,,,,
31,True,marcos-rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,Marcos Rocha,275,2,Marcos Luis Rocha Aquino,63013,Palmeiras,16,7.49,6,,4.9,0.27,M. Rocha,21,4.49,1.0,,,21.0,10.0,,2.0,6.0,,,1.0,8.0,,,,,,,,
32,True,alan-ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,Alan Ruschel,286,2,Alan Luciano Ruschel,63110,Juventude,12,5.0,7,,5.1,0.46,A. Ruschel,21,3.3,,1.0,1.0,18.0,16.0,,1.0,16.0,,1.0,,2.0,,,,,,,,
33,True,edenilson,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson,284,4,Edenílson Andrade dos Santos,63289,Grêmio,14,4.92,7,,6.0,0.83,Edenílson,21,1.8,,2.0,,6.0,12.0,3.0,1.0,17.0,1.0,1.0,1.0,,,,,,,,,
34,False,alan-patrick,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,Alan Patrick,285,4,Alan Patrick Lourenço,68685,Internacional,7,9.81,5,,0.0,0.0,A. Patrick,21,2.83,,3.0,,6.0,8.0,5.0,5.0,8.0,,1.0,,,,,,,1.0,,,
35,False,eduardo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Eduardo,263,4,Carlos Eduardo de Oliveira Alves,68708,Botafogo,10,6.26,5,,0.0,0.0,Eduardo,21,3.2,1.0,1.0,,6.0,8.0,3.0,4.0,9.0,,2.0,1.0,,,,,,1.0,,,
36,False,marcelo-lomba,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,Marcelo Lomba,275,1,Marcelo Lomba do Nascimento,68872,Palmeiras,1,4.99,6,,0.0,0.0,M. Lomba,21,-1.0,,,,,,,,,,,,,1.0,2.0,,,,,,
37,True,philippe-coutinho,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,Philippe Coutinho,267,4,Philippe Coutinho Correia,68899,Vasco,3,6.82,6,,2.2,-0.41,P. Coutinho,21,1.73,,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,
38,True,dudu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Dudu,275,5,Eduardo Pereira Rodrigues,68920,Palmeiras,9,5.77,7,,0.5,-0.28,Dudu,21,1.29,,,,3.0,3.0,3.0,1.0,9.0,,,,,,,,,,,,
39,True,rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael,276,1,Rafael Pires Monteiro,68928,São Paulo,13,7.09,7,,5.0,0.67,Rafael,21,3.3,,1.0,,,,,,,,,,6.0,25.0,11.0,,,,,,
40,True,rafael-cabral,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,Rafael Cabral,284,1,Rafael Cabral Barbosa,68940,Grêmio,5,6.8,7,,9.5,1.59,R. Cabral,21,2.5,,,,,,,,1.0,,,,1.0,15.0,8.0,,,,,,
41,True,marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Marinho,356,5,Mário Sérgio Santos Costa,68952,Fortaleza,10,5.68,7,,6.6,0.18,Marinho,21,3.28,1.0,2.0,,10.0,17.0,3.0,11.0,22.0,,,5.0,,,,,,,,,
42,True,marquinhos-gabriel,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,Marquinhos Gabriel,288,4,Marcos Gabriel do Nascimento,68954,Criciúma,13,2.91,6,,0.0,-0.1,M. Gabriel,21,0.85,,2.0,,4.0,6.0,3.0,3.0,8.0,,,,,,,,,,,,
43,True,lucas-sasha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,Lucas Sasha,356,4,Lucas Pacheco Affini,68991,Fortaleza,14,5.29,7,,2.9,-0.56,L. Sasha,21,3.02,,1.0,,36.0,27.0,2.0,1.0,10.0,,,,,,,,,,,,
44,False,santos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Santos,356,1,Aderbar Melo dos Santos Neto,69012,Fortaleza,0,8.0,6,,0.0,0.0,Santos,21,0.0,,,,,,,,,,,,,,,,,,,,
45,False,manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel,266,3,Manoel Messias Silva Carvalho,69014,Fluminense,6,2.96,6,,0.0,0.0,Manoel,21,0.25,,1.0,,2.0,7.0,1.0,,2.0,,,,,,,,,,,,
46,False,muriel,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel,287,1,Muriel Gustavo Becker,69041,Vitória,0,3.52,6,,0.0,0.0,Muriel,21,-1.0,,2.0,,,,,,,,,,,,,,,,,,
47,False,danilo-fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,Danilo Fernandes,265,1,Danilo Fernandes Batista,69051,Bahia,0,3.54,6,,0.0,0.0,D. Fernandes,21,-1.0,,1.0,,,,,,,,,,,,,,,,,,
48,False,james-rodriguez,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,James Rodríguez,276,4,James David Rodríguez Rubio,69063,São Paulo,2,4.84,6,,0.0,0.0,J. Rodríguez,21,-0.05,,,,,,,,,,,1.0,,,,,,,,,
49,True,vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Vargas,282,5,Eduardo Jesús Vargas Rojas,69102,Atlético-MG,13,5.79,7,,3.4,0.37,Vargas,21,4.01,,,,4.0,3.0,4.0,6.0,10.0,,4.0,4.0,,,,2.0,,,,,
50,True,pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo,293,5,Pablo Felipe Teixeira,69138,Athlético-PR,17,5.47,6,,1.5,0.02,Pablo,21,2.0,1.0,5.0,,6.0,18.0,3.0,8.0,6.0,1.0,2.0,,,,,,,,,,
51,True,allan,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,Allan,263,4,Allan Marques Loureiro,69140,Botafogo,3,6.22,7,,-1.1,-1.46,Allan,21,1.17,,2.0,,4.0,6.0,,,5.0,,,,,,,,,,,,
52,False,pablo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo,263,3,Pablo Nascimento Castro,69165,Botafogo,1,3.22,6,,0.0,0.0,Pablo,21,0.0,,,,,,,,,,,,,,,,,,,,
53,True,nikao,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,Nikão,293,4,Maycon Vinícius Ferreira da Cruz,69705,Athlético-PR,12,8.13,7,,1.2,-0.09,Nikão,21,4.31,,,,13.0,2.0,9.0,10.0,20.0,,1.0,1.0,,,,,,,,,
54,True,lucas-moura,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,Lucas Moura,276,4,Lucas Rodrigues Moura da Silva,70164,São Paulo,14,14.66,7,,6.7,-2.04,L. Moura,21,7.16,2.0,3.0,,25.0,15.0,7.0,6.0,29.0,,5.0,,,,,,,,,,
55,False,rafael,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael,263,2,Rafael Pereira da Silva,70171,Botafogo,0,3.0,5,,0.0,0.0,Rafael,21,0.0,,,,,,,,,,,,,,,,,,,,
56,True,fabio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio,284,2,Fábio Pereira da Silva,70172,Grêmio,10,6.32,7,,6.0,0.29,Fábio,21,3.36,,1.0,,5.0,5.0,,2.0,13.0,1.0,,,4.0,,,,,,1.0,,
57,True,gustavo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Gustavo,288,1,Luiz Gustavo de Almeida Pinto,70216,Criciúma,14,5.57,7,,0.5,-0.42,Gustavo,21,3.44,,2.0,1.0,,1.0,,,1.0,,,,2.0,48.0,19.0,,,,,,2.0
58,False,bruno-uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,Bruno Uvini,287,3,Bruno Uvini Bortolança,70221,Vitória,6,2.22,6,,0.0,0.0,B. Uvini,21,0.48,,1.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,
59,False,diego-costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,Diego Costa,284,5,Diego da Silva Costa,70316,Grêmio,2,6.25,6,,0.0,0.0,D. Costa,21,1.0,,,1.0,2.0,,1.0,,3.0,,,1.0,,,,,,,,,
60,False,marchesin,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Marchesín,284,1,Agustín Federico Marchesín,70332,Grêmio,13,6.53,6,,0.0,0.0,Marchesín,21,3.75,,1.0,,1.0,,,,1.0,,,,5.0,35.0,12.0,,,,,,
61,False,eduardo-sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,Eduardo Sasha,280,5,Eduardo Colcenti Antunes,70360,Bragantino,10,8.33,5,,0.0,0.0,E. Sasha,21,4.64,3.0,2.0,1.0,5.0,8.0,8.0,4.0,8.0,,2.0,,,,,,,,,,
62,True,gabriel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel,286,1,Gabriel Vasconcelos Ferreira,70449,Juventude,16,4.08,7,,-0.3,-0.51,Gabriel,21,2.99,,3.0,1.0,,1.0,,,2.0,,,,4.0,55.0,22.0,,,,,,
63,True,felipe-anderson,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,Felipe Anderson,275,4,Felipe Anderson Pereira Gomes,70592,Palmeiras,5,9.22,6,,6.6,0.12,F. Anderson,21,4.1,,,,12.0,4.0,1.0,2.0,3.0,1.0,,,,,,,,,,,
64,True,marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon,1371,3,Marllon Gonçalves Jerônimo Borges,70666,Cuiabá,15,4.12,7,,2.2,0.13,Marllon,21,2.58,,2.0,,16.0,10.0,2.0,2.0,7.0,,1.0,,2.0,,,,,,1.0,,
65,True,enner-valencia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,Enner Valencia,285,5,Enner Remberto Valencia Lastra,70788,Internacional,3,14.26,7,,4.3,-1.16,E. Valencia,21,3.73,,,,2.0,2.0,2.0,2.0,5.0,1.0,,1.0,,,,,,,,,
66,True,diogo-barbosa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,Diogo Barbosa,266,2,Diogo Barbosa Mendanha,70916,Fluminense,14,4.09,7,,5.8,0.37,D. Barbosa,21,2.28,,5.0,,12.0,9.0,,1.0,9.0,,,,4.0,,,,,,,,
67,True,bruno-henrique,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,Bruno Henrique,285,4,Bruno Henrique Corsini,70944,Internacional,16,7.28,7,,12.5,1.78,B. Henrique,21,3.46,1.0,2.0,,20.0,31.0,6.0,7.0,12.0,1.0,2.0,1.0,,,,,,,,,
68,True,jean-carlos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,Jean Carlos,286,4,Jean Carlos Vicente,70958,Juventude,14,7.55,7,,0.0,-0.3,J. Carlos,21,3.83,1.0,2.0,,6.0,10.0,4.0,9.0,5.0,,4.0,1.0,,,,,,,,,
69,True,payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Payet,267,4,Florent Dimitri Payet,70984,Vasco,7,6.47,7,,3.8,0.07,Payet,21,3.5,2.0,,,6.0,2.0,1.0,1.0,6.0,1.0,,1.0,,,,,,,,,
70,False,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,Pedro Henrique,373,3,Pedro Henrique Pereira da Silva,71038,Atlético-GO,7,3.46,6,,0.0,0.0,P. Henrique,21,2.39,,3.0,,8.0,7.0,1.0,,2.0,,,,2.0,,,,,,,,
71,True,maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon,267,3,Maicon Pereira Roque,71227,Vasco,18,3.93,7,,0.2,-0.04,Maicon,21,2.34,,3.0,,12.0,9.0,1.0,1.0,7.0,,1.0,1.0,4.0,,,,,,,,
72,True,luiz-gustavo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,Luiz Gustavo,276,4,Luiz Gustavo Dias,71536,São Paulo,14,4.77,7,,-0.1,-1.02,L. Gustavo,21,2.88,,3.0,,22.0,20.0,7.0,7.0,12.0,1.0,,,,,,,,,,,
73,True,weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton,275,1,Weverton Pereira da Silva,71631,Palmeiras,20,10.65,7,,5.0,0.42,Weverton,21,5.0,1.0,1.0,,1.0,,,,4.0,,,,9.0,63.0,15.0,,,,,,
74,True,raul-caceres,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,Raúl Cáceres,287,2,Raúl Alejandro Cáceres Bogado,71680,Vitória,9,6.03,7,,7.3,0.79,R. Cáceres,21,3.48,1.0,,,14.0,8.0,,,4.0,,,1.0,2.0,,,,,,,,
75,True,gustavo-gomez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,Gustavo Gómez,275,3,Gustavo Raúl Gómez Portillo,71684,Palmeiras,12,8.88,7,,1.4,-0.14,G. Gómez,21,4.34,2.0,4.0,,11.0,23.0,1.0,7.0,9.0,,1.0,5.0,5.0,,,,,,1.0,1.0,
76,True,santiago-arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,Santiago Arias,265,2,Santiago Arias Naranjo,71701,Bahia,9,5.06,6,,1.2,-0.08,S. Arias,21,2.47,,1.0,,7.0,10.0,1.0,1.0,12.0,,,2.0,2.0,,,,,,,,
77,False,gabriel-pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,Gabriel Pires,266,4,Gabriel Appelt Pires,71898,Fluminense,5,5.14,6,,0.0,0.0,G. Pires,21,3.48,,1.0,,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,
78,False,everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,Everson,282,1,Everson Felipe Marques Pires,72294,Atlético-MG,9,8.14,5,,0.0,0.0,Everson,21,2.27,,3.0,,,,,,3.0,,,,3.0,17.0,10.0,,,,,,
79,False,felipe-alves,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,Felipe Alves,266,1,Felipe Alves Raymundo,72372,Fluminense,0,5.0,6,,0.0,0.0,F. Alves,21,0.0,,,,,,,,,,,,,,,,,,,,
80,True,bernard,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,Bernard,282,4,Bernard Anício Caldeira Duarte,72460,Atlético-MG,4,8.65,7,,3.4,-0.34,Bernard,21,1.37,,,,4.0,5.0,,1.0,3.0,,,1.0,,,,,,,,,
81,False,gustavo-campanharo,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,Gustavo Campanharo,373,4,Gustavo Campanharo,72497,Atlético-GO,1,4.5,6,,0.0,0.0,G. Campanharo,21,0.0,,,,,,,,,,,,,,,,,,,,
82,True,maguinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,Maguinho,373,2,Magno José da Silva,72532,Atlético-GO,16,4.27,7,,0.7,0.03,Maguinho,21,2.18,1.0,1.0,1.0,15.0,17.0,2.0,6.0,10.0,,,1.0,2.0,,,1.0,,,2.0,,
83,True,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,Pedro Henrique,264,5,Pedro Henrique Konzen Medina da Silva,72583,Corinthians,8,6.34,6,,12.2,2.12,P. Henrique,21,2.9,1.0,1.0,,3.0,3.0,1.0,5.0,7.0,,1.0,2.0,,,,,,,,,
84,False,mauricio-kozlinski,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,Maurício Kozlinski,356,1,Maurício Kozlinski,72595,Fortaleza,0,3.0,6,,0.0,0.0,M. Kozlinski,21,0.0,,,,,,,,,,,,,,,,,,,,
