,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
76,G. Pires,0.0,266,22,Gabriel Appelt Pires,gabriel-pires,Gabriel Pires,4,,0.0,6,5,5.14,3.48,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,False,71898,Fluminense,,1.0,13.0,8.0,1.0,2.0,5.0,,,,1.0,,,,,,,,,
77,Everson,6.0,282,22,Everson Felipe Marques Pires,everson,Everson,1,,0.58,7,10,8.72,2.64,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,True,72294,Atlético-MG,,3.0,,,,,3.0,,4.0,,,,,,18.0,10.0,,,,
78,F. Alves,0.0,266,22,Felipe Alves Raymundo,felipe-alves,Felipe Alves,1,,0.0,6,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,False,72372,Fluminense,,,,,,,,,,,,,,,,,,,,
79,Bernard,0.2,282,22,Bernard Anício Caldeira Duarte,bernard,Bernard,4,,-1.47,7,5,7.18,1.14,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,True,72460,Atlético-MG,,,4.0,6.0,,1.0,4.0,,,,1.0,,,,,,,,,
80,G. Campanharo,0.0,373,22,Gustavo Campanharo,gustavo-campanharo,Gustavo Campanharo,4,,0.0,6,1,4.5,0.0,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,False,72497,Atlético-GO,,,,,,,,,,,,,,,,,,,,
81,Maguinho,3.6,373,22,Magno José da Silva,maguinho,Maguinho,2,,0.35,7,17,4.62,2.26,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,True,72532,Atlético-GO,1.0,1.0,18.0,17.0,2.0,6.0,10.0,,2.0,1.0,1.0,1.0,,,,,2.0,,,
82,P. Henrique,2.7,264,22,Pedro Henrique Konzen Medina da Silva,pedro-henrique,Pedro Henrique,5,,-1.19,6,9,5.15,2.88,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,True,72583,Corinthians,1.0,1.0,4.0,4.0,2.0,6.0,7.0,1.0,,,4.0,,,,,,,,,
83,M. Kozlinski,0.0,356,22,Maurício Kozlinski,mauricio-kozlinski,Maurício Kozlinski,1,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,False,72595,Fortaleza,,,,,,,,,,,,,,,,,,,,
84,V. Hugo,0.0,265,22,Vitor Hugo Franchescoli de Souza,vitor-hugo,Vitor Hugo,3,,0.0,6,1,3.58,0.0,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,False,72605,Bahia,,,,,,,,,,,,,,,,,,,,
85,Fernandinho,3.1,293,22,Fernando Luiz Rosa,fernandinho,Fernandinho,4,,0.33,7,18,6.77,3.38,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,True,72775,Athlético-PR,3.0,6.0,18.0,28.0,8.0,4.0,20.0,2.0,,,1.0,,,,,,,,,
86,W. Ángel,0.5,288,22,Wílker José Ángel Romero,wilker-angel,Wilker Ángel,3,,-1.13,7,9,3.28,2.25,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,True,72801,Criciúma,,1.0,7.0,15.0,2.0,,4.0,1.0,1.0,,,,,,,,,,,
87,Mercado,0.0,285,22,Gabriel Iván Mercado,mercado,Mercado,3,,0.0,6,10,4.69,2.3,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,False,72951,Internacional,,5.0,6.0,5.0,,1.0,3.0,,4.0,,,,,,,,,,,
88,S. Xavier,0.9,266,22,Samuel Xavier Brito,samuel-xavier,Samuel Xavier,2,,-1.59,7,15,5.79,4.2,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,True,73384,Fluminense,2.0,2.0,16.0,19.0,2.0,4.0,32.0,,4.0,,1.0,,,,,,,,,
89,B. Alves,3.4,1371,22,Bruno Fabiano Alves,bruno-alves,Bruno Alves,3,,0.28,6,11,4.36,2.52,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,True,73620,Cuiabá,,,10.0,7.0,1.0,2.0,10.0,,2.0,,,,,,,,,,,
90,R. Caio,0.0,284,22,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,3,,0.0,6,1,5.38,0.0,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,False,73800,Grêmio,,,,,,,,,,,,,,,,,,,,
91,W. Maia,0.0,288,22,Walisson Moreira Farias Maia,walisson-maia,Walisson Maia,3,,0.0,6,9,3.59,2.08,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,False,73991,Criciúma,1.0,1.0,5.0,8.0,,2.0,1.0,,2.0,,,,,,,,1.0,,,
92,G. Fernández,0.0,263,22,Roberto Junior Fernández Torres,gatito-fernandez,Gatito Fernández,1,,0.0,6,3,6.82,2.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,False,74061,Botafogo,,1.0,,,,,,,1.0,,,,,,6.0,4.0,,,,
93,Campbell,1.7,373,22,Joel Nathaniel Campbell Samuels,campbell,Campbell,5,,-0.99,6,2,9.17,5.9,https://s.sde.globo.com/media/person_role/2024/07/17/photo_220x220_WdH8RPs.png,True,74157,Atlético-GO,,1.0,2.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,
94,Jorginho,0.0,373,22,Jorge de Moura Xavier,jorginho,Jorginho,4,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,False,77544,Atlético-GO,,,,,,,,,,,,,,,,,,,,
95,Madson,0.0,293,22,Madson Ferreira dos Santos,madson,Madson,2,,0.0,6,14,4.2,2.03,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,False,78077,Athlético-PR,1.0,2.0,5.0,5.0,,2.0,9.0,,3.0,,1.0,,,,,,,,,
96,Everaldo,2.8,265,22,Everaldo Stum,everaldo,Everaldo,5,,-0.01,7,20,7.06,4.43,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,True,78117,Bahia,1.0,3.0,9.0,22.0,11.0,9.0,17.0,6.0,,,4.0,,,2.0,,,,,,
97,G. Henrique,0.0,264,22,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,3,,0.0,6,8,5.4,0.58,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,False,78248,Corinthians,,3.0,2.0,9.0,1.0,4.0,3.0,,1.0,1.0,,,,,,,,,,
98,Renê,0.0,285,22,Renê Rodrigues Martins,rene,Renê,2,,0.0,6,12,8.87,5.25,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,False,78445,Internacional,1.0,2.0,24.0,10.0,3.0,4.0,15.0,,4.0,,,,,,,,,,,
99,C. Tencati,2.2,288,22,Cláudio Tencati,claudio-tencati,Cláudio Tencati,6,,-0.36,7,18,6.11,4.31,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,True,78450,Criciúma,,,,,,,,,,,,,6.0,,,,,,,
100,J. Mota,0.0,287,22,Jean Mota Oliveira de Sousa,jean-mota,Jean Mota,4,,-0.15,6,14,3.13,1.28,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,True,78548,Vitória,,,2.0,6.0,2.0,2.0,5.0,1.0,,,1.0,,,1.0,,,,,,
101,J. Cafu,0.0,1371,22,Jonathan Renato Barbosa,jonathan-cafu,Jonathan Cafu,5,,0.0,6,14,3.54,2.14,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,False,78580,Cuiabá,,,8.0,12.0,4.0,4.0,16.0,1.0,,,,,,,,,,,,
102,Gabriel,0.0,293,22,Gabriel Girotto Franco,gabriel,Gabriel,4,,0.0,6,7,4.95,2.14,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,False,78605,Athlético-PR,,1.0,10.0,8.0,1.0,4.0,4.0,,,,,,,,,,,,,
103,Ramiro,0.0,283,22,Ramiro Moschen Benetti,ramiro,Ramiro,4,,0.0,6,16,3.35,1.69,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,False,78715,Cruzeiro,,2.0,16.0,14.0,1.0,2.0,7.0,1.0,,,1.0,,,,,,,,,
104,Reinaldo,0.0,284,22,Reinaldo Manoel da Silva,reinaldo,Reinaldo,2,,0.0,7,13,8.33,5.3,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,False,78850,Grêmio,,2.0,11.0,9.0,12.0,7.0,9.0,2.0,4.0,,1.0,,,,,,,,,
105,T. Santos,1.4,266,22,Thiago dos Santos,thiago-santos,Thiago Santos,3,,-0.81,7,12,2.95,2.41,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,True,78855,Fluminense,,4.0,12.0,15.0,3.0,3.0,6.0,,3.0,,,,,,,,1.0,,,
106,L. Felipe,-0.3,373,22,Luiz Felipe do Nascimento dos Santos,luiz-felipe,Luiz Felipe,3,,-0.23,6,10,3.18,2.16,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,True,79035,Atlético-GO,,2.0,11.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,
107,V. Cuesta,0.0,265,22,Víctor Leandro Cuesta,victor-cuesta,Víctor Cuesta,3,,0.0,7,5,3.22,0.82,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,False,79113,Bahia,,3.0,5.0,7.0,,1.0,5.0,,,,1.0,,,,,,,,,
108,F. Augusto,0.0,1371,22,Filipe Augusto Carvalho Souza,filipe-augusto,Filipe Augusto,4,,0.0,6,7,1.12,0.07,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,False,79268,Cuiabá,,4.0,4.0,11.0,1.0,1.0,2.0,,,,,,,,,,,,,
109,R. Machado,4.45,285,22,Roger Machado Marques,roger-machado,Roger Machado,6,,0.05,7,18,7.0,4.56,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,True,79437,Internacional,,,,,,,,,,,,,4.0,,,,,,,
110,Cano,0.0,266,22,Germán Ezequiel Cano,cano,Cano,5,,0.0,5,14,7.18,2.32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,False,79631,Fluminense,,3.0,3.0,5.0,11.0,9.0,4.0,1.0,,,1.0,,,1.0,,,,,,
111,L. Silva,0.0,283,22,Lucas Silva Borges,lucas-silva,Lucas Silva,4,,0.0,6,18,4.01,1.28,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,False,79701,Cruzeiro,,3.0,7.0,14.0,4.0,7.0,13.0,1.0,,,,,,,,,,,1.0,
112,A. Carlos,0.0,266,22,Antônio Carlos Cunha Capocasali Júnior,antonio-carlos,Antônio Carlos,3,,0.0,6,11,3.36,1.81,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,False,79702,Fluminense,,1.0,4.0,5.0,,4.0,9.0,,2.0,,1.0,,,,,,,,,
113,Jadson,5.1,286,22,Jadson Alves dos Santos,jadson,Jadson,4,,-0.3,7,16,9.29,5.75,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,True,80129,Juventude,5.0,6.0,39.0,23.0,4.0,8.0,34.0,1.0,,1.0,2.0,,,,,,,,,
114,Y. Pikachu,8.9,356,22,Glaybson Yago Souza Lisboa,yago-pikachu,Yago Pikachu,4,,1.31,7,17,5.68,3.22,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,True,80196,Fortaleza,3.0,4.0,13.0,8.0,2.0,10.0,25.0,1.0,,,3.0,,,,,,,,,
115,R. Silva,0.0,283,22,Rafael da Silva,rafa-silva,Rafa Silva,5,,0.0,6,8,5.88,4.04,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,False,80225,Cruzeiro,,2.0,4.0,6.0,4.0,1.0,4.0,3.0,,,3.0,,,,,,,,,
116,Luciano,5.0,276,22,Luciano da Rocha Neves,luciano,Luciano,5,,0.47,7,18,10.47,5.93,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,True,80287,São Paulo,1.0,9.0,17.0,22.0,12.0,15.0,27.0,6.0,,,2.0,1.0,,4.0,,,,1.0,,
117,Gilberto,0.0,265,22,Gilberto Moraes Júnior,gilberto,Gilberto,2,,0.0,5,12,6.95,3.97,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,False,80313,Bahia,,1.0,17.0,10.0,2.0,5.0,14.0,1.0,2.0,,1.0,,,,,,,,,
118,A. Caíke,0.3,288,22,Arthur Caíke do Nascimento Cruz,arthur-caike,Arthur Caíke,5,,-0.5,6,16,4.1,3.13,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,True,80337,Criciúma,,2.0,3.0,11.0,5.0,14.0,17.0,3.0,,,9.0,,,1.0,,,,,,
119,P. Geromel,0.0,284,22,Pedro Tonon Geromel,pedro-geromel,Pedro Geromel,3,,0.0,7,6,5.77,3.13,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,False,80853,Grêmio,,3.0,3.0,2.0,1.0,2.0,2.0,,3.0,,,,,,,,,,,
120,Jair,0.0,267,22,Jair Rodrigues Júnior,jair,Jair,4,,0.0,5,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,False,81091,Vasco,,,,,,,,,,,,,,,,,,,,
121,Mayke,0.0,275,22,Mayke Rocha de Oliveira,mayke,Mayke,2,,0.0,6,16,8.52,4.64,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,False,81150,Palmeiras,,3.0,24.0,12.0,,1.0,7.0,1.0,8.0,,2.0,,,,,,,,,
122,Rossi,0.0,267,22,Rosicley Pereira da Silva,rossi,Rossi,5,,0.0,6,11,4.43,1.75,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,False,81798,Vasco,1.0,2.0,12.0,9.0,,1.0,8.0,,,,2.0,,,,,,,,,
123,Alisson,0.0,276,22,Alisson Euler de Freitas Castro,alisson,Alisson,4,,0.0,5,16,6.88,3.59,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,False,81845,São Paulo,2.0,4.0,25.0,21.0,4.0,2.0,27.0,1.0,,,,,,,,,,,,
124,J. Ricardo,7.0,356,22,João Ricardo Riedi,joao-ricardo,João Ricardo,1,,0.36,7,20,8.56,4.98,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,True,81881,Fortaleza,,1.0,1.0,,,,1.0,,7.0,,,,,,82.0,18.0,,,,
125,W. Oliveira,0.5,287,22,Willian Osmar de Oliveira Silva,willian-oliveira,Willian Oliveira,4,,-0.71,3,20,7.52,5.28,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,True,81952,Vitória,1.0,3.0,33.0,24.0,3.0,12.0,32.0,5.0,,,,2.0,,,,,,,,
126,Z. Rafael,0.0,275,22,José Rafael Vivian,ze-rafael,Zé Rafael,4,,0.0,6,12,5.35,2.2,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,False,82455,Palmeiras,2.0,5.0,12.0,23.0,2.0,3.0,16.0,,,,,1.0,,,,,,,,
127,Otávio,3.5,282,22,Otávio Henrique Passos Santos,otavio,Otávio,4,,0.4,7,13,5.7,3.31,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,True,82463,Atlético-MG,,1.0,31.0,17.0,2.0,5.0,11.0,,,,,,,,,,,,,
128,L. Araújo,4.3,262,22,Luiz de Araújo Guimarães Neto,luiz-araujo,Luiz Araújo,5,,0.07,7,20,8.57,5.4,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,True,82627,Flamengo,4.0,3.0,28.0,19.0,10.0,14.0,27.0,3.0,,,2.0,,,1.0,,,,,,
129,Tinga,0.0,356,22,Guilherme de Jesus da Silva,tinga,Tinga,2,,0.0,7,17,5.09,3.62,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,False,82628,Fortaleza,,1.0,22.0,12.0,,3.0,5.0,1.0,5.0,,,,,1.0,,,1.0,,,
130,M. Hermes,2.0,288,22,Marcelo Gazella Hermes,marcelo-hermes,Marcelo Hermes,2,,0.11,7,17,5.14,3.08,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,True,82639,Criciúma,1.0,3.0,20.0,18.0,4.0,7.0,7.0,1.0,2.0,,,,,,,,,,,
131,W. Rato,6.9,276,22,Wellington Soares da Silva,wellington-rato,Wellington Rato,4,,0.2,6,13,6.72,1.87,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,True,82766,São Paulo,2.0,1.0,4.0,6.0,4.0,3.0,11.0,,,,3.0,,,,,,,,,
132,Gabriel,0.0,262,22,Gabriel Barbosa Almeida,gabriel,Gabriel,5,,-0.51,6,11,6.23,2.65,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,True,83257,Flamengo,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,,,3.0,,,,,,,,,
133,L. Pereira,-0.7,262,22,Leonardo Pereira,leo-pereira,Léo Pereira,3,,-0.77,7,17,5.42,1.91,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,True,83528,Flamengo,,4.0,16.0,13.0,,2.0,11.0,,3.0,,1.0,,,,,,1.0,,,
134,Neris,0.6,287,22,Hueglo dos Santos Neris,neris,Neris,3,,-0.84,7,9,4.35,2.83,https://s.sde.globo.com/media/person_role/2024/07/26/photo_FORMATO_oIJDX3q.png,True,83786,Vitória,,,10.0,12.0,1.0,,2.0,,3.0,,1.0,,,,,,,,,
135,Clayson,0.9,1371,22,Clayson Henrique da Silva Vieira,clayson,Clayson,5,,-0.36,7,15,3.77,1.88,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,True,83817,Cuiabá,,3.0,6.0,8.0,4.0,6.0,16.0,1.0,,,3.0,1.0,,,,,,,,
136,T. Soares,0.0,263,22,Francisco das Chagas Soares dos Santos Meireles,tiquinho-soares,Tiquinho Soares,5,,0.0,7,14,10.2,4.75,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,False,84042,Botafogo,3.0,3.0,8.0,25.0,2.0,7.0,25.0,4.0,,,2.0,,,,,,,,,
137,Jemerson,0.0,284,22,Jemerson de Jesus Nascimento,jemerson,Jemerson,3,,0.0,6,5,5.73,2.96,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,False,84263,Grêmio,,2.0,1.0,7.0,,1.0,4.0,,3.0,,1.0,,,,,,,,,
138,Alisson,0.0,288,22,Alisson Machado dos Santos,alisson,Alisson,1,,0.0,6,4,2.29,0.87,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,False,84266,Criciúma,,2.0,,,,,1.0,,,,,,,,9.0,4.0,,,,
139,F. Sobral,-0.3,1371,22,Fernando Pereira do Nascimento,fernando-sobral,Fernando Sobral,4,,-0.98,6,15,4.86,2.94,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,True,84428,Cuiabá,1.0,1.0,16.0,5.0,3.0,6.0,12.0,1.0,,,1.0,,,,,,,,,
140,L. Romero,0.9,283,22,Lucas Daniel Romero,lucas-romero,Lucas Romero,4,,-0.33,7,18,4.84,2.75,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,True,84558,Cruzeiro,1.0,2.0,34.0,24.0,3.0,6.0,15.0,,,1.0,,,,,,,,,,
141,F. Mateus,0.0,288,22,Fellipe Mateus de Sena Araújo,fellipe-mateus,Fellipe Mateus,4,,0.0,6,13,6.8,4.14,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,False,84587,Criciúma,,2.0,11.0,10.0,7.0,7.0,33.0,2.0,,,,,,,,,1.0,,,
142,L. Evangelista,6.6,280,22,Lucas Evangelista Santana de Oliveira,lucas-evangelista,Lucas Evangelista,4,,0.63,7,14,8.36,3.99,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,True,84674,Bragantino,1.0,2.0,14.0,11.0,4.0,8.0,25.0,2.0,,,4.0,,,,,,,,,
143,Varela,0.0,262,22,Guillermo Varela Olivera,varela,Varela,2,,0.0,6,7,6.66,4.84,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,False,84816,Flamengo,,,11.0,7.0,2.0,,11.0,,3.0,,1.0,,,,,,,,,
144,R. Ratão,4.7,265,22,Rafael Rogério da Silva,rafael-ratao,Rafael Ratão,5,,0.39,6,7,5.18,2.7,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,True,84918,Bahia,1.0,,2.0,4.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,
145,M. Felipe,11.5,265,22,Marcos Felipe de Freitas Monteiro,marcos-felipe,Marcos Felipe,1,,1.09,7,20,7.89,3.59,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,True,85004,Bahia,,1.0,1.0,,,,3.0,,5.0,,,,,,67.0,22.0,,,,
146,Ã. Romero,0.4,263,22,Óscar David Romero Villamayor,oscar-romero,Óscar Romero,4,,-1.75,6,16,6.46,3.66,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,True,85034,Botafogo,3.0,5.0,21.0,12.0,8.0,3.0,14.0,1.0,,,,,,,,,,,,
147,D. Suárez,0.0,263,22,Damián Nicolás Suárez,damian-suarez,Damián Suárez,2,,0.0,6,17,5.46,3.83,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,False,85277,Botafogo,1.0,5.0,22.0,26.0,1.0,5.0,13.0,,7.0,,2.0,,,,,,,,,
148,A. Santana,0.0,264,22,Alex Paulo Menezes Santana,alex-santana,Alex Santana,4,,0.0,5,8,3.69,1.57,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,False,85465,Corinthians,,4.0,9.0,9.0,1.0,6.0,5.0,,,,,,,,,,,,,
149,Léo,8.3,267,22,Leonardo Pinheiro da Conceição,leo,Léo,3,,0.75,7,18,5.05,2.99,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,True,85626,Vasco,,1.0,22.0,14.0,2.0,1.0,9.0,,5.0,,1.0,,,,,,,,,
150,R. Ryller,2.9,287,22,Ricardo Ryller Ribeiro Lino Silva,ricardo-ryller,Ricardo Ryller,4,,-0.09,7,5,4.64,2.58,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,True,85856,Vitória,,,8.0,5.0,,1.0,8.0,,,,,,,,,,,,,
151,Hyoran,0.0,285,22,Hyoran Kaue Dalmoro,hyoran,Hyoran,4,,0.0,6,10,3.83,1.38,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,False,85931,Internacional,,,5.0,6.0,1.0,5.0,9.0,,,,1.0,,,,,,,,,
152,Bolasie,5.2,288,22,Yannick Bolasie,bolasie,Bolasie,5,,-0.19,7,16,7.76,5.28,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,True,86292,Criciúma,3.0,2.0,8.0,21.0,12.0,16.0,13.0,4.0,,,5.0,,,1.0,,,,,,
153,C. Dantas,0.0,287,22,Caio Henrique da Silva Dantas,caio-dantas,Caio Dantas,5,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,False,86362,Vitória,,,,,,,,,,,,,,,,,,,,
154,V. Luis,14.3,267,22,Victor Luis Chuab Zamblauskas,victor-luis,Victor Luis,2,,1.37,3,9,6.57,4.67,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,True,86410,Vasco,1.0,3.0,14.0,10.0,1.0,,10.0,1.0,3.0,1.0,,,,,,,,,,
155,Keno,4.8,266,22,Marcos da Silva França,keno,Keno,5,,0.09,7,13,5.44,1.86,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,True,86485,Fluminense,,,9.0,8.0,3.0,9.0,11.0,,,,3.0,,,,,,,,,
156,Jandrei,11.5,276,22,Jandrei Chitolina Carniel,jandrei,Jandrei,1,,0.9,6,9,7.22,4.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,True,86508,São Paulo,,,,,,,6.0,,3.0,,,,,,28.0,10.0,,,,
157,Rodrigo,4.6,288,22,Rodrigo Fagundes de Freitas,rodrigo,Rodrigo,3,,0.6,7,16,5.33,3.53,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,True,86684,Criciúma,1.0,5.0,30.0,17.0,1.0,2.0,8.0,1.0,2.0,,1.0,,,1.0,,,2.0,,,
158,T. Tchê,0.0,263,22,Danilo das Neves Pinheiro,tche-tche,Tchê Tchê,4,,0.0,6,18,2.95,1.16,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,False,86686,Botafogo,,1.0,9.0,8.0,4.0,6.0,14.0,,,1.0,,,,,,,,,,
159,Jonathan,-0.6,288,22,Jonathan Francisco Lemos,jonathan,Jonathan,2,,-0.21,6,10,3.0,1.74,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,True,86713,Criciúma,,,13.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,
160,Everton,2.4,262,22,Everton Sousa Soares,everton,Everton,5,,-0.38,5,10,6.98,4.72,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,True,86757,Flamengo,2.0,1.0,11.0,6.0,8.0,8.0,6.0,1.0,,,2.0,,,,,,,,,
161,M. Rossetto,2.4,356,22,Matheus Rossetto,matheus-rossetto,Matheus Rossetto,4,,0.3,7,10,3.11,1.65,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,True,86766,Fortaleza,,1.0,15.0,8.0,,,4.0,,,,,,,,,,,,,
