,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
12,R. Gaúcho,6.75,284,22,Renato Portaluppi,renato-gaucho,Renato Gaúcho,6,,-0.12,7,20,8.64,4.46,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,True,41929,Grêmio,,,,,,,,,,,,,7.0,,,,,,,
13,Osvaldo,1.7,287,22,Osvaldo Lourenço Filho,osvaldo,Osvaldo,5,,0.13,7,15,4.39,2.05,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,True,42222,Vitória,,1.0,8.0,8.0,5.0,4.0,17.0,1.0,,,1.0,,,,,,1.0,,,
14,Cássio,9.0,283,22,Cássio Roberto Ramos,cassio,Cássio,1,,1.17,7,8,11.48,5.44,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,True,42234,Cruzeiro,,1.0,,,,,1.0,,4.0,,,,,,31.0,7.0,,,,
15,Fagner,1.2,264,22,Fagner Conserva Lemos,fagner,Fagner,2,,-1.06,7,10,6.45,3.77,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,True,42500,Corinthians,1.0,1.0,6.0,1.0,1.0,,5.0,,4.0,,,,,1.0,,,,,,
16,Tite,4.6,262,22,Adenor Leonardo Bachi,tite,Tite,6,,0.18,7,21,10.41,5.77,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,True,45125,Flamengo,,,,,,,,,,,,,12.0,,,,,,,
17,A. Kardec,0.0,282,22,Alan Kardec de Sousa Pereira Júnior,alan-kardec,Alan Kardec,5,,0.0,6,6,2.57,0.33,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,False,50347,Atlético-MG,,,,2.0,,2.0,2.0,,,,,,,,,,,,,
18,Titi,3.1,356,22,Christian Chagas Tarouco,titi,Titi,3,,0.48,7,12,4.34,2.43,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,True,50353,Fortaleza,,4.0,15.0,21.0,,2.0,10.0,,3.0,,1.0,,,,,,,,,
19,Walter,0.0,1371,22,Walter Leandro Capeloza Artune,walter,Walter,1,,-0.27,7,17,4.73,3.27,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,True,51413,Cuiabá,,,,,,,1.0,,3.0,,,,,,65.0,25.0,,,,
20,E. Ribeiro,9.7,265,22,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,4,,0.72,2,20,9.34,4.31,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,True,51772,Bahia,4.0,1.0,30.0,15.0,4.0,7.0,35.0,1.0,,,1.0,,,,,,,,,
21,Fernando,0.0,285,22,Fernando Francisco Reges,fernando,Fernando,4,,0.0,5,9,5.03,1.76,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,False,52271,Internacional,,3.0,10.0,8.0,,,3.0,1.0,,,2.0,,,,,,,,,
22,D. Luiz,0.0,262,22,David Luiz Moreira Marinho,david-luiz,David Luiz,3,,0.0,6,13,5.67,2.58,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,False,52827,Flamengo,,3.0,3.0,10.0,2.0,5.0,3.0,2.0,2.0,,,,,1.0,,,1.0,,,
23,A. Teixeira,0.0,267,22,Alex Teixeira Santos,alex-teixeira,Alex Teixeira,4,,0.0,6,1,4.69,0.5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,False,60793,Vasco,,,,,,,1.0,,,,,,,,,,,,,
24,Renan,0.0,286,22,Renan dos Santos,renan,Renan,1,,0.0,5,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,False,60795,Juventude,,,,,,,,,,,,,,,,,,,,
25,Souza,0.0,267,22,Josef de Souza Dias,souza,Souza,4,,-0.82,6,2,5.61,0.2,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,True,60803,Vasco,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
26,Cicinho,0.0,265,22,Neuciano de Jesus Gusmão,cicinho,Cicinho,2,,0.0,6,4,4.17,1.57,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,False,61106,Bahia,,,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,
27,Gilberto,0.0,286,22,Gilberto Oliveira Souza Júnior,gilberto,Gilberto,5,,0.0,6,13,3.61,1.78,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,False,61188,Juventude,,1.0,4.0,8.0,4.0,8.0,6.0,1.0,,,4.0,,,,,,,,,
28,Fabrício,0.0,285,22,Fabrício Barros Santana,fabricio,Fabrício,1,,0.0,6,8,5.96,4.13,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,False,61228,Internacional,,,,,,,,,3.0,,,,,,26.0,8.0,,,,
29,Ganso,0.7,266,22,Paulo Henrique Chagas de Lima,ganso,Ganso,4,,-0.24,3,18,6.87,3.52,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,True,62977,Fluminense,3.0,8.0,14.0,10.0,5.0,2.0,22.0,3.0,,,,,,,,,,,,
30,M. Rocha,0.0,275,22,Marcos Luis Rocha Aquino,marcos-rocha,Marcos Rocha,2,,0.0,6,16,7.49,4.49,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,False,63013,Palmeiras,1.0,,21.0,10.0,,2.0,6.0,,8.0,,1.0,,,,,,,,,
31,A. Ruschel,0.0,286,22,Alan Luciano Ruschel,alan-ruschel,Alan Ruschel,2,,0.0,7,12,5.0,3.3,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,False,63110,Juventude,,1.0,18.0,16.0,,1.0,16.0,1.0,2.0,1.0,,,,,,,,,,
32,Edenílson,4.2,284,22,Edenílson Andrade dos Santos,edenilson,Edenílson,4,,-0.19,3,15,4.73,1.96,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,True,63289,Grêmio,,3.0,9.0,12.0,4.0,1.0,18.0,1.0,,,2.0,,,1.0,,,,,,
33,A. Patrick,0.0,285,22,Alan Patrick Lourenço,alan-patrick,Alan Patrick,4,,0.0,5,7,9.81,2.83,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,False,68685,Internacional,,3.0,6.0,8.0,5.0,5.0,8.0,1.0,,,,,,,,,,1.0,,
34,Eduardo,0.0,263,22,Carlos Eduardo de Oliveira Alves,eduardo,Eduardo,4,,0.0,5,10,6.26,3.2,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,False,68708,Botafogo,1.0,1.0,6.0,8.0,3.0,4.0,9.0,2.0,,,1.0,,,,,,,1.0,,
35,M. Lomba,0.0,275,22,Marcelo Lomba do Nascimento,marcelo-lomba,Marcelo Lomba,1,,0.0,6,1,4.99,-1.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,False,68872,Palmeiras,,,,,,,,,,,,,,,1.0,2.0,,,,
36,P. Coutinho,0.0,267,22,Philippe Coutinho Correia,philippe-coutinho,Philippe Coutinho,4,,0.0,6,3,6.82,1.73,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,False,68899,Vasco,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,
37,Dudu,0.0,275,22,Eduardo Pereira Rodrigues,dudu,Dudu,5,,0.0,6,9,5.77,1.29,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,False,68920,Palmeiras,,,3.0,3.0,3.0,1.0,9.0,,,,,,,,,,,,,
38,Rafael,0.0,276,22,Rafael Pires Monteiro,rafael,Rafael,1,,0.0,7,13,7.09,3.3,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,False,68928,São Paulo,,1.0,,,,,,,6.0,,,,,,25.0,11.0,,,,
39,R. Cabral,0.0,284,22,Rafael Cabral Barbosa,rafael-cabral,Rafael Cabral,1,,0.0,6,5,6.8,2.5,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,False,68940,Grêmio,,,,,,,1.0,,1.0,,,,,,15.0,8.0,,,,
40,Marinho,1.3,356,22,Mário Sérgio Santos Costa,marinho,Marinho,5,,-0.77,6,11,4.91,3.1,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,True,68952,Fortaleza,1.0,2.0,10.0,18.0,4.0,11.0,23.0,,,,6.0,,,,,,,,,
41,M. Gabriel,-0.6,288,22,Marcos Gabriel do Nascimento,marquinhos-gabriel,Marquinhos Gabriel,4,,-0.19,7,14,2.72,0.75,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,True,68954,Criciúma,,3.0,4.0,7.0,3.0,4.0,8.0,,,,1.0,,,,,,,,,
42,L. Sasha,0.6,356,22,Lucas Pacheco Affini,lucas-sasha,Lucas Sasha,4,,-0.42,7,15,4.87,2.86,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,True,68991,Fortaleza,,2.0,37.0,29.0,2.0,1.0,12.0,,,,,,,,,,,,,
43,Santos,0.0,356,22,Aderbar Melo dos Santos Neto,santos,Santos,1,,0.0,6,0,8.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,False,69012,Fortaleza,,,,,,,,,,,,,,,,,,,,
44,Manoel,0.0,266,22,Manoel Messias Silva Carvalho,manoel,Manoel,3,,0.0,6,6,2.96,0.25,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,False,69014,Fluminense,,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,
45,Muriel,0.0,287,22,Muriel Gustavo Becker,muriel,Muriel,1,,0.0,6,0,3.52,-1.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,False,69041,Vitória,,2.0,,,,,,,,,,,,,,,,,,
