,atletas.media_num,atletas.pontos_num,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.status_id,atletas.atleta_id,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.clube_id,atletas.entrou_em_campo,atletas.nome,DS,FC,FF,FS,G,I,A,CA,FD,FT,SG,CV,V,DE,GS,PC,PP,PS,DP,GC
86,2.44,0.0,2,,Maguinho,6,72532,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,Maguinho,4.37,Atlético-GO,maguinho,0.0,19,14,373,False,Magno José da Silva,15.0,15.0,5.0,9.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,,,1.0,,,,
87,1.57,0.0,5,,Pedro Henrique,6,72583,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,P. Henrique,4.22,Corinthians,pedro-henrique,-0.41,19,7,264,True,Pedro Henrique Konzen Medina da Silva,2.0,2.0,3.0,6.0,,2.0,1.0,1.0,,,,,,,,,,,,
88,0.0,0.0,1,,Maurício Kozlinski,6,72595,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,M. Kozlinski,3.0,Fortaleza,mauricio-kozlinski,0.0,19,0,356,False,Maurício Kozlinski,,,,,,,,,,,,,,,,,,,,
89,0.0,0.0,3,,Vitor Hugo,6,72605,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,V. Hugo,4.0,Bahia,vitor-hugo,0.0,19,0,265,False,Vitor Hugo Franchescoli de Souza,,,,,,,,,,,,,,,,,,,,
90,3.8,0.0,4,,Fernandinho,7,72775,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,Fernandinho,7.11,Athlético-PR,fernandinho,0.0,19,15,293,False,Fernando Luiz Rosa,15.0,24.0,4.0,17.0,2.0,1.0,3.0,6.0,8.0,,,,,,,,,,,
91,2.08,0.0,3,,Wilker Ángel,7,72801,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,W. Ángel,3.12,Criciúma,wilker-angel,0.0,19,6,288,False,Wílker José Ángel Romero,6.0,12.0,,3.0,,,,,2.0,,1.0,,,,,,,,,
92,2.58,0.0,3,,Mercado,7,72951,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,Mercado,5.0,Internacional,mercado,0.0,19,9,285,False,Gabriel Iván Mercado,6.0,5.0,,3.0,,,,4.0,,,4.0,,,,,,,,,
93,3.58,9.6,2,,Samuel Xavier,7,73384,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,S. Xavier,6.52,Fluminense,samuel-xavier,0.49,19,12,266,True,Samuel Xavier Brito,14.0,13.0,3.0,27.0,,1.0,1.0,2.0,1.0,,2.0,,,,,,,,,
94,2.43,0.0,3,,Bruno Alves,6,73620,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,B. Alves,4.08,Cuiabá,bruno-alves,0.0,19,10,1371,False,Bruno Fabiano Alves,8.0,6.0,1.0,9.0,,,,,1.0,,2.0,,,,,,,,,
95,0.0,0.0,3,,Rodrigo Caio,6,73800,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,R. Caio,5.38,Grêmio,rodrigo-caio,0.0,19,1,284,False,Rodrigo Caio Coquette Russo,,,,,,,,,,,,,,,,,,,,
96,2.34,0.0,3,,Walisson Maia,6,73991,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,W. Maia,3.54,Criciúma,walisson-maia,0.0,19,8,288,False,Walisson Moreira Farias Maia,5.0,8.0,2.0,1.0,,,1.0,1.0,,,2.0,,,,,1.0,,,,
97,0.0,0.0,3,,Zapata,6,74028,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,Zapata,4.0,Vitória,zapata,0.0,19,0,287,False,Cristián Eduardo Zapata Valencia,,,,,,,,,,,,,,,,,,,,
98,2.0,0.0,1,,Gatito Fernández,6,74061,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,G. Fernández,6.82,Botafogo,gatito-fernandez,0.0,19,3,263,False,Roberto Junior Fernández Torres,,,,,,,,1.0,,,1.0,,,6.0,4.0,,,,,
99,0.0,0.0,5,,Campbell,6,74157,https://s.sde.globo.com/media/person_role/2024/07/17/photo_220x220_WdH8RPs.png,Campbell,7.0,Atlético-GO,campbell,0.0,19,0,373,False,Joel Nathaniel Campbell Samuels,,,,,,,,,,,,,,,,,,,,
100,0.0,0.0,4,,Jorginho,6,77544,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,Jorginho,4.0,Atlético-GO,jorginho,0.0,19,0,373,False,Jorge de Moura Xavier,,,,,,,,,,,,,,,,,,,,
101,2.06,0.0,2,,Madson,6,78077,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,Madson,4.03,Athlético-PR,madson,0.0,19,13,293,False,Madson Ferreira dos Santos,4.0,5.0,2.0,8.0,,1.0,1.0,2.0,,,3.0,,,,,,,,,
102,4.84,-0.8,5,,Everaldo,7,78117,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,Everaldo,6.94,Bahia,everaldo,-0.57,19,17,265,True,Everaldo Stum,6.0,20.0,8.0,14.0,6.0,3.0,1.0,3.0,10.0,2.0,,,,,,,,,,
103,0.58,0.0,3,,Gustavo Henrique,6,78248,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,G. Henrique,5.4,Corinthians,gustavo-henrique,0.0,19,8,264,False,Gustavo Henrique Vernes,2.0,9.0,4.0,3.0,,,,3.0,1.0,,1.0,1.0,,,,,,,,
104,5.25,0.0,2,,Renê,2,78445,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,Renê,8.87,Internacional,rene,0.0,19,12,285,False,Renê Rodrigues Martins,24.0,10.0,4.0,15.0,,,1.0,2.0,3.0,,4.0,,,,,,,,,
105,4.31,0.0,6,,Cláudio Tencati,7,78450,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,C. Tencati,6.23,Criciúma,claudio-tencati,0.0,19,15,288,False,Cláudio Tencati,,,,,,,,,,,,,4.0,,,,,,,
106,1.38,0.0,4,,Jean Mota,6,78548,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,J. Mota,3.28,Vitória,jean-mota,-0.2,19,13,287,True,Jean Mota Oliveira de Sousa,2.0,6.0,2.0,5.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,
107,2.25,0.0,5,,Jonathan Cafu,7,78580,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,J. Cafu,3.72,Cuiabá,jonathan-cafu,0.0,19,12,1371,False,Jonathan Renato Barbosa,8.0,12.0,3.0,14.0,1.0,,,,3.0,,,,,,,,,,,
108,1.5,0.0,4,,Gabriel,6,78605,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,Gabriel,4.31,Athlético-PR,gabriel,0.0,19,5,293,False,Gabriel Girotto Franco,5.0,7.0,3.0,2.0,,,,1.0,1.0,,,,,,,,,,,
109,1.8,0.0,4,,Ramiro,6,78715,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,Ramiro,3.46,Cruzeiro,ramiro,-1.19,19,15,283,True,Ramiro Moschen Benetti,16.0,14.0,2.0,7.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,
110,5.05,4.1,2,,Reinaldo,7,78850,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,Reinaldo,8.1,Grêmio,reinaldo,-1.27,19,11,284,True,Reinaldo Manoel da Silva,10.0,9.0,5.0,8.0,2.0,1.0,,2.0,12.0,,2.0,,,,,,,,,
111,1.97,5.0,3,,Thiago Santos,3,78855,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,T. Santos,3.11,Fluminense,thiago-santos,-0.21,19,10,266,True,Thiago dos Santos,8.0,13.0,3.0,4.0,,,,3.0,3.0,,2.0,,,,,1.0,,,,
112,2.71,0.0,3,,Luiz Felipe,7,79035,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,L. Felipe,3.73,Atlético-GO,luiz-felipe,0.0,19,8,373,False,Luiz Felipe do Nascimento dos Santos,11.0,7.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,,
113,0.82,-0.5,3,,Víctor Cuesta,3,79113,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,V. Cuesta,3.22,Bahia,victor-cuesta,-0.51,19,5,265,True,Víctor Leandro Cuesta,5.0,7.0,1.0,5.0,,1.0,,3.0,,,,,,,,,,,,
114,0.35,0.0,4,,Filipe Augusto,6,79268,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,F. Augusto,1.52,Cuiabá,filipe-augusto,0.0,19,6,1371,False,Filipe Augusto Carvalho Souza,4.0,9.0,1.0,2.0,,,,3.0,1.0,,,,,,,,,,,
115,4.79,0.0,6,,Roger Machado,7,79437,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,R. Machado,6.9,Internacional,roger-machado,0.0,19,15,285,False,Roger Machado Marques,,,,,,,,,,,,,4.0,,,,,,,
116,2.32,0.0,5,,Cano,7,79631,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,Cano,7.18,Fluminense,cano,-0.3,19,14,266,True,Germán Ezequiel Cano,3.0,5.0,9.0,4.0,1.0,1.0,,3.0,11.0,1.0,,,,,,,,,,
117,1.32,0.7,4,,Lucas Silva,7,79701,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,L. Silva,4.06,Cruzeiro,lucas-silva,0.08,19,16,283,True,Lucas Silva Borges,6.0,13.0,7.0,11.0,1.0,,,3.0,4.0,,,,,,,,,,,1.0
118,0.64,0.0,3,,Antônio Carlos,2,79702,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,A. Carlos,2.03,Fluminense,antonio-carlos,0.0,19,9,266,False,Antônio Carlos Cunha Capocasali Júnior,3.0,5.0,1.0,8.0,,1.0,,1.0,,,,,,,,,,,,
119,5.26,0.0,4,,Jadson,7,80129,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,Jadson,8.62,Juventude,jadson,0.0,19,13,286,False,Jadson Alves dos Santos,32.0,21.0,7.0,22.0,1.0,2.0,3.0,5.0,4.0,,,1.0,,,,,,,,
120,3.12,0.0,4,,Yago Pikachu,7,80196,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,Y. Pikachu,5.17,Fortaleza,yago-pikachu,0.0,19,15,356,False,Glaybson Yago Souza Lisboa,13.0,7.0,8.0,22.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,
121,4.04,0.0,5,,Rafa Silva,6,80225,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,R. Silva,5.88,Cruzeiro,rafa-silva,0.0,19,8,283,False,Rafael da Silva,4.0,6.0,1.0,4.0,3.0,3.0,,2.0,4.0,,,,,,,,,,,
122,6.33,2.0,5,,Luciano,7,80287,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,Luciano,10.53,São Paulo,luciano,-0.09,19,16,276,True,Luciano da Rocha Neves,16.0,22.0,13.0,26.0,6.0,2.0,1.0,8.0,12.0,3.0,,,,,,,1.0,1.0,,
123,4.56,0.0,2,,Gilberto,6,80313,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,Gilberto,7.61,Bahia,gilberto,0.0,19,10,265,False,Gilberto Moraes Júnior,16.0,9.0,5.0,12.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,
124,3.32,0.0,5,,Arthur Caíke,2,80337,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,A. Caíke,4.6,Criciúma,arthur-caike,0.0,19,15,288,False,Arthur Caíke do Nascimento Cruz,3.0,11.0,13.0,16.0,3.0,9.0,,1.0,5.0,1.0,,,,,,,,,,
125,3.13,-1.0,3,,Pedro Geromel,3,80853,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,P. Geromel,5.77,Grêmio,pedro-geromel,-0.77,19,6,284,False,Pedro Tonon Geromel,3.0,2.0,2.0,2.0,,,,3.0,1.0,,3.0,,,,,,,,,
126,0.0,0.0,4,,Jair,5,81091,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,Jair,4.0,Vasco,jair,0.0,19,0,267,False,Jair Rodrigues Júnior,,,,,,,,,,,,,,,,,,,,
127,4.64,0.0,2,,Mayke,7,81150,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,Mayke,8.52,Palmeiras,mayke,0.0,19,16,275,False,Mayke Rocha de Oliveira,24.0,12.0,1.0,7.0,1.0,2.0,,3.0,,,8.0,,,,,,,,,
128,1.75,0.0,5,,Rossi,6,81798,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,Rossi,4.43,Vasco,rossi,0.0,19,11,267,False,Rosicley Pereira da Silva,12.0,9.0,1.0,8.0,,2.0,1.0,2.0,,,,,,,,,,,,
129,3.59,0.0,4,,Alisson,5,81845,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,Alisson,6.88,São Paulo,alisson,0.0,19,16,276,False,Alisson Euler de Freitas Castro,25.0,21.0,2.0,27.0,1.0,,2.0,4.0,4.0,,,,,,,,,,,
130,4.86,0.0,1,,João Ricardo,7,81881,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,J. Ricardo,7.71,Fortaleza,joao-ricardo,0.0,19,17,356,False,João Ricardo Riedi,1.0,,,1.0,,,,,,,5.0,,,73.0,17.0,,,,,
131,5.44,8.5,4,,Willian Oliveira,7,81952,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,W. Oliveira,8.67,Vitória,willian-oliveira,1.21,19,17,287,True,Willian Osmar de Oliveira Silva,29.0,21.0,10.0,27.0,5.0,,,2.0,2.0,,,,,,,,,2.0,,
132,2.15,1.9,4,,Zé Rafael,7,82455,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,Z. Rafael,5.32,Palmeiras,ze-rafael,-0.51,19,11,275,True,José Rafael Vivian,11.0,22.0,2.0,14.0,,,2.0,5.0,2.0,,,,,,,,,1.0,,
133,3.61,0.0,4,,Otávio,7,82463,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,Otávio,6.05,Atlético-MG,otavio,0.0,19,10,282,False,Otávio Henrique Passos Santos,26.0,14.0,4.0,7.0,,,,,2.0,,,,,,,,,,,
134,5.6,0.9,5,,Luiz Araújo,6,82627,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,L. Araújo,8.39,Flamengo,luiz-araujo,-0.4,19,18,262,True,Luiz de Araújo Guimarães Neto,23.0,16.0,12.0,26.0,3.0,1.0,4.0,2.0,9.0,1.0,,,,,,,,,,
135,3.62,0.0,2,,Tinga,7,82628,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,Tinga,5.09,Fortaleza,tinga,0.0,19,17,356,False,Guilherme de Jesus da Silva,22.0,12.0,3.0,5.0,1.0,,,1.0,,1.0,5.0,,,,,1.0,,,,
136,3.29,0.0,2,,Marcelo Hermes,7,82639,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,M. Hermes,5.1,Criciúma,marcelo-hermes,0.0,19,14,288,False,Marcelo Gazella Hermes,17.0,13.0,4.0,6.0,1.0,,1.0,2.0,2.0,,2.0,,,,,,,,,
137,1.06,0.0,4,,Wellington Rato,6,82766,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,W. Rato,5.85,São Paulo,wellington-rato,0.0,19,10,276,False,Wellington Soares da Silva,3.0,3.0,2.0,6.0,,2.0,,,3.0,,,,,,,,,,,
138,3.43,6.7,5,,Gabriel,6,83257,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,Gabriel,7.78,Flamengo,gabriel,-0.02,19,8,262,True,Gabriel Barbosa Almeida,,,2.0,5.0,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,,
139,1.94,1.2,3,,Léo Pereira,2,83528,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,L. Pereira,5.88,Flamengo,leo-pereira,0.09,19,15,262,True,Leonardo Pereira,13.0,9.0,2.0,9.0,,,,4.0,,,3.0,,,,,1.0,,,,
140,2.13,0.0,3,,Neris,6,83786,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,Neris,4.47,Cruzeiro,neris,0.0,19,6,283,False,Hueglo dos Santos Neris,7.0,9.0,,2.0,,1.0,,,1.0,,1.0,,,,,,,,,
141,1.86,0.0,5,,Clayson,7,83817,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,Clayson,3.87,Cuiabá,clayson,0.0,19,13,1371,False,Clayson Henrique da Silva Vieira,4.0,6.0,6.0,14.0,1.0,3.0,,3.0,3.0,,,,,,,,,1.0,,
142,5.05,17.1,5,,Tiquinho Soares,7,84042,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,T. Soares,12.57,Botafogo,tiquinho-soares,2.59,19,13,263,True,Francisco das Chagas Soares dos Santos Meireles,8.0,22.0,7.0,24.0,4.0,2.0,3.0,3.0,1.0,,,,,,,,,,,
143,2.6,1.0,3,,Jemerson,6,84263,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,Jemerson,5.42,Grêmio,jemerson,-0.39,19,4,284,True,Jemerson de Jesus Nascimento,1.0,5.0,1.0,4.0,,1.0,,2.0,,,2.0,,,,,,,,,
144,0.87,0.0,1,,Alisson,6,84266,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,Alisson,2.29,Criciúma,alisson,0.0,19,4,288,False,Alisson Machado dos Santos,,,,1.0,,,,2.0,,,,,,9.0,4.0,,,,,
145,2.93,0.0,4,,Fernando Sobral,7,84428,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,F. Sobral,4.92,Cuiabá,fernando-sobral,0.0,19,13,1371,False,Fernando Pereira do Nascimento,16.0,3.0,4.0,12.0,1.0,1.0,,1.0,3.0,,,,,,,,,,,
146,3.04,4.1,4,,Lucas Romero,7,84558,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,L. Romero,5.51,Cruzeiro,lucas-romero,0.2,19,15,283,True,Lucas Daniel Romero,32.0,22.0,6.0,13.0,,,1.0,2.0,2.0,,,1.0,,,,,,,,
147,4.33,0.0,4,,Fellipe Mateus,7,84587,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,F. Mateus,7.59,Criciúma,fellipe-mateus,0.0,19,11,288,False,Fellipe Mateus de Sena Araújo,9.0,8.0,5.0,30.0,2.0,,,2.0,6.0,,,,,,,1.0,,,,
148,3.96,0.0,4,,Lucas Evangelista,7,84674,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,L. Evangelista,8.19,Bragantino,lucas-evangelista,0.0,19,12,280,False,Lucas Evangelista Santana de Oliveira,11.0,10.0,7.0,19.0,2.0,4.0,1.0,2.0,3.0,,,,,,,,,,,
149,4.35,3.6,2,,Varela,7,84816,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,Varela,5.84,Flamengo,varela,0.11,19,6,262,True,Guillermo Varela Olivera,10.0,7.0,,10.0,,,,,1.0,,2.0,,,,,,,,,
150,2.9,2.7,5,,Rafael Ratão,6,84918,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,R. Ratão,5.35,Bahia,rafael-ratao,0.21,19,4,265,True,Rafael Rogério da Silva,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,
151,3.3,3.0,1,,Marcos Felipe,7,85004,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,M. Felipe,6.86,Bahia,marcos-felipe,0.32,19,17,265,True,Marcos Felipe de Freitas Monteiro,1.0,,,2.0,,,,1.0,,,4.0,,,55.0,20.0,,,,,
152,3.31,0.0,4,,Óscar Romero,6,85034,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,Ã. Romero,6.68,Botafogo,oscar-romero,0.0,19,13,263,False,Óscar David Romero Villamayor,17.0,8.0,1.0,12.0,,,3.0,4.0,6.0,,,,,,,,,,,
153,4.06,4.2,2,,Damián Suárez,7,85277,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,D. Suárez,6.13,Botafogo,damian-suarez,-0.21,19,16,263,True,Damián Nicolás Suárez,22.0,25.0,5.0,12.0,,2.0,1.0,5.0,1.0,,7.0,,,,,,,,,
154,0.72,0.0,4,,Alex Santana,7,85465,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,A. Santana,3.13,Corinthians,alex-santana,0.0,19,6,264,False,Alex Paulo Menezes Santana,5.0,6.0,2.0,3.0,,,,3.0,,,,,,,,,,,,
155,2.61,0.0,3,,Léo,7,85626,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,Léo,4.02,Vasco,leo,0.0,19,15,267,False,Leonardo Pinheiro da Conceição,14.0,11.0,,9.0,,1.0,,,1.0,,4.0,,,,,,,,,
156,3.35,3.8,4,,Ricardo Ryller,6,85856,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,R. Ryller,5.24,Vitória,ricardo-ryller,0.52,19,2,287,True,Ricardo Ryller Ribeiro Lino Silva,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
157,1.76,0.0,4,,Hyoran,7,85931,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,Hyoran,4.33,Internacional,hyoran,0.0,19,8,285,False,Hyoran Kaue Dalmoro,5.0,5.0,5.0,9.0,,1.0,,,1.0,,,,,,,,,,,
158,4.24,0.0,5,,Bolasie,2,86292,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,Bolasie,6.44,Criciúma,bolasie,0.0,19,13,288,False,Yannick Bolasie,6.0,20.0,11.0,8.0,2.0,4.0,3.0,2.0,8.0,1.0,,,,,,,,,,
159,0.0,0.0,5,,Caio Dantas,6,86362,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,C. Dantas,3.0,Vitória,caio-dantas,0.0,19,0,287,False,Caio Henrique da Silva Dantas,,,,,,,,,,,,,,,,,,,,
160,2.69,0.0,2,,Victor Luis,6,86410,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,V. Luis,4.22,Vasco,victor-luis,0.0,19,7,267,False,Victor Luis Chuab Zamblauskas,10.0,8.0,,6.0,,,,2.0,1.0,,2.0,1.0,,,,,,,,
161,1.37,0.0,5,,Keno,6,86485,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,Keno,5.0,Fluminense,keno,0.0,19,11,266,False,Marcos da Silva França,6.0,8.0,6.0,7.0,,3.0,,,2.0,,,,,,,,,,,
162,3.06,0.0,1,,Jandrei,6,86508,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,Jandrei,6.32,São Paulo,jandrei,0.0,19,8,276,False,Jandrei Chitolina Carniel,,,,5.0,,,,,,,2.0,,,22.0,10.0,,,,,
163,3.71,0.0,3,,Rodrigo,7,86684,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,Rodrigo,6.14,Criciúma,rodrigo,0.0,19,14,288,False,Rodrigo Fagundes de Freitas,26.0,16.0,2.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,,,,2.0,,,,
164,1.39,1.1,4,,Tchê Tchê,7,86686,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,T. Tchê,3.67,Botafogo,tche-tche,-0.2,19,16,263,True,Danilo das Neves Pinheiro,9.0,8.0,6.0,13.0,,,,1.0,3.0,,,,,,,,,,,
165,2.1,0.0,2,,Jonathan,6,86713,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,Jonathan,3.54,Criciúma,jonathan,0.0,19,7,288,False,Jonathan Francisco Lemos,10.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,
166,5.06,3.8,5,,Everton,7,86757,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,Everton,7.37,Flamengo,everton,0.53,19,8,262,True,Everton Sousa Soares,8.0,4.0,7.0,5.0,1.0,2.0,2.0,1.0,6.0,,,,,,,,,,,
167,1.51,0.0,4,,Matheus Rossetto,6,86766,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,M. Rossetto,2.79,Fortaleza,matheus-rossetto,0.0,19,7,356,False,Matheus Rossetto,10.0,8.0,,4.0,,,,1.0,,,,,,,,,,,,
168,3.85,1.7,4,,Danilo Barbosa,7,86777,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,D. Barbosa,7.16,Botafogo,danilo-barbosa,-0.53,19,16,263,True,Danilo Barbosa da Silva,21.0,13.0,3.0,12.0,3.0,,2.0,3.0,,,,,,,,,,1.0,,
169,1.71,0.0,4,,José Welison,6,86859,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,J. Welison,3.94,Fortaleza,jose-welison,0.0,19,10,356,False,José Welison da Silva,14.0,6.0,2.0,3.0,,,,1.0,,,,,,,,,,,,
170,3.85,0.0,1,,Léo Jardim,7,87008,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,L. Jardim,6.29,Vasco,leo-jardim,0.0,19,18,267,False,Leonardo César Jardim,,,,,,,,,,,4.0,,,77.0,28.0,,,,,
171,0.98,0.7,4,,Nathan,7,87009,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,Nathan,3.34,Grêmio,nathan,-0.2,19,6,284,True,Nathan Allan de Souza,1.0,,2.0,4.0,,1.0,,,1.0,,,,,,,,,,,
172,2.79,0.0,3,,Pedro Henrique,3,87225,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,P. Henrique,5.84,Bragantino,pedro-henrique,0.0,19,12,280,False,Pedro Henrique Ribeiro Gonçalves,16.0,12.0,,8.0,1.0,1.0,,3.0,,,2.0,,,,,1.0,,,,
