,atletas.media_num,atletas.pontos_num,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.status_id,atletas.atleta_id,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.clube_id,atletas.entrou_em_campo,atletas.nome,DS,FC,FF,FS,G,I,A,CA,FD,FT,SG,CV,V,DE,GS,PC,PP,PS,DP,GC
19,2.37,0.0,3,,Titi,7,50353,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,Titi,3.86,Fortaleza,titi,0.0,19,11,356,False,Christian Chagas Tarouco,15.0,18.0,2.0,10.0,,1.0,,3.0,,,2.0,,,,,,,,,
20,3.89,0.0,1,,Walter,7,51413,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter,5.34,Cuiabá,walter,0.0,19,14,1371,False,Walter Leandro Capeloza Artune,,,,1.0,,,,,,,3.0,,,58.0,19.0,,,,,
21,4.17,1.9,4,,Everton Ribeiro,7,51772,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,E. Ribeiro,8.54,Bahia,everton-ribeiro,-0.28,19,17,265,True,Everton Augusto de Barros Ribeiro,28.0,15.0,5.0,28.0,,1.0,4.0,1.0,4.0,,,,,,,,,,,
22,1.76,0.0,4,,Fernando,5,52271,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,5.03,Internacional,fernando,0.0,19,9,285,False,Fernando Francisco Reges,10.0,8.0,,3.0,1.0,2.0,,3.0,,,,,,,,,,,,
23,2.51,0.0,3,,David Luiz,2,52827,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,D. Luiz,5.82,Flamengo,david-luiz,0.0,19,11,262,False,David Luiz Moreira Marinho,3.0,9.0,5.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,
24,0.0,0.0,5,,Léo Gamalho,6,53865,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,L. Gamalho,4.11,Vitória,leo-gamalho,0.0,19,1,287,False,Leonardo Gamalho de Souza,,,,,,,,,,,,,,,,,,,,
25,0.5,0.0,4,,Alex Teixeira,6,60793,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,A. Teixeira,4.69,Vasco,alex-teixeira,0.0,19,1,267,False,Alex Teixeira Santos,,,,1.0,,,,,,,,,,,,,,,,
26,0.0,0.0,1,,Renan,5,60795,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,Renan,4.0,Juventude,renan,0.0,19,0,286,False,Renan dos Santos,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,4,,Souza,6,60803,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,Souza,7.0,Vasco,souza,0.0,19,0,267,False,Josef de Souza Dias,,,,,,,,,,,,,,,,,,,,
28,1.57,0.0,2,,Cicinho,6,61106,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,4.17,Bahia,cicinho,0.0,19,4,265,False,Neuciano de Jesus Gusmão,1.0,3.0,,2.0,,,,,,,1.0,,,,,,,,,
29,1.89,0.2,5,,Gilberto,7,61188,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,3.69,Juventude,gilberto,-0.11,19,12,286,True,Gilberto Oliveira Souza Júnior,4.0,8.0,8.0,5.0,1.0,4.0,,1.0,4.0,,,,,,,,,,,
30,4.13,0.0,1,,Fabrício,6,61228,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,5.96,Internacional,fabricio,0.0,19,8,285,False,Fabrício Barros Santana,,,,,,,,,,,3.0,,,26.0,8.0,,,,,
31,1.16,0.0,5,,Douglas Costa,6,62020,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,D. Costa,4.06,Fluminense,douglas-costa,0.0,19,9,266,False,Douglas Costa de Souza,5.0,4.0,2.0,3.0,,,,1.0,3.0,,,,,,,,,,,
32,3.69,1.1,4,,Ganso,7,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,7.2,Fluminense,ganso,-0.74,19,15,266,True,Paulo Henrique Chagas de Lima,12.0,10.0,2.0,21.0,3.0,,2.0,7.0,4.0,,,,,,,,,,,
33,4.46,2.4,2,,Marcos Rocha,6,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,M. Rocha,7.22,Palmeiras,marcos-rocha,-1.06,19,15,275,True,Marcos Luis Rocha Aquino,21.0,10.0,2.0,6.0,,,,,,,8.0,,,,,,,,,
34,3.14,2.0,2,,Alan Ruschel,7,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,A. Ruschel,4.54,Juventude,alan-ruschel,-0.62,19,11,286,True,Alan Luciano Ruschel,18.0,13.0,1.0,14.0,,,,1.0,,,2.0,,,,,,,,,
35,1.48,0.1,4,,Edenílson,7,63289,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson,4.09,Grêmio,edenilson,-0.5,19,13,284,True,Edenílson Andrade dos Santos,6.0,9.0,1.0,14.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,
36,2.83,0.0,4,,Alan Patrick,5,68685,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,A. Patrick,9.81,Internacional,alan-patrick,0.0,19,7,285,False,Alan Patrick Lourenço,6.0,8.0,5.0,8.0,1.0,,,3.0,5.0,,,,,,,,1.0,,,
37,3.2,0.0,4,,Eduardo,5,68708,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Eduardo,6.26,Botafogo,eduardo,0.0,19,10,263,False,Carlos Eduardo de Oliveira Alves,6.0,8.0,4.0,9.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,1.0,,,
38,0.0,0.0,1,,Marcelo Lomba,6,68872,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,M. Lomba,6.0,Palmeiras,marcelo-lomba,0.0,19,0,275,False,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,,,,,,,
39,1.2,0.0,4,,Philippe Coutinho,6,68899,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,P. Coutinho,7.67,Vasco,philippe-coutinho,0.0,19,1,267,False,Philippe Coutinho Correia,1.0,,,,,,,,,,,,,,,,,,,
40,1.42,0.5,5,,Dudu,6,68920,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Dudu,6.22,Palmeiras,dudu,-0.42,19,7,275,True,Eduardo Pereira Rodrigues,2.0,3.0,1.0,8.0,,,,,3.0,,,,,,,,,,,
41,3.45,2.0,1,,Rafael,7,68928,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael,6.94,São Paulo,rafael,-0.42,19,11,276,True,Rafael Pires Monteiro,,,,,,,,1.0,,,5.0,,,24.0,10.0,,,,,
42,0.75,0.0,1,,Rafael Cabral,6,68940,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,R. Cabral,5.21,Grêmio,rafael-cabral,0.0,19,4,284,False,Rafael Cabral Barbosa,,,,,,,,,,,,,,11.0,8.0,,,,,
43,2.4,0.0,5,,Marinho,6,68952,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Marinho,4.89,Fortaleza,marinho,0.0,19,8,356,False,Mário Sérgio Santos Costa,5.0,9.0,9.0,13.0,,4.0,,1.0,3.0,,,,,,,,,,,
44,0.98,0.0,4,,Marquinhos Gabriel,6,68954,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,M. Gabriel,3.09,Criciúma,marquinhos-gabriel,0.0,19,11,288,False,Marcos Gabriel do Nascimento,4.0,5.0,3.0,7.0,,,,2.0,3.0,,,,,,,,,,,
45,2.66,0.0,4,,Lucas Sasha,6,68991,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,L. Sasha,5.04,Fortaleza,lucas-sasha,0.0,19,12,356,False,Lucas Pacheco Affini,28.0,19.0,1.0,6.0,,,,1.0,1.0,,,,,,,,,,,
46,0.0,0.0,1,,Santos,6,69012,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Santos,8.0,Fortaleza,santos,0.0,19,0,356,False,Aderbar Melo dos Santos Neto,,,,,,,,,,,,,,,,,,,,
47,0.25,0.0,3,,Manoel,6,69014,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel,2.96,Fluminense,manoel,0.0,19,6,266,False,Manoel Messias Silva Carvalho,2.0,7.0,,2.0,,,,1.0,1.0,,,,,,,,,,,
48,-1.0,0.0,1,,Muriel,6,69041,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel,3.54,Vitória,muriel,0.0,19,0,287,False,Muriel Gustavo Becker,,,,,,,,1.0,,,,,,,,,,,,
49,-1.0,0.0,1,,Danilo Fernandes,6,69051,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,D. Fernandes,3.54,Bahia,danilo-fernandes,0.0,19,0,265,False,Danilo Fernandes Batista,,,,,,,,1.0,,,,,,,,,,,,
50,-0.05,0.0,4,,James Rodríguez,6,69063,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,J. Rodríguez,4.84,São Paulo,james-rodriguez,0.0,19,2,276,False,James David Rodríguez Rubio,,,,,,1.0,,,,,,,,,,,,,,
51,4.38,0.0,5,,Vargas,6,69102,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Vargas,5.52,Atlético-MG,vargas,0.0,19,11,282,False,Eduardo Jesús Vargas Rojas,3.0,2.0,4.0,7.0,4.0,3.0,,,4.0,,,,,,,,,2.0,,
52,2.11,0.0,5,,Pablo,7,69138,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo,5.43,Athlético-PR,pablo,0.0,19,15,293,False,Pablo Felipe Teixeira,5.0,16.0,7.0,4.0,2.0,,1.0,5.0,3.0,1.0,,,,,,,,,,
53,0.4,0.4,4,,Allan,6,69140,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,Allan,7.4,Botafogo,allan,-0.6,19,1,263,True,Allan Marques Loureiro,,2.0,,2.0,,,,,,,,,,,,,,,,
54,0.0,0.0,3,,Pablo,6,69165,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo,3.22,Botafogo,pablo,0.0,19,1,263,False,Pablo Nascimento Castro,,,,,,,,,,,,,,,,,,,,
55,0.53,0.0,4,,Aránguiz,5,69325,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,Aránguiz,3.76,Internacional,aranguiz,0.0,19,7,285,False,Charles Mariano Aránguiz Sandoval,2.0,12.0,,3.0,,,,2.0,2.0,1.0,,,,,,,,,,
56,1.0,0.0,5,,João Pedro Galvão,6,69686,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,J. Galvão,3.06,Grêmio,joao-pedro-galvao,0.0,19,11,284,False,João Pedro Geraldino dos Santos Galvão,2.0,13.0,3.0,15.0,,,,1.0,3.0,,,,,,,,,,,
57,5.0,0.0,4,,Nikão,2,69705,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,Nikão,8.71,Athlético-PR,nikao,0.0,19,10,293,False,Maycon Vinícius Ferreira da Cruz,13.0,2.0,10.0,19.0,1.0,1.0,,,8.0,,,,,,,,,,,
58,7.19,21.5,4,,Lucas Moura,3,70164,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,L. Moura,16.7,São Paulo,lucas-moura,2.84,19,13,276,True,Lucas Rodrigues Moura da Silva,22.0,14.0,6.0,27.0,5.0,,2.0,3.0,5.0,,,,,,,,,,,
59,0.0,0.0,2,,Rafael,5,70171,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael,3.0,Botafogo,rafael,0.0,19,0,263,False,Rafael Pereira da Silva,,,,,,,,,,,,,,,,,,,,
60,2.83,0.7,2,,Fábio,6,70172,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio,5.46,Grêmio,fabio,-0.03,19,8,284,True,Fábio Pereira da Silva,5.0,5.0,2.0,11.0,,,,1.0,,1.0,2.0,,,,,1.0,,,,
61,3.73,0.0,1,,Gustavo,7,70216,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Gustavo,6.65,Criciúma,gustavo,0.0,19,12,288,False,Luiz Gustavo de Almeida Pinto,,1.0,,,,,,2.0,,,2.0,1.0,,43.0,17.0,,,,2.0,
62,0.48,0.0,3,,Bruno Uvini,6,70221,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,B. Uvini,2.22,Vitória,bruno-uvini,0.0,19,6,287,False,Bruno Uvini Bortolança,2.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,
63,1.0,0.0,5,,Diego Costa,5,70316,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,D. Costa,6.25,Grêmio,diego-costa,0.0,19,2,284,False,Diego da Silva Costa,2.0,,,3.0,,1.0,,,1.0,,,1.0,,,,,,,,
64,3.56,4.2,1,,Marchesín,7,70332,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Marchesín,6.26,Grêmio,marchesin,-0.02,19,12,284,True,Agustín Federico Marchesín,1.0,,,1.0,,,,1.0,,,4.0,,,34.0,12.0,,,,,
65,4.64,0.0,5,,Eduardo Sasha,5,70360,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,E. Sasha,8.33,Bragantino,eduardo-sasha,0.0,19,10,280,False,Eduardo Colcenti Antunes,5.0,8.0,4.0,8.0,2.0,,3.0,2.0,8.0,,,1.0,,,,,,,,
66,3.23,2.0,1,,Gabriel,7,70449,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel,4.5,Juventude,gabriel,-0.6,19,14,286,True,Gabriel Vasconcelos Ferreira,,,,2.0,,,,3.0,,,4.0,,,47.0,20.0,,,,,
67,3.23,3.0,4,,Felipe Anderson,7,70592,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,F. Anderson,9.5,Palmeiras,felipe-anderson,-0.47,19,3,275,True,Felipe Anderson Pereira Gomes,7.0,4.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
68,2.72,0.0,3,,Marllon,7,70666,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon,4.08,Cuiabá,marllon,0.0,19,13,1371,False,Marllon Gonçalves Jerônimo Borges,14.0,10.0,2.0,5.0,1.0,,,2.0,2.0,,2.0,,,,,1.0,,,,
69,0.5,0.0,5,,Enner Valencia,7,70788,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,E. Valencia,15.47,Internacional,enner-valencia,0.0,19,1,285,False,Enner Remberto Valencia Lastra,,,,1.0,,,,,,,,,,,,,,,,
70,1.83,7.6,2,,Diogo Barbosa,7,70916,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,D. Barbosa,4.08,Fluminense,diogo-barbosa,0.4,19,12,266,True,Diogo Barbosa Mendanha,10.0,6.0,1.0,8.0,,,,3.0,,,2.0,,,,,,,,,
71,3.0,0.0,4,,Bruno Henrique,7,70944,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,B. Henrique,5.93,Internacional,bruno-henrique,0.0,19,14,285,False,Bruno Henrique Corsini,18.0,27.0,5.0,9.0,1.0,,1.0,2.0,5.0,1.0,,,,,,,,,,
72,4.39,1.5,4,,Jean Carlos,7,70958,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,J. Carlos,8.19,Juventude,jean-carlos,-0.04,19,12,286,True,Jean Carlos Vicente,6.0,9.0,9.0,5.0,4.0,1.0,1.0,2.0,3.0,,,,,,,,,,,
73,3.46,0.0,4,,Payet,6,70984,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Payet,6.04,Vasco,payet,0.0,19,5,267,False,Florent Dimitri Payet,2.0,1.0,,2.0,,,2.0,,1.0,1.0,,,,,,,,,,
74,2.8,0.0,3,,Pedro Henrique,7,71038,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,P. Henrique,4.4,Atlético-GO,pedro-henrique,0.0,19,6,373,False,Pedro Henrique Pereira da Silva,7.0,6.0,,2.0,,,,2.0,1.0,,2.0,,,,,,,,,
75,2.62,0.0,3,,Maicon,7,71227,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon,4.08,Vasco,maicon,0.0,19,16,267,False,Maicon Pereira Roque,12.0,8.0,1.0,6.0,1.0,1.0,,3.0,1.0,,4.0,,,,,,,,,
