,atletas.atleta_id,atletas.rodada_id,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.slug,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.clube_id,atletas.nome,atletas.apelido,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,SG,A,CV,FT,G,I,DE,GS,V,PC,PP,DP,PS,GC
46,69051,25,-1.0,False,3.54,D. Fernandes,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0.0,danilo-fernandes,0,,6,1,265,Danilo Fernandes Batista,Danilo Fernandes,Bahia,1.0,,,,,,,,,,,,,,,,,,,
47,69102,25,4.28,True,6.65,Vargas,1.01,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,9.2,vargas,15,,6,5,282,Eduardo Jesús Vargas Rojas,Vargas,Atlético-MG,,6.0,3.0,4.0,7.0,12.0,,,,,5.0,5.0,,,,,,,2.0,
48,69138,25,2.0,False,5.47,Pablo,0.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,0.0,pablo,17,,5,5,293,Pablo Felipe Teixeira,Pablo,Athlético-PR,5.0,6.0,18.0,3.0,8.0,6.0,,1.0,,1.0,2.0,,,,,,,,,
49,69140,25,2.56,False,6.58,Allan,0.0,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,0.0,allan,5,,2,4,263,Allan Marques Loureiro,Allan,Botafogo,2.0,7.0,7.0,,,7.0,,1.0,,,,,,,,,,,,
50,69165,25,0.0,False,3.22,Pablo,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,0.0,pablo,1,,6,3,263,Pablo Nascimento Castro,Pablo,Botafogo,,,,,,,,,,,,,,,,,,,,
51,69705,25,4.92,True,8.51,Nikão,-0.8,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,2.4,nikao,15,,6,4,293,Maycon Vinícius Ferreira da Cruz,Nikão,Athlético-PR,,15.0,5.0,10.0,13.0,22.0,,1.0,,1.0,2.0,2.0,,,,,,,,
52,70164,25,6.3,True,13.07,L. Moura,-0.93,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,0.4,lucas-moura,17,,7,4,276,Lucas Rodrigues Moura da Silva,Lucas Moura,São Paulo,3.0,25.0,17.0,7.0,6.0,34.0,,3.0,,,5.0,,,,,,,,,
53,70171,25,0.0,False,3.0,Rafael,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0.0,rafael,0,,5,2,263,Rafael Pereira da Silva,Rafael,Botafogo,,,,,,,,,,,,,,,,,,,,
54,70172,25,3.04,False,5.38,Fábio,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,0.0,fabio,12,,6,2,284,Fábio Pereira da Silva,Fábio,Grêmio,1.0,7.0,5.0,,2.0,14.0,4.0,,,1.0,,,,,,1.0,,,,
55,70216,25,2.89,True,4.99,Gustavo,-0.5,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,-1.0,gustavo,18,,7,1,288,Luiz Gustavo de Almeida Pinto,Gustavo,Criciúma,2.0,,1.0,,,1.0,2.0,,1.0,,,,58.0,25.0,,,,2.0,,
56,70221,25,0.48,False,2.22,B. Uvini,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,0.0,bruno-uvini,6,,6,3,287,Bruno Uvini Bortolança,Bruno Uvini,Vitória,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,
57,70316,25,0.7,False,5.62,D. Costa,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,0.0,diego-costa,3,,6,5,284,Diego da Silva Costa,Diego Costa,Grêmio,1.0,3.0,2.0,1.0,,4.0,,,1.0,,,1.0,,,,,,,,
58,70332,25,4.28,True,6.87,Marchesín,-0.18,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,6.5,marchesin,15,,7,1,284,Agustín Federico Marchesín,Marchesín,Grêmio,2.0,1.0,,,,2.0,6.0,,,,,,49.0,15.0,,,,,,
59,70360,25,4.05,True,8.14,E. Sasha,-0.21,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,3.2,eduardo-sasha,13,,7,5,280,Eduardo Colcenti Antunes,Eduardo Sasha,Bragantino,3.0,5.0,9.0,9.0,9.0,13.0,,3.0,1.0,,2.0,1.0,,,,,,,,
60,70449,25,3.02,True,4.25,Gabriel,-0.58,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,1.0,gabriel,18,,7,1,286,Gabriel Vasconcelos Ferreira,Gabriel,Juventude,3.0,,1.0,,,3.0,4.0,,1.0,,,,65.0,26.0,,,,,,
61,70592,25,4.69,True,8.93,F. Anderson,-0.92,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,4.0,felipe-anderson,8,,7,4,275,Felipe Anderson Pereira Gomes,Felipe Anderson,Palmeiras,,18.0,5.0,2.0,2.0,5.0,,,,1.0,1.0,1.0,,,,,,,,
62,70666,25,2.68,True,4.06,Marllon,-0.08,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,1.3,marllon,19,,7,3,1371,Marllon Gonçalves Jerônimo Borges,Marllon,Cuiabá,2.0,21.0,13.0,2.0,6.0,7.0,2.0,,,1.0,1.0,,,,,1.0,,,1.0,
63,70788,25,2.72,True,10.31,E. Valencia,-0.44,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,1.2,enner-valencia,7,,6,5,285,Enner Remberto Valencia Lastra,Enner Valencia,Internacional,,4.0,4.0,4.0,4.0,9.0,,,,1.0,,1.0,,,,,,,,
64,70916,25,2.15,False,3.33,D. Barbosa,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,0.0,diogo-barbosa,15,,5,2,266,Diogo Barbosa Mendanha,Diogo Barbosa,Fluminense,5.0,12.0,11.0,,1.0,11.0,4.0,,,,,,,,,,,,,
65,70944,25,3.02,True,5.53,B. Henrique,0.02,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,1.1,bruno-henrique,20,,6,4,285,Bruno Henrique Corsini,Bruno Henrique,Internacional,3.0,23.0,36.0,6.0,10.0,15.0,,1.0,,1.0,2.0,1.0,,,,,,,,
66,70958,25,3.63,True,7.44,J. Carlos,-0.11,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,0.9,jean-carlos,15,,6,4,286,Jean Carlos Vicente,Jean Carlos,Juventude,2.0,7.0,11.0,4.0,9.0,5.0,,1.0,,,4.0,1.0,,,,,,,,
67,70984,25,3.32,True,6.55,Payet,0.58,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,6.7,payet,11,,7,4,267,Florent Dimitri Payet,Payet,Vasco,,10.0,8.0,1.0,3.0,11.0,,3.0,,1.0,,2.0,,,,,,,,
68,71038,25,3.02,False,4.73,P. Henrique,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,0.0,pedro-henrique,9,,6,3,373,Pedro Henrique Pereira da Silva,Pedro Henrique,Atlético-GO,3.0,11.0,8.0,2.0,,4.0,3.0,,,,,,,,,,,,,
69,71227,25,2.6,True,4.95,Maicon,0.94,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,7.6,maicon,22,,7,3,267,Maicon Pereira Roque,Maicon,Vasco,4.0,17.0,9.0,1.0,1.0,7.0,6.0,,,,1.0,1.0,,,,,,,,
70,71536,25,2.49,True,4.7,L. Gustavo,0.13,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,1.8,luiz-gustavo,17,,7,4,276,Luiz Gustavo Dias,Luiz Gustavo,São Paulo,3.0,23.0,24.0,7.0,7.0,16.0,,,,1.0,,,,,,,,,,
71,71631,25,5.4,True,11.83,Weverton,1.04,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,14.5,weverton,24,,7,1,275,Weverton Pereira da Silva,Weverton,Palmeiras,1.0,1.0,,,,5.0,11.0,1.0,,,,,84.0,17.0,,,,,,
72,71680,25,3.25,True,5.13,R. Cáceres,-0.9,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,1.2,raul-caceres,10,,6,2,287,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,Vitória,,15.0,8.0,,,4.0,2.0,1.0,,,,1.0,,,,,,,,
73,71684,25,3.89,True,9.06,G. Gómez,1.06,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,7.0,gustavo-gomez,15,,7,3,275,Gustavo Raúl Gómez Portillo,Gustavo Gómez,Palmeiras,6.0,14.0,28.0,1.0,8.0,10.0,6.0,2.0,,,1.0,6.0,,,,1.0,,,,1.0
74,71701,25,3.25,True,5.38,S. Arias,-0.94,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,0.9,santiago-arias,13,,7,2,265,Santiago Arias Naranjo,Santiago Arias,Bahia,2.0,11.0,15.0,2.0,2.0,14.0,5.0,,,,,3.0,,,,,,,,
75,71898,25,3.48,False,5.14,G. Pires,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,0.0,gabriel-pires,5,,6,4,266,Gabriel Appelt Pires,Gabriel Pires,Fluminense,1.0,13.0,8.0,1.0,2.0,5.0,,,,,,1.0,,,,,,,,
76,72294,25,2.49,True,7.56,Everson,-0.56,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,0.0,everson,13,,7,1,282,Everson Felipe Marques Pires,Everson,Atlético-MG,3.0,,,,,3.0,4.0,,,,,,29.0,15.0,,,,,,
77,72372,25,0.0,False,5.0,F. Alves,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0.0,felipe-alves,0,,6,1,266,Felipe Alves Raymundo,Felipe Alves,Fluminense,,,,,,,,,,,,,,,,,,,,
78,72460,25,1.16,True,6.59,Bernard,-0.06,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,2.2,bernard,8,,7,4,282,Bernard Anício Caldeira Duarte,Bernard,Atlético-MG,1.0,6.0,13.0,,2.0,5.0,,,,1.0,,1.0,,,,,,,,
79,72497,25,0.0,False,4.5,G. Campanharo,0.0,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,0.0,gustavo-campanharo,1,,6,4,373,Gustavo Campanharo,Gustavo Campanharo,Atlético-GO,,,,,,,,,,,,,,,,,,,,
80,72532,25,2.4,True,4.43,Maguinho,-0.48,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,1.6,maguinho,19,,7,2,373,Magno José da Silva,Maguinho,Atlético-GO,2.0,20.0,20.0,3.0,6.0,11.0,3.0,1.0,1.0,,,2.0,,,,2.0,,,1.0,
81,72583,25,2.66,False,4.75,P. Henrique,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,0.0,pedro-henrique,10,,2,5,264,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,Corinthians,1.0,4.0,6.0,2.0,7.0,8.0,,1.0,,,1.0,4.0,,,,,,,,
82,72595,25,0.0,False,3.0,M. Kozlinski,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,0.0,mauricio-kozlinski,0,,6,1,356,Maurício Kozlinski,Maurício Kozlinski,Fortaleza,,,,,,,,,,,,,,,,,,,,
