,atletas.variacao_num,atletas.jogos_num,atletas.status_id,atletas.nome,atletas.apelido,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.clube_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.media_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.slug,atletas.atleta_id,CA,DS,FC,FF,FS,G,I,SG,A,CV,FD,DE,GS,FT,DP,PC,PP,PS,V,GC
19,0.0,6,7,Christian Chagas Tarouco,Titi,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,3.57,356,Fortaleza,Titi,0.0,1.6,False,3,,titi,50353,1.0,4.0,9.0,2.0,4.0,,1.0,1.0,,,,,,,,,,,,
20,0.37,7,7,Walter Leandro Capeloza Artune,Walter,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,4.33,1371,Cuiabá,Walter,5.0,2.0,True,1,,walter,51413,,,,,,,,1.0,,,,22.0,13.0,,,,,,,
21,-0.25,8,7,Everton Augusto de Barros Ribeiro,Everton Ribeiro,9,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,9.81,265,Bahia,E. Ribeiro,6.0,5.23,True,4,,everton-ribeiro,51772,1.0,16.0,7.0,3.0,12.0,,1.0,,3.0,,2.0,,,,,,,,,
22,0.0,4,7,Fernando Francisco Reges,Fernando,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,6.48,285,Internacional,Fernando,0.0,2.73,False,4,,fernando,52271,2.0,4.0,3.0,,2.0,1.0,,,,,,,,,,,,,,
23,-1.26,3,7,David Luiz Moreira Marinho,David Luiz,9,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,6.67,262,Flamengo,D. Luiz,-1.3,2.93,True,3,,david-luiz,52827,,,4.0,,,1.0,,,,,,,,1.0,,1.0,,,,
24,0.0,1,5,Leonardo Gamalho de Souza,Léo Gamalho,9,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,4.11,287,Vitória,L. Gamalho,0.0,0.0,False,5,,leo-gamalho,53865,,,,,,,,,,,,,,,,,,,,
25,0.0,0,5,Renan dos Santos,Renan,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,4.0,286,Juventude,Renan,0.0,0.0,False,1,,renan,60795,,,,,,,,,,,,,,,,,,,,
26,0.0,1,6,Neuciano de Jesus Gusmão,Cicinho,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,5.62,265,Bahia,Cicinho,0.0,5.2,False,2,,cicinho,61106,,,1.0,,1.0,,,1.0,,,,,,,,,,,,
27,-0.79,4,6,Gilberto Oliveira Souza Júnior,Gilberto,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,3.48,286,Juventude,Gilberto,-0.8,0.03,True,5,,gilberto,61188,,,4.0,2.0,,,3.0,,,,,,,,,,,,,
28,-0.85,2,7,Fabrício Barros Santana,Fabrício,9,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,4.82,285,Internacional,Fabrício,0.0,5.0,True,1,,fabricio,61228,,,,,,,,1.0,,,,7.0,2.0,,,,,,,
29,0.0,5,6,Douglas Costa de Souza,Douglas Costa,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,4.72,266,Fluminense,D. Costa,0.0,1.56,False,5,,douglas-costa,62020,,4.0,3.0,,3.0,,,,,,2.0,,,,,,,,,
30,1.15,7,3,Paulo Henrique Chagas de Lima,Ganso,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,8.39,266,Fluminense,Ganso,7.9,3.89,True,4,,ganso,62977,5.0,4.0,7.0,,7.0,2.0,,,2.0,,,,,,,,,,,
31,0.26,7,7,Marcos Luis Rocha Aquino,Marcos Rocha,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7.43,275,Palmeiras,M. Rocha,6.1,4.21,True,2,,marcos-rocha,63013,,4.0,6.0,,3.0,,,5.0,,,,,,,,,,,,
32,-0.15,4,7,Alan Luciano Ruschel,Alan Ruschel,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,3.64,286,Juventude,A. Ruschel,2.1,1.65,True,2,,alan-ruschel,63110,,5.0,8.0,,6.0,,,,,,,,,,,,,,,
33,-1.41,4,6,Edenílson Andrade dos Santos,Edenílson,9,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,5.51,284,Grêmio,Edenílson,0.0,2.27,True,4,,edenilson,63289,,,3.0,,4.0,1.0,,,,,,,,,,,,,,
34,0.0,2,5,Alan Patrick Lourenço,Alan Patrick,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,12.34,285,Internacional,A. Patrick,0.0,-0.55,False,4,,alan-patrick,68685,1.0,,2.0,,1.0,,,,,,,,,,,,,,,
35,-0.36,3,6,Carlos Eduardo de Oliveira Alves,Eduardo,9,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,7.1,263,Botafogo,Eduardo,0.5,0.1,True,4,,eduardo,68708,,,2.0,,2.0,,1.0,,,,,,,,,,,,,
36,0.0,0,6,Marcelo Lomba do Nascimento,Marcelo Lomba,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6.0,275,Palmeiras,M. Lomba,0.0,0.0,False,1,,marcelo-lomba,68872,,,,,,,,,,,,,,,,,,,,
37,0.0,0,6,Eduardo Pereira Rodrigues,Dudu,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,10.0,275,Palmeiras,Dudu,0.0,0.0,False,5,,dudu,68920,,,,,,,,,,,,,,,,,,,,
38,0.0,7,6,Rafael Pires Monteiro,Rafael,9,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,7.52,276,São Paulo,Rafael,0.0,3.0,False,1,,rafael,68928,,,,,,,,3.0,,,,12.0,6.0,,,,,,,
39,0.0,3,7,Rafael Cabral Barbosa,Rafael Cabral,9,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,6.43,284,Grêmio,R. Cabral,0.0,1.33,False,1,,rafael-cabral,68940,,,,,,,,,,,,9.0,5.0,,,,,,,
