,atletas.foto,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.pontos_num,atletas.slug,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.rodada_id,atletas.preco_num,atletas.clube_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,FT,CV,PS,PC,PP,DP,V,GC
19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,18,1,Walter Leandro Capeloza Artune,2.0,walter,0.19,Walter,Walter,,True,Cuiabá,7,51413,3.2,23,4.92,1371,,,,,,,1.0,,,3.0,68.0,26.0,,,,,,,,
20,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,21,4,Everton Augusto de Barros Ribeiro,-0.3,everton-ribeiro,-1.43,E. Ribeiro,Everton Ribeiro,,True,Bahia,7,51772,4.09,23,7.91,265,4.0,1.0,30.0,16.0,4.0,7.0,35.0,1.0,1.0,,,,,,,,,,,
21,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,10,4,Fernando Francisco Reges,1.2,fernando,-0.01,Fernando,Fernando,,True,Internacional,6,52271,1.7,23,5.02,285,,3.0,11.0,8.0,,,3.0,1.0,2.0,,,,,,,,,,,
22,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,14,3,David Luiz Moreira Marinho,2.6,david-luiz,0.29,D. Luiz,David Luiz,,True,Flamengo,6,52827,2.58,23,5.96,262,,3.0,4.0,11.0,3.0,5.0,4.0,2.0,,2.0,,,1.0,,,1.0,,,,
23,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,1,4,Alex Teixeira Santos,0.0,alex-teixeira,0.0,A. Teixeira,Alex Teixeira,,False,Vasco,6,60793,0.5,23,4.69,267,,,,,,,1.0,,,,,,,,,,,,,
24,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,0,1,Renan dos Santos,0.0,renan,0.0,Renan,Renan,,False,Juventude,5,60795,0.0,23,4.0,286,,,,,,,,,,,,,,,,,,,,
25,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,3,4,Josef de Souza Dias,0.9,souza,-0.53,Souza,Souza,,True,Vasco,6,60803,0.43,23,5.08,267,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,
26,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,4,2,Neuciano de Jesus Gusmão,0.0,cicinho,0.0,Cicinho,Cicinho,,False,Bahia,6,61106,1.57,23,4.17,265,,,1.0,3.0,,,2.0,,,1.0,,,,,,,,,,
27,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,13,5,Gilberto Oliveira Souza Júnior,0.0,gilberto,0.0,Gilberto,Gilberto,,False,Juventude,6,61188,1.78,23,3.61,286,,1.0,4.0,8.0,4.0,8.0,6.0,1.0,4.0,,,,,,,,,,,
28,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,8,1,Fabrício Barros Santana,0.0,fabricio,0.0,Fabrício,Fabrício,,False,Internacional,6,61228,4.13,23,5.96,285,,,,,,,,,,3.0,26.0,8.0,,,,,,,,
29,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,18,4,Paulo Henrique Chagas de Lima,0.0,ganso,0.0,Ganso,Ganso,,False,Fluminense,7,62977,3.52,23,6.87,266,3.0,8.0,14.0,10.0,5.0,2.0,22.0,3.0,,,,,,,,,,,,
30,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,17,2,Marcos Luis Rocha Aquino,-0.4,marcos-rocha,-0.91,M. Rocha,Marcos Rocha,,True,Palmeiras,6,63013,4.2,23,6.58,275,1.0,1.0,22.0,12.0,,2.0,6.0,,1.0,8.0,,,,,,,,,,
