,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
18,24,Walter Leandro Capeloza Artune,Walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,7,8.0,51413,29,Walter,1371,3.36,,0.49,5.82,True,Cuiabá,1,walter,,1.0,,,,,,1.0,,,,,,92.0,36.0,5.0,,,,
19,26,Everton Augusto de Barros Ribeiro,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,7,0.0,51772,29,E. Ribeiro,265,4.3,,0.0,8.67,False,Bahia,4,everton-ribeiro,4.0,2.0,,42.0,26.0,5.0,7.0,48.0,,2.0,1.0,,,,,,,,,
20,14,Fernando Francisco Reges,Fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,6,0.0,52271,29,Fernando,285,2.32,,0.0,5.53,False,Internacional,4,fernando,,4.0,,22.0,13.0,,1.0,5.0,1.0,1.0,2.0,,,,,,,,,
21,18,David Luiz Moreira Marinho,David Luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,6,0.0,52827,29,D. Luiz,262,2.44,,0.0,5.91,False,Flamengo,3,david-luiz,,4.0,,7.0,18.0,3.0,6.0,7.0,1.0,2.0,,,,,,3.0,,1.0,,
22,1,Alex Teixeira Santos,Alex Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,6,0.0,60793,29,A. Teixeira,267,0.5,,0.0,4.69,False,Vasco,4,alex-teixeira,,,,,,,,1.0,,,,,,,,,,,,
23,4,Josef de Souza Dias,Souza,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,3,-3.3,60803,29,Souza,267,-0.5,,-1.51,3.57,True,Vasco,4,souza,,1.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,
24,4,Neuciano de Jesus Gusmão,Cicinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,6,-1.0,61106,29,Cicinho,265,1.32,,0.15,4.32,False,Bahia,2,cicinho,,1.0,,1.0,3.0,,,2.0,,,,,,,,1.0,,,,
25,17,Gilberto Oliveira Souza Júnior,Gilberto,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,3,5.9,61188,29,Gilberto,286,2.09,,0.85,4.38,True,Juventude,5,gilberto,1.0,3.0,,6.0,15.0,6.0,10.0,10.0,1.0,1.0,4.0,,,,,,,,,
26,8,Fabrício Barros Santana,Fabrício,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,6,0.0,61228,29,Fabrício,285,4.13,,0.0,5.96,False,Internacional,1,fabricio,,,,,,,,,,,,,,26.0,8.0,3.0,,,,
27,2,Alex Sandro Lobo Silva,Alex Sandro,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,2,0.0,61987,29,A. Sandro,262,3.45,,0.0,8.31,False,Flamengo,2,alex-sandro,,,,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,,,
28,24,Paulo Henrique Chagas de Lima,Ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,7,6.1,62977,29,Ganso,266,3.52,,0.47,7.43,True,Fluminense,4,ganso,5.0,9.0,,23.0,17.0,5.0,3.0,28.0,,3.0,1.0,,,,,,,,,
29,21,Marcos Luis Rocha Aquino,Marcos Rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,6,10.0,63013,29,M. Rocha,275,4.98,,0.18,8.39,True,Palmeiras,2,marcos-rocha,2.0,2.0,,30.0,18.0,,2.0,9.0,,,1.0,,,,,12.0,,,,
30,18,Alan Luciano Ruschel,Alan Ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,7,7.2,63110,29,A. Ruschel,286,3.71,,1.02,5.63,True,Juventude,2,alan-ruschel,1.0,2.0,1.0,34.0,21.0,,3.0,24.0,,1.0,,,,,,2.0,,,,
31,20,Edenílson Andrade dos Santos,Edenílson,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,7,0.9,63289,29,Edenílson,284,1.87,,-0.19,4.16,True,Grêmio,4,edenilson,1.0,3.0,,9.0,14.0,5.0,3.0,20.0,1.0,1.0,3.0,,,,,,,,,
32,13,Alan Patrick Lourenço,Alan Patrick,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,7,5.8,68685,29,A. Patrick,285,5.19,,-1.32,10.59,True,Internacional,4,alan-patrick,2.0,3.0,,12.0,15.0,7.0,9.0,14.0,,4.0,,1.0,,,,,,,,
33,10,Carlos Eduardo de Oliveira Alves,Eduardo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,6,0.0,68708,29,Eduardo,263,3.2,,0.0,6.26,False,Botafogo,4,eduardo,1.0,1.0,,6.0,8.0,3.0,4.0,9.0,,2.0,1.0,1.0,,,,,,,,
34,1,Marcelo Lomba do Nascimento,Marcelo Lomba,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6,0.0,68872,29,M. Lomba,275,-1.0,,0.0,4.99,False,Palmeiras,1,marcelo-lomba,,,,,,,,,,,,,,1.0,2.0,,,,,
35,7,Philippe Coutinho Correia,Philippe Coutinho,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,7,0.0,68899,29,P. Coutinho,267,2.25,,-0.51,5.67,True,Vasco,4,philippe-coutinho,,,,4.0,5.0,1.0,1.0,5.0,,1.0,,,,,,,,,,
36,12,Eduardo Pereira Rodrigues,Dudu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,6,2.0,68920,29,Dudu,275,1.36,,-0.1,5.6,True,Palmeiras,5,dudu,,,,3.0,3.0,5.0,2.0,10.0,,,,,1.0,,,,,,,
37,17,Rafael Pires Monteiro,Rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,7,-1.0,68928,29,Rafael,276,2.88,,-0.54,5.95,True,São Paulo,1,rafael,,1.0,,,,,,,,,,,,38.0,18.0,6.0,,,,
38,6,Rafael Cabral Barbosa,Rafael Cabral,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,6,0.0,68940,29,R. Cabral,284,2.08,,-1.46,5.34,True,Grêmio,1,rafael-cabral,,,,,,,,1.0,,,,,,15.0,8.0,1.0,,,,
39,14,Mário Sérgio Santos Costa,Marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,2,0.0,68952,29,Marinho,356,4.32,,0.0,5.78,False,Fortaleza,5,marinho,1.0,3.0,,15.0,20.0,6.0,12.0,29.0,,2.0,8.0,,,,,,,,,
40,20,Marcos Gabriel do Nascimento,Marquinhos Gabriel,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,6,0.0,68954,29,M. Gabriel,288,1.03,,-0.61,2.79,True,Criciúma,4,marquinhos-gabriel,,3.0,,9.0,7.0,4.0,6.0,11.0,,,3.0,,,,,,,,,
