,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
76,0,Felipe Alves Raymundo,Felipe Alves,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,6,0.0,72372,29,F. Alves,266,0.0,,0.0,5.0,False,Fluminense,1,felipe-alves,,,,,,,,,,,,,,,,,,,,
77,12,Fernando Diniz Silva,Fernando Diniz,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,7,4.05,72391,29,F. Diniz,283,3.58,,-0.08,8.66,True,Cruzeiro,6,fernando-diniz,,,,,,,,,,,,,,,,,1.0,,,
78,10,Bernard Anício Caldeira Duarte,Bernard,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,5,0.0,72460,29,Bernard,282,1.07,,0.0,5.86,False,Atlético-MG,4,bernard,,1.0,,7.0,14.0,,2.0,6.0,1.0,,1.0,,,,,,,,,
79,4,Alex Nicolao Telles,Alex Telles,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,7,7.3,72493,29,A. Telles,263,4.95,,0.23,8.56,True,Botafogo,2,alex-telles,,,,2.0,3.0,1.0,2.0,1.0,,,,,,,,3.0,,,,
80,2,Gustavo Campanharo,Gustavo Campanharo,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,6,0.0,72497,29,G. Campanharo,373,1.0,,0.0,4.51,False,Atlético-GO,4,gustavo-campanharo,,,,1.0,,,1.0,,,,,,,,,,,,,
81,19,Magno José da Silva,Maguinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,6,0.0,72532,29,Maguinho,373,2.4,,0.0,4.43,False,Atlético-GO,2,maguinho,1.0,2.0,1.0,20.0,20.0,3.0,6.0,11.0,,,2.0,,1.0,,,3.0,,2.0,,
82,10,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,6,0.0,72583,29,P. Henrique,264,2.56,,0.0,4.69,False,Corinthians,5,pedro-henrique,1.0,2.0,,4.0,6.0,2.0,7.0,8.0,,1.0,4.0,,,,,,,,,
83,0,Maurício Kozlinski,Maurício Kozlinski,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,6,0.0,72595,29,M. Kozlinski,356,0.0,,0.0,3.0,False,Fortaleza,1,mauricio-kozlinski,,,,,,,,,,,,,,,,,,,,
84,1,Vitor Hugo Franchescoli de Souza,Vitor Hugo,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,6,0.0,72605,29,V. Hugo,265,0.0,,0.0,3.58,False,Bahia,3,vitor-hugo,,,,,,,,,,,,,,,,,,,,
85,18,Fernando Luiz Rosa,Fernandinho,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,5,0.0,72775,29,Fernandinho,293,3.38,,0.0,6.77,False,Athlético-PR,4,fernandinho,3.0,6.0,,18.0,28.0,8.0,4.0,20.0,,2.0,1.0,,,,,,,,,
86,10,Wílker José Ángel Romero,Wilker Ángel,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,5,0.0,72801,29,W. Ángel,288,1.86,,0.0,2.78,False,Criciúma,3,wilker-angel,,2.0,,7.0,17.0,2.0,,4.0,,1.0,1.0,,,,,1.0,,,,
87,14,Gabriel Iván Mercado,Mercado,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,5,0.0,72951,29,Mercado,285,3.15,,0.0,4.98,False,Internacional,3,mercado,,5.0,,9.0,7.0,,1.0,3.0,,1.0,,,,,,6.0,,,,
88,21,Samuel Xavier Brito,Samuel Xavier,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,7,4.9,73384,29,S. Xavier,266,4.36,,0.23,6.52,True,Fluminense,2,samuel-xavier,2.0,3.0,,25.0,25.0,4.0,5.0,37.0,,,2.0,,,,,7.0,,,,
89,18,Bruno Fabiano Alves,Bruno Alves,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,7,14.2,73620,29,B. Alves,1371,3.02,,2.1,5.98,True,Cuiabá,3,bruno-alves,,1.0,,16.0,11.0,3.0,2.0,12.0,,1.0,,,,,,4.0,,,,
90,2,Rodrigo Caio Coquette Russo,Rodrigo Caio,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,2,0.0,73800,29,R. Caio,284,2.2,,0.0,5.98,False,Grêmio,3,rodrigo-caio,,,,3.0,,,1.0,2.0,,,,,,,,,,1.0,,
91,11,Walisson Moreira Farias Maia,Walisson Maia,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,6,0.0,73991,29,W. Maia,288,1.63,,0.0,3.19,False,Criciúma,3,walisson-maia,1.0,2.0,,5.0,9.0,,2.0,2.0,,,,,,,,2.0,,1.0,,
92,3,Roberto Junior Fernández Torres,Gatito Fernández,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,6,0.0,74061,29,G. Fernández,263,2.0,,0.0,6.82,False,Botafogo,1,gatito-fernandez,,1.0,,,,,,,,,,,,6.0,4.0,1.0,,,,
93,7,Joel Nathaniel Campbell Samuels,Campbell,https://s.sde.globo.com/media/person_role/2024/07/17/photo_FORMATO_WdH8RPs.png,6,2.4,74157,29,Campbell,373,4.22,,0.06,8.07,True,Atlético-GO,5,campbell,,3.0,,7.0,2.0,1.0,5.0,7.0,,2.0,,,,,,,,,,
94,4,André Martín Carrillo Díaz,Carrillo,https://s.sde.globo.com/media/person_role/2024/09/10/photo_FORMATO.png,6,2.8,77485,29,Carrillo,264,3.08,,-0.75,6.43,True,Corinthians,4,carrillo,1.0,1.0,,8.0,6.0,,,1.0,,,,,,,,,,,,
95,2,Jorge de Moura Xavier,Jorginho,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,5,0.0,77544,29,Jorginho,373,3.95,,0.0,5.5,False,Atlético-GO,4,jorginho,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,
96,17,Madson Ferreira dos Santos,Madson,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,3,-0.5,78077,29,Madson,293,2.02,,-0.38,3.85,True,Athlético-PR,2,madson,1.0,3.0,,6.0,6.0,,2.0,11.0,,,1.0,,,,,4.0,,,,
97,27,Everaldo Stum,Everaldo,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,7,0.2,78117,29,Everaldo,265,4.87,,-0.43,7.08,True,Bahia,5,everaldo,2.0,4.0,,15.0,27.0,16.0,13.0,27.0,3.0,8.0,4.0,,,,,,,,,
98,12,Gustavo Henrique Vernes,Gustavo Henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,6,1.7,78248,29,G. Henrique,264,1.08,,0.13,5.07,True,Corinthians,3,gustavo-henrique,,4.0,1.0,5.0,11.0,1.0,5.0,4.0,,,,,,,,2.0,,,,
99,13,Renê Rodrigues Martins,Renê,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,6,0.0,78445,29,Renê,285,5.21,,0.0,8.77,False,Internacional,2,rene,1.0,2.0,,24.0,11.0,3.0,4.0,15.0,,,,,,,,5.0,,,,
100,25,Cláudio Tencati,Cláudio Tencati,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,7,9.8,78450,29,C. Tencati,288,4.4,,1.0,7.23,True,Criciúma,6,claudio-tencati,,,,,,,,,,,,,,,,,7.0,,,
101,14,Jean Mota Oliveira de Sousa,Jean Mota,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,6,0.0,78548,29,J. Mota,287,1.28,,0.0,3.13,False,Vitória,4,jean-mota,,,,2.0,6.0,2.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,
102,18,Jonathan Renato Barbosa,Jonathan Cafu,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,2,2.4,78580,29,J. Cafu,1371,1.83,,0.39,3.55,True,Cuiabá,5,jonathan-cafu,,,,10.0,13.0,4.0,4.0,18.0,,1.0,1.0,,,,,,,,,
103,13,Gabriel Girotto Franco,Gabriel,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,6,4.9,78605,29,Gabriel,293,3.69,,0.56,5.66,True,Athlético-PR,4,gabriel,,3.0,,30.0,15.0,1.0,6.0,11.0,,1.0,,,,,,,,,,
104,20,Ramiro Moschen Benetti,Ramiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,6,0.0,78715,29,Ramiro,283,1.62,,0.0,3.24,False,Cruzeiro,4,ramiro,,2.0,,20.0,19.0,1.0,4.0,8.0,,1.0,1.0,,,,,,,,,
105,19,Reinaldo Manoel da Silva,Reinaldo,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,7,1.3,78850,29,Reinaldo,284,4.81,,-0.8,7.63,True,Grêmio,2,reinaldo,,2.0,,15.0,12.0,15.0,9.0,16.0,,2.0,1.0,,,,,6.0,,,,
106,18,Thiago dos Santos,Thiago Santos,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,7,11.7,78855,29,T. Santos,266,3.44,,1.75,5.03,True,Fluminense,3,thiago-santos,,7.0,,21.0,20.0,4.0,3.0,17.0,,,,,,,,7.0,,1.0,,
107,12,Luiz Felipe do Nascimento dos Santos,Luiz Felipe,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,6,0.0,79035,29,L. Felipe,373,2.44,,0.0,3.59,False,Atlético-GO,3,luiz-felipe,,3.0,1.0,13.0,11.0,1.0,4.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,
108,6,Víctor Leandro Cuesta,Víctor Cuesta,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,6,0.0,79113,29,V. Cuesta,265,1.08,,0.0,3.48,False,Bahia,3,victor-cuesta,,3.0,,7.0,7.0,,1.0,5.0,,,1.0,,,,,,,,,
109,10,Filipe Augusto Carvalho Souza,Filipe Augusto,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,6,0.0,79268,29,F. Augusto,1371,0.07,,0.0,1.18,False,Cuiabá,4,filipe-augusto,,4.0,,4.0,12.0,1.0,1.0,3.0,,,,,,,,,,,,
110,25,Roger Machado Marques,Roger Machado,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,7,4.38,79437,29,R. Machado,285,5.16,,-0.25,7.48,True,Internacional,6,roger-machado,,,,,,,,,,,,,,,,,9.0,,,
111,16,Germán Ezequiel Cano,Cano,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,6,0.0,79631,29,Cano,266,2.26,,0.0,6.87,False,Fluminense,5,cano,,3.0,1.0,4.0,6.0,14.0,11.0,5.0,1.0,1.0,1.0,,,,,,,,,
112,22,Lucas Silva Borges,Lucas Silva,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,6,0.0,79701,29,L. Silva,283,1.08,,0.0,3.57,False,Cruzeiro,4,lucas-silva,,3.0,,8.0,15.0,4.0,7.0,15.0,,1.0,,,,,,,,1.0,,1.0
113,13,Antônio Carlos Cunha Capocasali Júnior,Antônio Carlos,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,6,0.0,79702,29,A. Carlos,266,1.72,,0.0,2.84,False,Fluminense,3,antonio-carlos,,1.0,,6.0,10.0,,4.0,12.0,,,1.0,,,,,2.0,,,,
114,22,Jadson Alves dos Santos,Jadson,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,7,3.5,80129,29,Jadson,286,4.75,,-0.07,8.52,True,Juventude,4,jadson,5.0,9.0,1.0,48.0,27.0,4.0,9.0,44.0,,1.0,2.0,,,,,,,,,
115,23,Glaybson Yago Souza Lisboa,Yago Pikachu,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,2,5.5,80196,29,Y. Pikachu,356,3.3,,0.58,5.39,True,Fortaleza,4,yago-pikachu,4.0,5.0,,17.0,10.0,3.0,11.0,31.0,,2.0,3.0,,,,,,,,,
116,8,Rafael da Silva,Rafa Silva,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,6,0.0,80225,29,R. Silva,283,4.04,,0.0,5.88,False,Cruzeiro,5,rafa-silva,,2.0,,4.0,6.0,4.0,1.0,4.0,,3.0,3.0,,,,,,,,,
117,23,Luciano da Rocha Neves,Luciano,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,7,2.5,80287,29,Luciano,276,5.43,,0.12,9.84,True,São Paulo,5,luciano,1.0,10.0,1.0,17.0,24.0,14.0,18.0,31.0,4.0,8.0,4.0,1.0,1.0,,,,,,,
118,12,Gilberto Moraes Júnior,Gilberto,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,7,0.0,80313,29,Gilberto,265,3.97,,0.0,6.95,False,Bahia,2,gilberto,,1.0,,17.0,10.0,2.0,5.0,14.0,,1.0,1.0,,,,,2.0,,,,
119,22,Arthur Caíke do Nascimento Cruz,Arthur Caíke,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,7,0.0,80337,29,A. Caíke,288,2.77,,0.0,3.79,False,Criciúma,5,arthur-caike,,3.0,,4.0,19.0,6.0,16.0,22.0,1.0,4.0,12.0,,,,,,,,,
120,9,Pedro Tonon Geromel,Pedro Geromel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,2,2.5,80853,29,P. Geromel,284,2.59,,0.01,5.37,True,Grêmio,3,pedro-geromel,,3.0,,5.0,2.0,1.0,4.0,3.0,,,,,,,,3.0,,,,
121,0,Jair Rodrigues Júnior,Jair,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,6,0.0,81091,29,Jair,267,0.0,,0.0,4.0,False,Vasco,4,jair,,,,,,,,,,,,,,,,,,,,
122,17,Mayke Rocha de Oliveira,Mayke,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,5,0.0,81150,29,Mayke,275,4.66,,0.0,8.37,False,Palmeiras,2,mayke,,3.0,,24.0,12.0,,1.0,7.0,,1.0,2.0,,,,,9.0,,,,
123,11,Rosicley Pereira da Silva,Rossi,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,6,0.0,81798,29,Rossi,267,1.66,,0.0,4.06,False,Vasco,5,rossi,1.0,3.0,,12.0,9.0,,1.0,8.0,,,2.0,,,,,,,,,
124,16,Alisson Euler de Freitas Castro,Alisson,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,5,0.0,81845,29,Alisson,276,3.59,,0.0,6.88,False,São Paulo,4,alisson,2.0,4.0,,25.0,21.0,4.0,2.0,27.0,,1.0,,,,,,,,,,
125,27,João Ricardo Riedi,João Ricardo,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,7,-1.0,81881,29,J. Ricardo,356,4.8,,-1.01,7.51,True,Fortaleza,1,joao-ricardo,,2.0,,1.0,,,,2.0,,,,,,110.0,26.0,9.0,,,,
126,26,Willian Osmar de Oliveira Silva,Willian Oliveira,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,6,2.4,81952,29,W. Oliveira,287,4.58,,-0.06,7.42,True,Vitória,4,willian-oliveira,1.0,5.0,,42.0,30.0,7.0,14.0,32.0,,5.0,,,2.0,,,,,,,
127,2,Ivan Ricardo Neves Abreu Cavaleiro,Cavaleiro,https://s.sde.globo.com/media/person_role/2015/08/18/87400d05b54fad3fbdebe823f0d1160b_220x220.png,7,-1.3,81965,29,Cavaleiro,280,0.55,,-0.97,3.51,True,Bragantino,5,cavaleiro,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
128,14,José Rafael Vivian,Zé Rafael,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,6,0.0,82455,29,Z. Rafael,275,1.81,,0.0,4.65,False,Palmeiras,4,ze-rafael,2.0,6.0,1.0,15.0,27.0,2.0,3.0,17.0,,,,,1.0,,,,,,,
129,16,Otávio Henrique Passos Santos,Otávio,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,7,3.8,82463,29,Otávio,282,2.99,,0.4,5.56,True,Atlético-MG,4,otavio,,1.0,,35.0,20.0,2.0,5.0,13.0,,,,,,,,,,,,
130,23,Luiz de Araújo Guimarães Neto,Luiz Araújo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,5,0.0,82627,29,L. Araújo,262,5.54,,0.0,8.3,False,Flamengo,5,luiz-araujo,5.0,3.0,,35.0,23.0,13.0,17.0,30.0,1.0,3.0,2.0,,,,,,,,,
131,22,Guilherme de Jesus da Silva,Tinga,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,7,0.0,82628,29,Tinga,356,3.54,,0.0,5.55,False,Fortaleza,2,tinga,,1.0,,26.0,13.0,,4.0,7.0,1.0,1.0,,,,,,7.0,,1.0,,
132,23,Marcelo Gazella Hermes,Marcelo Hermes,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,7,6.8,82639,29,M. Hermes,288,3.35,,0.79,5.9,True,Criciúma,2,marcelo-hermes,2.0,4.0,,26.0,22.0,5.0,9.0,11.0,,1.0,1.0,,,,,4.0,,,,
133,19,Wellington Soares da Silva,Wellington Rato,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,7,0.5,82766,29,W. Rato,276,2.01,,-1.16,5.66,True,São Paulo,4,wellington-rato,3.0,1.0,,6.0,8.0,4.0,8.0,17.0,,,3.0,,,,,,,,,
134,14,Gabriel Barbosa Almeida,Gabriel,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,7,1.8,83257,29,Gabriel,262,2.36,,-0.13,6.11,True,Flamengo,5,gabriel,1.0,2.0,,2.0,1.0,5.0,5.0,5.0,,2.0,7.0,,,,,,,,,
135,22,Leonardo Pereira,Léo Pereira,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,7,4.5,83528,29,L. Pereira,262,2.02,,-0.18,5.91,True,Flamengo,3,leo-pereira,,5.0,,18.0,13.0,,2.0,12.0,,,1.0,,,,,5.0,,1.0,,
136,15,Hueglo dos Santos Neris,Neris,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_NM0hbTO.png,7,0.0,83786,29,Neris,287,2.48,,-0.54,4.05,True,Vitória,3,neris,,1.0,1.0,15.0,17.0,1.0,1.0,3.0,,,1.0,,,,,5.0,,,,
137,21,Clayson Henrique da Silva Vieira,Clayson,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,2,8.2,83817,29,Clayson,1371,2.47,,1.05,4.98,True,Cuiabá,5,clayson,,5.0,,10.0,11.0,6.0,8.0,20.0,,3.0,4.0,,1.0,,,,,,,
138,21,Francisco das Chagas Soares dos Santos Meireles,Tiquinho Soares,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,6,-1.3,84042,29,T. Soares,263,3.41,,-0.55,8.69,True,Botafogo,5,tiquinho-soares,3.0,4.0,,10.0,32.0,2.0,10.0,32.0,,4.0,2.0,,,,,,,,,
139,7,Jemerson de Jesus Nascimento,Jemerson,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,6,0.0,84263,29,Jemerson,284,4.04,,0.0,6.84,False,Grêmio,3,jemerson,,3.0,,3.0,10.0,,1.0,4.0,,1.0,1.0,,,,,4.0,,,,
140,4,Alisson Machado dos Santos,Alisson,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,6,0.0,84266,29,Alisson,288,0.87,,0.0,2.29,False,Criciúma,1,alisson,,2.0,,,,,,1.0,,,,,,9.0,4.0,,,,,
141,22,Fernando Pereira do Nascimento,Fernando Sobral,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,7,1.4,84428,29,F. Sobral,1371,2.89,,-0.18,5.02,True,Cuiabá,4,fernando-sobral,1.0,3.0,,31.0,14.0,3.0,9.0,20.0,,1.0,1.0,,,,,,,,,
142,24,Lucas Daniel Romero,Lucas Romero,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,7,2.8,84558,29,L. Romero,283,2.83,,-0.11,5.11,True,Cruzeiro,4,lucas-romero,2.0,4.0,1.0,47.0,33.0,3.0,6.0,20.0,,,,,,,,,,,,
143,20,Fellipe Mateus de Sena Araújo,Fellipe Mateus,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,7,10.0,84587,29,F. Mateus,288,4.13,,1.02,7.89,True,Criciúma,4,fellipe-mateus,,2.0,,22.0,16.0,9.0,8.0,40.0,1.0,3.0,2.0,,,,,,,1.0,,
144,20,Lucas Evangelista Santana de Oliveira,Lucas Evangelista,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,7,5.0,84674,29,L. Evangelista,280,3.58,,0.35,7.76,True,Bragantino,4,lucas-evangelista,1.0,3.0,,18.0,20.0,5.0,11.0,35.0,2.0,2.0,4.0,,,,,,,,,
145,12,Guillermo Varela Olivera,Varela,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,6,5.5,84816,29,Varela,262,3.9,,0.61,6.07,True,Flamengo,2,varela,,,,15.0,7.0,2.0,,17.0,,,1.0,,,,,4.0,,,,
146,14,Rafael Rogério da Silva,Rafael Ratão,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,6,0.0,84918,29,R. Ratão,265,2.14,,-0.18,4.17,True,Bahia,5,rafael-ratao,2.0,,,4.0,7.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,
147,27,Marcos Felipe de Freitas Monteiro,Marcos Felipe,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,7,3.0,85004,29,M. Felipe,265,4.18,,-0.41,7.18,True,Bahia,1,marcos-felipe,,2.0,,1.0,1.0,,,4.0,,,,,,90.0,30.0,9.0,,,1.0,
148,17,Óscar David Romero Villamayor,Óscar Romero,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,6,0.0,85034,29,Ã. Romero,263,3.44,,0.0,6.25,False,Botafogo,4,oscar-romero,3.0,5.0,,21.0,12.0,8.0,3.0,14.0,,1.0,,,,,,,,,,
149,3,Memphis Depay,Memphis Depay,https://s.sde.globo.com/media/person_role/2024/09/17/photo_FORMATO_bZqek6n.png,6,5.5,85048,29,M. Depay,264,3.17,,-0.15,11.14,True,Corinthians,5,memphis-depay,1.0,1.0,,,1.0,1.0,2.0,6.0,,,,,,,,,,,,
150,8,Alex Paulo Menezes Santana,Alex Santana,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,5,0.0,85465,29,A. Santana,264,1.57,,0.0,3.69,False,Corinthians,4,alex-santana,,4.0,,9.0,9.0,1.0,6.0,5.0,,,,,,,,,,,,
151,22,Leonardo Pinheiro da Conceição,Léo,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,7,0.0,85626,29,Léo,267,2.5,,0.0,3.63,False,Vasco,3,leo,,2.0,,23.0,15.0,2.0,2.0,10.0,,,1.0,,,,,5.0,,,,
152,10,Ricardo Ryller Ribeiro Lino Silva,Ricardo Ryller,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,6,6.1,85856,29,R. Ryller,287,2.54,,0.85,4.96,True,Vitória,4,ricardo-ryller,1.0,,,12.0,8.0,,3.0,12.0,,,,,,,,,,,,
153,10,Hyoran Kaue Dalmoro,Hyoran,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,6,0.0,85931,29,Hyoran,285,1.38,,0.0,3.83,False,Internacional,4,hyoran,,,,5.0,6.0,1.0,5.0,9.0,,,1.0,,,,,,,,,
154,5,Gustavo Affonso Sauerbeck,Gustavo Sauer,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_zFut1NF.png,7,0.5,85993,29,G. Sauer,1371,1.8,,-0.9,3.88,True,Cuiabá,4,gustavo-sauer,,,,5.0,2.0,1.0,,5.0,,,1.0,,,,,,,,,
155,22,Yannick Bolasie,Bolasie,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,7,0.3,86292,29,Bolasie,288,5.26,,-0.15,7.36,True,Criciúma,5,bolasie,3.0,3.0,,13.0,27.0,17.0,22.0,16.0,1.0,6.0,8.0,,,,,,,,,
156,0,Caio Henrique da Silva Dantas,Caio Dantas,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,6,0.0,86362,29,C. Dantas,287,0.0,,0.0,3.0,False,Vitória,5,caio-dantas,,,,,,,,,,,,,,,,,,,,
157,9,Victor Luis Chuab Zamblauskas,Victor Luis,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,6,0.0,86410,29,V. Luis,267,4.67,,0.0,6.57,False,Vasco,2,victor-luis,1.0,3.0,1.0,14.0,10.0,1.0,,10.0,,1.0,,,,,,3.0,,,,
158,19,Marcos da Silva França,Keno,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,3,7.2,86485,29,Keno,266,2.45,,0.81,5.88,True,Fluminense,5,keno,,3.0,,17.0,13.0,6.0,11.0,19.0,,1.0,3.0,,,,,,,,,
159,12,Jandrei Chitolina Carniel,Jandrei,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,6,0.0,86508,29,Jandrei,276,3.75,,0.0,5.73,False,São Paulo,1,jandrei,,,,,,,,8.0,,,,,,35.0,14.0,4.0,,,,
160,21,Rodrigo Fagundes de Freitas,Rodrigo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,7,15.1,86684,29,Rodrigo,288,3.91,,2.02,6.93,True,Criciúma,3,rodrigo,1.0,6.0,,36.0,19.0,2.0,2.0,10.0,1.0,2.0,2.0,,,,,4.0,,2.0,,
161,25,Danilo das Neves Pinheiro,Tchê Tchê,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,6,0.0,86686,29,T. Tchê,263,0.99,,-0.26,3.02,True,Botafogo,4,tche-tche,,2.0,1.0,13.0,14.0,5.0,6.0,15.0,,,,,,,,,,,,
