,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
90,Samuel Xavier,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,samuel-xavier,1,S. Xavier,1,266,2.0,6,2.0,,4.82,-0.18,2,73384,True,Samuel Xavier Brito,,,,,,,,,1.0,,,1.0,,,,,,,
91,Bruno Alves,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,bruno-alves,0,B. Alves,1,1371,0.0,6,0.0,,5.0,0.0,3,73620,False,Bruno Fabiano Alves,,,,,,,,,,,,,,,,,,,
92,Walisson Maia,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,walisson-maia,1,W. Maia,1,288,0.0,6,0.0,,3.29,-0.71,3,73991,True,Walisson Moreira Farias Maia,,,,,,,,,,,,,,,,,,,
93,Zapata,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,zapata,0,Zapata,1,287,0.0,6,0.0,,4.0,0.0,3,74028,False,Cristián Eduardo Zapata Valencia,,,,,,,,,,,,,,,,,,,
94,Gatito Fernández,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,gatito-fernandez,1,G. Fernández,1,263,0.0,7,0.0,,5.76,-1.24,1,74061,True,Roberto Junior Fernández Torres,3.0,3.0,,,,,,,,,,,,,,,,,
95,Madson,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,madson,0,Madson,1,293,0.0,6,0.0,,5.0,0.0,2,78077,False,Madson Ferreira dos Santos,,,,,,,,,,,,,,,,,,,
96,Everaldo,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,everaldo,1,Everaldo,1,265,-1.3,6,-1.3,,3.65,-1.35,5,78117,True,Everaldo Stum,,,1.0,,,,,1.0,,,,,,,,,,,
97,Gustavo Henrique,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,gustavo-henrique,1,G. Henrique,1,264,7.0,7,7.0,,9.87,0.87,3,78248,True,Gustavo Henrique Vernes,,,,1.0,1.0,,2.0,3.0,,,,,,,,,,,
98,Renê,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,rene,1,Renê,1,285,10.8,7,10.8,,7.92,2.92,2,78445,True,Renê Rodrigues Martins,,,,2.0,,,3.0,,,,,1.0,,,1.0,,,,
99,Cláudio Tencati,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,claudio-tencati,1,C. Tencati,1,288,3.37,7,3.37,,3.66,0.66,6,78450,True,Cláudio Tencati,,,,,,,,,,,,,,,,,,,
100,Jean Mota,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,jean-mota,1,J. Mota,1,287,0.0,6,0.0,,4.93,-1.07,4,78548,True,Jean Mota Oliveira de Sousa,,,,,,,,,,,,,,,,,,,
101,Jonathan Cafu,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,jonathan-cafu,1,J. Cafu,1,1371,0.5,6,0.5,,3.47,-0.53,5,78580,True,Jonathan Renato Barbosa,,,,1.0,,,,,,,,,,,,,,,
102,Gabriel,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_TYOXoug.png,gabriel,0,Gabriel,1,285,0.0,6,0.0,,5.0,0.0,4,78605,False,Gabriel Girotto Franco,,,,,,,,,,,,,,,,,,,
103,Ramiro,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,ramiro,1,Ramiro,1,283,1.4,7,1.4,,4.6,-0.4,4,78715,True,Ramiro Moschen Benetti,,,,1.0,,,1.0,1.0,,,,,,,,,,,
104,Reinaldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,reinaldo,0,Reinaldo,1,284,0.0,6,0.0,,7.0,0.0,2,78850,False,Reinaldo Manoel da Silva,,,,,,,,,,,,,,,,,,,
105,Thiago Santos,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,thiago-santos,0,T. Santos,1,266,0.0,5,0.0,,3.0,0.0,3,78855,False,Thiago dos Santos,,,,,,,,,,,,,,,,,,,
106,Luiz Felipe,Atlético-GO,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,luiz-felipe,1,L. Felipe,1,373,1.0,7,1.0,,2.82,-0.18,3,79035,True,Luiz Felipe do Nascimento dos Santos,,,,,,,,,,,,,,1.0,,,,,
107,Víctor Cuesta,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,victor-cuesta,1,V. Cuesta,1,265,1.6,6,1.6,,4.68,-0.32,3,79113,True,Víctor Leandro Cuesta,,,,2.0,,,1.0,2.0,,,,,,,,,,,
108,Filipe Augusto,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,filipe-augusto,1,F. Augusto,1,1371,-1.6,6,-1.6,,1.9,-1.1,4,79268,True,Filipe Augusto Carvalho Souza,,,1.0,,,,,2.0,,,,,,,,,,,
109,Roger Machado,Juventude,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,roger-machado,1,R. Machado,1,286,3.35,7,3.35,,4.47,0.47,6,79437,True,Roger Machado Marques,,,,,,,,,,,,,,,,,,,
110,Cano,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,cano,1,Cano,1,266,5.7,6,5.7,,11.88,-0.12,5,79631,True,Germán Ezequiel Cano,,,,1.0,,,,,2.0,,,3.0,,,,,,,
111,Lucas Silva,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,lucas-silva,1,L. Silva,1,283,8.9,7,8.9,,7.25,2.25,4,79701,True,Lucas Silva Borges,,,,,,1.0,1.0,1.0,,,,,,,,,,,
112,Antônio Carlos,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,antonio-carlos,0,A. Carlos,1,266,0.0,6,0.0,,3.0,0.0,3,79702,False,Antônio Carlos Cunha Capocasali Júnior,,,,,,,,,,,,,,,,,,,
113,Jadson,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,jadson,1,Jadson,1,286,10.0,7,10.0,,6.81,2.81,4,80129,True,Jadson Alves dos Santos,,,,1.0,,,3.0,1.0,,,,1.0,,,1.0,,,,
114,Yago Pikachu,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,yago-pikachu,1,Y. Pikachu,1,356,1.0,7,1.0,,5.29,-0.71,4,80196,True,Glaybson Yago Souza Lisboa,,,,2.0,,,,,,,,,,,,,,,
115,Rafa Silva,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,rafa-silva,1,R. Silva,1,283,9.6,7,9.6,,5.85,2.85,5,80225,True,Rafael da Silva,,,1.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,
116,Luciano,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,luciano,1,Luciano,1,276,2.1,7,2.1,,9.79,-1.21,5,80287,True,Luciano da Rocha Neves,,,1.0,2.0,,,,3.0,,,,,,,,,1.0,,
117,Gilberto,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,gilberto,0,Gilberto,1,265,0.0,6,0.0,,6.0,0.0,2,80313,False,Gilberto Moraes Júnior,,,,,,,,,,,,,,,,,,,
118,Arthur Caíke,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,arthur-caike,1,A. Caíke,1,288,0.0,2,0.0,,3.29,-0.71,5,80337,True,Arthur Caíke do Nascimento Cruz,,,,,,,,,,,,,,,,,,,
119,Marlon,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_ybJLR9Q.png,marlon,0,Marlon,1,266,0.0,5,0.0,,3.0,0.0,3,80538,False,Marlon Santos da Silva Barbosa,,,,,,,,,,,,,,,,,,,
120,Luan,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_EsqCrwr.png,luan,1,Luan,1,275,7.4,6,7.4,,6.72,1.72,3,80692,True,Luan Garcia Teixeira,,,,,1.0,,2.0,,,,,,,,,,,,
121,Pedro Geromel,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,pedro-geromel,0,P. Geromel,1,284,0.0,7,0.0,,6.0,0.0,3,80853,False,Pedro Tonon Geromel,,,,,,,,,,,,,,,,,,,
122,Jair,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,jair,0,Jair,1,267,0.0,5,0.0,,4.0,0.0,4,81091,False,Jair Rodrigues Júnior,,,,,,,,,,,,,,,,,,,
123,Mayke,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,mayke,1,Mayke,1,275,7.9,7,7.9,,8.54,1.54,2,81150,True,Mayke Rocha de Oliveira,,,1.0,,1.0,,4.0,3.0,,,,,,,,,,,
124,Hugo Mallo,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CBzQtxz.png,hugo-mallo,0,H. Mallo,1,285,0.0,6,0.0,,4.0,0.0,2,81551,False,Hugo Mallo Novegil,,,,,,,,,,,,,,,,,,,
125,Rossi,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,rossi,1,Rossi,1,267,6.8,7,6.8,,6.51,1.51,5,81798,True,Rosicley Pereira da Silva,,,1.0,2.0,,,2.0,2.0,,,,,,,1.0,,,,
126,Alisson,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,alisson,1,Alisson,1,276,1.9,7,1.9,,5.6,-0.4,4,81845,True,Alisson Euler de Freitas Castro,,,,2.0,,,,1.0,,,,1.0,,,,,,,
127,João Ricardo,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,joao-ricardo,1,J. Ricardo,1,356,4.0,7,4.0,,7.17,0.17,1,81881,True,João Ricardo Riedi,5.0,1.0,,,,,,,,,,,,,,,,,
128,Willian Oliveira,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,willian-oliveira,1,W. Oliveira,1,287,4.3,6,4.3,,4.8,0.8,4,81952,True,Willian Osmar de Oliveira Silva,,,,4.0,,,2.0,3.0,1.0,,,,,,,,,,
129,Zé Rafael,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,ze-rafael,0,Z. Rafael,1,275,0.0,6,0.0,,9.0,0.0,4,82455,False,José Rafael Vivian,,,,,,,,,,,,,,,,,,,
130,Otávio,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,otavio,1,Otávio,1,282,3.1,7,3.1,,5.2,0.2,4,82463,True,Otávio Henrique Passos Santos,,,,2.0,,,2.0,1.0,,,,,,,,,,,
131,Luiz Araújo,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,luiz-araujo,1,L. Araújo,1,262,1.6,6,1.6,,6.32,-0.68,5,82627,True,Luiz de Araújo Guimarães Neto,,,,2.0,,,1.0,2.0,,,,,,,,,,,
132,Tinga,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,tinga,1,Tinga,1,356,0.0,7,0.0,,4.11,-0.89,2,82628,True,Guilherme de Jesus da Silva,,,,,,,,,,,,,,,,,,,
133,Marcelo Hermes,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,marcelo-hermes,1,M. Hermes,1,288,7.0,7,7.0,,4.93,1.93,2,82639,True,Marcelo Gazella Hermes,,,,,,,1.0,,1.0,,,,,,1.0,,,,
134,Wellington Rato,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,wellington-rato,0,W. Rato,1,276,0.0,5,0.0,,12.0,0.0,4,82766,False,Wellington Soares da Silva,,,,,,,,,,,,,,,,,,,
135,Gabriel,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,gabriel,0,Gabriel,1,262,0.0,3,0.0,,9.0,0.0,5,83257,False,Gabriel Barbosa Almeida,,,,,,,,,,,,,,,,,,,
136,Patrick,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,patrick,0,Patrick,1,282,0.0,5,0.0,,6.0,0.0,4,83433,False,Patrick Bezerra do Nascimento,,,,,,,,,,,,,,,,,,,
137,Léo Pereira,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,leo-pereira,1,L. Pereira,1,262,-1.2,7,-1.2,,8.62,-2.38,3,83528,True,Leonardo Pereira,,,1.0,,,,,,1.0,,,,1.0,,,,,,
138,Neris,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,neris,1,Neris,1,283,4.5,7,4.5,,4.87,0.87,3,83786,True,Hueglo dos Santos Neris,,,,,,,3.0,1.0,,,,1.0,,,,,,,
139,Clayson,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,clayson,1,Clayson,1,1371,0.0,6,0.0,,4.93,-1.07,5,83817,True,Clayson Henrique da Silva Vieira,,,,,,,,,,,,,,,,,,,
140,Tiquinho Soares,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,tiquinho-soares,1,T. Soares,1,263,9.0,7,9.0,,14.68,0.68,5,84042,True,Francisco das Chagas Soares dos Santos Meireles,,,,2.0,,1.0,,,,,,,,,,,,,
141,Jemerson,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,jemerson,1,Jemerson,1,282,4.2,7,4.2,,5.59,0.59,3,84263,True,Jemerson de Jesus Nascimento,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
142,Alisson,Criciúma,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,alisson,1,Alisson,1,288,2.0,7,2.0,,2.35,0.35,1,84266,True,Alisson Machado dos Santos,3.0,1.0,,,,,,,,,,,,,,,,,
143,Fernando Sobral,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,fernando-sobral,1,F. Sobral,1,1371,2.4,6,2.4,,4.96,-0.04,4,84428,True,Fernando Pereira do Nascimento,,,,,,,2.0,,,,,,,,,,,,
144,Lucas Romero,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,lucas-romero,1,L. Romero,1,283,4.1,7,4.1,,5.56,0.56,4,84558,True,Lucas Daniel Romero,,,,,,,3.0,1.0,1.0,,,,,,,,,,
145,Fellipe Mateus,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,fellipe-mateus,1,F. Mateus,1,288,4.0,7,4.0,,5.52,0.52,4,84587,True,Fellipe Mateus de Sena Araújo,,,1.0,7.0,,,1.0,3.0,,,,1.0,,,,,,,
146,Lucas Evangelista,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,lucas-evangelista,0,L. Evangelista,1,280,0.0,6,0.0,,11.0,0.0,4,84674,False,Lucas Evangelista Santana de Oliveira,,,,,,,,,,,,,,,,,,,
147,Varela,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,varela,0,Varela,1,262,0.0,7,0.0,,4.0,0.0,2,84816,False,Guillermo Varela Olivera,,,,,,,,,,,,,,,,,,,
148,Rafael Ratão,Bahia,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,rafael-ratao,0,R. Ratão,1,265,0.0,6,0.0,,5.0,0.0,5,84918,False,Rafael Rogério da Silva,,,,,,,,,,,,,,,,,,,
149,Marcos Felipe,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,marcos-felipe,1,M. Felipe,1,265,5.0,6,5.0,,6.7,0.7,1,85004,True,Marcos Felipe de Freitas Monteiro,7.0,2.0,,,,,,,,,,,,,,,,,
150,Óscar Romero,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/18/photo_220x220_FJizmLh.png,oscar-romero,1,Ã. Romero,1,263,2.9,2,2.9,,7.6,-0.4,4,85034,True,Óscar David Romero Villamayor,,,,1.0,,,2.0,,,,,,,,,,,,
151,Damián Suárez,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_k3aVXLq.png,damian-suarez,0,D. Suárez,1,263,0.0,2,0.0,,5.0,0.0,2,85277,False,Damián Nicolás Suárez,,,,,,,,,,,,,,,,,,,
152,Alex Santana,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO.png,alex-santana,1,A. Santana,1,293,-0.3,6,-0.3,,4.83,-1.17,4,85465,True,Alex Paulo Menezes Santana,,,,,,,,1.0,,,,,,,,,,,
153,Léo,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,leo,1,Léo,1,267,0.6,7,0.6,,4.32,-0.68,3,85626,True,Leonardo Pinheiro da Conceição,,,,,,,1.0,2.0,,,,,,,,,,,
154,Hyoran,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,hyoran,0,Hyoran,1,285,0.0,5,0.0,,5.0,0.0,4,85931,False,Hyoran Kaue Dalmoro,,,,,,,,,,,,,,,,,,,
155,Bolasie,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,bolasie,1,Bolasie,1,288,-1.6,6,-1.6,,4.37,-1.63,5,86292,True,Yannick Bolasie,,,1.0,,,,,2.0,,,,,,,,,,,
156,Caio Dantas,Vitória,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,caio-dantas,0,C. Dantas,1,287,0.0,6,0.0,,3.0,0.0,5,86362,False,Caio Henrique da Silva Dantas,,,,,,,,,,,,,,,,,,,
157,Victor Luis,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,victor-luis,0,V. Luis,1,267,0.0,6,0.0,,3.0,0.0,2,86410,False,Victor Luis Chuab Zamblauskas,,,,,,,,,,,,,,,,,,,
158,Keno,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,keno,0,Keno,1,266,0.0,5,0.0,,8.0,0.0,5,86485,False,Marcos da Silva França,,,,,,,,,,,,,,,,,,,
159,Jandrei,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,jandrei,0,Jandrei,1,276,0.0,6,0.0,,5.0,0.0,1,86508,False,Jandrei Chitolina Carniel,,,,,,,,,,,,,,,,,,,
160,Rodrigo,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,rodrigo,1,Rodrigo,1,288,1.7,7,1.7,,3.07,0.07,3,86684,True,Rodrigo Fagundes de Freitas,,,,1.0,,,1.0,,,,,,,,,,,,
161,Tchê Tchê,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png,tche-tche,1,T. Tchê,1,263,1.2,7,1.2,,5.36,-0.64,4,86686,True,Danilo das Neves Pinheiro,,,,,,,1.0,,,,,,,,,,,,
162,Jonathan,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,jonathan,0,Jonathan,1,288,0.0,5,0.0,,3.0,0.0,2,86713,False,Jonathan Francisco Lemos,,,,,,,,,,,,,,,,,,,
163,Everton,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,everton,1,Everton,1,262,2.4,7,2.4,,4.96,-0.04,5,86757,True,Everton Sousa Soares,,,,,,,,,3.0,,,,,,,,,,
164,Luan,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_voMpeGF.png,luan,0,Luan,1,287,0.0,6,0.0,,4.0,0.0,4,86759,False,Luan Guilherme de Jesus Vieira,,,,,,,,,,,,,,,,,,,
165,Matheus Rossetto,Fortaleza,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,matheus-rossetto,0,M. Rossetto,1,356,0.0,6,0.0,,3.0,0.0,4,86766,False,Matheus Rossetto,,,,,,,,,,,,,,,,,,,
166,Danilo Barbosa,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,danilo-barbosa,1,D. Barbosa,1,263,7.5,2,7.5,,6.75,1.75,4,86777,True,Danilo Barbosa da Silva,,,1.0,1.0,,1.0,,,,,,,,,,,,,
167,José Welison,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,jose-welison,1,J. Welison,1,356,3.3,7,3.3,,5.27,0.27,4,86859,True,José Welison da Silva,,,,,,,3.0,1.0,,,,,,,,,,,
168,Léo Jardim,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,leo-jardim,1,L. Jardim,1,267,0.0,7,0.0,,8.22,-1.78,1,87008,True,Leonardo César Jardim,1.0,1.0,,,,,,,,,,,,,,,,,
169,Nathan,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,nathan,0,Nathan,1,284,0.0,6,0.0,,5.0,0.0,4,87009,False,Nathan Allan de Souza,,,,,,,,,,,,,,,,,,,
170,Zeca,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_UxzvkDO.png,zeca,1,Zeca,1,287,4.1,6,4.1,,4.73,0.73,2,87192,True,José Carlos Cracco Neto,,,,1.0,,,2.0,,,,,1.0,,,,,,,
171,Pedro Henrique,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_XAAQfX1.png,pedro-henrique,0,P. Henrique,1,293,0.0,6,0.0,,6.0,0.0,3,87225,False,Pedro Henrique Ribeiro Gonçalves,,,,,,,,,,,,,,,,,,,
172,Guilherme Arana,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,guilherme-arana,1,G. Arana,1,282,9.1,7,9.1,,12.25,1.25,2,87228,True,Guilherme Antonio Arana Lopes,,,,1.0,1.0,,3.0,,,,,,,,,,,,
173,Carlos de Pena,Bahia,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,carlos-de-pena,1,C. Pena,1,265,-0.3,6,-0.3,,4.01,-0.99,4,87242,True,Carlos María de Pena Bonino,,,1.0,2.0,,,,1.0,,,,,,,,,,,
174,Soteldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,soteldo,1,Soteldo,1,284,2.6,6,2.6,,9.96,-1.04,5,87258,True,Yeferson Julio Soteldo Martínez,,,,1.0,,,2.0,1.0,,,,,,,,,,,
175,Kannemann,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,kannemann,1,Kannemann,1,284,-0.3,2,-0.3,,4.01,-0.99,3,87342,True,Walter Kannemann,,,,,,,,1.0,,,,,,,,,,,
176,Thaciano,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,thaciano,1,Thaciano,1,265,1.8,6,1.8,,6.39,-0.61,4,87470,True,Thaciano Mickael da Silva,,,,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,
177,Mateus Pasinato,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,mateus-pasinato,0,M. Pasinato,1,1371,0.0,6,0.0,,3.0,0.0,1,87603,False,Mateus Pasinato,,,,,,,,,,,,,,,,,,,
178,Galdames,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,galdames,1,Galdames,1,267,3.2,7,3.2,,6.06,0.06,4,87660,True,Pablo Ignacio Galdames Millán,,,,1.0,,,3.0,3.0,,,,,,,,,,,
179,Yago Felipe,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,yago-felipe,0,Y. Felipe,1,265,0.0,6,0.0,,4.0,0.0,4,87747,False,Yago Felipe da Costa Rocha,,,,,,,,,,,,,,,,,,,
180,Mauricio Lemos,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,mauricio-lemos,1,M. Lemos,1,282,9.2,2,9.2,,14.75,0.75,3,87853,True,Paolo Mauricio Lemos Merladett,,,,1.0,1.0,,2.0,1.0,2.0,,,,,,,,,,
181,Arrascaeta,Flamengo,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,arrascaeta,1,Arrascaeta,1,262,-0.5,6,-0.5,,14.62,-3.38,4,87863,True,Giorgian Daniel de Arrascaeta Benedetti,,,1.0,,,,,1.0,1.0,,,,,,,,,,
182,Gustavo Scarpa,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,gustavo-scarpa,1,G. Scarpa,1,282,2.9,2,2.9,,11.71,-1.29,4,87999,True,Gustavo Henrique Furtado Scarpa,,,,1.0,,,,,,,,2.0,,,,,,,
183,Alan Empereur,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,alan-empereur,1,A. Empereur,1,1371,-0.8,6,-0.8,,3.01,-0.99,3,88033,True,Alan Pereira Empereur,,,1.0,1.0,,,,1.0,,,,,,,,,,,
184,Ivan,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,ivan,0,Ivan,1,285,0.0,5,0.0,,3.0,0.0,1,88136,False,Ivan Quaresma da Silva,,,,,,,,,,,,,,,,,,,
185,Ángel Romero,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,angel-romero,1,Ã. Romero,1,264,0.8,7,0.8,,6.86,-1.14,5,88323,True,Ángel Rodrigo Romero Villamayor,,,1.0,2.0,,,,,1.0,,,,,,,,,,
