,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
20,Walter,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,walter,1,Walter,1,1371,1.0,6,1.0,,4.46,-0.54,1,51413,True,Walter Leandro Capeloza Artune,5.0,4.0,,,,,,,,,,,,,,,,,
21,Everton Ribeiro,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,everton-ribeiro,1,E. Ribeiro,1,265,5.1,6,5.1,,10.02,0.02,4,51772,True,Everton Augusto de Barros Ribeiro,,,,2.0,,,3.0,1.0,1.0,,,,,,,,,,
22,Fernando,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,fernando,1,Fernando,1,285,8.8,6,8.8,,8.03,2.03,4,52271,True,Fernando Francisco Reges,,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,
23,David Luiz,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,david-luiz,0,D. Luiz,1,262,0.0,6,0.0,,6.0,0.0,3,52827,False,David Luiz Moreira Marinho,,,,,,,,,,,,,,,,,,,
24,Léo Gamalho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,leo-gamalho,0,L. Gamalho,1,287,0.0,6,0.0,,5.0,0.0,5,53865,False,Leonardo Gamalho de Souza,,,,,,,,,,,,,,,,,,,
25,Renan,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,renan,0,Renan,1,286,0.0,5,0.0,,4.0,0.0,1,60795,False,Renan dos Santos,,,,,,,,,,,,,,,,,,,
26,Cicinho,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,cicinho,0,Cicinho,1,265,0.0,6,0.0,,4.0,0.0,2,61106,False,Neuciano de Jesus Gusmão,,,,,,,,,,,,,,,,,,,
27,Gilberto,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,gilberto,1,Gilberto,1,286,0.8,5,0.8,,5.22,-0.78,5,61188,True,Gilberto Oliveira Souza Júnior,,,,,,,,,1.0,,,,,,,,,,
28,Fabrício,Internacional,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,fabricio,0,Fabrício,1,285,0.0,6,0.0,,2.0,0.0,1,61228,False,Fabrício Barros Santana,,,,,,,,,,,,,,,,,,,
29,Douglas Costa,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,douglas-costa,1,D. Costa,1,266,0.9,6,0.9,,6.07,-0.93,5,62020,True,Douglas Costa de Souza,,,,,,,1.0,1.0,,,,,,,,,,,
30,Ganso,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,ganso,1,Ganso,1,266,11.7,6,11.7,,9.06,3.06,4,62977,True,Paulo Henrique Chagas de Lima,,,,1.0,,,1.0,,,,,,,,2.0,,,,
31,Marcos Rocha,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,marcos-rocha,0,M. Rocha,1,275,0.0,6,0.0,,8.0,0.0,2,63013,False,Marcos Luis Rocha Aquino,,,,,,,,,,,,,,,,,,,
