,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
83,vitor-hugo,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,0.0,0.0,Vitor Hugo,72605,265,Vitor Hugo Franchescoli de Souza,6,0.0,4.0,14,Bahia,3,V. Hugo,False,0,,,,,,,,,,,,,,,,,,,,,
84,fernandinho,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,1.41,10.8,Fernandinho,72775,293,Fernando Luiz Rosa,7,3.78,8.06,14,Athlético-PR,4,Fernandinho,True,13,,14.0,22.0,7.0,2.0,16.0,,2.0,1.0,5.0,2.0,,,,,,,,,,
85,wilker-angel,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,0.0,0.0,Wilker Ángel,72801,288,Wílker José Ángel Romero,6,2.33,3.37,14,Criciúma,3,W. Ángel,False,3,,1.0,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
86,mercado,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,-0.89,0.0,Mercado,72951,285,Gabriel Iván Mercado,6,2.83,5.07,14,Internacional,3,Mercado,True,8,,5.0,3.0,,,3.0,,,,4.0,,4.0,,,,,,,,,
87,samuel-xavier,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,-0.26,1.1,Samuel Xavier,73384,266,Samuel Xavier Brito,7,2.44,4.81,14,Fluminense,2,S. Xavier,True,8,,8.0,11.0,1.0,2.0,15.0,,,1.0,2.0,1.0,,,,,,,,,,
88,bruno-alves,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,0.36,3.6,Bruno Alves,73620,1371,Bruno Fabiano Alves,7,2.57,4.44,14,Cuiabá,3,B. Alves,True,9,,7.0,6.0,1.0,1.0,9.0,,,,,,2.0,,,,,,,,,
89,rodrigo-caio,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,-0.62,0.0,Rodrigo Caio,73800,284,Rodrigo Caio Coquette Russo,6,0.0,5.38,14,Grêmio,3,R. Caio,True,1,,,,,,,,,,,,,,,,,,,,,
90,walisson-maia,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,0.97,6.2,Walisson Maia,73991,288,Walisson Moreira Farias Maia,6,2.92,4.77,14,Criciúma,3,W. Maia,True,7,,4.0,5.0,,2.0,1.0,,,,,1.0,2.0,,,,,,,,,
91,zapata,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,0.0,0.0,Zapata,74028,287,Cristián Eduardo Zapata Valencia,6,0.0,4.0,14,Vitória,3,Zapata,False,0,,,,,,,,,,,,,,,,,,,,,
92,gatito-fernandez,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,0.0,0.0,Gatito Fernández,74061,263,Roberto Junior Fernández Torres,6,2.0,6.82,14,Botafogo,1,G. Fernández,False,3,,,,,,,,,,1.0,,1.0,6.0,,4.0,,,,,,
93,jorginho,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,0.0,0.0,Jorginho,77544,373,Jorge de Moura Xavier,6,0.0,4.0,14,Atlético-GO,4,Jorginho,False,0,,,,,,,,,,,,,,,,,,,,,
94,madson,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,-0.25,-0.3,Madson,78077,293,Madson Ferreira dos Santos,6,2.18,4.08,14,Athlético-PR,2,Madson,True,11,,2.0,5.0,,2.0,7.0,,,,2.0,1.0,3.0,,,,,,,,,
95,everaldo,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,-0.04,4.2,Everaldo,78117,265,Everaldo Stum,7,5.58,7.76,14,Bahia,5,Everaldo,True,13,,6.0,15.0,10.0,5.0,8.0,2.0,5.0,2.0,1.0,1.0,,,,,,,,,,
96,gustavo-henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,-0.4,-0.5,Gustavo Henrique,78248,264,Gustavo Henrique Vernes,7,0.85,5.4,14,Corinthians,3,G. Henrique,True,7,,2.0,8.0,1.0,4.0,3.0,,,,2.0,,1.0,,,,,1.0,,,,
97,rene,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,0.29,5.3,Renê,78445,285,Renê Rodrigues Martins,7,5.7,9.12,14,Internacional,2,Renê,True,10,,20.0,8.0,3.0,3.0,13.0,,,,2.0,1.0,4.0,,,,,,,,,
98,claudio-tencati,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,0.74,8.19,Cláudio Tencati,78450,288,Cláudio Tencati,7,4.64,6.82,14,Criciúma,6,C. Tencati,True,11,,,,,,,,,,,,,,,,,,,,,4.0
99,jean-mota,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,-0.35,0.2,Jean Mota,78548,287,Jean Mota Oliveira de Sousa,6,1.53,3.47,14,Vitória,4,J. Mota,True,9,,2.0,4.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,
100,jonathan-cafu,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,0.08,1.7,Jonathan Cafu,78580,1371,Jonathan Renato Barbosa,6,2.07,3.63,14,Cuiabá,5,J. Cafu,True,10,,5.0,11.0,3.0,3.0,8.0,,1.0,,,,,,,,,,,,,
101,gabriel,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,0.0,0.0,Gabriel,78605,293,Gabriel Girotto Franco,6,1.6,5.0,14,Athlético-PR,4,Gabriel,False,2,,3.0,3.0,,,1.0,,,,,,,,,,,,,,,
102,ramiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,-0.37,1.2,Ramiro,78715,283,Ramiro Moschen Benetti,7,1.5,3.45,14,Cruzeiro,4,Ramiro,True,12,,15.0,12.0,1.0,2.0,6.0,,,1.0,2.0,,,,,,,,,,,
103,reinaldo,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,-0.93,4.1,Reinaldo,78850,284,Reinaldo Manoel da Silva,7,4.92,7.85,14,Grêmio,2,Reinaldo,True,6,,7.0,4.0,5.0,3.0,4.0,,1.0,1.0,1.0,,1.0,,,,,,,,,
104,thiago-santos,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,-0.05,1.1,Thiago Santos,78855,266,Thiago dos Santos,7,0.47,1.81,14,Fluminense,3,T. Santos,True,6,,4.0,9.0,2.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,
105,luiz-felipe,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,0.0,0.0,Luiz Felipe,79035,373,Luiz Felipe do Nascimento dos Santos,6,3.32,3.82,14,Atlético-GO,3,L. Felipe,False,6,,10.0,6.0,1.0,,1.0,,1.0,,2.0,,1.0,,,,1.0,1.0,,1.0,,
106,victor-cuesta,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,0.0,0.0,Víctor Cuesta,79113,265,Víctor Leandro Cuesta,6,1.63,4.59,14,Bahia,3,V. Cuesta,False,3,,4.0,4.0,,1.0,3.0,,,,1.0,,,,,,,,,,,
107,filipe-augusto,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,-0.03,0.0,Filipe Augusto,79268,1371,Filipe Augusto Carvalho Souza,3,0.35,1.52,14,Cuiabá,4,F. Augusto,True,6,,4.0,9.0,1.0,1.0,2.0,,,,3.0,,,,,,,,,,,
108,roger-machado,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,-0.11,2.98,Roger Machado,79437,286,Roger Machado Marques,7,4.54,6.68,14,Juventude,6,R. Machado,True,12,,,,,,,,,,,,,,,,,,,,,3.0
109,cano,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,0.3,3.0,Cano,79631,266,Germán Ezequiel Cano,7,2.68,7.84,14,Fluminense,5,Cano,True,12,,2.0,4.0,11.0,9.0,3.0,1.0,1.0,,2.0,,,,,,,,,,,
110,lucas-silva,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,-0.01,2.0,Lucas Silva,79701,283,Lucas Silva Borges,7,1.62,4.48,14,Cruzeiro,4,L. Silva,True,13,,6.0,9.0,4.0,6.0,8.0,,1.0,,2.0,,,,,,,,,,1.0,
111,antonio-carlos,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,-0.31,-0.9,Antônio Carlos,79702,266,Antônio Carlos Cunha Capocasali Júnior,7,0.73,1.92,14,Fluminense,3,A. Carlos,True,7,,3.0,4.0,,1.0,6.0,,,1.0,1.0,,,,,,,,,,,
112,jadson,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,-0.61,0.4,Jadson,80129,286,Jadson Alves dos Santos,7,5.44,8.52,14,Juventude,4,Jadson,True,10,,25.0,17.0,4.0,6.0,18.0,,1.0,2.0,4.0,2.0,,,,,,1.0,,,,
113,yago-pikachu,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,0.0,0.0,Yago Pikachu,80196,356,Glaybson Yago Souza Lisboa,6,3.1,5.58,14,Fortaleza,4,Y. Pikachu,False,11,,7.0,6.0,1.0,5.0,15.0,,1.0,1.0,3.0,2.0,,,,,,,,,,
114,rafa-silva,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,0.0,0.0,Rafa Silva,80225,283,Rafael da Silva,6,4.04,5.88,14,Cruzeiro,5,R. Silva,False,8,,4.0,6.0,4.0,1.0,4.0,,3.0,3.0,2.0,,,,,,,,,,,
115,luciano,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,0.0,0.0,Luciano,80287,276,Luciano da Rocha Neves,6,7.22,12.43,14,São Paulo,5,Luciano,False,11,,14.0,13.0,6.0,8.0,20.0,1.0,5.0,2.0,6.0,1.0,,,,,,,,1.0,,
116,gilberto,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,0.03,8.7,Gilberto,80313,265,Gilberto Moraes Júnior,7,5.63,8.75,14,Bahia,2,Gilberto,True,7,,13.0,6.0,,4.0,9.0,,1.0,1.0,,,2.0,,,,,,,,,
117,arthur-caike,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,-0.33,0.8,Arthur Caíke,80337,288,Arthur Caíke do Nascimento Cruz,7,3.46,4.2,14,Criciúma,5,A. Caíke,True,11,,1.0,6.0,3.0,8.0,11.0,,3.0,8.0,,,,,,,,,,,,
118,marlon,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_ybJLR9Q.png,0.0,0.0,Marlon,80538,266,Marlon Santos da Silva Barbosa,6,1.02,2.65,14,Fluminense,3,Marlon,False,4,,4.0,5.0,,1.0,2.0,,,,1.0,,,,,,,,,,,
119,pedro-geromel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,0.0,0.0,Pedro Geromel,80853,284,Pedro Tonon Geromel,6,2.68,6.08,14,Grêmio,3,P. Geromel,False,4,,1.0,2.0,,2.0,1.0,,,,2.0,,2.0,,,,,,,,,
120,jair,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,0.0,0.0,Jair,81091,267,Jair Rodrigues Júnior,5,0.0,4.0,14,Vasco,4,Jair,False,0,,,,,,,,,,,,,,,,,,,,,
121,mayke,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,-0.29,3.6,Mayke,81150,275,Mayke Rocha de Oliveira,6,5.02,8.51,14,Palmeiras,2,Mayke,True,12,,20.0,6.0,,1.0,5.0,,1.0,2.0,3.0,,6.0,,,,,,,,,
122,hugo-mallo,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CBzQtxz.png,-0.52,0.0,Hugo Mallo,81551,285,Hugo Mallo Novegil,6,4.32,5.92,14,Internacional,2,H. Mallo,True,6,,8.0,3.0,,1.0,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,
123,rossi,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,0.0,0.0,Rossi,81798,267,Rosicley Pereira da Silva,6,1.69,4.26,14,Vasco,5,Rossi,False,10,,10.0,9.0,,1.0,8.0,,,2.0,2.0,1.0,,,,,,,,,,
124,alisson,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,0.41,3.5,Alisson,81845,276,Alisson Euler de Freitas Castro,7,3.36,6.18,14,São Paulo,4,Alisson,True,13,,19.0,18.0,4.0,2.0,22.0,,1.0,,4.0,1.0,,,,,,,,,,
125,joao-ricardo,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,0.44,5.0,João Ricardo,81881,356,João Ricardo Riedi,7,5.24,8.43,14,Fortaleza,1,J. Ricardo,True,13,,1.0,,,,,,,,,,4.0,61.0,,14.0,,,,,,
126,willian-oliveira,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,-0.01,2.0,Willian Oliveira,81952,287,Willian Osmar de Oliveira Silva,7,6.06,7.92,14,Vitória,4,W. Oliveira,True,12,,18.0,15.0,,7.0,20.0,,5.0,,1.0,,,,,,,,,1.0,,
127,ze-rafael,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,0.0,0.0,Zé Rafael,82455,275,José Rafael Vivian,6,1.76,4.91,14,Palmeiras,4,Z. Rafael,False,9,,8.0,17.0,1.0,2.0,11.0,,,,3.0,1.0,,,,,,,,1.0,,
128,otavio,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,-1.14,-0.4,Otávio,82463,282,Otávio Henrique Passos Santos,6,3.3,5.19,14,Atlético-MG,4,Otávio,True,6,,14.0,10.0,2.0,2.0,4.0,,,,,,,,,,,,,,,
129,luiz-araujo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,-0.33,7.2,Luiz Araújo,82627,262,Luiz de Araújo Guimarães Neto,7,6.14,9.25,14,Flamengo,5,L. Araújo,True,14,,18.0,12.0,5.0,9.0,18.0,1.0,3.0,1.0,1.0,4.0,,,,,,,,,,
130,tinga,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,-0.64,-0.3,Tinga,82628,356,Guilherme de Jesus da Silva,7,3.16,4.54,14,Fortaleza,2,Tinga,True,13,,16.0,7.0,,2.0,3.0,1.0,,,1.0,,4.0,,,,1.0,,,,,
131,marcelo-hermes,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,0.43,6.3,Marcelo Hermes,82639,288,Marcelo Gazella Hermes,7,4.0,6.11,14,Criciúma,2,M. Hermes,True,10,,13.0,11.0,2.0,3.0,4.0,,1.0,,2.0,1.0,2.0,,,,,,,,,
132,wellington-rato,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,0.29,3.4,Wellington Rato,82766,276,Wellington Soares da Silva,6,1.0,6.95,14,São Paulo,4,W. Rato,True,6,,1.0,,2.0,,5.0,,,1.0,,,,,,,,,,,,
133,gabriel,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,0.0,0.0,Gabriel,83257,262,Gabriel Barbosa Almeida,6,2.12,6.69,14,Flamengo,5,Gabriel,False,5,,,,,1.0,4.0,,1.0,2.0,,,,,,,,,,,,
134,leo-pereira,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,-0.46,0.0,Léo Pereira,83528,262,Leonardo Pereira,6,2.32,6.08,14,Flamengo,3,L. Pereira,True,12,,12.0,9.0,,2.0,9.0,,,,4.0,,3.0,,,,1.0,,,,,
135,neris,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,0.0,0.0,Neris,83786,283,Hueglo dos Santos Neris,7,1.56,3.81,14,Cruzeiro,3,Neris,False,5,,7.0,9.0,1.0,,2.0,,,1.0,,,,,,,,,,,,
136,clayson,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,0.05,1.3,Clayson,83817,1371,Clayson Henrique da Silva Vieira,6,2.11,4.05,14,Cuiabá,5,Clayson,True,11,,3.0,5.0,3.0,6.0,14.0,,1.0,3.0,3.0,,,,,,,,,1.0,,
137,tiquinho-soares,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,-0.32,0.9,Tiquinho Soares,84042,263,Francisco das Chagas Soares dos Santos Meireles,7,4.25,10.4,14,Botafogo,5,T. Soares,True,9,,4.0,14.0,,6.0,18.0,,2.0,2.0,2.0,2.0,,,,,,,,,,
138,jemerson,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,0.0,0.0,Jemerson,84263,284,Jemerson de Jesus Nascimento,6,3.13,5.81,14,Grêmio,3,Jemerson,False,3,,,2.0,,,4.0,,,,2.0,,2.0,,,,,,,,,
139,alisson,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,0.0,0.0,Alisson,84266,288,Alisson Machado dos Santos,6,1.12,2.16,14,Criciúma,1,Alisson,False,4,,,,,,1.0,,,,1.0,,,9.0,,4.0,,,,,,
140,fernando-sobral,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,-0.38,1.0,Fernando Sobral,84428,1371,Fernando Pereira do Nascimento,7,2.85,5.01,14,Cuiabá,4,F. Sobral,True,11,,12.0,2.0,2.0,4.0,10.0,,1.0,1.0,1.0,,,,,,,,,,,
141,lucas-romero,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,0.8,6.8,Lucas Romero,84558,283,Lucas Daniel Romero,7,2.59,5.52,14,Cruzeiro,4,L. Romero,True,11,,22.0,16.0,2.0,5.0,9.0,,,,1.0,,,,,,,1.0,,,,
142,fellipe-mateus,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,-0.88,0.2,Fellipe Mateus,84587,288,Fellipe Mateus de Sena Araújo,6,4.74,7.04,14,Criciúma,4,F. Mateus,True,7,,4.0,4.0,4.0,1.0,20.0,,2.0,,1.0,,,,,,1.0,,,,,
143,lucas-evangelista,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,-0.84,-0.3,Lucas Evangelista,84674,280,Lucas Evangelista Santana de Oliveira,7,4.15,7.81,14,Bragantino,4,L. Evangelista,True,10,,8.0,9.0,3.0,6.0,15.0,,2.0,4.0,2.0,1.0,,,,,,,,,,
144,varela,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,0.0,0.0,Varela,84816,262,Guillermo Varela Olivera,6,4.5,5.73,14,Flamengo,2,Varela,False,5,,7.0,7.0,1.0,,10.0,,,,,,2.0,,,,,,,,,
145,rafael-ratao,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,0.0,0.0,Rafael Ratão,84918,265,Rafael Rogério da Silva,6,2.97,5.14,14,Bahia,5,R. Ratão,False,3,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
146,marcos-felipe,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,1.02,6.0,Marcos Felipe,85004,265,Marcos Felipe de Freitas Monteiro,7,3.66,7.45,14,Bahia,1,M. Felipe,True,13,,1.0,,,,1.0,,,,1.0,,4.0,42.0,,15.0,,,,,,
147,oscar-romero,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,-0.82,1.1,Óscar Romero,85034,263,Óscar David Romero Villamayor,6,3.45,6.57,14,Botafogo,4,Ã. Romero,True,11,,16.0,8.0,4.0,1.0,9.0,,,,4.0,3.0,,,,,,,,,,
148,damian-suarez,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,0.0,0.0,Damián Suárez,85277,263,Damián Nicolás Suárez,7,3.24,5.08,14,Botafogo,2,D. Suárez,False,11,,12.0,16.0,1.0,5.0,8.0,,,2.0,3.0,1.0,3.0,,,,,,,,,
149,alex-santana,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO.png,0.0,0.0,Alex Santana,85465,293,Alex Paulo Menezes Santana,6,-0.4,2.83,14,Athlético-PR,4,A. Santana,False,4,,,3.0,,1.0,1.0,,,,2.0,,,,,,,,,,,
150,leo,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,1.05,6.9,Léo,85626,267,Leonardo Pinheiro da Conceição,7,2.07,4.31,14,Vasco,3,Léo,True,11,,9.0,7.0,1.0,,6.0,,,1.0,,,2.0,,,,,,,,,
151,hyoran,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,-0.37,-0.1,Hyoran,85931,285,Hyoran Kaue Dalmoro,6,1.58,4.18,14,Internacional,4,Hyoran,True,6,,4.0,4.0,,3.0,7.0,,,,,,,,,,,,,,,
152,bolasie,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,1.44,10.1,Bolasie,86292,288,Yannick Bolasie,7,4.66,7.86,14,Criciúma,5,Bolasie,True,10,,4.0,15.0,8.0,8.0,7.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,
153,caio-dantas,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,0.0,0.0,Caio Dantas,86362,287,Caio Henrique da Silva Dantas,6,0.0,3.0,14,Vitória,5,C. Dantas,False,0,,,,,,,,,,,,,,,,,,,,,
154,victor-luis,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,0.0,0.0,Victor Luis,86410,267,Victor Luis Chuab Zamblauskas,7,2.76,3.89,14,Vasco,2,V. Luis,False,5,,10.0,8.0,1.0,,6.0,,,,2.0,,1.0,,,,,1.0,,,,
155,keno,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,0.03,1.9,Keno,86485,266,Marcos da Silva França,7,1.38,5.26,14,Fluminense,5,Keno,True,8,,4.0,4.0,2.0,3.0,6.0,,,3.0,,,,,,,,,,,,
156,jandrei,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,-0.46,1.5,Jandrei,86508,276,Jandrei Chitolina Carniel,7,2.36,5.18,14,São Paulo,1,Jandrei,True,7,,,,,,5.0,,,,,,1.0,19.0,,10.0,,,,,,
157,rodrigo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,0.78,9.0,Rodrigo,86684,288,Rodrigo Fagundes de Freitas,7,3.84,5.89,14,Criciúma,3,Rodrigo,True,10,,20.0,9.0,,1.0,5.0,1.0,,1.0,3.0,1.0,2.0,,,,1.0,,,,,
158,tche-tche,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,0.0,0.0,Tchê Tchê,86686,263,Danilo das Neves Pinheiro,7,1.35,3.67,14,Botafogo,4,T. Tchê,False,11,,6.0,5.0,1.0,5.0,10.0,,,,1.0,,,,,,,,,,,
159,jonathan,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,0.0,0.0,Jonathan,86713,288,Jonathan Francisco Lemos,6,2.12,3.39,14,Criciúma,2,Jonathan,False,6,,9.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,
160,everton,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,0.0,0.0,Everton,86757,262,Everton Sousa Soares,5,6.2,7.54,14,Flamengo,5,Everton,False,6,,5.0,2.0,6.0,6.0,4.0,,1.0,2.0,,2.0,,,,,,,,,,
161,matheus-rossetto,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,-0.38,-0.1,Matheus Rossetto,86766,356,Matheus Rossetto,7,0.75,2.65,14,Fortaleza,4,M. Rossetto,True,4,,3.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,
162,danilo-barbosa,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,0.3,3.3,Danilo Barbosa,86777,263,Danilo Barbosa da Silva,6,4.0,7.4,14,Botafogo,4,D. Barbosa,True,12,,16.0,12.0,,3.0,6.0,,3.0,,3.0,1.0,,,,,,,,1.0,,
163,jose-welison,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,0.0,0.0,José Welison,86859,356,José Welison da Silva,6,1.71,3.94,14,Fortaleza,4,J. Welison,False,10,,14.0,6.0,,2.0,3.0,,,,1.0,,,,,,,,,,,
164,leo-jardim,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,0.92,9.0,Léo Jardim,87008,267,Leonardo César Jardim,7,3.3,7.2,14,Vasco,1,L. Jardim,True,14,,,,,,,,,,,,2.0,61.0,,25.0,,,,,,
165,nathan,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,0.0,0.0,Nathan,87009,284,Nathan Allan de Souza,6,0.83,4.04,14,Grêmio,4,Nathan,False,3,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
166,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,-0.27,0.8,Pedro Henrique,87225,280,Pedro Henrique Ribeiro Gonçalves,7,3.08,5.67,14,Bragantino,3,P. Henrique,True,10,,16.0,11.0,,,8.0,,1.0,1.0,2.0,,1.0,,,,,,,,,
167,guilherme-arana,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_7gOybCT.png,0.0,0.0,Guilherme Arana,87228,282,Guilherme Antonio Arana Lopes,6,7.83,12.32,14,Atlético-MG,2,G. Arana,False,6,,13.0,4.0,2.0,3.0,4.0,,1.0,2.0,2.0,1.0,3.0,,,,,,,,,
168,carlos-de-pena,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,-0.31,0.0,Carlos de Pena,87242,265,Carlos María de Pena Bonino,6,0.71,2.43,14,Bahia,4,C. Pena,True,12,,2.0,3.0,1.0,3.0,3.0,,,,3.0,1.0,,,,,,,,,,
169,soteldo,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,0.0,0.0,Soteldo,87258,284,Yeferson Julio Soteldo Martínez,6,4.3,9.1,14,Grêmio,5,Soteldo,False,5,,3.0,1.0,2.0,1.0,4.0,,1.0,,,1.0,,,,,,,,,,
