,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
19,titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,0.22,3.4,Titi,50353,356,Christian Chagas Tarouco,7,2.69,4.55,14,Fortaleza,3,Titi,True,10,,15.0,17.0,,2.0,9.0,,,1.0,2.0,,2.0,,,,,,,,,
20,walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,-0.56,0.0,Walter,51413,1371,Walter Leandro Capeloza Artune,7,3.62,4.84,14,Cuiabá,1,Walter,True,12,,,,,,1.0,,,,,,3.0,45.0,,17.0,,,,,,
21,everton-ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,0.26,6.6,Everton Ribeiro,51772,265,Everton Augusto de Barros Ribeiro,7,4.79,9.48,14,Bahia,4,E. Ribeiro,True,13,,23.0,11.0,3.0,5.0,23.0,,,1.0,1.0,4.0,,,,,,,,,,
22,fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,-0.13,2.2,Fernando,52271,285,Fernando Francisco Reges,7,2.02,5.56,14,Internacional,4,Fernando,True,8,,10.0,7.0,,,3.0,,1.0,2.0,3.0,,,,,,,,,,,
23,david-luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,-0.55,-0.6,David Luiz,52827,262,David Luiz Moreira Marinho,7,3.02,6.19,14,Flamengo,3,D. Luiz,True,8,,2.0,6.0,,2.0,,1.0,2.0,,1.0,,1.0,,,,1.0,,,,,
24,leo-gamalho,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,0.0,0.0,Léo Gamalho,53865,287,Leonardo Gamalho de Souza,6,0.0,4.11,14,Vitória,5,L. Gamalho,False,1,,,,,,,,,,,,,,,,,,,,,
25,renan,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,0.0,0.0,Renan,60795,286,Renan dos Santos,5,0.0,4.0,14,Juventude,1,Renan,False,0,,,,,,,,,,,,,,,,,,,,,
26,cicinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,0.0,0.0,Cicinho,61106,265,Neuciano de Jesus Gusmão,6,1.8,4.42,14,Bahia,2,Cicinho,False,3,,,2.0,,,2.0,,,,,,1.0,,,,,,,,,
27,gilberto,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,0.11,2.8,Gilberto,61188,286,Gilberto Oliveira Souza Júnior,7,1.06,3.54,14,Juventude,5,Gilberto,True,9,,4.0,7.0,3.0,4.0,3.0,,,4.0,1.0,,,,,,,,,,,
28,fabricio,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,-0.61,1.0,Fabrício,61228,285,Fabrício Barros Santana,7,4.43,5.96,14,Internacional,1,Fabrício,True,7,,,,,,,,,,,,3.0,22.0,,6.0,,,,,,
