,atletas.rodada_id,atletas.slug,atletas.clube_id,atletas.status_id,atletas.apelido_abreviado,atletas.apelido,atletas.foto,atletas.entrou_em_campo,atletas.preco_num,atletas.minimo_para_valorizar,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,DE,GS,DP,PC,PS,PP,V,GC,CV
19,6,titi,356,7,Titi,Titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,True,3.54,,1.84,-1.22,Christian Chagas Tarouco,5,Fortaleza,3,50353,-1.4,,1.0,4.0,9.0,,2.0,3.0,,,1.0,,,,,,,,,,
20,6,walter,1371,6,Walter,Walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,False,3.82,,1.25,0.0,Walter Leandro Capeloza Artune,4,Cuiabá,1,51413,0.0,,,,,,,,,,,,15.0,10.0,,,,,,,
21,6,everton-ribeiro,265,7,E. Ribeiro,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,True,9.72,,5.2,-0.25,Everton Augusto de Barros Ribeiro,5,Bahia,4,51772,4.6,1.0,1.0,13.0,5.0,2.0,2.0,8.0,,1.0,,,,,,,,,,,
22,6,fernando,285,6,Fernando,Fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,False,8.3,,5.1,0.0,Fernando Francisco Reges,2,Internacional,4,52271,0.0,,1.0,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,
23,6,david-luiz,262,6,D. Luiz,David Luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,False,6.0,,0.0,0.0,David Luiz Moreira Marinho,0,Flamengo,3,52827,0.0,,,,,,,,,,,,,,,,,,,,
24,6,leo-gamalho,287,6,L. Gamalho,Léo Gamalho,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,False,4.11,,0.0,0.0,Leonardo Gamalho de Souza,1,Vitória,5,53865,0.0,,,,,,,,,,,,,,,,,,,,
25,6,renan,286,5,Renan,Renan,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,False,4.0,,0.0,0.0,Renan dos Santos,0,Juventude,1,60795,0.0,,,,,,,,,,,,,,,,,,,,
26,6,cicinho,265,6,Cicinho,Cicinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,False,4.0,,0.0,0.0,Neuciano de Jesus Gusmão,0,Bahia,2,61106,0.0,,,,,,,,,,,,,,,,,,,,
27,6,gilberto,286,5,Gilberto,Gilberto,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,False,5.22,,0.8,0.0,Gilberto Oliveira Souza Júnior,1,Juventude,5,61188,0.0,,,,,,1.0,,,,,,,,,,,,,,
28,6,fabricio,285,6,Fabrício,Fabrício,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,False,2.0,,0.0,0.0,Fabrício Barros Santana,0,Internacional,1,61228,0.0,,,,,,,,,,,,,,,,,,,,
29,6,douglas-costa,266,5,D. Costa,Douglas Costa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,False,5.33,,1.9,0.0,Douglas Costa de Souza,4,Fluminense,5,62020,0.0,,,4.0,2.0,2.0,,2.0,,,,,,,,,,,,,
30,6,ganso,266,3,Ganso,Ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,False,8.73,,4.97,0.0,Paulo Henrique Chagas de Lima,4,Fluminense,4,62977,0.0,2.0,2.0,2.0,5.0,,,6.0,1.0,,,,,,,,,,,,
31,6,marcos-rocha,275,6,M. Rocha,Marcos Rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,False,7.31,,3.95,0.0,Marcos Luis Rocha Aquino,4,Palmeiras,2,63013,0.0,,,1.0,3.0,,,1.0,,,3.0,,,,,,,,,,
32,6,alan-ruschel,286,6,A. Ruschel,Alan Ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,False,3.53,,0.7,0.0,Alan Luciano Ruschel,1,Juventude,2,63110,0.0,,,,1.0,,,2.0,,,,,,,,,,,,,
33,6,edenilson,284,6,Edenílson,Edenílson,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,False,5.75,,0.0,0.0,Edenílson Andrade dos Santos,1,Grêmio,4,63289,0.0,,,,,,,,,,,,,,,,,,,,
34,6,alan-patrick,285,6,A. Patrick,Alan Patrick,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,False,16.0,,0.0,0.0,Alan Patrick Lourenço,0,Internacional,4,68685,0.0,,,,,,,,,,,,,,,,,,,,
35,6,eduardo,263,6,Eduardo,Eduardo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,False,7.46,,-0.1,0.0,Carlos Eduardo de Oliveira Alves,2,Botafogo,4,68708,0.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,
36,6,marcelo-lomba,275,6,M. Lomba,Marcelo Lomba,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,False,6.0,,0.0,0.0,Marcelo Lomba do Nascimento,0,Palmeiras,1,68872,0.0,,,,,,,,,,,,,,,,,,,,
37,6,dudu,275,6,Dudu,Dudu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,False,10.0,,0.0,0.0,Eduardo Pereira Rodrigues,0,Palmeiras,5,68920,0.0,,,,,,,,,,,,,,,,,,,,
