,atletas.foto,atletas.rodada_id,atletas.posicao_id,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.apelido,atletas.entrou_em_campo,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.status_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.preco_num,CA,DS,FC,FS,PC,A,FD,FF,FT,G,I,CV,SG,DE,GS,V,PP,PS,DP,GC
12,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,26,6,24,,284,R. Gaúcho,renato-gaucho,Renato Portaluppi,Renato Gaúcho,True,4.5,4.52,0.08,7,41929,Grêmio,8.4,,,,,,,,,,,,,,,,8.0,,,,
13,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,26,5,18,,287,Osvaldo,osvaldo,Osvaldo Lourenço Filho,Osvaldo,False,0.0,2.61,0.0,5,42222,Vitória,4.77,1.0,8.0,12.0,23.0,1.0,,9.0,6.0,,2.0,1.0,,,,,,,,,
14,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,26,1,12,,283,Cássio,cassio,Cássio Roberto Ramos,Cássio,True,2.0,4.8,-0.02,7,42234,Cruzeiro,10.07,2.0,,,3.0,,,,,,,,,4.0,50.0,12.0,,,,,
15,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,26,2,11,,264,Fagner,fagner,Fagner Conserva Lemos,Fagner,False,0.0,3.75,0.0,7,42500,Corinthians,6.71,1.0,9.0,1.0,5.0,,1.0,1.0,,1.0,,,,4.0,,,,,,,
16,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,26,6,25,,262,Tite,tite,Adenor Leonardo Bachi,Tite,True,3.41,5.45,0.12,7,45125,Flamengo,10.07,,,,,,,,,,,,,,,,13.0,,,,
17,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,26,5,8,,282,A. Kardec,alan-kardec,Alan Kardec de Sousa Pereira Júnior,Alan Kardec,True,0.5,0.31,0.0,6,50347,Atlético-MG,2.45,,,2.0,3.0,,,,2.0,,,,,,,,,,,,
18,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,26,3,13,,356,Titi,titi,Christian Chagas Tarouco,Titi,False,0.0,2.42,0.0,6,50353,Fortaleza,4.21,5.0,18.0,22.0,10.0,,,,2.0,,,1.0,,3.0,,,,,,,
19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,26,1,21,,1371,Walter,walter,Walter Leandro Capeloza Artune,Walter,True,3.0,2.89,0.28,7,51413,Cuiabá,4.92,1.0,,,1.0,,,,,,,,,3.0,81.0,35.0,,,,,
20,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,26,4,24,,265,E. Ribeiro,everton-ribeiro,Everton Augusto de Barros Ribeiro,Everton Ribeiro,True,12.0,4.32,1.4,7,51772,Bahia,9.59,1.0,36.0,22.0,44.0,,4.0,4.0,7.0,,2.0,1.0,,,,,,,,,
21,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,26,4,12,,285,Fernando,fernando,Fernando Francisco Reges,Fernando,True,2.5,2.27,-0.63,7,52271,Internacional,5.44,3.0,19.0,10.0,4.0,,,,1.0,,1.0,2.0,,,,,,,,,
22,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,26,3,16,,262,D. Luiz,david-luiz,David Luiz Moreira Marinho,David Luiz,False,0.0,2.38,0.0,6,52827,Flamengo,5.44,3.0,6.0,14.0,5.0,1.0,,3.0,5.0,1.0,2.0,,,2.0,,,,,,,
23,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,26,4,1,,267,A. Teixeira,alex-teixeira,Alex Teixeira Santos,Alex Teixeira,False,0.0,0.5,0.0,6,60793,Vasco,4.69,,,,1.0,,,,,,,,,,,,,,,,
24,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,26,4,3,,267,Souza,souza,Josef de Souza Dias,Souza,False,0.0,0.43,0.0,6,60803,Vasco,5.08,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
25,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,26,2,4,,265,Cicinho,cicinho,Neuciano de Jesus Gusmão,Cicinho,False,0.0,1.57,0.0,6,61106,Bahia,4.17,,1.0,3.0,2.0,,,,,,,,,1.0,,,,,,,
26,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,26,5,14,,286,Gilberto,gilberto,Gilberto Oliveira Souza Júnior,Gilberto,True,4.9,2.0,0.63,5,61188,Juventude,4.24,2.0,5.0,8.0,7.0,,,5.0,8.0,1.0,1.0,4.0,,,,,,,,,
27,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,26,1,8,,285,Fabrício,fabricio,Fabrício Barros Santana,Fabrício,False,0.0,4.13,0.0,6,61228,Internacional,5.96,,,,,,,,,,,,,3.0,26.0,8.0,,,,,
28,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,26,2,1,,262,A. Sandro,alex-sandro,Alex Sandro Lobo Silva,Alex Sandro,True,2.2,2.2,-0.02,7,61987,Flamengo,7.98,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
29,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,26,4,21,,266,Ganso,ganso,Paulo Henrique Chagas de Lima,Ganso,True,2.0,3.51,-0.5,7,62977,Fluminense,6.99,9.0,19.0,13.0,25.0,,4.0,5.0,2.0,,3.0,1.0,,,,,,,,,
30,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,26,2,20,,275,M. Rocha,marcos-rocha,Marcos Luis Rocha Aquino,Marcos Rocha,True,9.7,4.73,0.27,7,63013,Palmeiras,8.21,2.0,26.0,17.0,8.0,,2.0,,2.0,,,1.0,,11.0,,,,,,,
31,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,26,2,15,,286,A. Ruschel,alan-ruschel,Alan Luciano Ruschel,Alan Ruschel,True,9.3,3.9,0.75,7,63110,Juventude,5.92,2.0,28.0,19.0,22.0,,1.0,,2.0,,1.0,,1.0,2.0,,,,,,,
32,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,26,4,17,,284,Edenílson,edenilson,Edenílson Andrade dos Santos,Edenílson,False,0.0,1.74,0.0,6,63289,Grêmio,4.09,3.0,9.0,13.0,19.0,,,4.0,1.0,1.0,1.0,2.0,,,,,,,,,
33,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,26,4,10,,285,A. Patrick,alan-patrick,Alan Patrick Lourenço,Alan Patrick,True,12.6,3.4,1.79,7,68685,Internacional,10.63,3.0,8.0,8.0,10.0,,,6.0,7.0,,2.0,,,,,,,1.0,,,
34,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,26,4,10,,263,Eduardo,eduardo,Carlos Eduardo de Oliveira Alves,Eduardo,False,0.0,3.2,0.0,5,68708,Botafogo,6.26,1.0,6.0,8.0,9.0,,1.0,3.0,4.0,,2.0,1.0,,,,,,1.0,,,
35,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,26,1,1,,275,M. Lomba,marcelo-lomba,Marcelo Lomba do Nascimento,Marcelo Lomba,False,0.0,-1.0,0.0,6,68872,Palmeiras,4.99,,,,,,,,,,,,,,1.0,2.0,,,,,
36,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,26,4,4,,267,P. Coutinho,philippe-coutinho,Philippe Coutinho Correia,Philippe Coutinho,True,7.7,3.22,0.81,6,68899,Vasco,7.63,,3.0,3.0,2.0,,,1.0,,,1.0,,,,,,,,,,
37,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,26,5,10,,275,Dudu,dudu,Eduardo Pereira Rodrigues,Dudu,True,0.5,1.21,-0.2,6,68920,Palmeiras,5.57,,3.0,3.0,10.0,,,3.0,1.0,,,,,,,,,,,,
38,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,26,1,15,,276,Rafael,rafael,Rafael Pires Monteiro,Rafael,False,0.0,3.19,0.0,7,68928,São Paulo,6.41,1.0,,,,,,,,,,,,6.0,34.0,15.0,,,,,
39,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,26,1,5,,284,R. Cabral,rafael-cabral,Rafael Cabral Barbosa,Rafael Cabral,False,0.0,2.5,0.0,6,68940,Grêmio,6.8,,,,1.0,,,,,,,,,1.0,15.0,8.0,,,,,
40,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,26,5,12,,356,Marinho,marinho,Mário Sérgio Santos Costa,Marinho,True,2.7,3.07,0.18,7,68952,Fortaleza,5.09,2.0,10.0,18.0,26.0,,1.0,5.0,11.0,,,6.0,,,,,,,,,
