,atletas.foto,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.status_id,atletas.jogos_num,atletas.posicao_id,atletas.rodada_id,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.preco_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.minimo_para_valorizar,A,CA,CV,DS,FC,FD,FF,FS,G,I,FT,DE,DP,GS,PC,SG,PP,PS,V,GC
19,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,Bahia,4.1,everton-ribeiro,7,11,4,12,4.65,-0.07,Everton Augusto de Barros Ribeiro,9.13,True,E. Ribeiro,51772,265,Everton Ribeiro,,3.0,1.0,,20.0,9.0,3.0,3.0,20.0,,1.0,,,,,,,,,,
20,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Internacional,0.0,fernando,6,6,4,12,1.95,0.0,Fernando Francisco Reges,5.6,False,Fernando,52271,285,Fernando,,,3.0,,6.0,5.0,,,2.0,1.0,,,,,,,,,,,
21,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,Flamengo,0.0,david-luiz,2,6,3,12,4.0,-1.05,David Luiz Moreira Marinho,6.88,True,D. Luiz,52827,262,David Luiz,,,1.0,,2.0,4.0,,1.0,,2.0,,1.0,,,,1.0,1.0,,,,
22,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,Vitória,0.0,leo-gamalho,6,1,5,12,0.0,0.0,Leonardo Gamalho de Souza,4.11,False,L. Gamalho,53865,287,Léo Gamalho,,,,,,,,,,,,,,,,,,,,,
23,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,Juventude,0.0,renan,5,0,1,12,0.0,0.0,Renan dos Santos,4.0,False,Renan,60795,286,Renan,,,,,,,,,,,,,,,,,,,,,
24,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Bahia,0.2,cicinho,6,3,2,12,1.8,-0.43,Neuciano de Jesus Gusmão,4.42,True,Cicinho,61106,265,Cicinho,,,,,,2.0,,,2.0,,,,,,,,1.0,,,,
25,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Juventude,2.9,gilberto,7,7,5,12,0.65,0.42,Gilberto Oliveira Souza Júnior,3.47,True,Gilberto,61188,286,Gilberto,,,,,1.0,5.0,2.0,3.0,1.0,,4.0,,,,,,,,,,
26,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Internacional,1.0,fabricio,7,5,1,12,5.2,-0.94,Fabrício Barros Santana,6.14,True,Fabrício,61228,285,Fabrício,,,,,,,,,,,,,15.0,,4.0,,3.0,,,,
27,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,Fluminense,0.8,douglas-costa,6,7,5,12,1.34,-0.21,Douglas Costa de Souza,4.41,True,D. Costa,62020,266,Douglas Costa,,,,,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,
28,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Fluminense,1.2,ganso,7,9,4,12,3.24,-0.17,Paulo Henrique Chagas de Lima,7.08,True,Ganso,62977,266,Ganso,,2.0,6.0,,5.0,8.0,,,11.0,2.0,,,,,,,,,,,
