,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
19,Christian Chagas Tarouco,Titi,1.73,Titi,Fortaleza,True,2.73,9.5,10,3,7,356,7,50353,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,5.3,titi,,,2.0,1.0,,,8.0,10.0,,2.0,4.0,,1.0,,,,,,,
20,Walter Leandro Capeloza Artune,Walter,1.02,Walter,Cuiabá,True,2.88,9.0,10,1,7,1371,8,51413,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,5.35,walter,26.0,13.0,2.0,,,,,,,,,,,,,,,,,
21,Everton Augusto de Barros Ribeiro,E. Ribeiro,-0.75,Everton Ribeiro,Bahia,True,4.8,1.4,10,4,7,265,9,51772,,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,9.06,everton-ribeiro,,,,1.0,,,16.0,8.0,3.0,3.0,13.0,,1.0,,3.0,,,,,
22,Fernando Francisco Reges,Fernando,-0.76,Fernando,Internacional,True,2.12,-0.3,10,4,6,285,5,52271,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,5.72,fernando,,,,2.0,,,4.0,4.0,,,2.0,1.0,,,,,,,,
23,David Luiz Moreira Marinho,D. Luiz,1.89,David Luiz,Flamengo,True,4.7,10.0,10,3,6,262,4,52827,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,8.56,david-luiz,,,,,,1.0,1.0,4.0,,1.0,,2.0,,1.0,,,,,,
24,Leonardo Gamalho de Souza,L. Gamalho,0.0,Léo Gamalho,Vitória,False,0.0,0.0,10,5,6,287,1,53865,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,4.11,leo-gamalho,,,,,,,,,,,,,,,,,,,,
25,Renan dos Santos,Renan,0.0,Renan,Juventude,False,0.0,0.0,10,1,5,286,0,60795,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,4.0,renan,,,,,,,,,,,,,,,,,,,,
26,Neuciano de Jesus Gusmão,Cicinho,0.0,Cicinho,Bahia,False,5.2,0.0,10,2,6,265,1,61106,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,5.62,cicinho,,,1.0,,,,,1.0,,,1.0,,,,,,,,,
27,Gilberto Oliveira Souza Júnior,Gilberto,-0.02,Gilberto,Juventude,True,0.34,1.6,10,5,7,286,5,61188,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,3.46,gilberto,,,,,,,,5.0,1.0,3.0,,,4.0,,,,,,,
28,Fabrício Barros Santana,Fabrício,1.79,Fabrício,Internacional,True,6.0,8.0,10,1,7,285,3,61228,,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,6.61,fabricio,10.0,2.0,2.0,,,,,,,,,,,,,,,,,
29,Douglas Costa de Souza,D. Costa,-0.1,Douglas Costa,Fluminense,True,1.43,0.8,10,5,6,266,6,62020,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,4.62,douglas-costa,,,,,,,4.0,3.0,2.0,1.0,3.0,,,,,,,,,
30,Paulo Henrique Chagas de Lima,Ganso,0.0,Ganso,Fluminense,False,3.89,0.0,10,4,6,266,7,62977,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,8.39,ganso,,,,5.0,,,4.0,7.0,,,7.0,2.0,,,2.0,,,,,
31,Marcos Luis Rocha Aquino,M. Rocha,0.0,Marcos Rocha,Palmeiras,False,4.21,0.0,10,2,6,275,7,63013,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7.43,marcos-rocha,,,5.0,,,,4.0,6.0,,,3.0,,,,,,,,,
32,Alan Luciano Ruschel,A. Ruschel,0.0,Alan Ruschel,Juventude,False,1.65,0.0,10,2,7,286,4,63110,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,3.64,alan-ruschel,,,,,,,5.0,8.0,,,6.0,,,,,,,,,
33,Edenílson Andrade dos Santos,Edenílson,-0.87,Edenílson,Grêmio,True,1.56,-1.3,10,4,6,284,5,63289,,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,4.64,edenilson,,,,1.0,,,,4.0,,,4.0,1.0,,,,,,,,
34,Alan Patrick Lourenço,A. Patrick,0.0,Alan Patrick,Internacional,False,-0.55,0.0,10,4,6,285,2,68685,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,12.34,alan-patrick,,,,1.0,,,,2.0,,,1.0,,,,,,,,,
35,Carlos Eduardo de Oliveira Alves,Eduardo,-0.91,Eduardo,Botafogo,True,0.13,0.2,10,4,6,263,4,68708,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,6.19,eduardo,,,,,,,,3.0,,,3.0,,1.0,,,,,,,
36,Marcelo Lomba do Nascimento,M. Lomba,0.0,Marcelo Lomba,Palmeiras,False,0.0,0.0,10,1,6,275,0,68872,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6.0,marcelo-lomba,,,,,,,,,,,,,,,,,,,,
37,Eduardo Pereira Rodrigues,Dudu,0.0,Dudu,Palmeiras,False,0.0,0.0,10,5,6,275,0,68920,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,10.0,dudu,,,,,,,,,,,,,,,,,,,,
38,Rafael Pires Monteiro,Rafael,0.0,Rafael,São Paulo,False,3.0,0.0,10,1,6,276,7,68928,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,7.52,rafael,12.0,6.0,3.0,,,,,,,,,,,,,,,,,
39,Rafael Cabral Barbosa,R. Cabral,0.0,Rafael Cabral,Grêmio,False,1.33,0.0,10,1,6,284,3,68940,,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,6.43,rafael-cabral,9.0,5.0,,,,,,,,,,,,,,,,,,
40,Mário Sérgio Santos Costa,Marinho,0.0,Marinho,Fortaleza,False,1.84,0.0,10,5,5,356,5,68952,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,4.49,marinho,,,,1.0,,,3.0,5.0,1.0,6.0,5.0,,4.0,,,,,,,
41,Marcos Gabriel do Nascimento,M. Gabriel,-0.16,Marquinhos Gabriel,Criciúma,True,1.51,0.7,10,4,6,288,7,68954,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,3.71,marquinhos-gabriel,,,,1.0,,,4.0,4.0,3.0,3.0,4.0,,,,,,,,,
42,Lucas Pacheco Affini,L. Sasha,-1.15,Lucas Sasha,Fortaleza,True,1.9,-0.9,10,4,5,356,5,68991,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,4.47,lucas-sasha,,,,,,,9.0,6.0,,,1.0,,,,,,,,,
43,Aderbar Melo dos Santos Neto,Santos,0.0,Santos,Fortaleza,False,0.0,0.0,10,1,6,356,0,69012,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,8.0,santos,,,,,,,,,,,,,,,,,,,,
44,Manoel Messias Silva Carvalho,Manoel,0.0,Manoel,Fluminense,False,0.25,0.0,10,3,6,266,6,69014,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2.96,manoel,,,,1.0,,,2.0,7.0,1.0,,2.0,,,,,,,,,
45,Muriel Gustavo Becker,Muriel,0.0,Muriel,Vitória,False,0.0,0.0,10,1,6,287,0,69041,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,4.0,muriel,,,,,,,,,,,,,,,,,,,,
46,Danilo Fernandes Batista,D. Fernandes,0.0,Danilo Fernandes,Bahia,False,0.0,0.0,10,1,6,265,0,69051,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,4.0,danilo-fernandes,,,,,,,,,,,,,,,,,,,,
47,James David Rodríguez Rubio,J. Rodríguez,0.0,James Rodríguez,São Paulo,False,-0.05,0.0,10,4,6,276,2,69063,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,4.84,james-rodriguez,,,,,,,,,,,,,1.0,,,,,,,
48,Eduardo Jesús Vargas Rojas,Vargas,0.0,Vargas,Atlético-MG,False,5.42,0.0,10,5,6,282,6,69102,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5.65,vargas,,,,,,,2.0,2.0,1.0,4.0,3.0,3.0,2.0,,,,,1.0,,
49,Pablo Felipe Teixeira,Pablo,-0.3,Pablo,Athlético-PR,True,2.4,-1.3,10,5,3,293,9,69138,,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5.88,pablo,,,,3.0,,,3.0,9.0,1.0,3.0,2.0,2.0,,1.0,,,,,,
50,Pablo Nascimento Castro,Pablo,0.0,Pablo,Botafogo,False,0.0,0.0,10,3,6,263,1,69165,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3.22,pablo,,,,,,,,,,,,,,,,,,,,
51,Charles Mariano Aránguiz Sandoval,Aránguiz,-1.11,Aránguiz,Internacional,True,0.33,-1.3,10,4,7,285,4,69325,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,4.47,aranguiz,,,,2.0,,,2.0,10.0,2.0,,3.0,,,,,,,,,
52,João Pedro Geraldino dos Santos Galvão,J. Galvão,-0.48,João Pedro Galvão,Grêmio,True,1.1,-0.6,10,5,7,284,8,69686,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,3.1,joao-pedro-galvao,,,,1.0,,,2.0,11.0,3.0,2.0,11.0,,,,,,,,,
53,Maycon Vinícius Ferreira da Cruz,Nikão,0.04,Nikão,Athlético-PR,True,5.77,4.6,10,4,7,293,7,69705,,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,9.46,nikao,,,,,,,11.0,1.0,6.0,8.0,12.0,1.0,1.0,,,,,,,
