,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
85,Luiz Adriano de Souza da Silva,L. Adriano,0.0,Luiz Adriano,Vitória,False,0.33,0.0,10,5,6,287,6,72772,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,2.49,luiz-adriano,,,,,,,,2.0,1.0,,3.0,,1.0,,,,,,,
86,Fernando Luiz Rosa,Fernandinho,-0.52,Fernandinho,Athlético-PR,True,3.97,4.0,10,4,7,293,9,72775,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,7.53,fernandinho,,,,3.0,,,9.0,13.0,6.0,1.0,12.0,1.0,1.0,,2.0,,,,,
87,Wílker José Ángel Romero,W. Ángel,0.0,Wilker Ángel,Criciúma,False,2.33,0.0,10,3,6,288,3,72801,,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,3.37,wilker-angel,,,1.0,,,,1.0,3.0,1.0,,1.0,,,,,,,,,
88,Gabriel Iván Mercado,Mercado,0.91,Mercado,Internacional,True,2.85,5.5,10,3,7,285,6,72951,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,5.8,mercado,,,3.0,4.0,,,5.0,3.0,,,2.0,,,,,,,,,
89,Samuel Xavier Brito,S. Xavier,0.0,Samuel Xavier,Fluminense,False,3.07,0.0,10,2,7,266,4,73384,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,5.45,samuel-xavier,,,,1.0,,,4.0,5.0,1.0,1.0,6.0,,,,1.0,,,,,
90,Bruno Fabiano Alves,B. Alves,-0.15,Bruno Alves,Cuiabá,True,3.07,4.7,10,3,7,1371,6,73620,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,4.84,bruno-alves,,,2.0,,,,4.0,3.0,1.0,1.0,5.0,,,,,,,,,
91,Rodrigo Caio Coquette Russo,R. Caio,0.0,Rodrigo Caio,Grêmio,False,0.0,0.0,10,3,6,284,0,73800,,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,6.0,rodrigo-caio,,,,,,,,,,,,,,,,,,,,
92,Walisson Moreira Farias Maia,W. Maia,0.0,Walisson Maia,Criciúma,False,2.68,0.0,10,3,6,288,5,73991,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,3.97,walisson-maia,,,1.0,,,,2.0,2.0,,2.0,,,,,1.0,,,,,
93,Cristián Eduardo Zapata Valencia,Zapata,0.0,Zapata,Vitória,False,0.0,0.0,10,3,6,287,0,74028,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,4.0,zapata,,,,,,,,,,,,,,,,,,,,
94,Roberto Junior Fernández Torres,G. Fernández,0.0,Gatito Fernández,Botafogo,False,2.33,0.0,10,1,6,263,3,74061,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,5.63,gatito-fernandez,6.0,4.0,1.0,,,,,,,,,,,,,,,,,
95,Jorge de Moura Xavier,Jorginho,0.0,Jorginho,Atlético-GO,False,0.0,0.0,10,4,6,373,0,77544,,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,4.0,jorginho,,,,,,,,,,,,,,,,,,,,
96,Madson Ferreira dos Santos,Madson,0.0,Madson,Athlético-PR,False,2.8,0.0,10,2,7,293,8,78077,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,4.57,madson,,,3.0,2.0,,,1.0,3.0,,2.0,5.0,,,,1.0,,,,,
97,Everaldo Stum,Everaldo,0.73,Everaldo,Bahia,True,5.78,10.5,10,5,7,265,9,78117,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,8.43,everaldo,,,,1.0,,,4.0,10.0,5.0,3.0,6.0,5.0,2.0,,,,,,,
98,Gustavo Henrique Vernes,G. Henrique,-0.5,Gustavo Henrique,Corinthians,True,1.34,0.5,10,3,7,264,5,78248,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,6.32,gustavo-henrique,,,1.0,,,,2.0,6.0,1.0,3.0,1.0,,,,,1.0,,,,
99,Renê Rodrigues Martins,Renê,0.0,Renê,Internacional,False,6.25,0.0,10,2,7,285,6,78445,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,9.51,rene,,,3.0,1.0,,,11.0,4.0,2.0,2.0,5.0,,,,1.0,,,,,
100,Cláudio Tencati,C. Tencati,0.3,Cláudio Tencati,Criciúma,True,4.42,4.5,10,6,7,288,7,78450,,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,6.03,claudio-tencati,,,,,,,,,,,,,,,,,,,2.0,
101,Jean Mota Oliveira de Sousa,J. Mota,-0.22,Jean Mota,Vitória,True,0.15,-0.3,10,4,6,287,6,78548,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,2.84,jean-mota,,,,,,,,1.0,1.0,,,,,,,,,,,
102,Jonathan Renato Barbosa,J. Cafu,-0.64,Jonathan Cafu,Cuiabá,True,2.53,3.2,10,5,7,1371,7,78580,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,4.08,jonathan-cafu,,,,,,,4.0,8.0,2.0,3.0,5.0,1.0,,,,,,,,
103,Gabriel Girotto Franco,Gabriel,0.0,Gabriel,Athlético-PR,False,0.0,0.0,10,4,6,293,0,78605,,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,5.0,gabriel,,,,,,,,,,,,,,,,,,,,
104,Ramiro Moschen Benetti,Ramiro,0.05,Ramiro,Cruzeiro,True,1.48,2.0,10,4,7,283,8,78715,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,3.71,ramiro,,,,1.0,,,10.0,8.0,,1.0,5.0,,,,,,,,,
105,Reinaldo Manoel da Silva,Reinaldo,-1.06,Reinaldo,Grêmio,True,2.25,-0.2,10,2,7,284,2,78850,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,7.07,reinaldo,,,,1.0,,,1.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,
106,Thiago dos Santos,T. Santos,-0.98,Thiago Santos,Fluminense,True,-1.05,-2.3,10,3,6,266,2,78855,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,1.79,thiago-santos,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,
107,Luiz Felipe do Nascimento dos Santos,L. Felipe,0.0,Luiz Felipe,Atlético-GO,False,-0.33,0.0,10,3,6,373,3,79035,,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,1.61,luiz-felipe,,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,1.0,,1.0,,
108,Víctor Leandro Cuesta,V. Cuesta,0.0,Víctor Cuesta,Bahia,False,1.63,0.0,10,3,6,265,3,79113,,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,4.59,victor-cuesta,,,,1.0,,,4.0,4.0,,1.0,3.0,,,,,,,,,
109,Filipe Augusto Carvalho Souza,F. Augusto,0.0,Filipe Augusto,Cuiabá,False,-0.2,0.0,10,4,5,1371,2,79268,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,2.14,filipe-augusto,,,,1.0,,,,2.0,1.0,,,,,,,,,,,
110,Roger Machado Marques,R. Machado,0.86,Roger Machado,Juventude,True,4.58,7.5,10,6,7,286,8,79437,,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,7.11,roger-machado,,,,,,,,,,,,,,,,,,,2.0,
111,Germán Ezequiel Cano,Cano,-0.53,Cano,Fluminense,True,3.55,2.8,10,5,7,266,8,79631,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,8.81,cano,,,,1.0,,,2.0,3.0,10.0,8.0,3.0,1.0,,,,,,,,
112,Lucas Silva Borges,L. Silva,0.17,Lucas Silva,Cruzeiro,True,1.82,3.4,10,4,7,283,9,79701,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,5.01,lucas-silva,,,,1.0,,,5.0,6.0,3.0,2.0,6.0,1.0,,,,,,,,1.0
113,Antônio Carlos Cunha Capocasali Júnior,A. Carlos,-0.12,Antônio Carlos,Fluminense,True,0.9,1.0,10,3,6,266,3,79702,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,2.64,antonio-carlos,,,,,,,1.0,,,,3.0,,,,,,,,,
114,Jadson Alves dos Santos,Jadson,0.73,Jadson,Juventude,True,7.85,6.1,10,4,6,286,6,80129,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,10.32,jadson,,,,2.0,,,21.0,11.0,4.0,3.0,10.0,1.0,,,2.0,1.0,,,,
115,Glaybson Yago Souza Lisboa,Y. Pikachu,-0.14,Yago Pikachu,Fortaleza,True,0.83,0.7,10,4,7,356,8,80196,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,3.39,yago-pikachu,,,,2.0,,,1.0,2.0,,4.0,10.0,,1.0,,,,,,,
116,Rafael da Silva,R. Silva,0.0,Rafa Silva,Cruzeiro,False,4.04,0.0,10,5,7,283,8,80225,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,5.88,rafa-silva,,,,2.0,,,4.0,6.0,4.0,1.0,4.0,3.0,3.0,,,,,,,
117,Luciano da Rocha Neves,Luciano,-0.25,Luciano,São Paulo,True,6.04,3.0,10,5,7,276,9,80287,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,10.31,luciano,,,,4.0,,,13.0,9.0,5.0,7.0,12.0,3.0,2.0,1.0,,,,1.0,,
118,Gilberto Moraes Júnior,Gilberto,-0.37,Gilberto,Bahia,True,3.33,1.5,10,2,7,265,3,80313,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,7.09,gilberto,,,1.0,,,,4.0,4.0,,,3.0,,1.0,,,,,,,
119,Arthur Caíke do Nascimento Cruz,A. Caíke,-0.6,Arthur Caíke,Criciúma,True,2.26,3.4,10,5,7,288,7,80337,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,3.6,arthur-caike,,,,,,,,3.0,2.0,3.0,9.0,1.0,6.0,,,,,,,
120,Marlon Santos da Silva Barbosa,Marlon,0.0,Marlon,Fluminense,False,0.9,0.0,10,3,7,266,3,80538,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_ybJLR9Q.png,2.68,marlon,,,,1.0,,,3.0,4.0,,1.0,1.0,,,,,,,,,
121,Pedro Tonon Geromel,P. Geromel,0.0,Pedro Geromel,Grêmio,False,2.9,0.0,10,3,6,284,2,80853,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,6.23,pedro-geromel,,,1.0,,,,,,,1.0,,,,,,,,,,
122,Jair Rodrigues Júnior,Jair,0.0,Jair,Vasco,False,0.0,0.0,10,4,5,267,0,81091,,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,4.0,jair,,,,,,,,,,,,,,,,,,,,
123,Mayke Rocha de Oliveira,Mayke,-0.14,Mayke,Palmeiras,True,5.1,4.6,10,2,7,275,8,81150,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,8.69,mayke,,,5.0,3.0,,,15.0,5.0,,,5.0,,2.0,,,,,,,
124,Hugo Mallo Novegil,H. Mallo,0.33,Hugo Mallo,Internacional,True,6.15,5.0,10,2,6,285,4,81551,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CBzQtxz.png,7.2,hugo-mallo,,,2.0,1.0,,,6.0,3.0,,1.0,1.0,1.0,,,,,,,,
125,Rosicley Pereira da Silva,Rossi,-0.34,Rossi,Vasco,True,1.78,1.2,10,5,7,267,9,81798,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,4.44,rossi,,,,1.0,,,9.0,8.0,,1.0,6.0,,2.0,,1.0,,,,,
126,Alisson Euler de Freitas Castro,Alisson,0.44,Alisson,São Paulo,True,2.95,3.9,10,4,3,276,10,81845,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,6.07,alisson,,,,3.0,,,15.0,12.0,3.0,2.0,16.0,,,,1.0,,,,,
127,João Ricardo Riedi,J. Ricardo,0.83,João Ricardo,Fortaleza,True,4.91,7.0,10,1,7,356,9,81881,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,8.45,joao-ricardo,38.0,10.0,3.0,,,,1.0,,,,,,,,,,,,,
128,Willian Osmar de Oliveira Silva,W. Oliveira,1.95,Willian Oliveira,Vitória,True,7.98,18.1,10,4,7,287,8,81952,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,10.53,willian-oliveira,,,,1.0,,,13.0,11.0,,5.0,15.0,5.0,,,,,,1.0,,
129,José Rafael Vivian,Z. Rafael,0.32,Zé Rafael,Palmeiras,True,0.77,3.3,10,4,7,275,6,82455,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,5.12,ze-rafael,,,,2.0,,,5.0,8.0,,,4.0,,,,,,,1.0,,
130,Otávio Henrique Passos Santos,Otávio,0.0,Otávio,Atlético-MG,False,4.04,0.0,10,4,5,282,5,82463,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,6.33,otavio,,,,,,,14.0,6.0,2.0,1.0,4.0,,,,,,,,,
131,Luiz de Araújo Guimarães Neto,L. Araújo,-0.52,Luiz Araújo,Flamengo,True,5.54,2.5,10,5,7,262,10,82627,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,8.25,luiz-araujo,,,,,,,11.0,8.0,2.0,6.0,11.0,3.0,,1.0,1.0,,,,,
132,Guilherme de Jesus da Silva,Tinga,1.08,Tinga,Fortaleza,True,3.36,5.9,10,2,7,356,9,82628,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,5.34,tinga,,,3.0,1.0,,1.0,15.0,6.0,,,2.0,,,,,,,,,
133,Marcelo Gazella Hermes,M. Hermes,0.0,Marcelo Hermes,Criciúma,False,4.23,0.0,10,2,7,288,6,82639,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,6.21,marcelo-hermes,,,1.0,1.0,,,6.0,6.0,1.0,1.0,2.0,1.0,,,1.0,,,,,
134,Wellington Soares da Silva,W. Rato,-1.12,Wellington Rato,São Paulo,True,0.45,0.4,10,4,6,276,2,82766,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,9.88,wellington-rato,,,,,,,,,,,2.0,,1.0,,,,,,,
135,Gabriel Barbosa Almeida,Gabriel,-0.87,Gabriel,Flamengo,True,2.35,0.0,10,5,6,262,4,83257,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,7.35,gabriel,,,,,,,,,,,3.0,1.0,1.0,,,,,,,
136,Leonardo Pereira,L. Pereira,-0.34,Léo Pereira,Flamengo,True,2.32,0.0,10,3,7,262,9,83528,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,6.37,leo-pereira,,,2.0,3.0,,1.0,9.0,5.0,,2.0,8.0,,,,,,,,,
137,Hueglo dos Santos Neris,Neris,0.0,Neris,Cruzeiro,False,1.57,0.0,10,3,6,283,4,83786,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,3.77,neris,,,,,,,5.0,6.0,1.0,,2.0,,1.0,,,,,,,
138,Clayson Henrique da Silva Vieira,Clayson,-1.07,Clayson,Cuiabá,True,2.58,2.1,10,5,7,1371,8,83817,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,4.48,clayson,,,,1.0,,,2.0,3.0,3.0,4.0,9.0,1.0,2.0,,,,,1.0,,
139,Francisco das Chagas Soares dos Santos Meireles,T. Soares,0.0,Tiquinho Soares,Botafogo,False,4.56,0.0,10,5,6,263,5,84042,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,11.45,tiquinho-soares,,,,2.0,,,2.0,7.0,,4.0,11.0,2.0,2.0,,,,,,,
140,Jemerson de Jesus Nascimento,Jemerson,0.0,Jemerson,Grêmio,False,3.13,0.0,10,3,6,284,3,84263,,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,5.81,jemerson,,,2.0,2.0,,,,2.0,,,4.0,,,,,,,,,
141,Alisson Machado dos Santos,Alisson,-0.45,Alisson,Criciúma,True,1.12,-1.0,10,1,6,288,4,84266,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,2.16,alisson,9.0,4.0,,1.0,,,,,,,1.0,,,,,,,,,
142,Fernando Pereira do Nascimento,F. Sobral,-0.93,Fernando Sobral,Cuiabá,True,3.63,1.2,10,4,2,1371,7,84428,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,5.51,fernando-sobral,,,,1.0,,,10.0,2.0,1.0,3.0,7.0,1.0,1.0,,,,,,,
143,Lucas Daniel Romero,L. Romero,0.0,Lucas Romero,Cruzeiro,False,2.24,0.0,10,4,7,283,7,84558,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,4.78,lucas-romero,,,,1.0,,,13.0,6.0,,3.0,7.0,,,,,1.0,,,,
144,Fellipe Mateus de Sena Araújo,F. Mateus,0.0,Fellipe Mateus,Criciúma,False,9.27,0.0,10,4,5,288,3,84587,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,9.93,fellipe-mateus,,,,1.0,,1.0,3.0,3.0,3.0,,15.0,2.0,,,,,,,,
145,Lucas Evangelista Santana de Oliveira,L. Evangelista,0.08,Lucas Evangelista,Bragantino,True,2.97,3.1,10,4,7,280,6,84674,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,7.82,lucas-evangelista,,,,2.0,,,5.0,8.0,1.0,4.0,8.0,1.0,2.0,,,,,,,
146,Guillermo Varela Olivera,Varela,0.0,Varela,Flamengo,False,4.5,0.0,10,2,6,262,5,84816,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,5.73,varela,,,2.0,,,,7.0,7.0,1.0,,10.0,,,,,,,,,
147,Rafael Rogério da Silva,R. Ratão,0.0,Rafael Ratão,Bahia,False,2.97,0.0,10,5,6,265,3,84918,,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,5.14,rafael-ratao,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
148,Marcos Felipe de Freitas Monteiro,M. Felipe,-0.39,Marcos Felipe,Bahia,True,4.86,0.2,10,1,7,265,9,85004,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,7.54,marcos-felipe,38.0,10.0,3.0,1.0,,,1.0,,,,1.0,,,,,,,,,
149,Óscar David Romero Villamayor,Ã. Romero,-0.3,Óscar Romero,Botafogo,True,3.0,1.6,10,4,7,263,8,85034,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,6.53,oscar-romero,,,,2.0,,,13.0,6.0,2.0,1.0,8.0,,,,1.0,,,,,
150,Damián Nicolás Suárez,D. Suárez,0.56,Damián Suárez,Botafogo,True,3.96,4.1,10,2,7,263,8,85277,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,5.84,damian-suarez,,,3.0,2.0,,,10.0,10.0,,3.0,5.0,,2.0,,1.0,,,,,
151,Alex Paulo Menezes Santana,A. Santana,-0.65,Alex Santana,Athlético-PR,True,-0.4,-1.3,10,4,6,293,4,85465,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO.png,2.83,alex-santana,,,,2.0,,,,3.0,,1.0,1.0,,,,,,,,,
152,Leonardo Pinheiro da Conceição,Léo,-0.93,Léo,Vasco,True,1.59,0.1,10,3,7,267,10,85626,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,3.26,leo,,,1.0,,,,8.0,6.0,1.0,,4.0,,1.0,,,,,,,
153,Hyoran Kaue Dalmoro,Hyoran,0.61,Hyoran,Internacional,True,2.97,4.6,10,4,6,285,3,85931,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,5.95,hyoran,,,,,,,4.0,,,2.0,5.0,,,,,,,,,
154,Yannick Bolasie,Bolasie,-0.61,Bolasie,Criciúma,True,5.07,0.2,10,5,7,288,7,86292,,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,6.87,bolasie,,,,2.0,,,4.0,12.0,6.0,6.0,7.0,1.0,2.0,1.0,2.0,,,,,
155,Caio Henrique da Silva Dantas,C. Dantas,0.0,Caio Dantas,Vitória,False,0.0,0.0,10,5,6,287,0,86362,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,3.0,caio-dantas,,,,,,,,,,,,,,,,,,,,
156,Victor Luis Chuab Zamblauskas,V. Luis,-1.7,Victor Luis,Vasco,True,2.93,-0.8,10,2,3,267,4,86410,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,3.6,victor-luis,,,1.0,1.0,,,8.0,7.0,1.0,,4.0,,,,,1.0,,,,
157,Marcos da Silva França,Keno,-0.96,Keno,Fluminense,True,1.65,0.0,10,5,2,266,4,86485,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,6.3,keno,,,,,,,2.0,1.0,1.0,3.0,2.0,,1.0,,,,,,,
158,Jandrei Chitolina Carniel,Jandrei,-0.56,Jandrei,São Paulo,True,3.83,1.5,10,1,7,276,3,86508,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,6.47,jandrei,8.0,3.0,1.0,,,,,,,,3.0,,,,,,,,,
159,Rodrigo Fagundes de Freitas,Rodrigo,-0.22,Rodrigo,Criciúma,True,3.8,3.2,10,3,7,288,6,86684,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,5.0,rodrigo,,,1.0,2.0,,1.0,11.0,6.0,,,3.0,,1.0,1.0,1.0,,,,,
160,Danilo das Neves Pinheiro,T. Tchê,-0.19,Tchê Tchê,Botafogo,True,1.45,1.3,10,4,7,263,8,86686,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,4.05,tche-tche,,,,1.0,,,4.0,3.0,1.0,5.0,7.0,,,,,,,,,
161,Jonathan Francisco Lemos,Jonathan,0.86,Jonathan,Criciúma,True,1.93,4.8,10,2,7,288,4,86713,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,3.79,jonathan,,,,,,,6.0,,,,1.0,,,,,,,,,
162,Everton Sousa Soares,Everton,-0.45,Everton,Flamengo,True,6.2,1.5,10,5,2,262,6,86757,,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,7.54,everton,,,,,,,5.0,2.0,6.0,6.0,4.0,1.0,2.0,,2.0,,,,,
163,Matheus Rossetto,M. Rossetto,0.0,Matheus Rossetto,Fortaleza,False,1.55,0.0,10,4,6,356,2,86766,,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,3.38,matheus-rossetto,,,,,,,2.0,1.0,,,2.0,,,,,,,,,
164,Danilo Barbosa da Silva,D. Barbosa,-0.29,Danilo Barbosa,Botafogo,True,4.74,1.4,10,4,6,263,9,86777,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,7.68,danilo-barbosa,,,,3.0,,,12.0,11.0,,2.0,6.0,3.0,,,1.0,,,1.0,,
165,José Welison da Silva,J. Welison,-0.03,José Welison,Fortaleza,True,1.72,0.9,10,4,7,356,8,86859,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,4.18,jose-welison,,,,1.0,,,11.0,5.0,,2.0,3.0,,,,,,,,,
166,Leonardo César Jardim,L. Jardim,-0.84,Léo Jardim,Vasco,True,2.91,1.0,10,1,7,267,10,87008,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,6.19,leo-jardim,45.0,21.0,1.0,,,,,,,,,,,,,,,,,
167,Nathan Allan de Souza,Nathan,-0.52,Nathan,Grêmio,True,0.83,0.5,10,4,6,284,3,87009,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,4.04,nathan,,,,,,,1.0,,,1.0,1.0,,,,,,,,,
168,Pedro Henrique Ribeiro Gonçalves,P. Henrique,-0.73,Pedro Henrique,Bragantino,True,4.15,1.5,10,3,7,280,6,87225,,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,6.41,pedro-henrique,,,1.0,,,,9.0,6.0,,,6.0,1.0,1.0,,,,,,,
169,Guilherme Antonio Arana Lopes,G. Arana,0.0,Guilherme Arana,Atlético-MG,False,7.83,0.0,10,2,6,282,6,87228,,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_7gOybCT.png,12.32,guilherme-arana,,,3.0,2.0,,,13.0,4.0,2.0,3.0,4.0,1.0,2.0,,1.0,,,,,
170,Carlos María de Pena Bonino,C. Pena,0.01,Carlos de Pena,Bahia,True,0.76,0.0,10,4,6,265,8,87242,,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,2.68,carlos-de-pena,,,,3.0,,,1.0,2.0,1.0,1.0,3.0,,,,1.0,,,,,
171,Yeferson Julio Soteldo Martínez,Soteldo,0.0,Soteldo,Grêmio,False,4.3,0.0,10,5,6,284,5,87258,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,9.1,soteldo,,,,,,,3.0,1.0,2.0,1.0,4.0,1.0,,,1.0,,,,,
172,Walter Kannemann,Kannemann,0.0,Kannemann,Grêmio,False,1.63,0.0,10,3,7,284,3,87342,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,4.46,kannemann,,,,3.0,,,3.0,4.0,,,1.0,,,,1.0,,,,,
173,Allano Brendon de Souza Lima,Allano,0.54,Allano,Criciúma,True,1.3,3.1,10,5,6,288,2,87391,,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,3.94,allano,,,,1.0,,,2.0,1.0,,,3.0,,,,,,,,,
