,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
25,61228,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,0.0,285,Internacional,fabricio,,8,Fabrício Barros Santana,5.96,6,False,Fabrício,34,0.0,Fabrício,4.13,1,,,,,,,,,,,,,3.0,,,,26.0,8.0,,
26,61987,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,-0.1,262,Flamengo,alex-sandro,,5,Alex Sandro Lobo Silva,5.91,7,True,Alex Sandro,34,-1.16,A. Sandro,2.06,2,,1.0,1.0,5.0,,1.0,2.0,,,2.0,,,2.0,,,,,,,
27,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,0.0,266,Fluminense,ganso,,26,Paulo Henrique Chagas de Lima,6.61,7,False,Ganso,34,0.0,Ganso,3.18,4,5.0,10.0,23.0,18.0,6.0,4.0,31.0,,3.0,1.0,1.0,,,,,,,,,
28,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,0.4,275,Palmeiras,marcos-rocha,,24,Marcos Luis Rocha Aquino,6.99,7,True,Marcos Rocha,34,-0.55,M. Rocha,4.57,2,2.0,5.0,37.0,24.0,,2.0,12.0,,,2.0,,,12.0,,,,,,,
29,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,0.0,286,Juventude,alan-ruschel,,22,Alan Luciano Ruschel,4.82,6,False,Alan Ruschel,34,0.0,A. Ruschel,3.49,2,1.0,3.0,41.0,22.0,,4.0,28.0,,1.0,,,1.0,2.0,,,,,,,
30,63289,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,2.6,284,Grêmio,edenilson,,23,Edenílson Andrade dos Santos,4.3,7,True,Edenílson,34,-0.06,Edenílson,1.83,4,1.0,3.0,13.0,17.0,5.0,3.0,22.0,1.0,1.0,3.0,,,,,,,,,,
31,68685,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,3.9,285,Internacional,alan-patrick,,17,Alan Patrick Lourenço,10.4,7,True,Alan Patrick,34,-0.98,A. Patrick,5.49,4,2.0,3.0,15.0,17.0,9.0,9.0,23.0,,6.0,,1.0,,,,,,,,,
32,68708,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,1.4,263,Botafogo,eduardo,,14,Carlos Eduardo de Oliveira Alves,6.12,6,True,Eduardo,34,0.09,Eduardo,2.41,4,1.0,1.0,7.0,10.0,3.0,5.0,10.0,,2.0,1.0,1.0,,,,,,,,,
33,68872,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,275,Palmeiras,marcelo-lomba,,1,Marcelo Lomba do Nascimento,4.99,6,False,Marcelo Lomba,34,0.0,M. Lomba,-1.0,1,,,,,,,,,,,,,,,,,1.0,2.0,,
34,68899,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,2.5,267,Vasco,philippe-coutinho,,10,Philippe Coutinho Correia,5.68,2,True,Philippe Coutinho,34,0.12,P. Coutinho,2.19,4,,,5.0,5.0,3.0,3.0,7.0,,1.0,,,,,,,,,,,
35,68920,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,1.1,275,Palmeiras,dudu,,15,Eduardo Pereira Rodrigues,5.36,2,True,Dudu,34,-0.55,Dudu,1.54,5,,,5.0,4.0,5.0,3.0,18.0,,,1.0,,,,,1.0,,,,,
