,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
77,72460,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,1.2,282,Atlético-MG,bernard,,12,Bernard Anício Caldeira Duarte,5.81,2,True,Bernard,34,0.01,Bernard,1.03,4,,1.0,8.0,14.0,,2.0,7.0,1.0,,1.0,,,,,,,,,,
78,72493,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,6.2,263,Botafogo,alex-telles,,8,Alex Nicolao Telles,8.8,7,True,Alex Telles,34,-0.17,A. Telles,5.68,2,1.0,,5.0,3.0,1.0,4.0,2.0,,,,,,6.0,,,,,,,
79,72497,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,0.0,373,Atlético-GO,gustavo-campanharo,,3,Gustavo Campanharo,3.66,6,False,Gustavo Campanharo,34,0.0,G. Campanharo,0.47,4,,,1.0,2.0,,1.0,,,,,,,,,,,,,,
80,72532,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,0.0,373,Atlético-GO,maguinho,,20,Magno José da Silva,4.78,6,False,Maguinho,34,0.0,Maguinho,2.49,2,1.0,3.0,20.0,21.0,3.0,6.0,12.0,,,2.0,,1.0,4.0,2.0,1.0,,,,,
81,72583,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,0.0,264,Corinthians,pedro-henrique,,10,Pedro Henrique Konzen Medina da Silva,4.69,6,False,Pedro Henrique,34,0.0,P. Henrique,2.56,5,1.0,2.0,4.0,6.0,2.0,7.0,8.0,,1.0,4.0,,,,,,,,,,
82,72595,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,0.0,356,Fortaleza,mauricio-kozlinski,,0,Maurício Kozlinski,3.0,6,False,Maurício Kozlinski,34,0.0,M. Kozlinski,0.0,1,,,,,,,,,,,,,,,,,,,,
83,72605,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,0.0,265,Bahia,vitor-hugo,,1,Vitor Hugo Franchescoli de Souza,3.58,6,False,Vitor Hugo,34,0.0,V. Hugo,0.0,3,,,,,,,,,,,,,,,,,,,,
84,72775,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,0.0,293,Athlético-PR,fernandinho,,21,Fernando Luiz Rosa,6.11,6,True,Fernandinho,34,-0.31,Fernandinho,2.98,4,3.0,6.0,18.0,29.0,9.0,5.0,20.0,,2.0,1.0,,,,,,,,,,
85,72801,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,0.0,288,Criciúma,wilker-angel,,11,Wílker José Ángel Romero,3.37,7,False,Wilker Ángel,34,0.0,W. Ángel,1.94,3,,3.0,9.0,18.0,2.0,2.0,4.0,,1.0,1.0,,,1.0,,,,,,,
86,72951,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,0.0,285,Internacional,mercado,,14,Gabriel Iván Mercado,4.98,5,False,Mercado,34,0.0,Mercado,3.15,3,,5.0,9.0,7.0,,1.0,3.0,,1.0,,,,6.0,,,,,,,
87,73384,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,0.0,266,Fluminense,samuel-xavier,,23,Samuel Xavier Brito,6.2,7,False,Samuel Xavier,34,0.0,S. Xavier,4.32,2,2.0,4.0,27.0,27.0,4.0,5.0,41.0,,,2.0,,,8.0,,,,,,,
88,73620,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,2.4,1371,Cuiabá,bruno-alves,,23,Bruno Fabiano Alves,4.79,7,True,Bruno Alves,34,-0.15,B. Alves,3.33,3,,2.0,21.0,14.0,3.0,4.0,15.0,,1.0,,,,7.0,,,,,,,
89,73800,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,0.0,284,Grêmio,rodrigo-caio,,2,Rodrigo Caio Coquette Russo,5.98,6,False,Rodrigo Caio,34,0.0,R. Caio,2.2,3,,,3.0,,,1.0,2.0,,,,,,,1.0,,,,,,
90,73991,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,0.0,288,Criciúma,walisson-maia,,12,Walisson Moreira Farias Maia,3.17,6,False,Walisson Maia,34,0.0,W. Maia,1.49,3,1.0,2.0,5.0,9.0,,2.0,2.0,,,,,,2.0,1.0,,,,,,
91,74061,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,0.0,263,Botafogo,gatito-fernandez,,3,Roberto Junior Fernández Torres,6.82,6,False,Gatito Fernández,34,0.0,G. Fernández,2.0,1,,1.0,,,,,,,,,,,1.0,,,,6.0,4.0,,
92,74157,https://s.sde.globo.com/media/person_role/2024/07/17/photo_FORMATO_WdH8RPs.png,0.0,373,Atlético-GO,campbell,,8,Joel Nathaniel Campbell Samuels,7.41,6,False,Campbell,34,0.0,Campbell,3.69,5,,3.0,7.0,2.0,1.0,5.0,7.0,,2.0,,,,,,,,,,,
93,77485,https://s.sde.globo.com/media/person_role/2024/09/10/photo_FORMATO_tEHEHYn.png,-0.7,264,Corinthians,carrillo,,9,André Martín Carrillo Díaz,5.1,7,True,Carrillo,34,-0.29,Carrillo,2.17,4,1.0,2.0,14.0,11.0,1.0,1.0,2.0,,,,,,,,,,,,,
94,77544,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,0.0,373,Atlético-GO,jorginho,,2,Jorge de Moura Xavier,5.5,5,False,Jorginho,34,0.0,Jorginho,3.95,4,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
95,78077,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,0.0,293,Athlético-PR,madson,,18,Madson Ferreira dos Santos,4.64,6,False,Madson,34,0.0,Madson,2.19,2,1.0,3.0,6.0,6.0,,2.0,11.0,,,1.0,,,5.0,,,,,,,
96,78117,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,0.8,265,Bahia,everaldo,,32,Everaldo Stum,6.93,6,True,Everaldo,34,-0.32,Everaldo,4.43,5,2.0,4.0,16.0,27.0,18.0,17.0,28.0,4.0,8.0,5.0,,,,,,,,,,
97,78248,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,2.3,264,Corinthians,gustavo-henrique,,15,Gustavo Henrique Vernes,5.15,2,True,Gustavo Henrique,34,0.05,G. Henrique,1.47,3,,4.0,7.0,13.0,3.0,5.0,4.0,,,1.0,,1.0,3.0,,,,,,,
98,78445,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,8.6,285,Internacional,rene,,14,Renê Rodrigues Martins,9.37,6,True,Renê,34,0.6,Renê,5.45,2,1.0,2.0,27.0,11.0,3.0,4.0,15.0,,,,,,6.0,,,,,,,
99,78450,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,1.68,288,Criciúma,claudio-tencati,,30,Cláudio Tencati,6.14,7,True,Cláudio Tencati,34,-0.27,C. Tencati,4.15,6,,,,,,,,,,,,,,,,,,,7.0,
100,78548,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,0.0,287,Vitória,jean-mota,,15,Jean Mota Oliveira de Sousa,3.28,6,False,Jean Mota,34,0.0,J. Mota,1.29,4,,,3.0,7.0,2.0,2.0,6.0,1.0,1.0,1.0,,,,,,,,,,
101,78580,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,0.0,1371,Cuiabá,jonathan-cafu,,21,Jonathan Renato Barbosa,3.32,6,False,Jonathan Cafu,34,0.0,J. Cafu,1.74,5,,,12.0,13.0,4.0,5.0,19.0,,1.0,2.0,,,,,,,,,,
102,78605,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,4.9,293,Athlético-PR,gabriel,,16,Gabriel Girotto Franco,5.65,7,True,Gabriel,34,0.68,Gabriel,3.56,4,1.0,3.0,33.0,18.0,1.0,7.0,12.0,,1.0,,,,,,,,,,,
103,78715,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,1.8,283,Cruzeiro,ramiro,,23,Ramiro Moschen Benetti,3.47,3,True,Ramiro,34,0.23,Ramiro,1.69,4,,3.0,25.0,23.0,1.0,4.0,13.0,,1.0,1.0,,,,,,,,,,
104,78850,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,3.1,284,Grêmio,reinaldo,,21,Reinaldo Manoel da Silva,7.87,7,True,Reinaldo,34,-0.55,Reinaldo,4.82,2,1.0,2.0,19.0,14.0,16.0,9.0,17.0,,2.0,1.0,,,6.0,1.0,,,,,,
105,78855,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,0.0,266,Fluminense,thiago-santos,,20,Thiago dos Santos,4.03,7,False,Thiago Santos,34,0.0,T. Santos,3.57,3,,8.0,25.0,21.0,4.0,3.0,19.0,,,,,,8.0,1.0,,,,,,
106,79035,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,0.0,373,Atlético-GO,luiz-felipe,,15,Luiz Felipe do Nascimento dos Santos,4.44,6,False,Luiz Felipe,34,0.0,L. Felipe,2.9,3,,4.0,18.0,18.0,1.0,5.0,2.0,,1.0,,,1.0,4.0,1.0,1.0,,,,,
107,79113,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,0.0,265,Bahia,victor-cuesta,,6,Víctor Leandro Cuesta,3.48,6,False,Víctor Cuesta,34,0.0,V. Cuesta,1.08,3,,3.0,7.0,7.0,,1.0,5.0,,,1.0,,,,,,,,,,
108,79268,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,2.6,1371,Cuiabá,filipe-augusto,,15,Filipe Augusto Carvalho Souza,1.62,2,True,Filipe Augusto,34,0.29,F. Augusto,0.52,4,,5.0,11.0,19.0,1.0,2.0,5.0,,,,,,,,,,,,,
109,79437,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,7.04,285,Internacional,roger-machado,,29,Roger Machado Marques,8.09,7,True,Roger Machado,34,-0.16,R. Machado,5.49,6,,,,,,,,,,,,,,,,,,,13.0,
110,79631,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,0.0,266,Fluminense,cano,,18,Germán Ezequiel Cano,6.62,6,False,Cano,34,0.0,Cano,2.01,5,,3.0,4.0,6.0,14.0,11.0,5.0,1.0,1.0,1.0,,1.0,,,,,,,,
111,79701,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,-0.6,283,Cruzeiro,lucas-silva,,26,Lucas Silva Borges,3.3,6,True,Lucas Silva,34,-0.35,L. Silva,0.95,4,,5.0,9.0,19.0,5.0,8.0,17.0,,1.0,1.0,,,,1.0,,1.0,,,,
112,79702,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,0.0,266,Fluminense,antonio-carlos,,13,Antônio Carlos Cunha Capocasali Júnior,2.84,6,False,Antônio Carlos,34,0.0,A. Carlos,1.72,3,,1.0,6.0,10.0,,4.0,12.0,,,1.0,,,2.0,,,,,,,
113,80129,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,6.7,286,Juventude,jadson,,26,Jadson Alves dos Santos,8.83,7,True,Jadson,34,0.39,Jadson,4.65,4,5.0,11.0,56.0,32.0,5.0,9.0,54.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,
114,80196,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,0.0,356,Fortaleza,yago-pikachu,,27,Glaybson Yago Souza Lisboa,4.56,6,False,Yago Pikachu,34,0.0,Y. Pikachu,2.92,4,4.0,5.0,18.0,11.0,3.0,13.0,34.0,,2.0,3.0,,,,1.0,,,,,,
115,80225,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,0.0,283,Cruzeiro,rafa-silva,,9,Rafael da Silva,5.02,6,False,Rafa Silva,34,0.0,R. Silva,3.22,5,,2.0,4.0,7.0,4.0,1.0,4.0,,3.0,3.0,,1.0,,,,,,,,
116,80287,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,3.5,276,São Paulo,luciano,,28,Luciano da Rocha Neves,10.21,7,True,Luciano,34,-0.95,Luciano,5.91,5,3.0,10.0,21.0,28.0,14.0,28.0,37.0,4.0,10.0,5.0,1.0,1.0,,,1.0,,,,,
117,80313,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,8.1,265,Bahia,gilberto,,14,Gilberto Moraes Júnior,7.9,6,True,Gilberto,34,0.87,Gilberto,4.15,2,1.0,2.0,22.0,10.0,2.0,5.0,15.0,,1.0,1.0,,,2.0,,,,,,,
118,80337,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO.png,0.5,288,Criciúma,arthur-caike,,26,Arthur Caíke do Nascimento Cruz,3.79,6,True,Arthur Caíke,34,0.01,A. Caíke,2.38,5,,4.0,4.0,21.0,6.0,16.0,27.0,1.0,4.0,15.0,,,,,,,,,,
119,80853,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,0.7,284,Grêmio,pedro-geromel,,10,Pedro Tonon Geromel,5.01,6,True,Pedro Geromel,34,-0.36,P. Geromel,2.4,3,,4.0,6.0,3.0,1.0,5.0,3.0,,,,,,3.0,,,,,,,
120,81091,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,0.0,267,Vasco,jair,,2,Jair Rodrigues Júnior,3.45,6,False,Jair,34,0.0,Jair,0.55,4,,1.0,1.0,2.0,,,3.0,,,,,,,,,,,,,
121,81150,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,0.0,275,Palmeiras,mayke,,19,Mayke Rocha de Oliveira,7.52,6,False,Mayke,34,0.0,Mayke,4.2,2,,5.0,26.0,15.0,,1.0,9.0,,1.0,2.0,,,9.0,,,,,,,
122,81798,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,0.0,267,Vasco,rossi,,11,Rosicley Pereira da Silva,4.06,6,False,Rossi,34,0.0,Rossi,1.66,5,1.0,3.0,12.0,9.0,,1.0,8.0,,,2.0,,,,,,,,,,
123,81845,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,-0.8,276,São Paulo,alisson,,18,Alisson Euler de Freitas Castro,5.46,6,True,Alisson,34,-0.22,Alisson,3.15,4,2.0,5.0,25.0,22.0,4.0,2.0,28.0,,1.0,,,,,,,,,,,
124,81881,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,0.0,356,Fortaleza,joao-ricardo,,31,João Ricardo Riedi,8.71,7,False,João Ricardo,34,0.0,J. Ricardo,4.97,1,,2.0,1.0,,,,5.0,,,,,,11.0,,,,126.0,29.0,,
125,81952,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,0.9,287,Vitória,willian-oliveira,,30,Willian Osmar de Oliveira Silva,7.01,2,True,Willian Oliveira,34,-0.19,W. Oliveira,4.19,4,1.0,7.0,48.0,36.0,8.0,15.0,34.0,,5.0,,,,,,2.0,,,,,
126,81965,https://s.sde.globo.com/media/person_role/2015/08/18/87400d05b54fad3fbdebe823f0d1160b_220x220.png,0.0,280,Bragantino,cavaleiro,,5,Ivan Ricardo Neves Abreu Cavaleiro,2.83,6,False,Cavaleiro,34,0.0,Cavaleiro,0.78,5,,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,
127,82455,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,0.0,275,Palmeiras,ze-rafael,,16,José Rafael Vivian,4.52,6,False,Zé Rafael,34,0.0,Z. Rafael,1.64,4,2.0,6.0,16.0,28.0,2.0,3.0,17.0,,,,,1.0,,,1.0,,,,,
128,82463,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_ewcCU8a.png,3.1,282,Atlético-MG,otavio,,20,Otávio Henrique Passos Santos,5.35,6,True,Otávio,34,0.27,Otávio,2.82,4,,2.0,41.0,22.0,2.0,7.0,16.0,,,,,,,,,,,,,
129,82627,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,0.0,262,Flamengo,luiz-araujo,,23,Luiz de Araújo Guimarães Neto,8.3,6,False,Luiz Araújo,34,0.0,L. Araújo,5.54,5,5.0,3.0,35.0,23.0,13.0,17.0,30.0,1.0,3.0,2.0,,,,,,,,,,
130,82628,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,0.0,356,Fortaleza,tinga,,25,Guilherme de Jesus da Silva,6.34,6,False,Tinga,34,0.0,Tinga,3.83,2,2.0,1.0,27.0,14.0,,4.0,7.0,1.0,1.0,,,1.0,9.0,1.0,,,,,,
131,82639,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,1.7,288,Criciúma,marcelo-hermes,,28,Marcelo Gazella Hermes,5.18,7,True,Marcelo Hermes,34,0.07,M. Hermes,3.16,2,2.0,4.0,33.0,25.0,6.0,9.0,16.0,,1.0,1.0,,,4.0,,,,,,,
132,82766,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,0.0,276,São Paulo,wellington-rato,,23,Wellington Soares da Silva,5.83,6,False,Wellington Rato,34,0.0,W. Rato,2.57,4,5.0,1.0,7.0,8.0,5.0,8.0,18.0,,1.0,3.0,,,,,,,,,,
133,83257,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,0.0,262,Flamengo,gabriel,,16,Gabriel Barbosa Almeida,7.28,7,False,Gabriel,34,0.0,Gabriel,2.75,5,1.0,2.0,3.0,1.0,6.0,6.0,5.0,,3.0,10.0,,,,,,,,,,
134,83528,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,2.0,262,Flamengo,leo-pereira,,26,Leonardo Pereira,5.46,7,True,Léo Pereira,34,-0.36,L. Pereira,2.0,3,,6.0,20.0,14.0,,5.0,12.0,,,1.0,,,6.0,2.0,,,,,,
135,83786,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_NM0hbTO.png,6.8,287,Vitória,neris,,19,Hueglo dos Santos Neris,5.25,7,True,Neris,34,1.02,Neris,3.09,3,,2.0,20.0,22.0,1.0,1.0,3.0,,1.0,1.0,,1.0,7.0,,,,,,,
136,83817,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,5.4,1371,Cuiabá,clayson,,25,Clayson Henrique da Silva Vieira,4.58,7,True,Clayson,34,0.69,Clayson,2.39,5,1.0,6.0,10.0,15.0,7.0,9.0,26.0,,3.0,4.0,,,,,1.0,,,,,
137,84042,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,2.5,263,Botafogo,tiquinho-soares,,26,Francisco das Chagas Soares dos Santos Meireles,8.97,6,True,Tiquinho Soares,34,0.29,T. Soares,3.48,5,3.0,4.0,11.0,36.0,6.0,15.0,37.0,,5.0,4.0,,,,,,,,,,
138,84263,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,0.0,284,Grêmio,jemerson,,9,Jemerson de Jesus Nascimento,5.27,7,False,Jemerson,34,0.0,Jemerson,3.3,3,,4.0,5.0,11.0,,2.0,5.0,,1.0,1.0,,,4.0,1.0,,,,,,
139,84266,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,0.0,288,Criciúma,alisson,,6,Alisson Machado dos Santos,2.95,7,False,Alisson,34,0.0,Alisson,1.58,1,,2.0,,,,,1.0,,,,,,,,,,18.0,7.0,,
140,84428,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,4.3,1371,Cuiabá,fernando-sobral,,26,Fernando Pereira do Nascimento,5.43,7,True,Fernando Sobral,34,0.46,F. Sobral,2.99,4,1.0,5.0,40.0,20.0,4.0,11.0,29.0,,1.0,1.0,,,,,,,,,,
141,84558,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,0.9,283,Cruzeiro,lucas-romero,,29,Lucas Daniel Romero,4.75,7,True,Lucas Romero,34,-0.25,L. Romero,2.65,4,2.0,4.0,52.0,38.0,4.0,8.0,23.0,,,,,1.0,,,,,,,,
142,84587,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,1.7,288,Criciúma,fellipe-mateus,,25,Fellipe Mateus de Sena Araújo,6.57,7,True,Fellipe Mateus,34,-0.18,F. Mateus,3.66,4,,2.0,24.0,18.0,11.0,10.0,46.0,1.0,3.0,2.0,,,,1.0,,,,,,
143,84674,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,4.8,280,Bragantino,lucas-evangelista,,25,Lucas Evangelista Santana de Oliveira,7.53,7,True,Lucas Evangelista,34,0.05,L. Evangelista,3.43,4,1.0,3.0,24.0,25.0,6.0,13.0,46.0,2.0,2.0,4.0,,,,,,,,,,
144,84816,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,0.0,262,Flamengo,varela,,13,Guillermo Varela Olivera,6.77,6,False,Varela,34,0.0,Varela,4.32,2,,,18.0,7.0,2.0,1.0,17.0,,,1.0,,,5.0,,,,,,,
145,84918,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,0.0,265,Bahia,rafael-ratao,,18,Rafael Rogério da Silva,4.01,6,False,Rafael Ratão,34,0.0,R. Ratão,1.99,5,2.0,,6.0,9.0,4.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,,,
146,85004,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,0.0,265,Bahia,marcos-felipe,,31,Marcos Felipe de Freitas Monteiro,7.17,7,False,Marcos Felipe,34,0.0,M. Felipe,3.81,1,,2.0,1.0,1.0,,,5.0,,,,,,9.0,,,,104.0,39.0,,1.0
147,85034,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,0.0,263,Botafogo,oscar-romero,,18,Óscar David Romero Villamayor,6.97,6,False,Óscar Romero,34,0.0,Ã. Romero,3.53,4,4.0,5.0,21.0,12.0,8.0,3.0,14.0,,1.0,,,,,,,,,,,
148,85048,https://s.sde.globo.com/media/person_role/2024/09/17/photo_FORMATO_bZqek6n.png,17.0,264,Corinthians,memphis-depay,,8,Memphis Depay,13.13,3,True,Memphis Depay,34,1.63,M. Depay,7.11,5,1.0,3.0,5.0,4.0,4.0,5.0,13.0,1.0,4.0,2.0,,,,,,,,,,
149,85465,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,1.6,264,Corinthians,alex-santana,,12,Alex Paulo Menezes Santana,3.25,6,True,Alex Santana,34,0.19,A. Santana,1.33,4,,4.0,11.0,14.0,1.0,6.0,10.0,,,,,,,,,,,,,
150,85626,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,0.0,267,Vasco,leo,,25,Leonardo Pinheiro da Conceição,3.67,7,True,Léo,34,-0.38,Léo,2.29,3,,2.0,24.0,16.0,2.0,2.0,13.0,,,1.0,,,5.0,,,,,,,
151,85856,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,4.8,287,Vitória,ricardo-ryller,,15,Ricardo Ryller Ribeiro Lino Silva,4.85,2,True,Ricardo Ryller,34,0.39,R. Ryller,2.63,4,1.0,,22.0,13.0,,7.0,13.0,,,,,,,,,,,,,
152,85931,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,0.0,285,Internacional,hyoran,,10,Hyoran Kaue Dalmoro,3.83,6,False,Hyoran,34,0.0,Hyoran,1.38,4,,,5.0,6.0,1.0,5.0,9.0,,,1.0,,,,,,,,,,
153,85993,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_zFut1NF.png,0.0,1371,Cuiabá,gustavo-sauer,,9,Gustavo Affonso Sauerbeck,3.59,6,True,Gustavo Sauer,34,-0.55,G. Sauer,1.72,4,,,8.0,4.0,2.0,1.0,8.0,,,1.0,,,,,,,,,,
154,86292,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,1.8,288,Criciúma,bolasie,,27,Yannick Bolasie,7.38,7,True,Bolasie,34,-0.21,Bolasie,4.86,5,4.0,4.0,15.0,32.0,21.0,26.0,22.0,1.0,6.0,10.0,,,,,,,,,,
155,86362,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,0.0,287,Vitória,caio-dantas,,0,Caio Henrique da Silva Dantas,3.0,6,False,Caio Dantas,34,0.0,C. Dantas,0.0,5,,,,,,,,,,,,,,,,,,,,
156,86410,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,0.0,267,Vasco,victor-luis,,9,Victor Luis Chuab Zamblauskas,6.57,6,False,Victor Luis,34,0.0,V. Luis,4.67,2,1.0,3.0,14.0,10.0,1.0,,10.0,,1.0,,,1.0,3.0,,,,,,,
157,86485,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,0.0,266,Fluminense,keno,,20,Marcos da Silva França,5.26,7,False,Keno,34,0.0,Keno,2.43,5,,3.0,18.0,13.0,6.0,11.0,21.0,,1.0,4.0,,,,,,,,,,
158,86508,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,0.0,276,São Paulo,jandrei,,12,Jandrei Chitolina Carniel,5.73,6,False,Jandrei,34,0.0,Jandrei,3.75,1,,,,,,,8.0,,,,,,4.0,,,,35.0,14.0,,
159,86684,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,1.0,288,Criciúma,rodrigo,,26,Rodrigo Fagundes de Freitas,4.94,7,True,Rodrigo,34,0.22,Rodrigo,3.35,3,1.0,7.0,41.0,27.0,2.0,5.0,10.0,1.0,2.0,2.0,,,4.0,2.0,,,,,,
160,86686,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,0.0,263,Botafogo,tche-tche,,26,Danilo das Neves Pinheiro,2.98,6,False,Tchê Tchê,34,0.0,T. Tchê,0.95,4,,2.0,13.0,14.0,5.0,6.0,15.0,,,,,1.0,,,,,,,,
161,86713,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,0.0,288,Criciúma,jonathan,,14,Jonathan Francisco Lemos,3.65,6,False,Jonathan,34,0.0,Jonathan,1.93,2,,2.0,19.0,9.0,1.0,1.0,4.0,,,,,,1.0,,,,,,,
