,atletas.clube.id.full.name,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido,atletas.entrou_em_campo,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.media_num,atletas.atleta_id,atletas.slug,atletas.nome,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.pontos_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,SG,DE,GS,V,PS,GC,PP,DP
18,Cuiabá,1,,7,Walter,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter,-0.99,3.49,51413,walter,Walter Leandro Capeloza Artune,1371,5.08,31,26,1.0,,1.0,,,,,,1.0,,,,,6.0,98.0,37.0,,,,,
19,Bahia,4,,7,Everton Ribeiro,True,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,E. Ribeiro,0.85,4.22,51772,everton-ribeiro,Everton Augusto de Barros Ribeiro,265,8.78,31,28,6.2,4.0,3.0,,45.0,28.0,7.0,7.0,52.0,,2.0,1.0,,,,,,,,,
20,Internacional,4,,6,Fernando,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,0.0,2.34,52271,fernando,Fernando Francisco Reges,285,5.36,31,15,0.0,,4.0,,23.0,14.0,1.0,1.0,6.0,1.0,1.0,2.0,,,,,,,,,
21,Flamengo,3,,7,David Luiz,False,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,D. Luiz,0.0,2.44,52827,david-luiz,David Luiz Moreira Marinho,262,5.91,31,18,0.0,,4.0,,7.0,18.0,3.0,6.0,7.0,1.0,2.0,,1.0,3.0,,,,,,,
22,Vasco,4,,6,Alex Teixeira,True,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,A. Teixeira,0.43,2.0,60793,alex-teixeira,Alex Teixeira Santos,267,5.12,31,2,3.5,,,,3.0,,,,1.0,,,1.0,,,,,,,,,
23,Vasco,4,,6,Souza,False,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,Souza,0.0,-0.5,60803,souza,Josef de Souza Dias,267,3.57,31,4,0.0,,1.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,
24,Bahia,2,,6,Cicinho,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,0.0,1.32,61106,cicinho,Neuciano de Jesus Gusmão,265,4.32,31,4,0.0,,1.0,,1.0,3.0,,,2.0,,,,,1.0,,,,,,,
25,Juventude,5,,7,Gilberto,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,0.54,2.44,61188,gilberto,Gilberto Oliveira Souza Júnior,286,4.92,31,18,8.4,1.0,3.0,,6.0,19.0,7.0,10.0,11.0,1.0,2.0,5.0,,,,,,,,,
26,Internacional,1,,6,Fabrício,False,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,0.0,4.13,61228,fabricio,Fabrício Barros Santana,285,5.96,31,8,0.0,,,,,,,,,,,,,3.0,26.0,8.0,,,,,
27,Flamengo,2,,6,Alex Sandro,False,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,A. Sandro,0.0,2.17,61987,alex-sandro,Alex Sandro Lobo Silva,262,6.94,31,3,0.0,,,,1.0,5.0,,1.0,2.0,,,,,1.0,,,,,,,
28,Fluminense,4,,6,Ganso,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,0.46,3.18,62977,ganso,Paulo Henrique Chagas de Lima,266,6.61,31,26,1.0,5.0,10.0,,23.0,18.0,6.0,4.0,31.0,,3.0,1.0,,,,,,,,1.0,
29,Palmeiras,2,,7,Marcos Rocha,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,M. Rocha,0.0,4.76,63013,marcos-rocha,Marcos Luis Rocha Aquino,275,7.03,31,22,0.0,2.0,3.0,,31.0,20.0,,2.0,10.0,,,1.0,,12.0,,,,,,,
30,Juventude,2,,7,Alan Ruschel,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,A. Ruschel,-0.56,3.69,63110,alan-ruschel,Alan Luciano Ruschel,286,4.98,31,20,1.3,1.0,2.0,1.0,38.0,21.0,,4.0,27.0,,1.0,,,2.0,,,,,,,
31,Grêmio,4,,6,Edenílson,True,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson,0.48,1.8,63289,edenilson,Edenílson Andrade dos Santos,284,4.36,31,22,2.9,1.0,3.0,,11.0,16.0,5.0,3.0,21.0,1.0,1.0,3.0,,,,,,,,,
32,Internacional,4,,7,Alan Patrick,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,A. Patrick,1.37,5.17,68685,alan-patrick,Alan Patrick Lourenço,285,11.04,31,15,9.7,2.0,3.0,,13.0,17.0,7.0,9.0,17.0,,5.0,,,,,,,,,1.0,
33,Botafogo,4,,6,Eduardo,True,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Eduardo,-0.2,2.7,68708,eduardo,Carlos Eduardo de Oliveira Alves,263,6.27,31,12,0.0,1.0,1.0,,6.0,9.0,3.0,5.0,9.0,,2.0,1.0,,,,,,,,1.0,
34,Palmeiras,1,,6,Marcelo Lomba,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,M. Lomba,0.0,-1.0,68872,marcelo-lomba,Marcelo Lomba do Nascimento,275,4.99,31,1,0.0,,,,,,,,,,,,,,1.0,2.0,,,,,
35,Vasco,4,,7,Philippe Coutinho,False,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,P. Coutinho,0.0,2.28,68899,philippe-coutinho,Philippe Coutinho Correia,267,5.87,31,8,0.0,,,,4.0,5.0,2.0,2.0,6.0,,1.0,,,,,,,,,,
36,Palmeiras,5,,6,Dudu,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Dudu,-0.27,1.29,68920,dudu,Eduardo Pereira Rodrigues,275,5.33,31,13,0.5,,,,3.0,3.0,5.0,2.0,11.0,,,,,,,,,1.0,,,
37,São Paulo,1,,7,Rafael,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael,-0.9,3.05,68928,rafael,Rafael Pires Monteiro,276,6.28,31,19,1.0,,1.0,,,,,,,,,,,7.0,43.0,19.0,,,,,
38,Grêmio,1,,6,Rafael Cabral,False,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,R. Cabral,0.0,2.08,68940,rafael-cabral,Rafael Cabral Barbosa,284,5.34,31,6,0.0,,,,,,,,1.0,,,,,1.0,15.0,8.0,,,,,
39,Fortaleza,5,,7,Marinho,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Marinho,0.0,4.5,68952,marinho,Mário Sérgio Santos Costa,356,6.51,31,15,0.0,1.0,3.0,1.0,15.0,21.0,6.0,13.0,32.0,,3.0,8.0,,,,,,,,,
40,Criciúma,4,,6,Marquinhos Gabriel,False,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,M. Gabriel,0.0,1.03,68954,marquinhos-gabriel,Marcos Gabriel do Nascimento,288,2.79,31,20,0.0,,3.0,,9.0,7.0,4.0,6.0,11.0,,,3.0,,,,,,,,,
41,Fortaleza,4,,6,Lucas Sasha,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,L. Sasha,0.0,3.57,68991,lucas-sasha,Lucas Pacheco Affini,356,6.5,31,18,0.0,,2.0,,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,
42,Fortaleza,1,,6,Santos,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Santos,0.0,0.0,69012,santos,Aderbar Melo dos Santos Neto,356,8.0,31,0,0.0,,,,,,,,,,,,,,,,,,,,
43,Fluminense,3,,6,Manoel,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel,-0.82,1.55,69014,manoel,Manoel Messias Silva Carvalho,266,3.51,31,10,0.9,,2.0,,6.0,8.0,1.0,,3.0,,,,,2.0,,,,,,,
44,Vitória,1,,6,Muriel,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel,0.0,6.5,69041,muriel,Muriel Gustavo Becker,287,5.94,31,1,0.0,,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,,
45,Bahia,1,,6,Danilo Fernandes,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,D. Fernandes,0.0,-1.0,69051,danilo-fernandes,Danilo Fernandes Batista,265,3.54,31,0,0.0,,1.0,,,,,,,,,,,,,,,,,,
46,Atlético-MG,5,,7,Vargas,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Vargas,0.01,4.98,69102,vargas,Eduardo Jesús Vargas Rojas,282,7.48,31,18,11.3,1.0,1.0,,7.0,6.0,5.0,7.0,18.0,,7.0,5.0,,,,,,3.0,,,
47,Athlético-PR,5,,7,Pablo,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo,2.17,2.51,69138,pablo,Pablo Felipe Teixeira,293,7.37,31,21,15.6,2.0,5.0,,8.0,22.0,3.0,13.0,8.0,1.0,3.0,4.0,,,,,,,,,
48,Botafogo,4,,6,Allan,False,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,Allan,0.0,1.89,69140,allan,Allan Marques Loureiro,263,5.09,31,9,0.0,1.0,2.0,,11.0,9.0,,,7.0,,,,,,,,,,,,
49,Botafogo,3,,6,Pablo,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo,0.0,0.0,69165,pablo,Pablo Nascimento Castro,263,3.22,31,1,0.0,,,,,,,,,,,,,,,,,,,,
50,Athlético-PR,4,,7,Nikão,True,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,Nikão,-0.12,5.78,69705,nikao,Maycon Vinícius Ferreira da Cruz,293,10.35,31,18,12.7,2.0,,,19.0,5.0,10.0,14.0,29.0,1.0,4.0,2.0,,,,,,,,,
51,São Paulo,4,,7,Lucas Moura,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,L. Moura,-1.32,6.97,70164,lucas-moura,Lucas Rodrigues Moura da Silva,276,14.07,31,22,6.2,4.0,3.0,,31.0,21.0,9.0,7.0,50.0,,8.0,,,,,,,,,,
52,Botafogo,2,,5,Rafael,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael,0.0,0.0,70171,rafael,Rafael Pereira da Silva,263,3.0,31,0,0.0,,,,,,,,,,,,,,,,,,,,
53,Grêmio,2,,6,Fábio,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio,0.0,2.79,70172,fabio,Fábio Pereira da Silva,284,5.0,31,12,0.0,,1.0,1.0,7.0,5.0,,2.0,14.0,1.0,,,1.0,4.0,,,,,,,
54,Criciúma,1,,7,Gustavo,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Gustavo,-0.5,3.29,70216,gustavo,Luiz Gustavo de Almeida Pinto,288,5.5,31,24,1.0,,2.0,1.0,,1.0,,,1.0,,,,,4.0,83.0,33.0,,,,,2.0
55,Vitória,3,,6,Bruno Uvini,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,B. Uvini,0.0,0.48,70221,bruno-uvini,Bruno Uvini Bortolança,287,2.22,31,6,0.0,,1.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,
56,Grêmio,5,,3,Diego Costa,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,D. Costa,0.0,1.78,70316,diego-costa,Diego da Silva Costa,284,5.1,31,7,0.0,,2.0,1.0,4.0,4.0,3.0,,5.0,,1.0,2.0,,,,,,,,,
57,Grêmio,1,,6,Marchesín,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Marchesín,0.91,4.51,70332,marchesin,Agustín Federico Marchesín,284,7.52,31,20,9.5,,3.0,,1.0,,,,4.0,,,,,7.0,69.0,21.0,,,,,1.0
58,Bragantino,5,,7,Eduardo Sasha,True,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,E. Sasha,-0.06,3.88,70360,eduardo-sasha,Eduardo Colcenti Antunes,280,7.67,31,18,0.5,3.0,6.0,1.0,6.0,15.0,14.0,12.0,22.0,,3.0,3.0,,,,,,,,,
59,Juventude,1,,6,Gabriel,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel,0.14,2.55,70449,gabriel,Gabriel Vasconcelos Ferreira,286,4.18,31,23,2.0,,4.0,1.0,,1.0,,,4.0,,,,1.0,4.0,79.0,34.0,,,,,
60,Palmeiras,4,,7,Felipe Anderson,True,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,F. Anderson,-0.93,5.31,70592,felipe-anderson,Felipe Anderson Pereira Gomes,275,9.12,31,14,2.3,2.0,,,30.0,9.0,2.0,7.0,8.0,1.0,2.0,1.0,,,,,,,,,
61,Cuiabá,3,,3,Marllon,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon,-1.1,2.66,70666,marllon,Marllon Gonçalves Jerônimo Borges,1371,3.63,31,23,-2.6,,3.0,,23.0,15.0,2.0,6.0,8.0,1.0,1.0,,2.0,4.0,,,,1.0,,,
62,Internacional,5,,6,Enner Valencia,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,E. Valencia,0.02,1.53,70788,enner-valencia,Enner Remberto Valencia Lastra,285,8.43,31,13,1.1,,1.0,,4.0,6.0,5.0,4.0,12.0,1.0,,3.0,,,,,,,,,
63,Fluminense,2,,6,Diogo Barbosa,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,D. Barbosa,-0.02,2.41,70916,diogo-barbosa,Diogo Barbosa Mendanha,266,3.99,31,18,4.2,,6.0,,16.0,13.0,,2.0,15.0,,,,,5.0,,,,,,,
64,Internacional,4,,7,Bruno Henrique,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,B. Henrique,-0.5,2.68,70944,bruno-henrique,Bruno Henrique Corsini,285,5.32,31,26,1.2,1.0,3.0,,28.0,41.0,8.0,12.0,17.0,1.0,2.0,1.0,,,,,,,,,
