,atletas.pontos_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.nome,atletas.slug,atletas.foto,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.clube_id,atletas.rodada_id,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.atleta_id,CA,DE,DS,FS,GS,SG,FC,FD,FF,A,CV,FT,G,I,PC,V,PP,PS,DP,GC
26,0.0,6,Fabrício,5.96,0.0,4.13,Fabrício Barros Santana,fabricio,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,False,Internacional,,285,28,1,Fabrício,8,61228,,26.0,,,8.0,3.0,,,,,,,,,,,,,,
27,4.7,7,A. Sandro,8.31,0.33,3.45,Alex Sandro Lobo Silva,alex-sandro,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,True,Flamengo,,262,28,2,Alex Sandro,2,61987,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,
28,2.6,7,Ganso,6.96,0.13,3.41,Paulo Henrique Chagas de Lima,ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,True,Fluminense,,266,28,4,Ganso,23,62977,9.0,,22.0,27.0,,,15.0,5.0,3.0,4.0,,,3.0,1.0,,,,,,
29,0.0,7,M. Rocha,8.21,0.0,4.73,Marcos Luis Rocha Aquino,marcos-rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,False,Palmeiras,,275,28,2,Marcos Rocha,20,63013,2.0,,26.0,8.0,,11.0,17.0,,2.0,2.0,,,,1.0,,,,,,
30,0.0,7,A. Ruschel,4.61,-0.17,3.51,Alan Luciano Ruschel,alan-ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,True,Juventude,,286,28,2,Alan Ruschel,17,63110,2.0,,29.0,22.0,,2.0,19.0,,2.0,1.0,1.0,,1.0,,,,,,,
31,2.0,7,Edenílson,4.35,-0.31,1.92,Edenílson Andrade dos Santos,edenilson,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,True,Grêmio,,284,28,4,Edenílson,19,63289,3.0,,9.0,19.0,,,13.0,5.0,2.0,1.0,,1.0,1.0,2.0,,,,,,
32,16.5,7,A. Patrick,11.91,1.35,5.14,Alan Patrick Lourenço,alan-patrick,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,True,Internacional,,285,28,4,Alan Patrick,12,68685,3.0,,12.0,13.0,,,12.0,6.0,9.0,1.0,,,4.0,,,,1.0,,,
33,0.0,6,Eduardo,6.26,0.0,3.2,Carlos Eduardo de Oliveira Alves,eduardo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,False,Botafogo,,263,28,4,Eduardo,10,68708,1.0,,6.0,9.0,,,8.0,3.0,4.0,1.0,,,2.0,1.0,,,1.0,,,
34,0.0,6,M. Lomba,4.99,0.0,-1.0,Marcelo Lomba do Nascimento,marcelo-lomba,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,False,Palmeiras,,275,28,1,Marcelo Lomba,1,68872,,1.0,,,2.0,,,,,,,,,,,,,,,
35,1.7,7,P. Coutinho,6.18,-0.05,2.63,Philippe Coutinho Correia,philippe-coutinho,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,True,Vasco,,267,28,4,Philippe Coutinho,6,68899,,,4.0,5.0,,,5.0,1.0,1.0,,,,1.0,,,,,,,
36,2.2,6,Dudu,5.7,0.13,1.3,Eduardo Pereira Rodrigues,dudu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,True,Palmeiras,,275,28,5,Dudu,11,68920,,,3.0,10.0,,,3.0,4.0,1.0,,,,,,,,,1.0,,
37,2.0,7,Rafael,6.49,0.08,3.12,Rafael Pires Monteiro,rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,True,São Paulo,,276,28,1,Rafael,16,68928,1.0,37.0,,,16.0,6.0,,,,,,,,,,,,,,
38,0.0,6,R. Cabral,6.8,0.0,2.5,Rafael Cabral Barbosa,rafael-cabral,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,False,Grêmio,,284,28,1,Rafael Cabral,5,68940,,15.0,,1.0,8.0,1.0,,,,,,,,,,,,,,
39,2.0,3,Marinho,5.78,-2.31,4.32,Mário Sérgio Santos Costa,marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,True,Fortaleza,,356,28,5,Marinho,14,68952,3.0,,15.0,29.0,,,20.0,6.0,12.0,1.0,,,2.0,8.0,,,,,,
40,4.5,6,M. Gabriel,3.4,0.64,1.08,Marcos Gabriel do Nascimento,marquinhos-gabriel,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,True,Criciúma,,288,28,4,Marquinhos Gabriel,19,68954,3.0,,9.0,11.0,,,7.0,4.0,6.0,,,,,3.0,,,,,,
41,0.0,6,L. Sasha,6.5,0.0,3.57,Lucas Pacheco Affini,lucas-sasha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,False,Fortaleza,,356,28,4,Lucas Sasha,18,68991,2.0,,53.0,19.0,,,33.0,2.0,1.0,,,,,,,,,,,
42,0.0,6,Santos,8.0,0.0,0.0,Aderbar Melo dos Santos Neto,santos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,False,Fortaleza,,356,28,1,Santos,0,69012,,,,,,,,,,,,,,,,,,,,
43,0.0,6,Manoel,3.0,0.0,0.39,Manoel Messias Silva Carvalho,manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,False,Fluminense,,266,28,3,Manoel,7,69014,1.0,,3.0,2.0,,,7.0,1.0,,,,,,,,,,,,
44,0.0,6,Muriel,5.94,0.0,6.5,Muriel Gustavo Becker,muriel,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,False,Vitória,,287,28,1,Muriel,1,69041,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
45,0.0,6,D. Fernandes,3.54,0.0,-1.0,Danilo Fernandes Batista,danilo-fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,False,Bahia,,265,28,1,Danilo Fernandes,0,69051,1.0,,,,,,,,,,,,,,,,,,,
46,0.5,6,Vargas,5.51,-1.14,4.04,Eduardo Jesús Vargas Rojas,vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,True,Atlético-MG,,282,28,5,Vargas,16,69102,,,6.0,13.0,,,3.0,4.0,7.0,,,,5.0,5.0,,,,2.0,,
47,1.1,2,Pablo,5.25,-0.03,1.89,Pablo Felipe Teixeira,pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,True,Athlético-PR,,293,28,5,Pablo,19,69138,5.0,,7.0,6.0,,,20.0,3.0,10.0,1.0,,1.0,2.0,3.0,,,,,,
48,2.4,6,Allan,5.65,0.16,2.16,Allan Marques Loureiro,allan,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,True,Botafogo,,263,28,4,Allan,8,69140,2.0,,11.0,7.0,,,8.0,,,1.0,,,,,,,,,,
49,0.0,6,Pablo,3.22,0.0,0.0,Pablo Nascimento Castro,pablo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,False,Botafogo,,263,28,3,Pablo,1,69165,,,,,,,,,,,,,,,,,,,,
50,0.0,6,Nikão,8.51,0.0,4.92,Maycon Vinícius Ferreira da Cruz,nikao,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,False,Athlético-PR,,293,28,4,Nikão,15,69705,,,15.0,22.0,,,5.0,10.0,13.0,1.0,,1.0,2.0,2.0,,,,,,
51,12.2,7,L. Moura,14.68,0.99,6.66,Lucas Rodrigues Moura da Silva,lucas-moura,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,True,São Paulo,,276,28,4,Lucas Moura,19,70164,3.0,,26.0,41.0,,,18.0,8.0,7.0,4.0,,,6.0,,,,,,,
52,0.0,5,Rafael,3.0,0.0,0.0,Rafael Pereira da Silva,rafael,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,False,Botafogo,,263,28,2,Rafael,0,70171,,,,,,,,,,,,,,,,,,,,
53,0.0,6,Fábio,5.38,0.0,3.04,Fábio Pereira da Silva,fabio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,False,Grêmio,,284,28,2,Fábio,12,70172,1.0,,7.0,14.0,,4.0,5.0,,2.0,,,1.0,,,1.0,,,,,
54,5.0,7,Gustavo,5.85,-0.21,3.1,Luiz Gustavo de Almeida Pinto,gustavo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,True,Criciúma,,288,28,1,Gustavo,21,70216,2.0,72.0,,1.0,31.0,3.0,1.0,,,,1.0,,,,,,,,2.0,
55,0.0,6,B. Uvini,2.22,0.0,0.48,Bruno Uvini Bortolança,bruno-uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,False,Vitória,,287,28,3,Bruno Uvini,6,70221,1.0,,2.0,1.0,,,2.0,,2.0,,,,,,,,,,,
56,0.0,3,D. Costa,5.98,0.0,2.02,Diego da Silva Costa,diego-costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,False,Grêmio,,284,28,5,Diego Costa,5,70316,1.0,,3.0,4.0,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,
57,7.0,3,Marchesín,6.99,0.58,4.26,Agustín Federico Marchesín,marchesin,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,True,Grêmio,,284,28,1,Marchesín,18,70332,3.0,61.0,1.0,3.0,19.0,7.0,,,,,,,,,,,,,,
58,2.8,7,E. Sasha,8.22,-0.03,4.32,Eduardo Colcenti Antunes,eduardo-sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,True,Bragantino,,280,28,5,Eduardo Sasha,16,70360,5.0,,6.0,21.0,,,15.0,13.0,12.0,3.0,1.0,,3.0,3.0,,,,,,
59,4.0,7,Gabriel,4.45,0.78,2.66,Gabriel Vasconcelos Ferreira,gabriel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,True,Juventude,,286,28,1,Gabriel,21,70449,4.0,71.0,,4.0,29.0,4.0,1.0,,,,1.0,,,,1.0,,,,,
60,1.7,7,F. Anderson,8.97,-0.32,5.23,Felipe Anderson Pereira Gomes,felipe-anderson,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,True,Palmeiras,,275,28,4,Felipe Anderson,11,70592,,,22.0,5.0,,,6.0,2.0,5.0,1.0,,1.0,2.0,1.0,,,,,,
61,0.0,6,Marllon,3.85,0.0,2.55,Marllon Gonçalves Jerônimo Borges,marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,False,Cuiabá,,1371,28,3,Marllon,20,70666,2.0,,21.0,7.0,,2.0,13.0,2.0,6.0,,,1.0,1.0,,1.0,,,1.0,,
62,-1.3,7,E. Valencia,8.81,-0.47,1.81,Enner Remberto Valencia Lastra,enner-valencia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,True,Internacional,,285,28,5,Enner Valencia,10,70788,1.0,,4.0,10.0,,,5.0,4.0,4.0,,,1.0,,2.0,,,,,,
63,1.6,3,D. Barbosa,3.47,0.14,2.12,Diogo Barbosa Mendanha,diogo-barbosa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,True,Fluminense,,266,28,2,Diogo Barbosa,16,70916,6.0,,14.0,12.0,,4.0,12.0,,1.0,,,,,,,,,,,
64,0.9,6,B. Henrique,5.29,0.18,2.67,Bruno Henrique Corsini,bruno-henrique,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,True,Internacional,,285,28,4,Bruno Henrique,23,70944,3.0,,24.0,15.0,,,39.0,6.0,11.0,1.0,,1.0,2.0,1.0,,,,,,
65,0.0,5,J. Carlos,7.44,0.0,3.63,Jean Carlos Vicente,jean-carlos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,False,Juventude,,286,28,4,Jean Carlos,15,70958,2.0,,7.0,5.0,,,11.0,4.0,9.0,1.0,,,4.0,1.0,,,,,,
66,0.0,6,Payet,5.62,0.0,3.04,Florent Dimitri Payet,payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,False,Vasco,,267,28,4,Payet,13,70984,,,10.0,13.0,,,8.0,2.0,4.0,3.0,,1.0,,2.0,,,,,,
67,0.0,6,P. Henrique,4.73,0.0,3.02,Pedro Henrique Pereira da Silva,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,False,Atlético-GO,,373,28,3,Pedro Henrique,9,71038,3.0,,11.0,4.0,,3.0,8.0,2.0,,,,,,,,,,,,
68,0.0,6,Maicon,4.09,0.0,2.56,Maicon Pereira Roque,maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,False,Vasco,,267,28,3,Maicon,24,71227,4.0,,21.0,7.0,,6.0,11.0,1.0,1.0,,,,1.0,1.0,,,,,,
69,5.3,7,L. Gustavo,5.16,0.67,2.53,Luiz Gustavo Dias,luiz-gustavo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,True,São Paulo,,276,28,4,Luiz Gustavo,19,71536,3.0,,26.0,18.0,,,24.0,8.0,7.0,,,1.0,,,,,,,,
70,1.5,7,Weverton,10.26,-0.6,5.48,Weverton Pereira da Silva,weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,True,Palmeiras,,275,28,1,Weverton,27,71631,2.0,94.0,1.0,6.0,18.0,13.0,,,,1.0,,,,,,,,,,
71,1.8,7,R. Cáceres,5.54,-0.55,3.7,Raúl Alejandro Cáceres Bogado,raul-caceres,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,True,Vitória,,287,28,2,Raúl Cáceres,13,71680,,,20.0,4.0,,4.0,12.0,,1.0,1.0,,,,1.0,,,,,,
72,1.7,7,G. Gómez,8.43,-0.77,4.05,Gustavo Raúl Gómez Portillo,gustavo-gomez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,True,Palmeiras,,275,28,3,Gustavo Gómez,18,71684,6.0,,17.0,13.0,,8.0,32.0,1.0,9.0,2.0,,,1.0,6.0,1.0,,,,,1.0
73,12.2,7,S. Arias,7.18,1.78,3.91,Santiago Arias Naranjo,santiago-arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,True,Bahia,,265,28,2,Santiago Arias,16,71701,2.0,,15.0,15.0,,7.0,20.0,2.0,4.0,1.0,,,,3.0,,,,,,
74,0.0,6,G. Pires,5.14,0.0,3.48,Gabriel Appelt Pires,gabriel-pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,False,Fluminense,,266,28,4,Gabriel Pires,5,71898,1.0,,13.0,5.0,,,8.0,1.0,2.0,,,,,1.0,,,,,,
75,5.5,7,Everson,8.08,0.0,2.62,Everson Felipe Marques Pires,everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,True,Atlético-MG,,282,28,1,Everson,16,72294,5.0,40.0,,4.0,20.0,5.0,,,,,,,,,,,,,,
76,0.0,6,F. Alves,5.0,0.0,0.0,Felipe Alves Raymundo,felipe-alves,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,False,Fluminense,,266,28,1,Felipe Alves,0,72372,,,,,,,,,,,,,,,,,,,,
77,4.2,7,F. Diniz,8.74,0.21,3.54,Fernando Diniz Silva,fernando-diniz,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,True,Cruzeiro,,283,28,6,Fernando Diniz,11,72391,,,,,,,,,,,,,,,,1.0,,,,
78,0.0,5,Bernard,5.86,0.0,1.07,Bernard Anício Caldeira Duarte,bernard,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,False,Atlético-MG,,282,28,4,Bernard,10,72460,1.0,,7.0,6.0,,,14.0,,2.0,,,1.0,,1.0,,,,,,
79,7.5,7,A. Telles,8.33,0.77,4.17,Alex Nicolao Telles,alex-telles,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,True,Botafogo,,263,28,2,Alex Telles,3,72493,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,
80,0.0,6,G. Campanharo,4.51,0.0,1.0,Gustavo Campanharo,gustavo-campanharo,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,False,Atlético-GO,,373,28,4,Gustavo Campanharo,2,72497,,,1.0,,,,,,1.0,,,,,,,,,,,
81,0.0,6,Maguinho,4.43,0.0,2.4,Magno José da Silva,maguinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,False,Atlético-GO,,373,28,2,Maguinho,19,72532,2.0,,20.0,11.0,,3.0,20.0,3.0,6.0,1.0,1.0,,,2.0,2.0,,,1.0,,
82,-1.0,2,P. Henrique,4.69,-0.06,2.56,Pedro Henrique Konzen Medina da Silva,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,False,Corinthians,,264,28,5,Pedro Henrique,10,72583,2.0,,4.0,8.0,,,6.0,2.0,7.0,1.0,,,1.0,4.0,,,,,,
83,0.0,6,M. Kozlinski,3.0,0.0,0.0,Maurício Kozlinski,mauricio-kozlinski,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,False,Fortaleza,,356,28,1,Maurício Kozlinski,0,72595,,,,,,,,,,,,,,,,,,,,
