,atletas.atleta_id,atletas.apelido,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.status_id,atletas.preco_num,atletas.nome,atletas.media_num,atletas.foto,atletas.posicao_id,atletas.clube_id,atletas.slug,CA,DS,FC,FF,FS,FT,I,A,FD,G,PP,SG,CV,PC,PS,GC,V,DE,GS,DP
16,50353,Titi,-1.39,19,,True,Fortaleza,-0.2,36,Titi,7,4.25,Christian Chagas Tarouco,2.88,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,3,356,titi,7.0,28.0,31.0,2.0,14.0,,1.0,,,,,6.0,,1.0,,,,,,
17,51413,Walter,-0.45,31,,True,Cuiabá,-1.0,36,Walter,7,4.99,Walter Leandro Capeloza Artune,3.61,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,1,1371,walter,3.0,,,,1.0,,,,,,,8.0,,,,,,116.0,42.0,
18,51772,Everton Ribeiro,-0.32,33,,True,Bahia,1.7,36,E. Ribeiro,6,8.09,Everton Augusto de Barros Ribeiro,4.04,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4,265,everton-ribeiro,3.0,52.0,32.0,7.0,65.0,,1.0,4.0,8.0,2.0,,,,,,,,,,
19,52271,Fernando,-0.22,18,,True,Internacional,-0.1,36,Fernando,7,4.94,Fernando Francisco Reges,2.19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4,285,fernando,5.0,28.0,16.0,1.0,6.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
20,52827,David Luiz,0.0,20,,False,Flamengo,0.0,36,D. Luiz,6,6.49,David Luiz Moreira Marinho,3.11,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,3,262,david-luiz,5.0,8.0,19.0,6.0,8.0,1.0,1.0,,3.0,3.0,,5.0,,1.0,,,,,,
21,60793,Alex Teixeira,2.83,5,,True,Vasco,14.2,36,A. Teixeira,6,6.92,Alex Teixeira Santos,3.98,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,4,267,alex-teixeira,,4.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
22,60803,Souza,0.0,4,,False,Vasco,0.0,36,Souza,6,3.57,Josef de Souza Dias,-0.5,https://s.sde.globo.com/media/person_role/2024/07/14/photo_FORMATO_9cOrW1c.png,4,267,souza,1.0,2.0,3.0,,1.0,,,,,,,,1.0,,,,,,,
23,61106,Cicinho,0.0,4,,False,Bahia,0.0,36,Cicinho,6,4.32,Neuciano de Jesus Gusmão,1.32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,2,265,cicinho,1.0,1.0,3.0,,2.0,,,,,,,1.0,,,,,,,,
24,61188,Gilberto,0.0,21,,False,Juventude,0.0,36,Gilberto,6,3.87,Gilberto Oliveira Souza Júnior,2.29,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5,286,gilberto,3.0,6.0,21.0,13.0,11.0,1.0,5.0,1.0,9.0,2.0,,,,,,,,,,
25,61228,Fabrício,0.0,8,,False,Internacional,0.0,36,Fabrício,6,5.96,Fabrício Barros Santana,4.13,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,1,285,fabricio,,,,,,,,,,,,3.0,,,,,,26.0,8.0,
