,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
20,Walter,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,walter,2,Walter,3,1371,3.0,7,2.0,,4.6,0.14,1,51413,True,Walter Leandro Capeloza Artune,,,,,,,,9.0,5.0,,,,,,,,,
21,Everton Ribeiro,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,everton-ribeiro,2,E. Ribeiro,3,265,2.4,7,3.75,,9.58,-0.44,4,51772,True,Everton Augusto de Barros Ribeiro,,3.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,
22,Fernando,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,fernando,1,Fernando,3,285,0.0,7,8.8,,8.03,0.0,4,52271,False,Fernando Francisco Reges,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,
23,David Luiz,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,david-luiz,0,D. Luiz,3,262,0.0,6,0.0,,6.0,0.0,3,52827,False,David Luiz Moreira Marinho,,,,,,,,,,,,,,,,,,
24,Léo Gamalho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,leo-gamalho,0,L. Gamalho,3,287,0.0,6,0.0,,5.0,0.0,5,53865,False,Leonardo Gamalho de Souza,,,,,,,,,,,,,,,,,,
25,Renan,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,renan,0,Renan,3,286,0.0,5,0.0,,4.0,0.0,1,60795,False,Renan dos Santos,,,,,,,,,,,,,,,,,,
26,Cicinho,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,cicinho,0,Cicinho,3,265,0.0,6,0.0,,4.0,0.0,2,61106,False,Neuciano de Jesus Gusmão,,,,,,,,,,,,,,,,,,
27,Gilberto,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,gilberto,1,Gilberto,3,286,0.0,5,0.8,,5.22,0.0,5,61188,False,Gilberto Oliveira Souza Júnior,,,,,1.0,,,,,,,,,,,,,
28,Fabrício,Internacional,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,fabricio,0,Fabrício,3,285,0.0,6,0.0,,2.0,0.0,1,61228,False,Fabrício Barros Santana,,,,,,,,,,,,,,,,,,
29,Douglas Costa,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,douglas-costa,2,D. Costa,3,266,4.1,2,2.5,,6.21,0.14,5,62020,True,Douglas Costa de Souza,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,
