,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
80,Felipe Alves,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,felipe-alves,0,F. Alves,3,266,0.0,6,0.0,,5.0,0.0,1,72372,False,Felipe Alves Raymundo,,,,,,,,,,,,,,,,,,
81,Fernando Diniz,Fluminense,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,fernando-diniz,2,F. Diniz,3,266,7.11,7,6.5,,11.82,0.7,6,72391,True,Fernando Diniz Silva,,,,,,,,,,,,,1.0,,,,,
82,Gustavo Campanharo,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,gustavo-campanharo,0,G. Campanharo,3,373,0.0,6,0.0,,5.0,0.0,4,72497,False,Gustavo Campanharo,,,,,,,,,,,,,,,,,,
83,Maguinho,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,maguinho,2,Maguinho,3,373,0.0,7,1.7,,4.16,-0.33,2,72532,True,Magno José da Silva,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,
84,Pedro Henrique,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,pedro-henrique,1,P. Henrique,3,264,2.8,7,2.8,,5.8,-0.2,5,72583,True,Pedro Henrique Konzen Medina da Silva,1.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,
85,Maurício Kozlinski,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,mauricio-kozlinski,0,M. Kozlinski,3,356,0.0,6,0.0,,3.0,0.0,1,72595,False,Maurício Kozlinski,,,,,,,,,,,,,,,,,,
86,Luiz Adriano,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,luiz-adriano,2,L. Adriano,3,287,0.5,2,0.3,,3.58,-0.57,5,72772,True,Luiz Adriano de Souza da Silva,,,1.0,,,2.0,,,,,1.0,,,,,,,
87,Fernandinho,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,fernandinho,3,Fernandinho,3,293,-0.8,7,3.23,,7.49,-1.51,4,72775,True,Fernando Luiz Rosa,1.0,2.0,2.0,2.0,,3.0,,,,,,1.0,,,,,,
88,Wilker Ángel,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,wilker-angel,1,W. Ángel,3,288,0.0,7,-0.3,,2.27,0.0,3,72801,False,Wílker José Ángel Romero,,,1.0,,,,,,,,,,,,,,,
89,Mercado,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,mercado,2,Mercado,3,285,0.0,7,2.65,,5.65,0.0,3,72951,False,Gabriel Iván Mercado,2.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,
90,Samuel Xavier,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,samuel-xavier,2,S. Xavier,3,266,8.0,2,5.0,,6.32,1.5,2,73384,True,Samuel Xavier Brito,,3.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,
91,Bruno Alves,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,bruno-alves,1,B. Alves,3,1371,-0.6,7,-0.6,,3.82,-1.18,3,73620,True,Bruno Fabiano Alves,,,2.0,,,,,,,,,,,,,,,
92,Walisson Maia,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,walisson-maia,2,W. Maia,3,288,0.0,6,0.4,,2.88,0.0,3,73991,False,Walisson Moreira Farias Maia,,,,,1.0,,,,,,,,,,,,,
93,Zapata,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_XyzYIOg.png,zapata,0,Zapata,3,287,0.0,6,0.0,,4.0,0.0,3,74028,False,Cristián Eduardo Zapata Valencia,,,,,,,,,,,,,,,,,,
94,Gatito Fernández,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,gatito-fernandez,3,G. Fernández,3,263,-1.0,6,2.33,,5.63,-1.08,1,74061,True,Roberto Junior Fernández Torres,,,,,,,,6.0,4.0,1.0,,,,,,,,
95,Madson,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,madson,2,Madson,3,293,5.5,6,2.6,,4.65,0.8,2,78077,True,Madson Ferreira dos Santos,,,1.0,,,1.0,,,,1.0,,,,,,,,
96,Everaldo,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,everaldo,2,Everaldo,3,265,9.2,2,3.95,,5.25,1.6,5,78117,True,Everaldo Stum,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,
97,Gustavo Henrique,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,gustavo-henrique,2,G. Henrique,3,264,0.0,6,3.35,,8.82,0.0,3,78248,False,Gustavo Henrique Vernes,,2.0,4.0,,,1.0,,,,1.0,,,,,,,,
98,Renê,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,rene,3,Renê,3,285,2.9,7,6.9,,8.92,-0.64,2,78445,True,Renê Rodrigues Martins,1.0,7.0,2.0,2.0,,3.0,,,,1.0,,1.0,,,,,,
99,Cláudio Tencati,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,claudio-tencati,2,C. Tencati,3,288,0.0,7,2.95,,4.03,0.0,6,78450,False,Cláudio Tencati,,,,,,,,,,,,,,,,,,
100,Jean Mota,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,jean-mota,1,J. Mota,3,287,0.0,2,0.0,,4.93,0.0,4,78548,False,Jean Mota Oliveira de Sousa,,,,,,,,,,,,,,,,,,
101,Jonathan Cafu,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,jonathan-cafu,2,J. Cafu,3,1371,3.6,2,2.05,,3.87,0.4,5,78580,True,Jonathan Renato Barbosa,,2.0,,1.0,,1.0,,,,,,,,,,,,
102,Gabriel,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,gabriel,0,Gabriel,3,293,0.0,6,0.0,,5.0,0.0,4,78605,False,Gabriel Girotto Franco,,,,,,,,,,,,,,,,,,
103,Ramiro,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,ramiro,3,Ramiro,3,283,2.1,6,1.73,,4.23,-0.12,4,78715,True,Ramiro Moschen Benetti,,4.0,2.0,,,2.0,,,,,,,,,,,,
104,Reinaldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,reinaldo,0,Reinaldo,3,284,0.0,6,0.0,,7.0,0.0,2,78850,False,Reinaldo Manoel da Silva,,,,,,,,,,,,,,,,,,
105,Thiago Santos,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,thiago-santos,0,T. Santos,3,266,0.0,5,0.0,,3.0,0.0,3,78855,False,Thiago dos Santos,,,,,,,,,,,,,,,,,,
106,Luiz Felipe,Atlético-GO,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,luiz-felipe,3,L. Felipe,3,373,-3.1,3,-0.33,,1.61,-1.09,3,79035,True,Luiz Felipe do Nascimento dos Santos,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,1.0,1.0,
107,Víctor Cuesta,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,victor-cuesta,2,V. Cuesta,3,265,0.1,7,0.85,,4.11,-0.57,3,79113,True,Víctor Leandro Cuesta,1.0,2.0,4.0,,,3.0,,,,,,,,,,,,
108,Filipe Augusto,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,filipe-augusto,1,F. Augusto,3,1371,0.0,5,-1.6,,1.9,0.0,4,79268,False,Filipe Augusto Carvalho Souza,1.0,,2.0,,,,,,,,,,,,,,,
109,Roger Machado,Juventude,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,roger-machado,3,R. Machado,3,286,2.75,7,5.22,,6.3,-0.17,6,79437,True,Roger Machado Marques,,,,,,,,,,,,,1.0,,,,,
110,Cano,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,cano,2,Cano,3,266,1.0,7,3.35,,10.83,-1.05,5,79631,True,Germán Ezequiel Cano,,,1.0,3.0,3.0,2.0,,,,,,,,,,,,
111,Lucas Silva,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,lucas-silva,3,L. Silva,3,283,-1.6,7,3.3,,6.2,-1.46,4,79701,True,Lucas Silva Borges,1.0,2.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,
112,Antônio Carlos,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,antonio-carlos,1,A. Carlos,3,266,0.5,2,0.5,,2.59,-0.41,3,79702,True,Antônio Carlos Cunha Capocasali Júnior,,,,,,1.0,,,,,,,,,,,,
113,Jadson,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,jadson,2,Jadson,3,286,0.0,7,9.65,,9.15,0.0,4,80129,False,Jadson Alves dos Santos,,8.0,4.0,2.0,,3.0,,,,,,2.0,,,,,1.0,
114,Yago Pikachu,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,yago-pikachu,2,Y. Pikachu,3,356,0.0,6,1.4,,4.88,0.0,4,80196,False,Glaybson Yago Souza Lisboa,,,,,1.0,4.0,,,,,,,,,,,,
115,Rafa Silva,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,rafa-silva,3,R. Silva,3,283,0.6,7,4.17,,5.74,-0.8,5,80225,True,Rafael da Silva,1.0,2.0,4.0,2.0,,4.0,1.0,,,,1.0,,,,,,,
116,Luciano,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,luciano,3,Luciano,3,276,14.4,7,5.3,,10.22,2.16,5,80287,True,Luciano da Rocha Neves,2.0,1.0,4.0,2.0,2.0,4.0,1.0,,,,1.0,,,,1.0,1.0,,
117,Gilberto,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,gilberto,0,Gilberto,3,265,0.0,6,0.0,,6.0,0.0,2,80313,False,Gilberto Moraes Júnior,,,,,,,,,,,,,,,,,,
118,Arthur Caíke,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,arthur-caike,2,A. Caíke,3,288,0.0,7,0.0,,2.67,0.0,5,80337,False,Arthur Caíke do Nascimento Cruz,,,,,,,,,,,,,,,,,,
119,Marlon,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_ybJLR9Q.png,marlon,0,Marlon,3,266,0.0,5,0.0,,3.0,0.0,3,80538,False,Marlon Santos da Silva Barbosa,,,,,,,,,,,,,,,,,,
120,Luan,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_EsqCrwr.png,luan,2,Luan,3,275,7.8,7,7.6,,8.54,1.82,3,80692,True,Luan Garcia Teixeira,,4.0,2.0,,,2.0,,,,2.0,,,,,,,,
121,Pedro Geromel,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,pedro-geromel,1,P. Geromel,3,284,0.0,5,5.0,,6.43,0.0,3,80853,False,Pedro Tonon Geromel,,,,,,,,,,1.0,,,,,,,,
122,Jair,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,jair,0,Jair,3,267,0.0,5,0.0,,4.0,0.0,4,81091,False,Jair Rodrigues Júnior,,,,,,,,,,,,,,,,,,
123,Mayke,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,mayke,3,Mayke,3,275,4.2,7,5.23,,8.57,-0.27,2,81150,True,Mayke Rocha de Oliveira,2.0,7.0,4.0,,,1.0,,,,2.0,,,,,,,,
124,Hugo Mallo,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CBzQtxz.png,hugo-mallo,1,H. Mallo,3,285,-0.4,6,-0.4,,3.09,-0.91,2,81551,True,Hugo Mallo Novegil,1.0,1.0,2.0,,,,,,,,,,,,,,,
125,Rossi,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,rossi,3,Rossi,3,267,0.3,6,2.5,,5.4,-0.84,5,81798,True,Rosicley Pereira da Silva,1.0,2.0,4.0,,,5.0,,,,,2.0,1.0,,,,,,
126,Alisson,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,alisson,3,Alisson,3,276,1.7,7,4.4,,6.71,-0.52,4,81845,True,Alisson Euler de Freitas Castro,,2.0,2.0,2.0,,8.0,,,,,,1.0,,,,,,
127,João Ricardo,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,joao-ricardo,2,J. Ricardo,3,356,0.0,7,4.0,,7.34,0.0,1,81881,False,João Ricardo Riedi,,,,,,,,10.0,2.0,,,,,,,,,
128,Willian Oliveira,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,willian-oliveira,2,W. Oliveira,3,287,5.3,7,4.8,,5.9,1.1,4,81952,True,Willian Osmar de Oliveira Silva,,6.0,3.0,,1.0,5.0,,,,,,,,,,,,
129,Zé Rafael,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,ze-rafael,0,Z. Rafael,3,275,0.0,6,0.0,,9.0,0.0,4,82455,False,José Rafael Vivian,,,,,,,,,,,,,,,,,,
130,Otávio,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,otavio,3,Otávio,3,282,4.2,7,3.63,,5.75,0.22,4,82463,True,Otávio Henrique Passos Santos,,8.0,3.0,1.0,,2.0,,,,,,,,,,,,
131,Luiz Araújo,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,luiz-araujo,3,L. Araújo,3,262,4.3,7,5.4,,7.94,-0.01,5,82627,True,Luiz de Araújo Guimarães Neto,,5.0,5.0,1.0,,5.0,1.0,,,,,,,,,,,
132,Tinga,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,tinga,2,Tinga,3,356,0.0,7,-0.45,,3.11,0.0,2,82628,False,Guilherme de Jesus da Silva,,,3.0,,,,,,,,,,,,,,,
133,Marcelo Hermes,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,marcelo-hermes,2,M. Hermes,3,288,0.0,7,3.1,,4.68,0.0,2,82639,False,Marcelo Gazella Hermes,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,
134,Wellington Rato,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,wellington-rato,0,W. Rato,3,276,0.0,5,0.0,,12.0,0.0,4,82766,False,Wellington Soares da Silva,,,,,,,,,,,,,,,,,,
135,Gabriel,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,gabriel,0,Gabriel,3,262,0.0,3,0.0,,9.0,0.0,5,83257,False,Gabriel Barbosa Almeida,,,,,,,,,,,,,,,,,,
136,Léo Pereira,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,leo-pereira,3,L. Pereira,3,262,6.1,7,3.23,,8.4,0.33,3,83528,True,Leonardo Pereira,2.0,6.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,
137,Neris,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_qC7iq64.png,neris,3,Neris,3,283,0.3,2,2.1,,4.28,-0.62,3,83786,True,Hueglo dos Santos Neris,,5.0,6.0,1.0,,2.0,,,,,1.0,,,,,,,
138,Clayson,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,clayson,2,Clayson,3,1371,0.5,7,0.25,,4.22,-0.71,5,83817,True,Clayson Henrique da Silva Vieira,,,,,,1.0,,,,,,,,,,,,
139,Tiquinho Soares,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,tiquinho-soares,3,T. Soares,3,263,10.7,5,7.1,,14.0,0.54,5,84042,True,Francisco das Chagas Soares dos Santos Meireles,1.0,2.0,2.0,,2.0,6.0,2.0,,,,1.0,,,,,,,
140,Jemerson,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,jemerson,2,Jemerson,3,282,6.0,6,5.1,,6.73,1.14,3,84263,True,Jemerson de Jesus Nascimento,1.0,,1.0,,,3.0,,,,2.0,,,,,,,,
141,Alisson,Criciúma,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,alisson,2,Alisson,3,288,0.0,6,2.75,,3.05,0.0,1,84266,False,Alisson Machado dos Santos,1.0,,,,,1.0,,8.0,2.0,,,,,,,,,
142,Fernando Sobral,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,fernando-sobral,2,F. Sobral,3,1371,3.2,7,2.8,,5.25,0.29,4,84428,True,Fernando Pereira do Nascimento,1.0,4.0,1.0,,2.0,1.0,,,,,,,,,,,,
143,Lucas Romero,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,lucas-romero,2,L. Romero,3,283,0.0,7,2.85,,5.44,0.0,4,84558,False,Lucas Daniel Romero,,6.0,2.0,,2.0,1.0,,,,,,,,,,,1.0,
144,Fellipe Mateus,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,fellipe-mateus,2,F. Mateus,3,288,0.0,7,4.7,,6.36,0.0,4,84587,False,Fellipe Mateus de Sena Araújo,1.0,2.0,3.0,2.0,,13.0,,,,,,,,,,,,
145,Lucas Evangelista,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,lucas-evangelista,0,L. Evangelista,3,280,0.0,6,0.0,,11.0,0.0,4,84674,False,Lucas Evangelista Santana de Oliveira,,,,,,,,,,,,,,,,,,
146,Varela,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,varela,2,Varela,3,262,7.6,7,4.2,,4.98,1.55,2,84816,True,Guillermo Varela Olivera,,2.0,5.0,,,5.0,,,,1.0,,,,,,,,
147,Rafael Ratão,Bahia,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,rafael-ratao,0,R. Ratão,3,265,0.0,6,0.0,,5.0,0.0,5,84918,False,Rafael Rogério da Silva,,,,,,,,,,,,,,,,,,
148,Marcos Felipe,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,marcos-felipe,2,M. Felipe,3,265,4.0,7,4.5,,7.23,0.53,1,85004,True,Marcos Felipe de Freitas Monteiro,,,,,,,,13.0,4.0,,,,,,,,,
149,Óscar Romero,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,oscar-romero,2,Ã. Romero,3,263,0.0,6,2.65,,7.15,0.0,4,85034,False,Óscar David Romero Villamayor,,4.0,,,,1.0,,,,,,,,,,,,
150,Damián Suárez,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DpJN07P.png,damian-suarez,1,D. Suárez,3,263,0.2,7,0.2,,4.1,-0.9,2,85277,True,Damián Nicolás Suárez,,,1.0,,,1.0,,,,,,,,,,,,
151,Alex Santana,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO.png,alex-santana,2,A. Santana,3,293,0.0,6,-0.8,,3.56,0.0,4,85465,False,Alex Paulo Menezes Santana,1.0,,2.0,,,,,,,,,,,,,,,
152,Léo,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,leo,3,Léo,3,267,2.2,7,1.33,,3.86,-0.03,3,85626,True,Leonardo Pinheiro da Conceição,,2.0,2.0,1.0,,2.0,,,,,,,,,,,,
153,Hyoran,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,hyoran,0,Hyoran,3,285,0.0,5,0.0,,5.0,0.0,4,85931,False,Hyoran Kaue Dalmoro,,,,,,,,,,,,,,,,,,
154,Bolasie,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,bolasie,2,Bolasie,3,288,0.0,7,-0.7,,3.4,0.0,5,86292,False,Yannick Bolasie,1.0,,3.0,,,1.0,,,,,,,,,,,,
155,Caio Dantas,Vitória,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,caio-dantas,0,C. Dantas,3,287,0.0,6,0.0,,3.0,0.0,5,86362,False,Caio Henrique da Silva Dantas,,,,,,,,,,,,,,,,,,
156,Victor Luis,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,victor-luis,0,V. Luis,3,267,0.0,6,0.0,,3.0,0.0,2,86410,False,Victor Luis Chuab Zamblauskas,,,,,,,,,,,,,,,,,,
157,Keno,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,keno,0,Keno,3,266,0.0,6,0.0,,8.0,0.0,5,86485,False,Marcos da Silva França,,,,,,,,,,,,,,,,,,
158,Jandrei,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,jandrei,0,Jandrei,3,276,0.0,6,0.0,,5.0,0.0,1,86508,False,Jandrei Chitolina Carniel,,,,,,,,,,,,,,,,,,
159,Rodrigo,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,rodrigo,2,Rodrigo,3,288,0.0,7,2.45,,3.52,0.0,3,86684,False,Rodrigo Fagundes de Freitas,1.0,5.0,2.0,,,1.0,,,,,,,,,,,,
160,Tchê Tchê,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,tche-tche,2,T. Tchê,3,263,0.0,2,2.1,,5.27,0.0,4,86686,False,Danilo das Neves Pinheiro,,2.0,,,1.0,2.0,,,,,,,,,,,,
161,Jonathan,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,jonathan,0,Jonathan,3,288,0.0,6,0.0,,3.0,0.0,2,86713,False,Jonathan Francisco Lemos,,,,,,,,,,,,,,,,,,
162,Everton,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,everton,2,Everton,3,262,0.0,5,1.4,,4.43,0.0,5,86757,False,Everton Sousa Soares,,,,,3.0,1.0,,,,,1.0,,,,,,,
163,Matheus Rossetto,Fortaleza,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,matheus-rossetto,0,M. Rossetto,3,356,0.0,6,0.0,,3.0,0.0,4,86766,False,Matheus Rossetto,,,,,,,,,,,,,,,,,,
164,Danilo Barbosa,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,danilo-barbosa,3,D. Barbosa,3,263,18.2,7,9.13,,10.06,3.2,4,86777,True,Danilo Barbosa da Silva,1.0,5.0,3.0,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,
165,José Welison,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,jose-welison,2,J. Welison,3,356,0.0,6,3.3,,5.53,0.0,4,86859,False,José Welison da Silva,,6.0,2.0,,,,,,,,,,,,,,,
166,Léo Jardim,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,leo-jardim,3,L. Jardim,3,267,3.0,7,1.33,,6.66,-0.28,1,87008,True,Leonardo César Jardim,,,,,,,,9.0,5.0,,,,,,,,,
167,Nathan,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,nathan,0,Nathan,3,284,0.0,6,0.0,,5.0,0.0,4,87009,False,Nathan Allan de Souza,,,,,,,,,,,,,,,,,,
168,Zeca,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_UxzvkDO.png,zeca,2,Zeca,3,287,-0.3,7,1.9,,4.37,-0.36,2,87192,True,José Carlos Cracco Neto,1.0,3.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,
169,Pedro Henrique,Bragantino,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,pedro-henrique,0,P. Henrique,3,280,0.0,2,0.0,,6.0,0.0,3,87225,False,Pedro Henrique Ribeiro Gonçalves,,,,,,,,,,,,,,,,,,
170,Guilherme Arana,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,guilherme-arana,3,G. Arana,3,282,15.5,7,9.0,,13.6,1.9,2,87228,True,Guilherme Antonio Arana Lopes,1.0,5.0,2.0,2.0,1.0,3.0,1.0,,,2.0,1.0,,,,,,,
171,Carlos de Pena,Bahia,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,carlos-de-pena,2,C. Pena,3,265,-1.3,6,-0.8,,2.95,-1.06,4,87242,True,Carlos María de Pena Bonino,2.0,,2.0,,,2.0,,,,,,,,,,,,
172,Soteldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,soteldo,3,Soteldo,3,284,8.7,6,7.0,,11.46,0.58,5,87258,True,Yeferson Julio Soteldo Martínez,,3.0,1.0,2.0,1.0,3.0,1.0,,,,,1.0,,,,,,
173,Kannemann,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,kannemann,1,Kannemann,3,284,-1.0,7,-1.3,,3.68,-0.33,3,87342,False,Walter Kannemann,1.0,,1.0,,,,,,,,,,,,,,,
174,Allano,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,allano,0,Allano,3,288,0.0,6,0.0,,4.0,0.0,5,87391,False,Allano Brendon de Souza Lima,,,,,,,,,,,,,,,,,,
