,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.clube.id.full.name,atletas.status_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.media_num,atletas.pontos_num,atletas.nome,atletas.slug,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,DE,GS,V,PS,PC,PP,GC,DP
19,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,11,0.0,False,Titi,50353,,Titi,Fortaleza,7,20,356,3,3.86,2.37,0.0,Christian Chagas Tarouco,titi,,3.0,15.0,18.0,,2.0,10.0,,1.0,2.0,,,,,,,,,,
20,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,15,-0.4,True,Walter,51413,,Walter,Cuiabá,7,20,1371,1,4.94,3.63,0.0,Walter Leandro Capeloza Artune,walter,,,,,,,1.0,,,3.0,,,60.0,21.0,,,,,,
21,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,18,-0.26,True,E. Ribeiro,51772,,Everton Ribeiro,Bahia,7,20,265,4,8.28,4.02,1.5,Everton Augusto de Barros Ribeiro,everton-ribeiro,4.0,1.0,28.0,15.0,4.0,5.0,31.0,,1.0,,,,,,,,,,,
22,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,9,0.0,False,Fernando,52271,,Fernando,Internacional,5,20,285,4,5.03,1.76,0.0,Fernando Francisco Reges,fernando,,3.0,10.0,8.0,,,3.0,1.0,2.0,,,,,,,,,,,
23,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,12,0.95,True,D. Luiz,52827,,David Luiz,Flamengo,6,20,262,3,6.77,2.86,6.7,David Luiz Moreira Marinho,david-luiz,,2.0,3.0,9.0,2.0,5.0,2.0,2.0,,2.0,,1.0,,,,,1.0,,,
24,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,1,0.0,False,L. Gamalho,53865,,Léo Gamalho,Vitória,6,20,287,5,4.11,0.0,0.0,Leonardo Gamalho de Souza,leo-gamalho,,,,,,,,,,,,,,,,,,,,
25,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,1,0.0,False,A. Teixeira,60793,,Alex Teixeira,Vasco,6,20,267,4,4.69,0.5,0.0,Alex Teixeira Santos,alex-teixeira,,,,,,,1.0,,,,,,,,,,,,,
26,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,0,0.0,False,Renan,60795,,Renan,Juventude,5,20,286,1,4.0,0.0,0.0,Renan dos Santos,renan,,,,,,,,,,,,,,,,,,,,
27,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,0,0.0,False,Souza,60803,,Souza,Vasco,6,20,267,4,7.0,0.0,0.0,Josef de Souza Dias,souza,,,,,,,,,,,,,,,,,,,,
28,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,4,0.0,False,Cicinho,61106,,Cicinho,Bahia,6,20,265,2,4.17,1.57,0.0,Neuciano de Jesus Gusmão,cicinho,,,1.0,3.0,,,2.0,,,1.0,,,,,,,,,,
29,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,13,-0.08,True,Gilberto,61188,,Gilberto,Juventude,7,20,286,5,3.61,1.78,0.5,Gilberto Oliveira Souza Júnior,gilberto,,1.0,4.0,8.0,4.0,8.0,6.0,1.0,4.0,,,,,,,,,,,
30,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,8,0.0,False,Fabrício,61228,,Fabrício,Internacional,6,20,285,1,5.96,4.13,0.0,Fabrício Barros Santana,fabricio,,,,,,,,,,3.0,,,26.0,8.0,,,,,,
31,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,9,0.0,False,D. Costa,62020,,Douglas Costa,Fluminense,6,20,266,5,4.06,1.16,0.0,Douglas Costa de Souza,douglas-costa,,1.0,5.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,
32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,16,0.62,True,Ganso,62977,,Ganso,Fluminense,7,20,266,4,7.82,3.85,6.2,Paulo Henrique Chagas de Lima,ganso,3.0,7.0,13.0,10.0,4.0,2.0,21.0,3.0,,,,,,,,,,,,
33,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,15,0.0,False,M. Rocha,63013,,Marcos Rocha,Palmeiras,7,20,275,2,7.22,4.46,0.0,Marcos Luis Rocha Aquino,marcos-rocha,,,21.0,10.0,,2.0,6.0,,,8.0,,,,,,,,,,
34,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,11,0.0,False,A. Ruschel,63110,,Alan Ruschel,Juventude,7,20,286,2,4.54,3.14,0.0,Alan Luciano Ruschel,alan-ruschel,,1.0,18.0,13.0,,1.0,14.0,,,2.0,,,,,,,,,,
35,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,13,0.0,False,Edenílson,63289,,Edenílson,Grêmio,6,20,284,4,4.09,1.48,0.0,Edenílson Andrade dos Santos,edenilson,,2.0,6.0,9.0,1.0,1.0,14.0,1.0,1.0,,,,,,,,,,,
36,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,7,0.0,False,A. Patrick,68685,,Alan Patrick,Internacional,7,20,285,4,9.81,2.83,0.0,Alan Patrick Lourenço,alan-patrick,,3.0,6.0,8.0,5.0,5.0,8.0,1.0,,,,,,,,,,1.0,,
37,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,10,0.0,False,Eduardo,68708,,Eduardo,Botafogo,5,20,263,4,6.26,3.2,0.0,Carlos Eduardo de Oliveira Alves,eduardo,1.0,1.0,6.0,8.0,3.0,4.0,9.0,2.0,1.0,,,,,,,,,1.0,,
38,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,1,-1.01,True,M. Lomba,68872,,Marcelo Lomba,Palmeiras,6,20,275,1,4.99,-1.0,-1.0,Marcelo Lomba do Nascimento,marcelo-lomba,,,,,,,,,,,,,1.0,2.0,,,,,,
39,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,2,-0.44,True,P. Coutinho,68899,,Philippe Coutinho,Vasco,7,20,267,4,7.23,1.5,1.8,Philippe Coutinho Correia,philippe-coutinho,,,2.0,2.0,1.0,,,,,,,,,,,,,,,
40,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,8,-0.17,True,Dudu,68920,,Dudu,Palmeiras,7,20,275,5,6.05,1.39,1.2,Eduardo Pereira Rodrigues,dudu,,,3.0,3.0,3.0,1.0,8.0,,,,,,,,,,,,,
41,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,12,-0.52,True,Rafael,68928,,Rafael,São Paulo,7,20,276,1,6.42,3.16,0.0,Rafael Pires Monteiro,rafael,,1.0,,,,,,,,5.0,,,25.0,11.0,,,,,,
42,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,4,0.0,False,R. Cabral,68940,,Rafael Cabral,Grêmio,6,20,284,1,5.21,0.75,0.0,Rafael Cabral Barbosa,rafael-cabral,,,,,,,,,,,,,11.0,8.0,,,,,,
43,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,9,0.61,True,Marinho,68952,,Marinho,Fortaleza,6,20,356,5,5.5,2.91,7.0,Mário Sérgio Santos Costa,marinho,,1.0,9.0,12.0,3.0,11.0,16.0,,4.0,,,,,,,,,,,
