,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
188,joao-pedro,2,38,True,284,89273,3.63,João Pedro,Grêmio,1.8,7,-0.87,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,J. Pedro,5.66,João Pedro Maturano dos Santos,,29,3.0,25.0,12.0,4.0,11.0,13.0,6.0,,1.0,1.0,,4.0,2.0,,,,,2.0,,
189,william,2,38,True,283,89275,6.87,William,Cruzeiro,5.4,7,0.16,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,William,11.52,Willian de Asevedo Furtado,,33,8.0,80.0,41.0,9.0,25.0,21.0,11.0,,5.0,,,3.0,,,,,,,,
190,braithwaite,5,38,True,284,89368,6.94,Braithwaite,Grêmio,5.2,7,0.31,https://s.sde.globo.com/media/person_role/2024/07/31/photo_FORMATO_bydXPc3.png,Braithwaite,12.78,Martin Christensen Braithwaite,,14,1.0,6.0,18.0,8.0,11.0,19.0,,,7.0,6.0,,2.0,2.0,,,,,,,1.0
191,erick,5,38,True,286,89467,3.38,Erick,Juventude,3.0,7,-1.28,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,Erick,5.13,Erick Samuel Correa Farias,,30,1.0,30.0,11.0,13.0,10.0,9.0,,,4.0,5.0,,2.0,,,,,,,,
192,igor-rabello,3,38,True,282,89493,2.28,Igor Rabello,Atlético-MG,5.0,6,0.13,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_OdAWsbE.png,I. Rabello,5.64,Igor Rabello da Costa,,15,3.0,12.0,11.0,1.0,2.0,5.0,5.0,,,1.0,1.0,,,,,,,1.0,,
193,thiago-maia,4,38,False,285,89637,2.98,Thiago Maia,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,T. Maia,4.82,Thiago Maia Alencar,,21,4.0,30.0,22.0,2.0,6.0,8.0,,,1.0,1.0,,4.0,,,,,,2.0,,
194,calleri,5,38,False,276,89840,4.05,Calleri,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,Calleri,9.51,Jonathan Calleri,,27,6.0,11.0,36.0,9.0,14.0,47.0,,,5.0,26.0,,4.0,3.0,1.0,,,,,,
195,cristaldo,4,38,True,284,89846,4.12,Cristaldo,Grêmio,1.7,6,-0.17,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,Cristaldo,8.26,Franco Cristaldo,,31,1.0,24.0,13.0,11.0,15.0,34.0,,,6.0,4.0,,2.0,1.0,1.0,,,,,,
196,dodi,4,38,True,284,89883,2.3,Dodi,Grêmio,0.9,7,-0.21,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,Dodi,3.51,Douglas Moreira Fagundes,,29,6.0,49.0,28.0,2.0,5.0,28.0,,,,,1.0,1.0,,,,,,,,
197,bruno-pacheco,2,38,False,356,90061,4.12,Bruno Pacheco,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,B. Pacheco,8.14,Bruno de Jesus Pacheco,,19,4.0,25.0,13.0,1.0,4.0,18.0,6.0,,1.0,,,1.0,,,,,,,,
198,bruno-henrique,5,38,True,262,90285,4.94,Bruno Henrique,Flamengo,0.9,7,-1.31,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,B. Henrique,8.23,Bruno Henrique Pinto,,27,6.0,31.0,42.0,14.0,11.0,52.0,,,6.0,6.0,,1.0,3.0,2.0,,,,,,
199,pedro-rocha,5,38,True,288,90302,1.65,Pedro Rocha,Criciúma,2.0,7,0.27,https://s.sde.globo.com/media/person_role/2024/08/15/photo_FORMATO_iS6kjIf.png,P. Rocha,3.85,Pedro Rocha Neves,,11,,6.0,3.0,2.0,3.0,4.0,,,,,,1.0,,,,,,,,
200,lincoln,4,38,True,280,90303,3.15,Lincoln,Bragantino,1.8,7,0.07,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,Lincoln,5.68,Lincoln Henrique Oliveira dos Santos,,25,4.0,19.0,16.0,3.0,12.0,35.0,,,3.0,,,2.0,,,,,,,,
201,david,5,38,False,267,90309,3.88,David,Vasco,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,David,7.19,David Correa da Fonseca,,23,5.0,24.0,24.0,3.0,18.0,23.0,,,4.0,9.0,1.0,3.0,,,,,,,,
202,rezende,4,38,False,265,90449,1.39,Rezende,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,Rezende,3.7,Júlio César de Rezende Miranda,,17,3.0,16.0,12.0,,2.0,13.0,,,,,,,1.0,,,,,,,
203,diego-goncalves,5,38,True,286,90540,1.36,Diego Gonçalves,Juventude,3.2,6,0.43,https://s.sde.globo.com/media/person_role/2024/07/13/photo_220x220_schK1aa.png,D. Gonçalves,3.32,Diego Gonçalves,,7,,3.0,1.0,2.0,3.0,3.0,,,,1.0,,,,,,,,,,
204,caique,4,38,False,286,90588,2.84,Caíque,Juventude,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,Caíque,4.32,Caique de Jesus Gonçalves,,16,5.0,35.0,17.0,,2.0,26.0,,,,,,,,,,,,1.0,,
205,mateus-claus,1,38,False,286,90590,2.3,Mateus Claus,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,M. Claus,3.29,Mateus Eduardo Claus,,5,3.0,,,,,1.0,,,,,,,,,24.0,10.0,,,,
206,lucas-mineiro,4,38,True,1371,90634,1.25,Lucas Mineiro,Cuiabá,0.6,7,0.04,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,L. Mineiro,2.47,Lucas da Silva Izidoro,,29,6.0,38.0,55.0,,4.0,20.0,,,,1.0,,,,,,,,,,
207,matheuzinho,4,38,False,287,90703,5.74,Matheuzinho,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,Matheuzinho,8.42,Matheus Martins Fogaça de Paulo,,32,5.0,40.0,21.0,16.0,20.0,76.0,,,5.0,4.0,,6.0,1.0,1.0,,,,,,
208,luiz-fernando,5,38,False,373,90715,4.83,Luiz Fernando,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,L. Fernando,9.68,Luiz Fernando Moraes dos Santos,,30,8.0,29.0,26.0,15.0,29.0,51.0,,,8.0,10.0,1.0,,,,,1.0,,,,
209,fabricio-bruno,3,38,False,262,90768,2.42,Fabrício Bruno,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,F. Bruno,5.47,Fabrício Bruno Soares de Faria,,26,4.0,19.0,6.0,2.0,6.0,11.0,5.0,,1.0,,,,,,,,,,,
210,carlos-eduardo,5,38,True,287,90917,3.14,Carlos Eduardo,Vitória,7.6,7,0.88,https://s.sde.globo.com/media/person_role/2024/10/03/photo_FORMATO_VmDBjjh.png,C. Eduardo,5.44,Carlos Eduardo Ferreira de Souza,,17,4.0,19.0,14.0,7.0,14.0,20.0,,,,8.0,,2.0,,1.0,,,,1.0,,
211,ze-marcos,3,38,False,286,90943,1.42,Zé Marcos,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,Z. Marcos,2.61,José Marcos Alves Luis,,20,7.0,15.0,14.0,1.0,3.0,22.0,2.0,,,,1.0,,,,,,,,,
212,cardona,3,38,False,356,90947,3.92,Cardona,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,Cardona,6.25,Tomás Cardona,,16,4.0,22.0,25.0,1.0,2.0,4.0,7.0,,1.0,1.0,,,,,,,,,,
213,ronaldo,1,38,True,373,91101,3.58,Ronaldo,Atlético-GO,1.0,7,-0.9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,Ronaldo,4.56,Ronaldo de Oliveira Strada,,30,3.0,,2.0,,,4.0,6.0,,,,1.0,1.0,,,99.0,43.0,,,3.0,
214,everaldo,5,38,False,287,91151,1.75,Everaldo,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,Everaldo,3.66,Everaldo Silva do Nascimento,,15,3.0,6.0,15.0,2.0,1.0,15.0,,,2.0,,,,,,,,,,,
215,pk,2,38,False,287,91190,2.35,PK,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,PK,3.27,Ítaro Patric Cardoso Calmon,,11,1.0,10.0,7.0,1.0,3.0,3.0,2.0,,,2.0,1.0,1.0,,,,,,,,
216,erick-pulgar,4,38,True,262,91473,2.65,Erick Pulgar,Flamengo,12.4,7,0.9,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,E. Pulgar,5.59,Erick Antonio Pulgar Farfán,,22,4.0,38.0,31.0,2.0,3.0,13.0,,,,,1.0,3.0,1.0,,,,,,,
217,rodrigo-sam,3,38,False,286,91509,3.0,Rodrigo Sam,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,R. Sam,4.3,Rodrigo Eduardo da Silva,,12,4.0,16.0,13.0,,1.0,8.0,3.0,,1.0,1.0,1.0,,,,,,,,,
218,arboleda,3,38,False,276,91573,4.06,Arboleda,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,Arboleda,7.0,Robert Abel Arboleda Escobar,,27,3.0,35.0,20.0,2.0,6.0,11.0,9.0,,2.0,2.0,,,1.0,,,,,,,
219,rony,5,38,True,275,91607,3.19,Rony,Palmeiras,1.7,6,-0.5,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,Rony,6.38,Ronielson da Silva Barbosa,,33,4.0,22.0,23.0,18.0,19.0,29.0,,,4.0,16.0,,1.0,1.0,,,,,,,
220,dudu-vieira,4,38,False,286,91627,2.12,Dudu Vieira,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_FoNW8Tt.png,D. Vieira,3.3,Carlos Eduardo de Souza Vieira,,4,,6.0,3.0,1.0,,2.0,,,,,,,,,,,,,,
221,adryelson,3,38,True,263,91664,3.63,Adryelson,Botafogo,0.0,7,-1.0,https://s.sde.globo.com/media/person_role/2024/09/02/photo_220x220_8Mss0wu.png,Adryelson,6.85,Adryelson Shawann Lima Silva,,6,,3.0,2.0,,1.0,,3.0,,,,,,1.0,,,,,,,
222,marlon,2,38,False,283,91706,3.11,Marlon,Cruzeiro,0.0,3,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,Marlon,8.27,Marlon Rodrigues Xavier,,27,3.0,40.0,32.0,3.0,6.0,13.0,7.0,,,1.0,2.0,1.0,,,,,,,,
223,david-duarte,3,38,False,265,91772,3.3,David Duarte,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,D. Duarte,5.61,David de Duarte Macedo,,3,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,
224,ze-ivaldo,3,38,False,283,91866,3.13,Zé Ivaldo,Cruzeiro,0.0,3,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,Z. Ivaldo,4.69,José Ivaldo Almeida Silva,,27,9.0,21.0,27.0,9.0,13.0,17.0,8.0,,1.0,3.0,,,,,,,,1.0,,
225,pavon,5,38,True,284,91908,2.77,Pavón,Grêmio,3.3,7,-0.36,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,Pavón,6.25,Cristian David Pavón,,20,4.0,12.0,12.0,12.0,10.0,7.0,,,1.0,1.0,,3.0,,,,,,,,
226,ramon-diaz,6,38,True,264,92075,5.84,Ramón Díaz,Corinthians,9.08,7,0.16,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,R. Díaz,9.45,Ramón Ángel Díaz,,25,,,,,,,,13.0,,,,,,,,,,,,
227,lyanco,3,38,True,282,92087,3.21,Lyanco,Atlético-MG,6.7,6,0.97,https://s.sde.globo.com/media/person_role/2024/07/05/photo_FORMATO_3LfkT8x.png,Lyanco,6.9,Lyanco Evangelista Silveira Neves Vojnovic,,10,4.0,16.0,16.0,,4.0,3.0,4.0,,,1.0,1.0,,,,,,,,,
228,andre-luis,5,38,False,1371,92146,0.77,André Luís,Cuiabá,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,A. Luís,2.2,Andre Luis da Costa Alfredo,,17,2.0,4.0,8.0,3.0,3.0,14.0,,,,2.0,,,,,,,,,,
229,alario,5,38,False,285,92149,0.2,Alario,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,Alario,2.27,Lucas Nicolás Alario,,13,4.0,1.0,14.0,2.0,9.0,4.0,,,,9.0,,,,,,,,1.0,,
230,caique,1,38,True,284,92207,1.17,Caíque,Grêmio,0.0,7,-0.3,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,Caíque,2.96,Caíque Luiz Santos da Purificação,,6,1.0,,,,,,,,,,,,,,18.0,10.0,,,,
231,rodrigo-ely,3,38,False,284,92237,3.76,Rodrigo Ely,Grêmio,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,R. Ely,4.96,Rodrigo Ely,,18,5.0,20.0,13.0,6.0,7.0,10.0,5.0,,1.0,1.0,,,1.0,,,,,1.0,,
232,andre-ramalho,3,38,True,264,92440,2.85,André Ramalho,Corinthians,7.1,7,0.52,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_XTr7yqw.png,A. Ramalho,6.33,André Ramalho Silva,,17,5.0,21.0,19.0,2.0,3.0,6.0,5.0,,,1.0,1.0,1.0,,,,,,1.0,,
233,raul,4,38,True,280,92496,2.12,Raul,Bragantino,0.0,6,-0.33,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,Raul,2.65,Raul Lô Gonçalves,,27,2.0,35.0,19.0,2.0,5.0,13.0,,,1.0,,,1.0,,,,,,,,1.0
234,renato-kayzer,5,38,False,356,92696,3.39,Renato Kayzer,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,R. Kayzer,5.47,Renato Kayzer de Souza,,27,2.0,15.0,33.0,8.0,14.0,24.0,,,6.0,8.0,1.0,1.0,1.0,,,,,,,
235,deyverson,5,38,True,282,92708,2.19,Deyverson,Atlético-MG,0.7,7,-0.16,https://s.sde.globo.com/media/person_role/2024/08/07/photo_FORMATO_UNGMfhs.png,Deyverson,5.52,Deyverson Brum Silva Acosta,,16,4.0,2.0,13.0,6.0,6.0,23.0,,,2.0,9.0,,1.0,,1.0,,,1.0,,,
236,bruno-rodrigues,5,38,False,275,92811,0.0,Bruno Rodrigues,Palmeiras,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,B. Rodrigues,5.0,Bruno Rafael Rodrigues do Nascimento,,0,,,,,,,,,,,,,,,,,,,,
237,borre,5,38,True,285,92854,6.14,Borré,Internacional,1.4,7,-0.55,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,Borré,10.78,Rafael Santos Borré Maury,,19,4.0,21.0,32.0,15.0,18.0,16.0,,,7.0,11.0,,2.0,1.0,1.0,,,1.0,,,
238,ronaldo,4,38,True,286,92981,4.65,Ronaldo,Juventude,1.1,7,-0.29,https://s.sde.globo.com/media/person_role/2024/08/27/photo_220x220_RwR6CNh.png,Ronaldo,7.8,Ronaldo da Silva Souza,,11,1.0,21.0,22.0,1.0,3.0,8.0,,,2.0,,,2.0,,,,,,,,
239,mateus-vital,4,38,False,283,93108,1.51,Mateus Vital,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,M. Vital,3.45,Mateus da Silva Vital Assumpção,,18,,2.0,5.0,2.0,5.0,14.0,,,1.0,,,1.0,,,,,,,,
240,wanderson,5,38,False,285,93478,2.21,Wanderson,Internacional,0.0,3,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,Wanderson,4.92,Wanderson Maciel Sousa Campos,,20,3.0,11.0,12.0,6.0,4.0,12.0,,,2.0,2.0,,1.0,,,,,,,,
241,gabriel-inocencio,2,38,False,286,93702,2.99,Gabriel Inocêncio,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,G. Inocêncio,4.26,Gabriel de Souza Inocêncio,,15,2.0,19.0,20.0,1.0,3.0,15.0,4.0,,,2.0,,,,,,,,1.0,,
242,paulo-henrique,2,38,False,267,93716,4.04,Paulo Henrique,Vasco,0.0,3,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,P. Henrique,7.08,Paulo Henrique de Oliveira Alves,,34,6.0,73.0,40.0,4.0,9.0,25.0,7.0,,1.0,,,,,,,,,,,
243,marlon-freitas,4,38,True,263,93790,2.38,Marlon Freitas,Botafogo,2.4,7,-0.25,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,M. Freitas,4.22,Marlon Rodrigues Freitas,,31,7.0,33.0,22.0,4.0,12.0,5.0,,,,1.0,,5.0,2.0,,,,,,,
244,keiller,1,38,False,267,93834,0.0,Keiller,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,Keiller,4.0,Keiller da Silva Nunes,,0,,,,,,,,,,,,,,,,,,,,
245,cleiton,1,38,True,280,93882,3.75,Cleiton,Bragantino,2.5,7,-0.39,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,Cleiton,6.51,Cleiton Schwengber,,28,4.0,,1.0,,,10.0,6.0,,,,1.0,,,,95.0,32.0,,,2.0,
246,matheusinho,4,38,True,288,93886,3.75,Matheusinho,Criciúma,0.0,6,-0.14,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,Matheusinho,5.8,Matheus Leonardo Sales Cardoso,,25,2.0,19.0,13.0,5.0,11.0,24.0,,,4.0,2.0,,3.0,1.0,,,,,,,
247,breno-lopes,5,38,True,356,93988,4.21,Breno Lopes,Fortaleza,0.0,6,-0.3,https://s.sde.globo.com/media/person_role/2024/08/14/photo_FORMATO_4oznMOQ.png,B. Lopes,7.07,Breno Henrique Vasconcelos Lopes,,30,6.0,16.0,15.0,14.0,20.0,51.0,,,5.0,7.0,,3.0,1.0,2.0,,,,,,
248,john,1,38,True,263,94044,4.56,John,Botafogo,-1.0,7,-0.38,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,John,6.86,John Victor Maciel Furtado,,33,2.0,,1.0,,,3.0,16.0,,,,,,,,88.0,24.0,,,1.0,
249,matheus-fernandes,4,38,False,280,94067,4.09,Matheus Fernandes,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,M. Fernandes,7.58,Matheus Fernandes Siqueira,,14,5.0,35.0,21.0,2.0,7.0,11.0,,,1.0,,,1.0,,,,,,,,
250,felipe-vizeu,5,38,False,288,94138,1.63,Felipe Vizeu,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,F. Vizeu,2.89,Felipe dos Reis Pereira Vizeu do Carmo,,15,1.0,3.0,6.0,2.0,2.0,8.0,,,2.0,2.0,1.0,,1.0,,,,,,,
251,maycon,4,38,False,264,94154,0.2,Maycon,Corinthians,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,Maycon,4.65,Maycon de Andrade Barberan,,2,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
252,raphael-veiga,4,38,True,275,94509,6.12,Raphael Veiga,Palmeiras,3.4,7,0.1,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,R. Veiga,11.55,Raphael Cavalcante Veiga,,32,3.0,21.0,18.0,25.0,35.0,45.0,,,11.0,4.0,1.0,3.0,1.0,,,,1.0,,,
253,pedro,5,38,False,262,94583,7.9,Pedro,Flamengo,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,Pedro,13.93,Pedro Guilherme Abreu dos Santos,,21,3.0,15.0,14.0,15.0,11.0,25.0,,,11.0,3.0,,5.0,2.0,1.0,,,1.0,,,
254,jhegson-mendez,4,38,False,276,94786,0.0,Jhegson Méndez,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_PUzvx3f.png,J. Méndez,4.0,Jhegson Sebastián Méndez Carabalí,,0,,,,,,,,,,,,,,,,,,,,
255,battaglia,4,38,True,282,94845,1.07,Battaglia,Atlético-MG,1.6,7,0.25,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,Battaglia,2.44,Rodrigo Andrés Battaglia,,23,3.0,22.0,29.0,3.0,3.0,14.0,,,,,2.0,,1.0,,,,,,,
256,juninho-capixaba,2,38,True,280,94968,5.17,Juninho Capixaba,Bragantino,7.6,7,1.09,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,J. Capixaba,10.68,Luis Antônio da Rocha Júnior,,23,4.0,58.0,39.0,3.0,5.0,29.0,5.0,,2.0,1.0,,,1.0,,,,,1.0,,
257,gabriel-taliari,5,38,True,286,95131,2.75,Gabriel Taliari,Juventude,3.4,7,-0.88,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,G. Taliari,4.15,Gabriel Pereira Taliari,,20,1.0,7.0,14.0,4.0,7.0,28.0,,,2.0,5.0,,2.0,2.0,,,,1.0,,,
258,gregore,4,38,True,263,95464,3.19,Gregore,Botafogo,16.6,7,1.91,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,Gregore,6.46,Gregore de Magalhães da Silva,,32,8.0,79.0,90.0,4.0,4.0,15.0,,,2.0,1.0,,2.0,,1.0,,,,,,
259,igor-vinicius,2,38,True,276,95466,3.77,Igor Vinícius,São Paulo,1.7,7,-0.08,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,I. Vinícius,5.82,Igor Vinícius de Souza,,30,5.0,46.0,17.0,1.0,3.0,37.0,8.0,,,2.0,1.0,2.0,1.0,,,,,1.0,,1.0
260,raniele,4,38,True,264,95556,3.39,Raniele,Corinthians,3.1,7,0.03,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,Raniele,6.43,Raniele Almeida Melo,,32,7.0,72.0,33.0,11.0,9.0,29.0,,,,1.0,,,1.0,1.0,,,,,,
261,trauco,2,38,False,288,95738,1.82,Trauco,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,Trauco,4.02,Miguel Ángel Trauco Saavedra,,22,3.0,18.0,14.0,2.0,5.0,2.0,2.0,,1.0,,,,,,,,,,,
262,tobias-figueiredo,3,38,True,288,95878,1.2,Tobias Figueiredo,Criciúma,4.0,7,0.78,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_GTVYOSI.png,T. Figueiredo,2.4,Tobias Pereira Figueiredo,,22,5.0,16.0,18.0,1.0,2.0,8.0,3.0,,,,,,,,,,,1.0,,1.0
263,machado,4,38,True,287,96089,1.53,Machado,Vitória,4.8,7,0.44,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_lcvtaws.png,Machado,3.01,Luiz Filipe da Rosa Machado - Felipe,,24,4.0,24.0,17.0,5.0,4.0,10.0,,,,1.0,,,1.0,,,,,,,
264,lima,4,38,True,266,96340,3.32,Lima,Fluminense,5.5,7,0.09,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lwuhu7n.png,Lima,7.35,Vinicius Moreira de Lima,,25,5.0,26.0,18.0,5.0,13.0,43.0,,,3.0,,1.0,,1.0,1.0,,,,1.0,,
265,charles,4,38,True,264,96342,3.44,Charles,Corinthians,8.0,6,1.17,https://s.sde.globo.com/media/person_role/2024/08/16/photo_FORMATO_B0JwXGp.png,Charles,6.39,Charles Rigon Mattos,,13,4.0,31.0,11.0,2.0,2.0,6.0,,,1.0,2.0,,,,,,,,,,
266,matheus-pereira,4,38,True,283,96610,5.53,Matheus Pereira,Cruzeiro,-2.6,7,-1.69,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_tZZNLQo.png,M. Pereira,8.76,Matheus Fellipe Costa Pereira,,32,9.0,16.0,31.0,14.0,27.0,89.0,,,7.0,8.0,1.0,7.0,2.0,,,,,,,
267,maxime-dominguez,4,38,True,267,96614,2.49,Maxime Dominguez,Vasco,-0.7,6,-0.34,https://s.sde.globo.com/media/person_role/2024/09/09/photo_FORMATO_yW5iRUR.png,M. Dominguez,4.29,Maxime Dominguez,,7,2.0,10.0,10.0,,,5.0,,,1.0,1.0,,,,,,,,,,
268,allan,4,38,False,262,96652,1.28,Allan,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_j7yMylW.png,Allan,3.69,Allan Rodrigues de Souza,,24,5.0,27.0,27.0,4.0,3.0,16.0,,,,,1.0,,,,,,,1.0,,
269,saravia,2,38,True,282,96725,4.15,Saravia,Atlético-MG,9.6,7,1.12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,Saravia,7.95,Renzo Saravia,,28,3.0,63.0,40.0,2.0,4.0,27.0,7.0,,,1.0,,,1.0,,,,,1.0,,
270,camutanga,3,38,False,287,96793,0.63,Camutanga,Vitória,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_dArb0z1.png,Camutanga,2.34,Cleidson Andrade da Souza Silva,,4,1.0,3.0,3.0,1.0,2.0,2.0,,,,,1.0,,,,,,,,,
271,carlinhos,5,38,False,262,96831,1.57,Carlinhos,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/05/13/photo_FORMATO_3NTjVXj.png,Carlinhos,2.48,Carlos Moisés de Lima,,13,2.0,3.0,8.0,3.0,5.0,2.0,,,2.0,4.0,1.0,,,,,,,,,
