,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
18,everton-ribeiro,4,38,True,265,51772,3.95,Everton Ribeiro,Bahia,1.0,7,-0.21,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,E. Ribeiro,7.88,Everton Augusto de Barros Ribeiro,,34,3.0,52.0,32.0,8.0,7.0,67.0,,,2.0,1.0,,4.0,,,,,,,,
19,fernando,4,38,True,285,52271,1.97,Fernando,Internacional,0.0,6,-0.09,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,4.73,Fernando Francisco Reges,,20,5.0,28.0,16.0,1.0,1.0,6.0,,,1.0,2.0,,,1.0,,,,,,,
20,david-luiz,3,38,True,262,52827,3.19,David Luiz,Flamengo,1.9,7,-0.54,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,D. Luiz,6.1,David Luiz Moreira Marinho,,22,5.0,9.0,21.0,3.0,7.0,11.0,6.0,,3.0,1.0,,,1.0,,,,,1.0,,
21,alex-teixeira,4,38,True,267,60793,3.95,Alex Teixeira,Vasco,3.5,7,-0.07,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,A. Teixeira,5.79,Alex Teixeira Santos,,7,,5.0,,2.0,3.0,8.0,,,1.0,1.0,,1.0,,,,,,,,
22,souza,4,38,False,267,60803,-0.5,Souza,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/14/photo_FORMATO_9cOrW1c.png,Souza,3.57,Josef de Souza Dias,,4,1.0,2.0,3.0,,,1.0,,,,,1.0,,,,,,,,,
23,cicinho,2,38,False,265,61106,1.32,Cicinho,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,4.32,Neuciano de Jesus Gusmão,,4,1.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,
24,gilberto,5,38,False,286,61188,2.24,Gilberto,Juventude,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,3.91,Gilberto Oliveira Souza Júnior,,22,3.0,6.0,21.0,10.0,13.0,11.0,,,2.0,5.0,,1.0,1.0,,,,,,,
25,fabricio,1,38,False,285,61228,4.13,Fabrício,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,5.96,Fabrício Barros Santana,,8,,,,,,,3.0,,,,,,,,26.0,8.0,,,,
26,alex-sandro,2,38,False,262,61987,4.76,Alex Sandro,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,A. Sandro,8.82,Alex Sandro Lobo Silva,,7,1.0,10.0,13.0,2.0,2.0,5.0,3.0,,,3.0,,1.0,,,,,,,,
27,ganso,4,38,False,266,62977,3.15,Ganso,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,6.93,Paulo Henrique Chagas de Lima,,28,10.0,24.0,18.0,6.0,7.0,31.0,,,3.0,2.0,1.0,6.0,,,,,1.0,,,
