,atletas.minimo_para_valorizar,atletas.media_num,atletas.nome,atletas.posicao_id,atletas.clube_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.apelido,atletas.preco_num,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.variacao_num,atletas.rodada_id,CA,DE,FS,GS,SG,A,CV,DS,FC,FD,FF,G,I,V,FT,PP,PS,GC,PC,DP
19,,2.37,Christian Chagas Tarouco,3,356,Titi,Fortaleza,Titi,3.86,0.0,50353,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,False,titi,11,6,0.0,18,3.0,,10.0,,2.0,,,15.0,18.0,,2.0,,1.0,,,,,,,
20,,3.89,Walter Leandro Capeloza Artune,1,1371,Walter,Cuiabá,Walter,5.34,2.0,51413,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,True,walter,14,6,-0.88,18,,58.0,1.0,19.0,3.0,,,,,,,,,,,,,,,
21,,4.31,Everton Augusto de Barros Ribeiro,4,265,E. Ribeiro,Bahia,Everton Ribeiro,8.82,3.8,51772,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,True,everton-ribeiro,16,7,0.45,18,1.0,,26.0,,,4.0,,27.0,14.0,4.0,5.0,,1.0,,,,,,,
22,,1.76,Fernando Francisco Reges,4,285,Fernando,Internacional,Fernando,5.03,0.0,52271,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,False,fernando,9,5,0.0,18,3.0,,3.0,,,,,10.0,8.0,,,1.0,2.0,,,,,,,
23,,2.51,David Luiz Moreira Marinho,3,262,D. Luiz,Flamengo,David Luiz,5.82,-0.1,52827,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,True,david-luiz,11,7,-0.49,18,2.0,,1.0,,1.0,,,3.0,9.0,1.0,5.0,2.0,,,1.0,,,,1.0,
24,,0.0,Leonardo Gamalho de Souza,5,287,L. Gamalho,Vitória,Léo Gamalho,4.11,0.0,53865,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,False,leo-gamalho,1,6,0.0,18,,,,,,,,,,,,,,,,,,,,
25,,0.5,Alex Teixeira Santos,4,267,A. Teixeira,Vasco,Alex Teixeira,4.69,0.5,60793,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,True,alex-teixeira,1,6,-0.31,18,,,1.0,,,,,,,,,,,,,,,,,
26,,0.0,Renan dos Santos,1,286,Renan,Juventude,Renan,4.0,0.0,60795,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,False,renan,0,5,0.0,18,,,,,,,,,,,,,,,,,,,,
27,,0.0,Josef de Souza Dias,4,267,Souza,Vasco,Souza,7.0,0.0,60803,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,False,souza,0,6,0.0,18,,,,,,,,,,,,,,,,,,,,
28,,1.57,Neuciano de Jesus Gusmão,2,265,Cicinho,Bahia,Cicinho,4.17,0.0,61106,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,False,cicinho,4,6,0.0,18,,,2.0,,1.0,,,1.0,3.0,,,,,,,,,,,
29,,2.04,Gilberto Oliveira Souza Júnior,5,286,Gilberto,Juventude,Gilberto,3.8,0.5,61188,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,True,gilberto,11,6,-1.51,18,1.0,,4.0,,,,,4.0,7.0,4.0,8.0,1.0,4.0,,,,,,,
30,,4.13,Fabrício Barros Santana,1,285,Fabrício,Internacional,Fabrício,5.96,0.0,61228,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,False,fabricio,8,6,0.0,18,,26.0,,8.0,3.0,,,,,,,,,,,,,,,
31,,1.16,Douglas Costa de Souza,5,266,D. Costa,Fluminense,Douglas Costa,4.06,0.0,62020,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,False,douglas-costa,9,6,0.0,18,1.0,,3.0,,,,,5.0,4.0,3.0,2.0,,,,,,,,,
32,,3.87,Paulo Henrique Chagas de Lima,4,266,Ganso,Fluminense,Ganso,7.94,6.4,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,True,ganso,14,7,0.51,18,6.0,,18.0,,,2.0,,11.0,8.0,4.0,2.0,3.0,,,,,,,,
33,,4.61,Marcos Luis Rocha Aquino,2,275,M. Rocha,Palmeiras,Marcos Rocha,8.28,10.8,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,True,marcos-rocha,14,7,1.23,18,,,6.0,,8.0,,,19.0,10.0,,2.0,,,,,,,,,
34,,3.25,Alan Luciano Ruschel,2,286,A. Ruschel,Juventude,Alan Ruschel,5.16,7.1,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,True,alan-ruschel,10,7,0.94,18,1.0,,10.0,,2.0,,,18.0,13.0,,1.0,,,,,,,,,
35,,1.6,Edenílson Andrade dos Santos,4,284,Edenílson,Grêmio,Edenílson,4.59,3.5,63289,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,True,edenilson,12,7,0.18,18,2.0,,12.0,,,,,6.0,6.0,1.0,1.0,1.0,1.0,,,,,,,
36,,2.83,Alan Patrick Lourenço,4,285,A. Patrick,Internacional,Alan Patrick,9.81,0.0,68685,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,False,alan-patrick,7,6,0.0,18,3.0,,8.0,,,,,6.0,8.0,5.0,5.0,1.0,,,,1.0,,,,
37,,3.2,Carlos Eduardo de Oliveira Alves,4,263,Eduardo,Botafogo,Eduardo,6.26,0.0,68708,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,False,eduardo,10,5,0.0,18,1.0,,9.0,,,1.0,,6.0,8.0,3.0,4.0,2.0,1.0,,,1.0,,,,
38,,0.0,Marcelo Lomba do Nascimento,1,275,M. Lomba,Palmeiras,Marcelo Lomba,6.0,0.0,68872,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,False,marcelo-lomba,0,6,0.0,18,,,,,,,,,,,,,,,,,,,,
39,,1.2,Philippe Coutinho Correia,4,267,P. Coutinho,Vasco,Philippe Coutinho,7.67,1.2,68899,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,True,philippe-coutinho,1,6,-0.33,18,,,,,,,,1.0,,,,,,,,,,,,
40,,1.57,Eduardo Pereira Rodrigues,5,275,Dudu,Palmeiras,Dudu,6.64,2.0,68920,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,True,dudu,6,7,0.12,18,,,7.0,,,,,2.0,3.0,3.0,1.0,,,,,,,,,
41,,3.6,Rafael Pires Monteiro,1,276,Rafael,São Paulo,Rafael,7.36,5.0,68928,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,True,rafael,10,7,-0.37,18,1.0,20.0,,8.0,5.0,,,,,,,,,,,,,,,
42,,0.75,Rafael Cabral Barbosa,1,284,R. Cabral,Grêmio,Rafael Cabral,5.21,0.0,68940,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,False,rafael-cabral,4,6,0.0,18,,11.0,,8.0,,,,,,,,,,,,,,,,
43,,2.4,Mário Sérgio Santos Costa,5,356,Marinho,Fortaleza,Marinho,4.89,0.0,68952,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,False,marinho,8,6,0.0,18,1.0,,13.0,,,,,5.0,9.0,3.0,9.0,,4.0,,,,,,,
44,,0.98,Marcos Gabriel do Nascimento,4,288,M. Gabriel,Criciúma,Marquinhos Gabriel,3.09,0.0,68954,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,False,marquinhos-gabriel,11,6,0.0,18,2.0,,7.0,,,,,4.0,5.0,3.0,3.0,,,,,,,,,
45,,2.66,Lucas Pacheco Affini,4,356,L. Sasha,Fortaleza,Lucas Sasha,5.04,2.4,68991,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,True,lucas-sasha,12,6,0.19,18,1.0,,6.0,,,,,28.0,19.0,1.0,1.0,,,,,,,,,
46,,0.0,Aderbar Melo dos Santos Neto,1,356,Santos,Fortaleza,Santos,8.0,0.0,69012,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,False,santos,0,6,0.0,18,,,,,,,,,,,,,,,,,,,,
47,,0.25,Manoel Messias Silva Carvalho,3,266,Manoel,Fluminense,Manoel,2.96,0.0,69014,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,False,manoel,6,6,0.0,18,1.0,,2.0,,,,,2.0,7.0,1.0,,,,,,,,,,
48,,-1.0,Muriel Gustavo Becker,1,287,Muriel,Vitória,Muriel,3.54,0.0,69041,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,False,muriel,0,6,0.0,18,1.0,,,,,,,,,,,,,,,,,,,
49,,-1.0,Danilo Fernandes Batista,1,265,D. Fernandes,Bahia,Danilo Fernandes,3.54,0.0,69051,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,False,danilo-fernandes,0,6,0.0,18,1.0,,,,,,,,,,,,,,,,,,,
50,,-0.05,James David Rodríguez Rubio,4,276,J. Rodríguez,São Paulo,James Rodríguez,4.84,0.0,69063,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,False,james-rodriguez,2,6,0.0,18,,,,,,,,,,,,,1.0,,,,,,,
51,,4.38,Eduardo Jesús Vargas Rojas,5,282,Vargas,Atlético-MG,Vargas,5.52,-0.1,69102,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,True,vargas,11,6,-0.51,18,,,7.0,,,,,3.0,2.0,4.0,4.0,4.0,3.0,,,,2.0,,,
52,,2.11,Pablo Felipe Teixeira,5,293,Pablo,Athlético-PR,Pablo,5.43,-0.2,69138,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,True,pablo,15,6,-0.41,18,5.0,,4.0,,,1.0,,5.0,16.0,3.0,7.0,2.0,,,1.0,,,,,
53,,0.0,Allan Marques Loureiro,4,263,Allan,Botafogo,Allan,8.0,0.0,69140,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,False,allan,0,6,0.0,18,,,,,,,,,,,,,,,,,,,,
54,,0.0,Pablo Nascimento Castro,3,263,Pablo,Botafogo,Pablo,3.22,0.0,69165,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,False,pablo,1,6,0.0,18,,,,,,,,,,,,,,,,,,,,
55,,0.53,Charles Mariano Aránguiz Sandoval,4,285,Aránguiz,Internacional,Aránguiz,3.76,0.0,69325,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,False,aranguiz,7,5,0.0,18,2.0,,3.0,,,,,2.0,12.0,2.0,,,,,1.0,,,,,
56,,1.0,João Pedro Geraldino dos Santos Galvão,5,284,J. Galvão,Grêmio,João Pedro Galvão,3.06,0.0,69686,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,False,joao-pedro-galvao,11,6,0.0,18,1.0,,15.0,,,,,2.0,13.0,3.0,3.0,,,,,,,,,
57,,5.0,Maycon Vinícius Ferreira da Cruz,4,293,Nikão,Athlético-PR,Nikão,8.71,2.1,69705,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,True,nikao,10,6,-0.1,18,,,19.0,,,,,13.0,2.0,8.0,10.0,1.0,1.0,,,,,,,
58,,6.0,Lucas Rodrigues Moura da Silva,4,276,L. Moura,São Paulo,Lucas Moura,13.86,4.2,70164,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,True,lucas-moura,12,7,-0.76,18,2.0,,21.0,,,1.0,,19.0,13.0,3.0,5.0,4.0,,,,,,,,
59,,0.0,Rafael Pereira da Silva,2,263,Rafael,Botafogo,Rafael,3.0,0.0,70171,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,False,rafael,0,5,0.0,18,,,,,,,,,,,,,,,,,,,,
