,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.media_num,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.posicao_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.nome,CA,DS,FC,FD,FF,FS,SG,A,FT,G,V,CV,I,PC,DE,GS,PP,PS,DP,GC
18,0.25,Cuiabá,25,Walter,walter,9.0,3.59,7,1371,6.07,1,51413,Walter,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,30,Walter Leandro Capeloza Artune,1.0,,,,,1.0,6.0,,,,,,,,96.0,36.0,,,,
19,-0.74,Bahia,27,Everton Ribeiro,everton-ribeiro,0.2,4.15,7,265,7.93,4,51772,E. Ribeiro,,True,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,30,Everton Augusto de Barros Ribeiro,3.0,42.0,27.0,5.0,7.0,51.0,,4.0,,2.0,,,1.0,,,,,,,
20,-0.17,Internacional,15,Fernando,fernando,2.6,2.34,6,285,5.36,4,52271,Fernando,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,30,Fernando Francisco Reges,4.0,23.0,14.0,1.0,1.0,6.0,,,1.0,1.0,,,2.0,,,,,,,
21,0.0,Flamengo,18,David Luiz,david-luiz,0.0,2.44,6,262,5.91,3,52827,D. Luiz,,False,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,30,David Luiz Moreira Marinho,4.0,7.0,18.0,3.0,6.0,7.0,3.0,,1.0,2.0,,,,1.0,,,,,,
22,0.0,Vasco,1,Alex Teixeira,alex-teixeira,0.0,0.5,6,267,4.69,4,60793,A. Teixeira,,False,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,30,Alex Teixeira Santos,,,,,,1.0,,,,,,,,,,,,,,
23,0.0,Vasco,4,Souza,souza,0.0,-0.5,6,267,3.57,4,60803,Souza,,False,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,30,Josef de Souza Dias,1.0,2.0,3.0,,,1.0,,,,,,1.0,,,,,,,,
24,0.0,Bahia,4,Cicinho,cicinho,0.0,1.32,6,265,4.32,2,61106,Cicinho,,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,30,Neuciano de Jesus Gusmão,1.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,
25,0.0,Juventude,17,Gilberto,gilberto,0.0,2.09,6,286,4.38,5,61188,Gilberto,,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,30,Gilberto Oliveira Souza Júnior,3.0,6.0,15.0,6.0,10.0,10.0,,1.0,1.0,1.0,,,4.0,,,,,,,
26,0.0,Internacional,8,Fabrício,fabricio,0.0,4.13,6,285,5.96,1,61228,Fabrício,,False,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,30,Fabrício Barros Santana,,,,,,,3.0,,,,,,,,26.0,8.0,,,,
27,-1.37,Flamengo,3,Alex Sandro,alex-sandro,-0.4,2.17,6,262,6.94,2,61987,A. Sandro,,True,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,30,Alex Sandro Lobo Silva,,1.0,5.0,,1.0,2.0,1.0,,,,,,,,,,,,,
28,-1.28,Fluminense,25,Ganso,ganso,-2.8,3.27,7,266,6.15,4,62977,Ganso,,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,30,Paulo Henrique Chagas de Lima,10.0,23.0,18.0,6.0,4.0,29.0,,5.0,,3.0,,,1.0,,,,1.0,,,
29,-1.36,Palmeiras,22,Marcos Rocha,marcos-rocha,0.1,4.76,7,275,7.03,2,63013,M. Rocha,,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,30,Marcos Luis Rocha Aquino,3.0,31.0,20.0,,2.0,10.0,12.0,2.0,,,,,1.0,,,,,,,
30,-0.09,Juventude,19,Alan Ruschel,alan-ruschel,5.8,3.82,7,286,5.54,2,63110,A. Ruschel,,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,30,Alan Luciano Ruschel,2.0,38.0,21.0,,3.0,26.0,2.0,1.0,,1.0,,1.0,,,,,,,,
31,-0.28,Grêmio,21,Edenílson,edenilson,-0.6,1.75,7,284,3.88,4,63289,Edenílson,,True,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,30,Edenílson Andrade dos Santos,3.0,9.0,16.0,5.0,3.0,20.0,,1.0,1.0,1.0,,,3.0,,,,,,,
32,-0.92,Internacional,14,Alan Patrick,alan-patrick,0.4,4.85,7,285,9.67,4,68685,A. Patrick,,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,30,Alan Patrick Lourenço,3.0,12.0,17.0,7.0,9.0,16.0,,2.0,,4.0,,,,,,,1.0,,,
33,0.21,Botafogo,11,Eduardo,eduardo,0.5,2.95,6,263,6.47,4,68708,Eduardo,,True,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,30,Carlos Eduardo de Oliveira Alves,1.0,6.0,9.0,3.0,5.0,9.0,,1.0,,2.0,,,1.0,,,,1.0,,,
34,0.0,Palmeiras,1,Marcelo Lomba,marcelo-lomba,0.0,-1.0,6,275,4.99,1,68872,M. Lomba,,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,30,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,,1.0,2.0,,,,
35,0.2,Vasco,8,Philippe Coutinho,philippe-coutinho,2.5,2.28,7,267,5.87,4,68899,P. Coutinho,,True,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,30,Philippe Coutinho Correia,,4.0,5.0,2.0,2.0,6.0,,,,1.0,,,,,,,,,,
36,0.0,Palmeiras,12,Dudu,dudu,0.0,1.36,6,275,5.6,5,68920,Dudu,,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,30,Eduardo Pereira Rodrigues,,3.0,3.0,5.0,2.0,10.0,,,,,,,,,,,,1.0,,
37,1.23,São Paulo,18,Rafael,rafael,8.0,3.16,7,276,7.18,1,68928,Rafael,,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,30,Rafael Pires Monteiro,1.0,,,,,,7.0,,,,,,,,41.0,18.0,,,,
38,0.0,Grêmio,6,Rafael Cabral,rafael-cabral,0.0,2.08,6,284,5.34,1,68940,R. Cabral,,False,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,30,Rafael Cabral Barbosa,,,,,,1.0,1.0,,,,,,,,15.0,8.0,,,,
39,0.73,Fortaleza,15,Marinho,marinho,7.0,4.5,3,356,6.51,5,68952,Marinho,,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,30,Mário Sérgio Santos Costa,3.0,15.0,21.0,6.0,13.0,32.0,,1.0,,3.0,,1.0,8.0,,,,,,,
40,0.0,Criciúma,20,Marquinhos Gabriel,marquinhos-gabriel,0.0,1.03,6,288,2.79,4,68954,M. Gabriel,,False,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,30,Marcos Gabriel do Nascimento,3.0,9.0,7.0,4.0,6.0,11.0,,,,,,,3.0,,,,,,,
41,0.0,Fortaleza,18,Lucas Sasha,lucas-sasha,0.0,3.57,6,356,6.5,4,68991,L. Sasha,,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,30,Lucas Pacheco Affini,2.0,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,,,
42,0.0,Fortaleza,0,Santos,santos,0.0,0.0,6,356,8.0,1,69012,Santos,,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,30,Aderbar Melo dos Santos Neto,,,,,,,,,,,,,,,,,,,,
43,0.7,Fluminense,9,Manoel,manoel,7.4,1.62,7,266,4.33,3,69014,Manoel,,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,30,Manoel Messias Silva Carvalho,2.0,5.0,7.0,1.0,,3.0,2.0,,,,,,,,,,,,,
44,0.0,Vitória,1,Muriel,muriel,0.0,6.5,6,287,5.94,1,69041,Muriel,,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,30,Muriel Gustavo Becker,2.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,
45,0.0,Bahia,0,Danilo Fernandes,danilo-fernandes,0.0,-1.0,6,265,3.54,1,69051,D. Fernandes,,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,30,Danilo Fernandes Batista,1.0,,,,,,,,,,,,,,,,,,,
46,0.0,Atlético-MG,17,Vargas,vargas,0.0,4.61,6,282,7.47,5,69102,Vargas,,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,30,Eduardo Jesús Vargas Rojas,,6.0,4.0,4.0,7.0,15.0,,1.0,,6.0,,,5.0,,,,,2.0,,
47,-0.05,Athlético-PR,20,Pablo,pablo,1.3,1.86,7,293,5.2,5,69138,Pablo,,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,30,Pablo Felipe Teixeira,5.0,8.0,21.0,3.0,10.0,7.0,,1.0,1.0,2.0,,,4.0,,,,,,,
48,0.0,Botafogo,9,Allan,allan,0.0,1.89,6,263,5.09,4,69140,Allan,,False,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,30,Allan Marques Loureiro,2.0,11.0,9.0,,,7.0,,1.0,,,,,,,,,,,,
49,0.0,Botafogo,1,Pablo,pablo,0.0,0.0,6,263,3.22,3,69165,Pablo,,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,30,Pablo Nascimento Castro,,,,,,,,,,,,,,,,,,,,
50,2.26,Athlético-PR,17,Nikão,nikao,16.4,5.37,7,293,10.47,4,69705,Nikão,,True,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,30,Maycon Vinícius Ferreira da Cruz,,17.0,5.0,10.0,13.0,26.0,,2.0,1.0,3.0,,,2.0,,,,,,,
51,1.99,São Paulo,21,Lucas Moura,lucas-moura,17.4,7.01,7,276,15.39,4,70164,L. Moura,,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,30,Lucas Rodrigues Moura da Silva,3.0,28.0,19.0,8.0,7.0,46.0,,4.0,,8.0,,,,,,,,,,
52,0.0,Botafogo,0,Rafael,rafael,0.0,0.0,5,263,3.0,2,70171,Rafael,,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,30,Rafael Pereira da Silva,,,,,,,,,,,,,,,,,,,,
